Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2022-2023,23,Paris S-G,fr FRA,1. Ligue 1,1st,34,32,2818,31.3,29,5,34,26,3,5,6,0,26.3,22.2,7.4,29.5,165,128,468,0.93,0.16,1.09,0.83,0.99,0.84,0.23,1.07,0.71,0.94,Kylian Mbappé,FW
2023-2024,24,Paris S-G,fr FRA,1. Ligue 1,1st,29,24,2158,24.0,27,7,34,21,6,8,4,0,21.0,14.5,5.7,20.2,114,122,286,1.13,0.29,1.42,0.88,1.17,0.87,0.24,1.11,0.60,0.84,Kylian Mbappé,FW
2024-2025,25,Real Madrid,es ESP,1. La Liga,1st,17,17,1459,16.2,10,2,12,7,3,4,2,0,12.1,9.0,2.4,11.4,82,70,199,0.62,0.12,0.74,0.43,0.56,0.75,0.15,0.90,0.55,0.70,Kylian Mbappé,FW
2008-2009,16,Genk,be BEL,1. First Division,8th,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Thibaut Courtois,GK
2010-2011,18,Genk,be BEL,1. Pro League,1st,40,40,3600,40.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Thibaut Courtois,GK
2011-2012,19,Atlético Madrid,es ESP,1. La Liga,5th,37,37,3261,36.2,0,0,0,0,0,0,1,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Thibaut Courtois,GK
2012-2013,20,Atlético Madrid,es ESP,1. La Liga,3rd,37,37,3330,37.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Thibaut Courtois,GK
2013-2014,21,Atlético Madrid,es ESP,1. La Liga,1st,37,37,3330,37.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Thibaut Courtois,GK
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,32,32,2813,31.3,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Thibaut Courtois,GK
2015-2016,23,Chelsea,eng ENG,1. Premier League,10th,23,23,2020,22.4,0,0,0,0,0,0,1,2,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Thibaut Courtois,GK
2016-2017,24,Chelsea,eng ENG,1. Premier League,1st,36,36,3240,36.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Thibaut Courtois,GK
2017-2018,25,Chelsea,eng ENG,1. Premier League,5th,35,35,3150,35.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Thibaut Courtois,GK
2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,27,27,2430,27.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Thibaut Courtois,GK
2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Thibaut Courtois,GK
2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Thibaut Courtois,GK
2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,36,36,3240,36.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Thibaut Courtois,GK
2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,31,31,2790,31.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Thibaut Courtois,GK
2023-2024,31,Real Madrid,es ESP,1. La Liga,1st,4,4,332,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Thibaut Courtois,GK
2024-2025,32,Real Madrid,es ESP,1. La Liga,1st,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Thibaut Courtois,GK
2017-2018,17,Bordeaux,fr FRA,1. Ligue 1,6th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aurélien Tchouaméni,"MF,DF"
2018-2019,18,Bordeaux,fr FRA,1. Ligue 1,14th,10,8,704,7.8,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.4,5,25,7,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,15,13,1110,12.3,0,1,1,0,0,0,3,0,0.7,0.7,0.3,1.0,9,88,6,0.00,0.08,0.08,0.00,0.08,0.06,0.02,0.08,0.06,0.08,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Monaco,fr FRA,1. Ligue 1,9th,3,0,65,0.7,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.5,0,0,0,0.00,0.00,0.00,0.00,0.00,0.23,0.42,0.65,0.23,0.65,Aurélien Tchouaméni,"MF,DF"
