Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2018-2019,18,Bordeaux,fr FRA,1. Ligue 1,14th,7.8,0,7,1,14.3,0.89,0.13,0.00,0.00,22.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,12.3,0,12,5,41.7,0.97,0.41,0.00,0.00,21.6,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Monaco,fr FRA,1. Ligue 1,9th,0.7,0,2,1,50.0,2.77,1.38,0.00,0.00,17.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Aurélien Tchouaméni,"MF,DF"
2020-2021,20,Monaco,fr FRA,1. Ligue 1,3rd,34.0,2,53,11,20.8,1.56,0.32,0.04,0.18,18.4,0,0,0,4.1,4.1,0.08,-2.1,-2.1,Aurélien Tchouaméni,"MF,DF"
2021-2022,21,Monaco,fr FRA,1. Ligue 1,3rd,32.5,3,55,10,18.2,1.69,0.31,0.05,0.30,22.5,0,0,0,2.0,2.0,0.04,+1.0,+1.0,Aurélien Tchouaméni,"MF,DF"
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,23.5,0,38,6,15.8,1.61,0.25,0.00,0.00,22.1,0,0,0,1.8,1.8,0.05,-1.8,-1.8,Aurélien Tchouaméni,"MF,DF"
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,22.1,3,27,7,25.9,1.22,0.32,0.11,0.43,22.2,0,0,0,1.3,1.3,0.05,+1.7,+1.7,Aurélien Tchouaméni,"MF,DF"
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,14.2,0,9,1,11.1,0.64,0.07,0.00,0.00,18.8,0,0,0,0.9,0.9,0.10,-0.9,-0.9,Aurélien Tchouaméni,"MF,DF"
2019-2020,16,Birmingham City,eng ENG,2. Championship,20th,29.9,4,51,12,23.5,1.70,0.40,0.08,0.33,18.7,0,0,0,5.1,5.1,0.10,-1.1,-1.1,Jude Bellingham,MF
2020-2021,17,Dortmund,de GER,1. Bundesliga,3rd,18.9,1,33,8,24.2,1.75,0.42,0.03,0.13,19.8,0,0,0,2.5,2.5,0.08,-1.5,-1.5,Jude Bellingham,MF
2021-2022,18,Dortmund,de GER,1. Bundesliga,2nd,31.0,3,44,12,27.3,1.42,0.39,0.07,0.25,18.1,0,0,0,4.8,4.8,0.11,-1.8,-1.8,Jude Bellingham,MF
2022-2023,19,Dortmund,de GER,1. Bundesliga,2nd,29.9,8,66,23,34.8,2.21,0.77,0.11,0.30,18.0,2,1,1,8.2,7.4,0.11,-0.2,-0.4,Jude Bellingham,MF
2023-2024,20,Real Madrid,es ESP,1. La Liga,1st,25.7,19,62,34,54.8,2.41,1.32,0.29,0.53,14.8,0,1,1,11.1,10.3,0.17,+7.9,+7.7,Jude Bellingham,MF
2024-2025,21,Real Madrid,es ESP,1. La Liga,1st,13.7,7,20,9,45.0,1.46,0.66,0.30,0.67,18.0,0,1,2,4.5,2.9,0.15,+2.5,+3.1,Jude Bellingham,MF
2018-2019,18,Real Madrid,es ESP,1. La Liga,3rd,9.7,2,42,17,40.5,4.35,1.76,0.05,0.12,17.3,0,0,0,3.6,3.6,0.08,-1.6,-1.6,Vinicius Júnior,FW
2019-2020,19,Real Madrid,es ESP,1. La Liga,1st,15.2,3,38,17,44.7,2.51,1.12,0.08,0.18,14.5,0,0,0,4.3,4.3,0.11,-1.3,-1.3,Vinicius Júnior,FW
2020-2021,20,Real Madrid,es ESP,1. La Liga,2nd,21.9,3,40,13,32.5,1.83,0.59,0.08,0.23,14.1,0,0,0,6.5,6.5,0.16,-3.5,-3.5,Vinicius Júnior,FW
2021-2022,21,Real Madrid,es ESP,1. La Liga,1st,29.9,17,80,42,52.5,2.68,1.41,0.21,0.40,15.2,0,0,0,12.3,12.3,0.15,+4.7,+4.7,Vinicius Júnior,FW
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,31.4,10,77,36,46.8,2.45,1.15,0.13,0.28,16.2,0,0,0,10.5,10.5,0.14,-0.5,-0.5,Vinicius Júnior,FW
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,20.7,15,77,38,49.4,3.72,1.83,0.18,0.37,14.6,0,1,1,13.1,12.3,0.16,+1.9,+1.7,Vinicius Júnior,FW
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,13.1,8,41,12,29.3,3.14,0.92,0.15,0.50,18.0,0,2,2,5.9,4.6,0.11,+2.1,+1.4,Vinicius Júnior,FW
2019-2020,18,Real Madrid,es ESP,1. La Liga,1st,11.3,2,16,8,50.0,1.41,0.71,0.13,0.25,11.5,0,0,0,2.3,2.3,0.14,-0.3,-0.3,Rodrygo,FW
2020-2021,19,Real Madrid,es ESP,1. La Liga,2nd,10.9,1,25,5,20.0,2.29,0.46,0.04,0.20,16.7,1,0,0,2.0,2.0,0.08,-1.0,-1.0,Rodrygo,FW
2021-2022,20,Real Madrid,es ESP,1. La Liga,1st,16.9,4,34,15,44.1,2.01,0.89,0.12,0.27,16.4,0,0,0,3.4,3.4,0.10,+0.6,+0.6,Rodrygo,FW
2022-2023,21,Real Madrid,es ESP,1. La Liga,2nd,26.4,9,97,31,32.0,3.67,1.17,0.08,0.26,16.6,8,1,1,13.7,12.9,0.13,-4.7,-4.9,Rodrygo,FW
2023-2024,22,Real Madrid,es ESP,1. La Liga,1st,26.4,10,86,35,40.7,3.25,1.32,0.12,0.29,15.2,4,0,1,11.7,10.9,0.13,-1.7,-0.9,Rodrygo,FW
2024-2025,23,Real Madrid,es ESP,1. La Liga,1st,11.6,5,26,12,46.2,2.24,1.03,0.19,0.42,16.9,1,0,0,2.2,2.1,0.08,+2.8,+2.9,Rodrygo,FW
2012-2013,21,Real Madrid B,es ESP,2. La Liga 2,8th,9.1,3,,8,,,0.88,,0.38,,,0,0,,,,,,Lucas Vázquez,DF
2013-2014,22,Real Madrid B,es ESP,2. La Liga 2,20th,39.5,8,,51,,,1.29,,0.16,,,0,0,,,,,,Lucas Vázquez,DF
2014-2015,23,Espanyol,es ESP,1. La Liga,10th,30.5,3,,20,,,0.66,,0.15,,,0,0,,,,,,Lucas Vázquez,DF
2015-2016,24,Real Madrid,es ESP,1. La Liga,2nd,13.8,4,23,13,56.5,1.67,0.95,0.17,0.31,,,0,0,,,,,,Lucas Vázquez,DF
2016-2017,25,Real Madrid,es ESP,1. La Liga,1st,15.6,2,30,11,36.7,1.92,0.71,0.07,0.18,,,0,0,,,,,,Lucas Vázquez,DF
2017-2018,26,Real Madrid,es ESP,1. La Liga,3rd,18.7,4,33,17,51.5,1.77,0.91,0.12,0.24,16.8,0,0,0,4.8,4.8,0.14,-0.8,-0.8,Lucas Vázquez,DF
2018-2019,27,Real Madrid,es ESP,1. La Liga,3rd,16.8,1,24,11,45.8,1.43,0.66,0.04,0.09,16.3,0,0,0,2.6,2.6,0.11,-1.6,-1.6,Lucas Vázquez,DF
2019-2020,28,Real Madrid,es ESP,1. La Liga,1st,9.4,2,10,3,30.0,1.06,0.32,0.20,0.67,17.1,0,0,0,1.4,1.4,0.14,+0.6,+0.6,Lucas Vázquez,DF
2020-2021,29,Real Madrid,es ESP,1. La Liga,2nd,20.5,2,21,7,33.3,1.02,0.34,0.10,0.29,20.5,0,0,0,1.8,1.8,0.09,+0.2,+0.2,Lucas Vázquez,DF
2021-2022,30,Real Madrid,es ESP,1. La Liga,1st,20.4,3,18,5,27.8,0.88,0.25,0.17,0.60,20.6,0,0,0,2.2,2.2,0.12,+0.8,+0.8,Lucas Vázquez,DF
2022-2023,31,Real Madrid,es ESP,1. La Liga,2nd,12.7,4,14,7,50.0,1.10,0.55,0.29,0.57,18.5,0,0,0,1.9,1.9,0.14,+2.1,+2.1,Lucas Vázquez,DF
2023-2024,32,Real Madrid,es ESP,1. La Liga,1st,15.8,3,12,7,58.3,0.76,0.44,0.25,0.43,13.4,0,0,0,1.2,1.1,0.09,+1.8,+1.9,Lucas Vázquez,DF
2024-2025,33,Real Madrid,es ESP,1. La Liga,1st,10.8,1,5,2,40.0,0.46,0.19,0.20,0.50,16.1,0,0,0,0.6,0.6,0.11,+0.4,+0.4,Lucas Vázquez,DF
2018-2019,20,Porto,pt POR,1. Primeira Liga,2nd,28.9,3,29,8,27.6,1.00,0.28,0.10,0.38,17.5,1,0,0,2.1,2.1,0.07,+0.9,+0.9,Éder Militão,DF
2019-2020,21,Real Madrid,es ESP,1. La Liga,1st,11.4,0,2,1,50.0,0.18,0.09,0.00,0.00,13.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Éder Militão,DF
2020-2021,22,Real Madrid,es ESP,1. La Liga,2nd,12.6,1,12,3,25.0,0.95,0.24,0.08,0.33,12.0,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Éder Militão,DF
2021-2022,23,Real Madrid,es ESP,1. La Liga,1st,33.7,1,33,8,24.2,0.98,0.24,0.03,0.13,16.8,0,0,0,2.5,2.5,0.08,-1.5,-1.5,Éder Militão,DF
2022-2023,24,Real Madrid,es ESP,1. La Liga,2nd,30.0,5,22,8,36.4,0.73,0.27,0.23,0.63,13.8,0,0,0,2.4,2.4,0.11,+2.6,+2.6,Éder Militão,DF
2023-2024,25,Real Madrid,es ESP,1. La Liga,1st,5.5,0,2,2,100.0,0.36,0.36,0.00,0.00,22.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Éder Militão,DF
2024-2025,26,Real Madrid,es ESP,1. La Liga,1st,10.4,1,10,3,30.0,0.96,0.29,0.10,0.33,17.3,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Éder Militão,DF
2014-2015,19,Le Havre,fr FRA,2. Ligue 2,7th,1.0,0,,0,,,0.00,,,,,0,0,,,,,,Ferland Mendy,DF
2015-2016,20,Le Havre,fr FRA,2. Ligue 2,4th,7.9,0,,0,,,0.00,,,,,0,0,,,,,,Ferland Mendy,DF
2016-2017,21,Le Havre,fr FRA,2. Ligue 2,8th,34.5,2,0,12,,0.00,0.35,,0.17,,,0,0,,,,,,Ferland Mendy,DF
2017-2018,22,Lyon,fr FRA,1. Ligue 1,3rd,23.6,0,18,5,27.8,0.76,0.21,0.00,0.00,21.3,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Ferland Mendy,DF
2018-2019,23,Lyon,fr FRA,1. Ligue 1,3rd,28.1,2,23,7,30.4,0.82,0.25,0.09,0.29,21.9,0,0,0,0.9,0.9,0.04,+1.1,+1.1,Ferland Mendy,DF
2019-2020,24,Real Madrid,es ESP,1. La Liga,1st,20.1,1,7,3,42.9,0.35,0.15,0.14,0.33,21.2,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Ferland Mendy,DF
2020-2021,25,Real Madrid,es ESP,1. La Liga,2nd,24.5,1,12,2,16.7,0.49,0.08,0.08,0.50,19.0,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Ferland Mendy,DF
2021-2022,26,Real Madrid,es ESP,1. La Liga,1st,19.3,2,12,5,41.7,0.62,0.26,0.17,0.40,19.4,0,0,0,1.0,1.0,0.09,+1.0,+1.0,Ferland Mendy,DF
2022-2023,27,Real Madrid,es ESP,1. La Liga,2nd,15.0,0,1,0,0.0,0.07,0.00,0.00,,7.3,0,0,0,0.3,0.3,0.26,-0.3,-0.3,Ferland Mendy,DF
2023-2024,28,Real Madrid,es ESP,1. La Liga,1st,19.1,0,5,1,20.0,0.26,0.05,0.00,0.00,19.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Ferland Mendy,DF
2024-2025,29,Real Madrid,es ESP,1. La Liga,1st,9.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Ferland Mendy,DF
2020-2021,20,Rayo Vallecano,es ESP,2. La Liga 2,6th,36.5,1,23,9,39.1,0.63,0.25,0.04,0.11,24.2,0,0,0,1.1,1.1,0.05,-0.1,-0.1,Fran Garcia,DF
2021-2022,21,Rayo Vallecano,es ESP,1. La Liga,12th,33.6,1,25,8,32.0,0.74,0.24,0.04,0.13,23.6,0,0,0,0.9,0.9,0.04,+0.1,+0.1,Fran Garcia,DF
2022-2023,22,Rayo Vallecano,es ESP,1. La Liga,11th,37.9,2,30,11,36.7,0.79,0.29,0.07,0.18,27.9,0,0,0,1.2,1.2,0.04,+0.8,+0.8,Fran Garcia,DF
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,15.5,1,9,1,11.1,0.58,0.06,0.11,1.00,20.9,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Fran Garcia,DF
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,8.5,0,7,2,28.6,0.82,0.23,0.00,0.00,20.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Fran Garcia,DF
2007-2008,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,21.9,13,,35,,,1.60,,0.26,,,4,4,,,,,,Luka Modrić,MF
2008-2009,22,Tottenham,eng ENG,1. Premier League,8th,30.8,3,,20,,,0.65,,0.15,,,0,0,,,,,,Luka Modrić,MF
2009-2010,23,Tottenham,eng ENG,1. Premier League,4th,21.2,3,,14,,,0.66,,0.21,,,0,0,,,,,,Luka Modrić,MF
2010-2011,24,Tottenham,eng ENG,1. Premier League,5th,31.0,3,,16,,,0.52,,0.13,,,1,1,,,,,,Luka Modrić,MF
2011-2012,25,Tottenham,eng ENG,1. Premier League,4th,35.7,4,,25,,,0.70,,0.16,,,0,0,,,,,,Luka Modrić,MF
2012-2013,26,Real Madrid,es ESP,1. La Liga,2nd,24.2,3,,9,,,0.37,,0.33,,,0,0,,,,,,Luka Modrić,MF
2013-2014,27,Real Madrid,es ESP,1. La Liga,3rd,29.3,1,,7,,,0.24,,0.14,,,0,0,,,,,,Luka Modrić,MF
2014-2015,28,Real Madrid,es ESP,1. La Liga,2nd,14.3,1,,6,,,0.42,,0.17,,,0,0,,,,,,Luka Modrić,MF
2015-2016,29,Real Madrid,es ESP,1. La Liga,2nd,29.1,2,35,10,28.6,1.20,0.34,0.06,0.20,,,0,0,,,,,,Luka Modrić,MF
2016-2017,30,Real Madrid,es ESP,1. La Liga,1st,21.0,1,20,10,50.0,0.95,0.48,0.05,0.10,,,0,0,,,,,,Luka Modrić,MF
2017-2018,31,Real Madrid,es ESP,1. La Liga,3rd,21.9,1,35,8,22.9,1.60,0.37,0.03,0.13,20.9,0,0,0,1.8,1.8,0.05,-0.8,-0.8,Luka Modrić,MF
2018-2019,32,Real Madrid,es ESP,1. La Liga,3rd,29.0,3,37,12,32.4,1.28,0.41,0.08,0.25,21.1,0,0,0,2.7,2.7,0.07,+0.3,+0.3,Luka Modrić,MF
2019-2020,33,Real Madrid,es ESP,1. La Liga,1st,22.2,3,30,13,43.3,1.35,0.59,0.10,0.23,23.1,0,0,0,1.5,1.5,0.05,+1.5,+1.5,Luka Modrić,MF
2020-2021,34,Real Madrid,es ESP,1. La Liga,2nd,30.4,5,45,15,33.3,1.48,0.49,0.11,0.33,22.1,1,0,0,2.3,2.3,0.05,+2.7,+2.7,Luka Modrić,MF
2021-2022,35,Real Madrid,es ESP,1. La Liga,1st,22.6,2,26,10,38.5,1.15,0.44,0.04,0.10,22.0,1,1,1,2.5,1.7,0.06,-0.5,-0.7,Luka Modrić,MF
2022-2023,36,Real Madrid,es ESP,1. La Liga,2nd,19.4,4,29,5,17.2,1.50,0.26,0.10,0.60,20.2,1,1,1,4.2,3.4,0.12,-0.2,-0.4,Luka Modrić,MF
2023-2024,37,Real Madrid,es ESP,1. La Liga,1st,18.8,2,25,10,40.0,1.33,0.53,0.08,0.20,21.9,1,0,0,1.3,1.3,0.05,+0.7,+0.7,Luka Modrić,MF
2024-2025,38,Real Madrid,es ESP,1. La Liga,1st,9.3,1,10,3,30.0,1.07,0.32,0.10,0.33,24.0,1,0,0,1.0,1.0,0.10,0.0,0.0,Luka Modrić,MF
2012-2013,20,Leverkusen,de GER,1. Bundesliga,3rd,30.8,1,,9,,,0.29,,0.11,,,0,0,,,,,,Dani Carvajal,DF
2013-2014,21,Real Madrid,es ESP,1. La Liga,3rd,24.9,2,,2,,,0.08,,1.00,,,0,0,,,,,,Dani Carvajal,DF
