Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2013-2014,21,Atlético Madrid,es ESP,1. La Liga,1st,37.0,,,,,,,,,,,,,,,0,,,,,,,,,Thibaut Courtois,GK
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,31.3,,,,,,,,,,,,,,,0,,,,,,,,,Thibaut Courtois,GK
2015-2016,23,Chelsea,eng ENG,1. Premier League,10th,22.4,,,,,,,,,,,,,,,0,,,,,,,,,Thibaut Courtois,GK
2016-2017,24,Chelsea,eng ENG,1. Premier League,1st,36.0,,,,,,,,,,,,,,,0,,,,,,,,,Thibaut Courtois,GK
2017-2018,25,Chelsea,eng ENG,1. Premier League,5th,35.0,903,1202,75.1,25829,17424,105,106,99.1,514,519,99.0,279,564,49.5,0,0.0,0.0,0.0,0,14,0,0,0,Thibaut Courtois,GK
2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,27.0,651,841,77.4,17880,11719,77,77,100.0,390,393,99.2,184,368,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Thibaut Courtois,GK
2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,34.0,861,1086,79.3,21460,13247,141,141,100.0,535,539,99.3,181,397,45.6,0,0.0,0.0,0.0,0,3,1,0,0,Thibaut Courtois,GK
2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,38.0,1087,1323,82.2,27107,16751,175,175,100.0,665,675,98.5,245,468,52.4,0,0.0,0.0,0.0,0,12,1,0,0,Thibaut Courtois,GK
2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,36.0,936,1137,82.3,21923,14425,208,210,99.0,531,537,98.9,192,383,50.1,0,0.0,0.0,0.0,0,5,0,0,1,Thibaut Courtois,GK
2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,31.0,980,1136,86.3,23008,14737,219,220,99.5,560,567,98.8,196,341,57.5,0,0.4,0.0,-0.4,2,6,1,0,0,Thibaut Courtois,GK
2023-2024,31,Real Madrid,es ESP,1. La Liga,1st,3.7,113,123,91.9,2675,1889,25,25,100.0,63,63,100.0,24,34,70.6,0,0.1,0.0,-0.1,1,1,0,0,0,Thibaut Courtois,GK
2024-2025,32,Real Madrid,es ESP,1. La Liga,1st,16.0,512,597,85.8,11724,7181,95,96,99.0,324,326,99.4,93,174,53.4,0,0.0,0.0,0.0,0,3,0,0,0,Thibaut Courtois,GK
2018-2019,18,Bordeaux,fr FRA,1. Ligue 1,14th,7.8,224,281,79.7,3613,1233,119,136,87.5,73,83,88.0,21,38,55.3,0,0.1,0.1,-0.1,3,18,2,0,25,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,12.3,589,696,84.6,10017,3471,260,298,87.2,281,313,89.8,39,53,73.6,1,0.3,0.2,+0.7,6,51,1,0,88,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Monaco,fr FRA,1. Ligue 1,9th,0.7,21,24,87.5,337,74,12,14,85.7,7,7,100.0,1,1,100.0,0,0.3,0.0,-0.3,2,0,0,0,0,Aurélien Tchouaméni,"MF,DF"
2020-2021,20,Monaco,fr FRA,1. Ligue 1,3rd,34.0,1516,1860,81.5,26308,7281,725,833,87.0,620,720,86.1,136,214,63.6,4,1.9,3.5,+2.1,17,174,20,1,197,Aurélien Tchouaméni,"MF,DF"
2021-2022,21,Monaco,fr FRA,1. Ligue 1,3rd,32.5,1795,2091,85.8,32270,9704,723,819,88.3,871,958,90.9,167,233,71.7,2,2.8,4.0,-0.8,21,196,34,4,250,Aurélien Tchouaméni,"MF,DF"
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,23.5,1578,1700,92.8,25016,7823,807,851,94.8,646,686,94.2,88,106,83.0,4,2.2,2.1,+1.8,22,159,11,0,142,Aurélien Tchouaméni,"MF,DF"
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,22.1,1377,1520,90.6,22672,7487,688,729,94.4,592,639,92.6,82,113,72.6,1,0.9,1.4,+0.1,11,154,13,4,111,Aurélien Tchouaméni,"MF,DF"
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,14.2,956,1031,92.7,16942,5774,393,416,94.5,473,498,95.0,77,93,82.8,0,0.5,0.5,-0.5,4,108,6,1,98,Aurélien Tchouaméni,"MF,DF"
2019-2020,16,Birmingham City,eng ENG,2. Championship,20th,29.9,756,1081,69.9,12680,3751,380,485,78.4,282,362,77.9,71,157,45.2,2,3.7,3.3,-1.7,31,62,25,4,102,Jude Bellingham,MF
2020-2021,17,Dortmund,de GER,1. Bundesliga,3rd,18.9,866,1049,82.6,14258,3234,413,478,86.4,338,380,88.9,74,101,73.3,3,3.2,3.4,-0.2,14,74,22,1,93,Jude Bellingham,MF
2021-2022,18,Dortmund,de GER,1. Bundesliga,2nd,31.0,1256,1517,82.8,19850,4875,650,723,89.9,437,504,86.7,102,156,65.4,8,6.0,4.6,+2.0,38,104,37,3,144,Jude Bellingham,MF
2022-2023,19,Dortmund,de GER,1. Bundesliga,2nd,29.9,1342,1643,81.7,23692,7381,605,694,87.2,509,590,86.3,169,233,72.5,4,4.0,4.9,0.0,34,194,45,3,252,Jude Bellingham,MF
2023-2024,20,Real Madrid,es ESP,1. La Liga,1st,25.7,1363,1543,88.3,19609,4025,856,930,92.0,387,428,90.4,76,90,84.4,6,5.3,4.3,+0.7,48,137,45,3,196,Jude Bellingham,MF
2024-2025,21,Real Madrid,es ESP,1. La Liga,1st,13.7,649,757,85.7,10004,2359,370,406,91.1,217,245,88.6,44,60,73.3,5,2.2,1.7,+2.8,18,66,13,0,98,Jude Bellingham,MF
2018-2019,18,Real Madrid,es ESP,1. La Liga,3rd,9.7,224,309,72.5,3257,586,147,180,81.7,62,88,70.5,11,17,64.7,0,1.5,1.4,-1.5,15,5,13,5,17,Vinicius Júnior,FW
2019-2020,19,Real Madrid,es ESP,1. La Liga,1st,15.2,413,537,76.9,5402,976,268,309,86.7,109,143,76.2,11,19,57.9,1,3.4,3.5,-2.4,22,21,12,1,31,Vinicius Júnior,FW
2020-2021,20,Real Madrid,es ESP,1. La Liga,2nd,21.9,657,795,82.6,8053,1540,432,475,90.9,147,182,80.8,21,38,55.3,3,4.8,3.0,-1.8,33,15,29,3,54,Vinicius Júnior,FW
2021-2022,21,Real Madrid,es ESP,1. La Liga,1st,29.9,1075,1289,83.4,14515,2865,684,759,90.1,269,315,85.4,52,72,72.2,10,8.0,7.7,+2.0,68,32,68,7,123,Vinicius Júnior,FW
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,31.4,883,1153,76.6,11725,2422,581,665,87.4,204,262,77.9,44,74,59.5,9,9.4,8.8,-0.4,64,30,45,2,87,Vinicius Júnior,FW
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,20.7,499,690,72.3,7273,1443,312,370,84.3,115,171,67.3,43,76,56.6,5,4.2,4.4,+0.8,30,37,20,2,57,Vinicius Júnior,FW
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,13.1,336,452,74.3,5067,1220,196,234,83.8,94,121,77.7,30,47,63.8,5,4.7,3.7,+0.3,29,26,21,3,44,Vinicius Júnior,FW
2019-2020,18,Real Madrid,es ESP,1. La Liga,1st,11.3,419,504,83.1,5199,1427,295,315,93.7,89,123,72.4,14,26,53.8,0,1.1,1.8,-1.1,14,32,20,8,36,Rodrygo,FW
2020-2021,19,Real Madrid,es ESP,1. La Liga,2nd,10.9,333,420,79.3,4279,1070,218,243,89.7,80,98,81.6,13,23,56.5,6,3.7,1.9,+2.3,19,23,13,2,28,Rodrygo,FW
2021-2022,20,Real Madrid,es ESP,1. La Liga,1st,16.9,555,682,81.4,6480,1383,377,410,92.0,100,133,75.2,15,36,41.7,4,2.4,2.7,+1.6,28,28,21,2,49,Rodrygo,FW
2022-2023,21,Real Madrid,es ESP,1. La Liga,2nd,26.4,918,1050,87.4,10744,2092,650,702,92.6,162,188,86.2,33,43,76.7,8,7.0,6.2,+1.0,47,63,28,3,81,Rodrygo,FW
2023-2024,22,Real Madrid,es ESP,1. La Liga,1st,26.4,883,1007,87.7,10417,1882,639,683,93.6,166,202,82.2,19,33,57.6,5,4.0,4.2,+1.0,46,42,44,4,90,Rodrygo,FW
2024-2025,23,Real Madrid,es ESP,1. La Liga,1st,11.6,474,556,85.3,6245,1464,308,329,93.6,127,148,85.8,15,39,38.5,3,1.2,1.8,+1.8,29,30,13,1,53,Rodrygo,FW
2012-2013,21,Real Madrid B,es ESP,2. La Liga 2,8th,9.1,,,,,,,,,,,,,,,3,,,,,,,,,Lucas Vázquez,DF
2013-2014,22,Real Madrid B,es ESP,2. La Liga 2,20th,39.5,,,,,,,,,,,,,,,7,,,,,,,,,Lucas Vázquez,DF
2014-2015,23,Espanyol,es ESP,1. La Liga,10th,30.5,,,,,,,,,,,,,,,6,,,,,,,,,Lucas Vázquez,DF
2015-2016,24,Real Madrid,es ESP,1. La Liga,2nd,13.8,,,,,,,,,,,,,,,6,,,,,,,,,Lucas Vázquez,DF
2016-2017,25,Real Madrid,es ESP,1. La Liga,1st,15.6,,,,,,,,,,,,,,,7,,,,,,,,,Lucas Vázquez,DF
2017-2018,26,Real Madrid,es ESP,1. La Liga,3rd,18.7,818,1014,80.7,11947,2704,515,563,91.5,218,273,79.9,55,91,60.4,7,5.8,6.1,+1.2,51,47,50,15,94,Lucas Vázquez,DF
2018-2019,27,Real Madrid,es ESP,1. La Liga,3rd,16.8,774,967,80.0,11111,2746,496,551,90.0,206,249,82.7,51,99,51.5,3,4.7,4.5,-1.7,30,44,35,10,69,Lucas Vázquez,DF
2019-2020,28,Real Madrid,es ESP,1. La Liga,1st,9.4,456,576,79.2,6713,1834,286,324,88.3,119,160,74.4,36,57,63.2,1,1.6,1.6,-0.6,17,15,22,9,39,Lucas Vázquez,DF
2020-2021,29,Real Madrid,es ESP,1. La Liga,2nd,20.5,1215,1448,83.9,19178,5377,686,747,91.8,370,434,85.3,107,161,66.5,5,4.1,4.4,+0.9,44,74,47,18,97,Lucas Vázquez,DF
2021-2022,30,Real Madrid,es ESP,1. La Liga,1st,20.4,1327,1537,86.3,20437,5574,753,810,93.0,437,502,87.1,91,153,59.5,0,2.5,4.1,-2.5,31,61,35,11,108,Lucas Vázquez,DF
2022-2023,31,Real Madrid,es ESP,1. La Liga,2nd,12.7,808,936,86.3,12257,2640,456,495,92.1,279,319,87.5,50,74,67.6,1,1.6,3.1,-0.6,21,28,30,6,50,Lucas Vázquez,DF
2023-2024,32,Real Madrid,es ESP,1. La Liga,1st,15.8,930,1085,85.7,13262,3330,559,605,92.4,311,353,88.1,31,73,42.5,6,3.8,3.6,+2.2,30,27,30,8,58,Lucas Vázquez,DF
2024-2025,33,Real Madrid,es ESP,1. La Liga,1st,10.8,628,722,87.0,9757,2188,326,353,92.4,254,290,87.6,32,50,64.0,2,1.8,1.5,+0.2,13,26,10,2,40,Lucas Vázquez,DF
