Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2024-2025,21,Real Madrid,es ESP,1. La Liga,1st,13.7,39,2.86,32,1,3,0,1,2,6,0.44,6,0,0,0,0,0,Jude Bellingham,MF
2018-2019,18,Real Madrid,es ESP,1. La Liga,3rd,9.7,43,4.45,27,1,5,4,5,1,6,0.62,4,0,1,0,1,0,Vinicius Júnior,FW
2019-2020,19,Real Madrid,es ESP,1. La Liga,1st,15.2,63,4.16,42,0,12,6,3,0,6,0.40,4,0,1,0,1,0,Vinicius Júnior,FW
2020-2021,20,Real Madrid,es ESP,1. La Liga,2nd,21.9,73,3.34,52,0,12,3,6,0,8,0.37,4,0,1,1,2,0,Vinicius Júnior,FW
2021-2022,21,Real Madrid,es ESP,1. La Liga,1st,29.9,188,6.29,129,1,27,9,19,3,28,0.94,18,0,5,1,3,1,Vinicius Júnior,FW
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,31.4,161,5.13,103,2,27,11,17,1,21,0.67,12,0,4,4,0,1,Vinicius Júnior,FW
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,20.7,79,3.81,43,1,19,8,6,2,10,0.48,5,0,1,3,0,1,Vinicius Júnior,FW
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,13.1,69,5.29,39,0,12,6,9,3,11,0.84,5,0,4,0,2,0,Vinicius Júnior,FW
2019-2020,18,Real Madrid,es ESP,1. La Liga,1st,11.3,29,2.56,26,1,0,0,2,0,1,0.09,1,0,0,0,0,0,Rodrygo,FW
2020-2021,19,Real Madrid,es ESP,1. La Liga,2nd,10.9,41,3.76,30,0,5,2,3,1,9,0.83,7,0,2,0,0,0,Rodrygo,FW
2021-2022,20,Real Madrid,es ESP,1. La Liga,1st,16.9,69,4.07,42,7,9,4,7,0,12,0.71,8,0,1,1,2,0,Rodrygo,FW
2022-2023,21,Real Madrid,es ESP,1. La Liga,2nd,26.4,133,5.03,78,5,25,9,15,1,21,0.79,12,0,6,0,3,0,Rodrygo,FW
2023-2024,22,Real Madrid,es ESP,1. La Liga,1st,26.4,111,4.20,71,5,22,6,5,2,14,0.53,7,0,5,1,0,1,Rodrygo,FW
2024-2025,23,Real Madrid,es ESP,1. La Liga,1st,11.6,57,4.91,39,11,3,1,2,1,6,0.52,5,0,1,0,0,0,Rodrygo,FW
2012-2013,21,Real Madrid B,es ESP,2. La Liga 2,8th,9.1,,,,,,,,,,,,,,,,,Lucas Vázquez,DF
2013-2014,22,Real Madrid B,es ESP,2. La Liga 2,20th,39.5,,,,,,,,,,,,,,,,,Lucas Vázquez,DF
2014-2015,23,Espanyol,es ESP,1. La Liga,10th,30.5,,,,,,,,,,,,,,,,,Lucas Vázquez,DF
2015-2016,24,Real Madrid,es ESP,1. La Liga,2nd,13.8,,,,,,,,,,,,,,,,,Lucas Vázquez,DF
2016-2017,25,Real Madrid,es ESP,1. La Liga,1st,15.6,,,,,,,,,,,,,,,,,Lucas Vázquez,DF
2017-2018,26,Real Madrid,es ESP,1. La Liga,3rd,18.7,109,5.84,85,3,9,3,7,2,13,0.70,10,1,0,1,1,0,Lucas Vázquez,DF
2018-2019,27,Real Madrid,es ESP,1. La Liga,3rd,16.8,54,3.22,47,1,3,2,1,0,4,0.24,4,0,0,0,0,0,Lucas Vázquez,DF
2019-2020,28,Real Madrid,es ESP,1. La Liga,1st,9.4,33,3.51,25,3,1,1,3,0,5,0.53,4,0,0,0,1,0,Lucas Vázquez,DF
2020-2021,29,Real Madrid,es ESP,1. La Liga,2nd,20.5,82,3.99,69,0,4,3,5,1,9,0.44,8,0,0,0,1,0,Lucas Vázquez,DF
2021-2022,30,Real Madrid,es ESP,1. La Liga,1st,20.4,57,2.80,47,3,2,1,3,1,2,0.10,2,0,0,0,0,0,Lucas Vázquez,DF
2022-2023,31,Real Madrid,es ESP,1. La Liga,2nd,12.7,41,3.22,32,2,2,1,3,1,2,0.16,1,0,0,0,1,0,Lucas Vázquez,DF
2023-2024,32,Real Madrid,es ESP,1. La Liga,1st,15.8,60,3.81,47,1,4,3,4,1,11,0.70,8,0,1,1,1,0,Lucas Vázquez,DF
2024-2025,33,Real Madrid,es ESP,1. La Liga,1st,10.8,24,2.23,19,2,1,1,0,1,4,0.37,4,0,0,0,0,0,Lucas Vázquez,DF
2018-2019,20,Porto,pt POR,1. Primeira Liga,2nd,28.9,40,1.39,28,4,2,4,2,0,4,0.14,0,0,0,3,1,0,Éder Militão,DF
2019-2020,21,Real Madrid,es ESP,1. La Liga,1st,11.4,6,0.53,4,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Éder Militão,DF
2020-2021,22,Real Madrid,es ESP,1. La Liga,2nd,12.6,9,0.71,9,0,0,0,0,0,2,0.16,2,0,0,0,0,0,Éder Militão,DF
2021-2022,23,Real Madrid,es ESP,1. La Liga,1st,33.7,36,1.07,26,1,0,4,3,2,5,0.15,2,0,0,1,1,1,Éder Militão,DF
2022-2023,24,Real Madrid,es ESP,1. La Liga,2nd,30.0,22,0.73,19,2,0,0,1,0,4,0.13,3,0,0,0,1,0,Éder Militão,DF
2023-2024,25,Real Madrid,es ESP,1. La Liga,1st,5.5,2,0.36,2,0,0,0,0,0,1,0.18,1,0,0,0,0,0,Éder Militão,DF
2024-2025,26,Real Madrid,es ESP,1. La Liga,1st,10.4,12,1.15,9,0,0,2,0,1,1,0.10,1,0,0,0,0,0,Éder Militão,DF
2014-2015,19,Le Havre,fr FRA,2. Ligue 2,7th,1.0,,,,,,,,,,,,,,,,,Ferland Mendy,DF
2015-2016,20,Le Havre,fr FRA,2. Ligue 2,4th,7.9,,,,,,,,,,,,,,,,,Ferland Mendy,DF
2016-2017,21,Le Havre,fr FRA,2. Ligue 2,8th,34.5,,,,,,,,,,,,,,,,,Ferland Mendy,DF
2017-2018,22,Lyon,fr FRA,1. Ligue 1,3rd,23.6,68,2.88,50,0,8,5,5,0,15,0.64,10,0,1,3,1,0,Ferland Mendy,DF
2018-2019,23,Lyon,fr FRA,1. Ligue 1,3rd,28.1,94,3.34,79,3,9,0,3,0,6,0.21,6,0,0,0,0,0,Ferland Mendy,DF
2019-2020,24,Real Madrid,es ESP,1. La Liga,1st,20.1,45,2.24,35,1,4,0,3,2,6,0.30,3,0,1,0,2,0,Ferland Mendy,DF
2020-2021,25,Real Madrid,es ESP,1. La Liga,2nd,24.5,47,1.92,41,0,2,0,4,0,1,0.04,1,0,0,0,0,0,Ferland Mendy,DF
2021-2022,26,Real Madrid,es ESP,1. La Liga,1st,19.3,60,3.11,48,3,8,0,1,0,4,0.21,3,0,0,0,1,0,Ferland Mendy,DF
2022-2023,27,Real Madrid,es ESP,1. La Liga,2nd,15.0,28,1.87,25,1,1,0,0,1,2,0.13,2,0,0,0,0,0,Ferland Mendy,DF
2023-2024,28,Real Madrid,es ESP,1. La Liga,1st,19.1,31,1.62,27,2,1,1,0,0,3,0.16,3,0,0,0,0,0,Ferland Mendy,DF
2024-2025,29,Real Madrid,es ESP,1. La Liga,1st,9.2,2,0.22,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Ferland Mendy,DF
2020-2021,20,Rayo Vallecano,es ESP,2. La Liga 2,6th,36.5,73,2.00,51,5,7,4,4,2,8,0.22,7,0,0,0,1,0,Fran Garcia,DF
2021-2022,21,Rayo Vallecano,es ESP,1. La Liga,12th,33.6,67,1.99,51,9,3,4,0,0,2,0.06,2,0,0,0,0,0,Fran Garcia,DF
2022-2023,22,Rayo Vallecano,es ESP,1. La Liga,11th,37.9,71,1.88,55,6,3,1,2,4,9,0.24,6,1,1,0,1,0,Fran Garcia,DF
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,15.5,34,2.19,32,0,2,0,0,0,4,0.26,4,0,0,0,0,0,Fran Garcia,DF
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,8.5,15,1.76,13,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Fran Garcia,DF
2007-2008,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,21.9,,,,,,,,,,,,,,,,,Luka Modrić,MF
2008-2009,22,Tottenham,eng ENG,1. Premier League,8th,30.8,,,,,,,,,,,,,,,,,Luka Modrić,MF
2009-2010,23,Tottenham,eng ENG,1. Premier League,4th,21.2,,,,,,,,,,,,,,,,,Luka Modrić,MF
2010-2011,24,Tottenham,eng ENG,1. Premier League,5th,31.0,,,,,,,,,,,,,,,,,Luka Modrić,MF
2011-2012,25,Tottenham,eng ENG,1. Premier League,4th,35.7,,,,,,,,,,,,,,,,,Luka Modrić,MF
2012-2013,26,Real Madrid,es ESP,1. La Liga,2nd,24.2,,,,,,,,,,,,,,,,,Luka Modrić,MF
2013-2014,27,Real Madrid,es ESP,1. La Liga,3rd,29.3,,,,,,,,,,,,,,,,,Luka Modrić,MF
2014-2015,28,Real Madrid,es ESP,1. La Liga,2nd,14.3,,,,,,,,,,,,,,,,,Luka Modrić,MF
2015-2016,29,Real Madrid,es ESP,1. La Liga,2nd,29.1,,,,,,,,,,,,,,,,,Luka Modrić,MF
2016-2017,30,Real Madrid,es ESP,1. La Liga,1st,21.0,,,,,,,,,,,,,,,,,Luka Modrić,MF
2017-2018,31,Real Madrid,es ESP,1. La Liga,3rd,21.9,107,4.89,86,1,13,2,3,2,14,0.64,10,1,0,2,0,1,Luka Modrić,MF
2018-2019,32,Real Madrid,es ESP,1. La Liga,3rd,29.0,127,4.38,92,13,8,7,3,4,13,0.45,7,2,1,2,0,1,Luka Modrić,MF
2019-2020,33,Real Madrid,es ESP,1. La Liga,1st,22.2,97,4.38,76,9,5,4,2,1,17,0.77,12,2,0,1,2,0,Luka Modrić,MF
2020-2021,34,Real Madrid,es ESP,1. La Liga,2nd,30.4,104,3.42,81,12,5,2,2,2,8,0.26,7,0,1,0,0,0,Luka Modrić,MF
2021-2022,35,Real Madrid,es ESP,1. La Liga,1st,22.6,84,3.72,68,9,3,3,0,1,11,0.49,8,1,0,2,0,0,Luka Modrić,MF
2022-2023,36,Real Madrid,es ESP,1. La Liga,2nd,19.4,85,4.39,75,6,2,1,1,0,9,0.46,6,2,0,0,1,0,Luka Modrić,MF
2023-2024,37,Real Madrid,es ESP,1. La Liga,1st,18.8,105,5.60,74,21,2,4,2,2,13,0.69,12,1,0,0,0,0,Luka Modrić,MF
2024-2025,38,Real Madrid,es ESP,1. La Liga,1st,9.3,53,5.67,31,20,0,2,0,0,7,0.75,5,2,0,0,0,0,Luka Modrić,MF
2012-2013,20,Leverkusen,de GER,1. Bundesliga,3rd,30.8,,,,,,,,,,,,,,,,,Dani Carvajal,DF
2013-2014,21,Real Madrid,es ESP,1. La Liga,3rd,24.9,,,,,,,,,,,,,,,,,Dani Carvajal,DF
2014-2015,22,Real Madrid,es ESP,1. La Liga,2nd,25.2,,,,,,,,,,,,,,,,,Dani Carvajal,DF
