Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2014-2015,19,Le Havre,fr FRA,2. Ligue 2,7th,1.0,,,,,,,,,,,,,,,,Ferland Mendy,DF
2015-2016,20,Le Havre,fr FRA,2. Ligue 2,4th,7.9,,,,,,,,,,,,,,,,Ferland Mendy,DF
2016-2017,21,Le Havre,fr FRA,2. Ligue 2,8th,34.5,,,,,,,0,,,,,,,,,Ferland Mendy,DF
2017-2018,22,Lyon,fr FRA,1. Ligue 1,3rd,23.6,1575,1339,230,21,0,4,58,209,0,0,0,0,1341,6,37,Ferland Mendy,DF
2018-2019,23,Lyon,fr FRA,1. Ligue 1,3rd,28.1,1974,1701,264,20,2,19,80,244,0,0,0,0,1636,9,43,Ferland Mendy,DF
2019-2020,24,Real Madrid,es ESP,1. La Liga,1st,20.1,1252,1066,186,9,0,21,66,177,0,0,0,0,1060,0,27,Ferland Mendy,DF
2020-2021,25,Real Madrid,es ESP,1. La Liga,2nd,24.5,1466,1292,171,9,0,10,35,162,0,0,0,0,1302,3,20,Ferland Mendy,DF
2021-2022,26,Real Madrid,es ESP,1. La Liga,1st,19.3,1351,1201,148,13,1,5,28,135,0,0,0,0,1226,2,22,Ferland Mendy,DF
2022-2023,27,Real Madrid,es ESP,1. La Liga,2nd,15.0,862,759,101,20,0,3,7,81,0,0,0,0,794,2,8,Ferland Mendy,DF
2023-2024,28,Real Madrid,es ESP,1. La Liga,1st,19.1,1275,1127,148,12,0,4,5,136,0,0,0,0,1201,0,8,Ferland Mendy,DF
2024-2025,29,Real Madrid,es ESP,1. La Liga,1st,9.2,560,483,75,18,0,2,1,57,0,0,0,0,522,2,8,Ferland Mendy,DF
2020-2021,20,Rayo Vallecano,es ESP,2. La Liga 2,6th,36.5,1875,1484,382,17,1,13,161,363,2,0,2,0,1304,9,48,Fran Garcia,DF
2021-2022,21,Rayo Vallecano,es ESP,1. La Liga,12th,33.6,1690,1327,360,22,1,4,128,338,0,0,0,0,1310,3,31,Fran Garcia,DF
2022-2023,22,Rayo Vallecano,es ESP,1. La Liga,11th,37.9,2071,1688,379,24,1,8,156,355,0,0,0,0,1626,4,61,Fran Garcia,DF
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,15.5,997,866,129,7,2,3,60,122,0,0,0,0,841,2,20,Fran Garcia,DF
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,8.5,564,478,85,9,0,1,22,76,0,0,0,0,489,1,11,Fran Garcia,DF
2007-2008,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,21.9,,,,,,,,,,,,,,,,Luka Modrić,MF
2008-2009,22,Tottenham,eng ENG,1. Premier League,8th,30.8,,,,,,,,,,,,,,,,Luka Modrić,MF
2009-2010,23,Tottenham,eng ENG,1. Premier League,4th,21.2,,,,,,,,,,,,,,,,Luka Modrić,MF
2010-2011,24,Tottenham,eng ENG,1. Premier League,5th,31.0,,,,,,,,,,,,,,,,Luka Modrić,MF
2011-2012,25,Tottenham,eng ENG,1. Premier League,4th,35.7,,,,,,,,,,,,,,,,Luka Modrić,MF
2012-2013,26,Real Madrid,es ESP,1. La Liga,2nd,24.2,,,,,,,,,,,,,,,,Luka Modrić,MF
