Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2020-2021,34,Real Madrid,es ESP,1. La Liga,2nd,30.4,37,23,18,16,3,13,36,36.1,23,14,2,12,48,85,14,1,Luka Modrić,MF
2021-2022,35,Real Madrid,es ESP,1. La Liga,1st,22.6,18,10,8,7,3,6,27,22.2,21,10,4,6,20,38,9,0,Luka Modrić,MF
2022-2023,36,Real Madrid,es ESP,1. La Liga,2nd,19.4,19,9,6,6,7,10,25,40.0,15,15,5,10,10,29,7,0,Luka Modrić,MF
2023-2024,37,Real Madrid,es ESP,1. La Liga,1st,18.8,22,15,10,6,6,9,25,36.0,16,13,4,9,21,43,9,0,Luka Modrić,MF
2024-2025,38,Real Madrid,es ESP,1. La Liga,1st,9.3,9,4,6,2,1,6,13,46.2,7,7,1,6,11,20,8,0,Luka Modrić,MF
2012-2013,20,Leverkusen,de GER,1. Bundesliga,3rd,30.8,,,,,,,,,,,,,,,,,Dani Carvajal,DF
2013-2014,21,Real Madrid,es ESP,1. La Liga,3rd,24.9,,,,,,,,,,,,,,,,,Dani Carvajal,DF
2014-2015,22,Real Madrid,es ESP,1. La Liga,2nd,25.2,,,,,,,,,,,,,,,,,Dani Carvajal,DF
2015-2016,23,Real Madrid,es ESP,1. La Liga,2nd,18.1,,22,,,,,,,,,,,39,,,,Dani Carvajal,DF
2016-2017,24,Real Madrid,es ESP,1. La Liga,1st,22.4,,41,,,,,,,,,,,45,,,,Dani Carvajal,DF
2017-2018,25,Real Madrid,es ESP,1. La Liga,3rd,24.7,59,40,27,22,10,22,38,57.9,16,33,15,18,38,97,42,2,Dani Carvajal,DF
2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,23.4,40,24,17,15,8,18,41,43.9,23,31,7,24,26,66,35,0,Dani Carvajal,DF
2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,30.4,65,46,33,25,7,23,42,54.8,19,43,14,29,36,101,53,0,Dani Carvajal,DF
2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,10.6,27,20,12,10,5,11,20,55.0,9,19,1,18,13,40,27,0,Dani Carvajal,DF
2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,17.2,43,28,21,15,7,15,26,57.7,11,22,8,14,20,63,38,2,Dani Carvajal,DF
2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,19.8,32,18,15,12,5,18,35,51.4,17,24,6,18,15,47,49,0,Dani Carvajal,DF
2023-2024,31,Real Madrid,es ESP,1. La Liga,1st,24.1,47,32,28,15,4,23,42,54.8,19,28,9,19,22,69,54,4,Dani Carvajal,DF
2024-2025,32,Real Madrid,es ESP,1. La Liga,1st,6.8,12,8,7,3,2,9,12,75.0,3,8,3,5,10,22,19,1,Dani Carvajal,DF
2016-2017,16,Manchester City,eng ENG,Jr. PL2 — Div. 1,2nd,16.6,,,,,,,,,,,,,,,,,Brahim Díaz,"FW,MF"
2017-2018,17,Manchester City,eng ENG,Jr. PL2 — Div. 1,6th,12.0,,,,,,,,,,,,,,,,,Brahim Díaz,"FW,MF"
2017-2018,17,Manchester City,eng ENG,1. Premier League,1st,0.6,1,0,1,0,0,0,0,,0,3,0,3,1,2,0,0,Brahim Díaz,"FW,MF"
2018-2019,18,Real Madrid,es ESP,1. La Liga,3rd,4.2,9,7,5,4,0,3,8,37.5,5,2,0,2,0,9,0,0,Brahim Díaz,"FW,MF"
2019-2020,19,Real Madrid,es ESP,1. La Liga,1st,0.7,1,0,0,1,0,0,2,0.0,2,2,0,2,0,1,0,0,Brahim Díaz,"FW,MF"
