Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2023-2024,24,Milan,it ITA,1. Serie A,2nd,27.9,760,1032,73.6,12177,3205,399,487,81.9,286,370,77.3,57,101,56.4,9,9.1,8.1,-0.1,59,65,62,17,117,Rafael Leão,FW
2024-2025,25,Milan,it ITA,1. Serie A,8th,11.5,309,402,76.9,5126,1337,159,193,82.4,121,148,81.8,23,37,62.2,4,2.7,2.7,+1.3,28,20,22,4,46,Rafael Leão,FW
2015-2016,16,Dortmund,de GER,1. Bundesliga,2nd,4.3,,,,,,,,,,,,,,,0,,,,,,,,,Christian Pulisic,"MF,FW"
2016-2017,17,Dortmund,de GER,1. Bundesliga,3rd,16.9,,,,,,,,,,,,,,,7,,,,,,,,,Christian Pulisic,"MF,FW"
2017-2018,18,Dortmund,de GER,1. Bundesliga,4th,25.6,675,903,74.8,9673,1965,391,467,83.7,214,278,77.0,34,61,55.7,5,4.9,5.3,+0.1,30,37,32,14,64,Christian Pulisic,"MF,FW"
2018-2019,19,Dortmund,de GER,1. Bundesliga,2nd,10.4,397,531,74.8,5479,1006,261,295,88.5,110,146,75.3,14,39,35.9,4,2.6,2.6,+1.4,18,17,7,1,20,Christian Pulisic,"MF,FW"
2019-2020,20,Chelsea,eng ENG,1. Premier League,4th,19.1,539,706,76.3,7046,1330,333,394,84.5,134,174,77.0,25,49,51.0,4,3.6,2.7,+0.4,30,25,25,2,73,Christian Pulisic,"MF,FW"
2020-2021,21,Chelsea,eng ENG,1. Premier League,4th,19.3,561,705,79.6,7253,1587,347,405,85.7,159,197,80.7,13,26,50.0,2,2.8,2.2,-0.8,25,34,37,3,82,Christian Pulisic,"MF,FW"
2021-2022,22,Chelsea,eng ENG,1. Premier League,3rd,14.3,362,464,78.0,4638,921,240,279,86.0,100,121,82.6,7,13,53.8,2,1.3,1.1,+0.7,15,19,6,0,38,Christian Pulisic,"MF,FW"
2022-2023,23,Chelsea,eng ENG,1. Premier League,12th,9.1,238,301,79.1,3262,556,154,177,87.0,66,84,78.6,10,18,55.6,1,0.7,0.4,+0.3,12,14,3,1,23,Christian Pulisic,"MF,FW"
