Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2022-2023,20,Schalke 04,de GER,1. Bundesliga,17th,3.0,1,0.33,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Malick Thiaw,DF
2022-2023,20,Milan,it ITA,1. Serie A,4th,15.1,15,0.99,14,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Malick Thiaw,DF
2023-2024,21,Milan,it ITA,1. Serie A,2nd,18.0,19,1.06,16,0,0,3,0,0,2,0.11,2,0,0,0,0,0,Malick Thiaw,DF
2024-2025,22,Milan,it ITA,1. Serie A,8th,11.0,10,0.91,9,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Malick Thiaw,DF
2010-2011,17,Real Madrid,es ESP,1. La Liga,2nd,0.0,,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2011-2012,18,Real Madrid,es ESP,1. La Liga,1st,0.1,,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2012-2013,19,Real Madrid B,es ESP,2. La Liga 2,8th,17.9,,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2012-2013,19,Real Madrid,es ESP,1. La Liga,2nd,4.6,,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2013-2014,20,Real Madrid,es ESP,1. La Liga,3rd,6.6,,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2014-2015,21,Juventus,it ITA,1. Serie A,1st,14.8,,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2015-2016,22,Juventus,it ITA,1. Serie A,1st,16.0,,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2016-2017,23,Real Madrid,es ESP,1. La Liga,1st,14.8,,,,,,,,,,,,,,,,,Álvaro Morata,"FW,MF"
2017-2018,24,Chelsea,eng ENG,1. Premier League,5th,22.9,83,3.63,59,2,6,8,8,0,8,0.35,7,0,0,0,1,0,Álvaro Morata,"FW,MF"
2018-2019,25,Chelsea,eng ENG,1. Premier League,3rd,10.5,29,2.77,23,0,2,1,3,0,1,0.10,1,0,0,0,0,0,Álvaro Morata,"FW,MF"
