Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2020-2021,20,Milan,it ITA,1. Serie A,2nd,6.2,9,5,3,6,0,2,2,100.0,0,8,6,2,3,12,21,0,Matteo Gabbia,DF
2021-2022,21,Milan,it ITA,1. Serie A,1st,6.0,4,3,1,3,0,0,4,0.0,4,2,2,0,8,12,12,0,Matteo Gabbia,DF
2022-2023,22,Milan,it ITA,1. Serie A,4th,6.8,17,10,12,5,0,6,8,75.0,2,8,3,5,5,22,29,0,Matteo Gabbia,DF
2023-2024,23,Villarreal,es ESP,1. La Liga,8th,5.3,10,6,4,6,0,5,8,62.5,3,5,2,3,8,18,36,1,Matteo Gabbia,DF
2023-2024,23,Milan,it ITA,1. Serie A,2nd,14.2,29,20,15,13,1,18,24,75.0,6,11,6,5,10,39,48,0,Matteo Gabbia,DF
2024-2025,24,Milan,it ITA,1. Serie A,8th,9.7,7,5,4,2,1,3,4,75.0,1,12,10,2,7,14,35,1,Matteo Gabbia,DF
2018-2019,19,Villarreal,es ESP,1. La Liga,14th,19.0,19,11,7,10,2,9,31,29.0,22,11,2,9,10,29,2,0,Samuel Chukwueze,FW
2019-2020,20,Villarreal,es ESP,1. La Liga,5th,22.8,23,14,12,6,5,13,30,43.3,17,15,1,14,10,33,14,1,Samuel Chukwueze,FW
2020-2021,21,Villarreal,es ESP,1. La Liga,7th,15.2,12,7,4,4,4,3,17,17.6,14,8,0,8,10,22,3,0,Samuel Chukwueze,FW
2021-2022,22,Villarreal,es ESP,1. La Liga,7th,14.8,13,9,6,5,2,3,6,50.0,3,7,0,7,5,18,4,0,Samuel Chukwueze,FW
2022-2023,23,Villarreal,es ESP,1. La Liga,5th,26.0,14,7,7,2,5,7,23,30.4,16,13,0,13,12,26,16,0,Samuel Chukwueze,FW
2023-2024,24,Milan,it ITA,1. Serie A,2nd,11.3,18,7,11,5,2,9,17,52.9,8,3,1,2,6,24,3,0,Samuel Chukwueze,FW
2024-2025,25,Milan,it ITA,1. Serie A,8th,8.2,10,5,4,3,3,5,15,33.3,10,3,0,3,0,10,5,0,Samuel Chukwueze,FW
2018-2019,17,Partizan,rs SRB,1. SuperLiga,3rd,11.0,,,,,,,,,,,,,,,,,Strahinja Pavlović,DF
2019-2020,18,Partizan,rs SRB,1. SuperLiga,2nd,25.6,,,,,,,,,,,,,,,,,Strahinja Pavlović,DF
2020-2021,19,Cercle Brugge,be BEL,1. First Division A,16th,10.7,25,20,21,4,0,7,15,46.7,8,15,5,10,18,43,50,0,Strahinja Pavlović,DF
2020-2021,19,Monaco,fr FRA,1. Ligue 1,3rd,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Strahinja Pavlović,DF
2021-2022,20,Monaco,fr FRA,1. Ligue 1,3rd,5.0,23,16,8,13,2,8,12,66.7,4,5,3,2,9,32,15,0,Strahinja Pavlović,DF
2021-2022,20,Basel,ch SUI,1. Super Lg,2nd,6.5,,7,,,,,,,,,,,18,,,,Strahinja Pavlović,DF
2022-2023,21,RB Salzburg,at AUT,1. Bundesliga,1st,22.5,,34,,,,,,,,,,,48,,,,Strahinja Pavlović,DF
2023-2024,22,RB Salzburg,at AUT,1. Bundesliga,2nd,25.4,,42,,,,,,,,,,,49,,,,Strahinja Pavlović,DF
2024-2025,23,Milan,it ITA,1. Serie A,8th,7.3,17,10,11,6,0,10,19,52.6,9,4,2,2,4,21,28,0,Strahinja Pavlović,DF
2014-2015,18,Chelsea,eng ENG,1. Premier League,1st,1.5,,,,,,,,,,,,,,,,,Ruben Loftus-Cheek,MF
2015-2016,19,Chelsea,eng ENG,1. Premier League,10th,4.6,,,,,,,,,,,,,,,,,Ruben Loftus-Cheek,MF
