Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2022-2023,20,Schalke 04,de GER,1. Bundesliga,17th,3,3,270,3.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,1,3,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Malick Thiaw,DF
2022-2023,20,Milan,it ITA,1. Serie A,4th,20,15,1362,15.1,0,0,0,0,0,0,5,0,0.8,0.8,0.2,1.0,6,67,2,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Malick Thiaw,DF
2023-2024,21,Milan,it ITA,1. Serie A,2nd,21,19,1619,18.0,0,1,1,0,0,0,5,1,0.6,0.6,0.1,0.7,15,70,1,0.00,0.06,0.06,0.00,0.06,0.03,0.01,0.04,0.03,0.04,Malick Thiaw,DF
2024-2025,22,Milan,it ITA,1. Serie A,8th,11,11,990,11.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,41,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,Malick Thiaw,DF
2010-2011,17,Real Madrid,es ESP,1. La Liga,2nd,1,0,3,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Álvaro Morata,"FW,MF"
2011-2012,18,Real Madrid,es ESP,1. La Liga,1st,1,0,10,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Álvaro Morata,"FW,MF"
2012-2013,19,Real Madrid B,es ESP,2. La Liga 2,8th,18,18,1615,17.9,12,4,16,12,0,0,6,0,,,,,,,,0.67,0.22,0.89,0.67,0.89,,,,,,Álvaro Morata,"FW,MF"
2012-2013,19,Real Madrid,es ESP,1. La Liga,2nd,12,5,418,4.6,2,1,3,2,0,0,3,0,,,,,,,,0.43,0.22,0.65,0.43,0.65,,,,,,Álvaro Morata,"FW,MF"
2013-2014,20,Real Madrid,es ESP,1. La Liga,3rd,23,3,594,6.6,8,0,8,8,0,0,2,0,,,,,,,,1.21,0.00,1.21,1.21,1.21,,,,,,Álvaro Morata,"FW,MF"
2014-2015,21,Juventus,it ITA,1. Serie A,1st,29,11,1333,14.8,8,5,13,8,0,0,6,1,,,,,,,,0.54,0.34,0.88,0.54,0.88,,,,,,Álvaro Morata,"FW,MF"
2015-2016,22,Juventus,it ITA,1. Serie A,1st,34,16,1441,16.0,7,7,14,6,1,1,6,1,,,,,,,,0.44,0.44,0.87,0.37,0.81,,,,,,Álvaro Morata,"FW,MF"
2016-2017,23,Real Madrid,es ESP,1. La Liga,1st,26,14,1334,14.8,15,6,21,15,0,0,8,0,,,,,,,,1.01,0.40,1.42,1.01,1.42,,,,,,Álvaro Morata,"FW,MF"
2017-2018,24,Chelsea,eng ENG,1. Premier League,5th,31,24,2061,22.9,11,6,17,11,0,0,7,0,13.0,13.0,3.1,16.0,54,46,228,0.48,0.26,0.74,0.48,0.74,0.57,0.13,0.70,0.57,0.70,Álvaro Morata,"FW,MF"
2018-2019,25,Chelsea,eng ENG,1. Premier League,3rd,16,11,941,10.5,5,0,5,5,0,0,3,0,6.1,6.1,0.2,6.4,12,13,82,0.48,0.00,0.48,0.48,0.48,0.59,0.02,0.61,0.59,0.61,Álvaro Morata,"FW,MF"
2018-2019,25,Atlético Madrid,es ESP,1. La Liga,2nd,15,13,1083,12.0,6,1,7,6,0,0,5,0,6.3,6.3,0.7,7.0,31,12,79,0.50,0.08,0.58,0.50,0.58,0.52,0.05,0.58,0.52,0.58,Álvaro Morata,"FW,MF"
2019-2020,26,Atlético Madrid,es ESP,1. La Liga,3rd,34,25,2098,23.3,12,2,14,10,2,3,6,1,16.0,13.6,4.9,18.5,49,27,139,0.51,0.09,0.60,0.43,0.51,0.69,0.21,0.89,0.59,0.79,Álvaro Morata,"FW,MF"
2020-2021,27,Juventus,it ITA,1. Serie A,4th,32,23,2014,22.4,11,9,20,10,1,1,3,1,10.7,9.9,5.1,15.0,55,56,159,0.49,0.40,0.89,0.45,0.85,0.48,0.23,0.70,0.44,0.67,Álvaro Morata,"FW,MF"
2021-2022,28,Juventus,it ITA,1. Serie A,4th,35,26,2302,25.6,9,4,13,8,1,1,5,0,8.8,8.1,6.6,14.6,65,54,154,0.35,0.16,0.51,0.31,0.47,0.35,0.26,0.60,0.32,0.57,Álvaro Morata,"FW,MF"
2022-2023,29,Atlético Madrid,es ESP,1. La Liga,3rd,36,23,1900,21.1,13,2,15,13,0,0,4,0,11.9,11.9,2.0,13.8,33,17,102,0.62,0.09,0.71,0.62,0.71,0.56,0.09,0.66,0.56,0.66,Álvaro Morata,"FW,MF"
2023-2024,30,Atlético Madrid,es ESP,1. La Liga,4th,32,21,1904,21.2,15,3,18,15,0,1,4,1,13.8,12.9,1.7,14.6,22,20,88,0.71,0.14,0.85,0.71,0.85,0.65,0.08,0.73,0.61,0.69,Álvaro Morata,"FW,MF"
2024-2025,31,Milan,it ITA,1. Serie A,8th,13,10,908,10.1,4,0,4,4,0,0,4,0,3.1,3.1,0.4,3.5,15,23,48,0.40,0.00,0.40,0.40,0.40,0.31,0.04,0.35,0.31,0.35,Álvaro Morata,"FW,MF"
2016-2017,16,Milan,it ITA,1. Serie A,6th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matteo Gabbia,DF
2017-2018,17,Milan,it ITA,1. Serie A,6th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matteo Gabbia,DF
2019-2020,19,Milan,it ITA,1. Serie A,6th,9,6,680,7.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,2,24,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matteo Gabbia,DF
2020-2021,20,Milan,it ITA,1. Serie A,2nd,8,7,557,6.2,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,2,20,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matteo Gabbia,DF
2021-2022,21,Milan,it ITA,1. Serie A,1st,8,6,537,6.0,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.1,3,22,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matteo Gabbia,DF
2022-2023,22,Milan,it ITA,1. Serie A,4th,12,6,613,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,15,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matteo Gabbia,DF
