Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2022-2023,22,Milan,it ITA,1. Serie A,4th,6.8,0,1,0,0.0,0.15,0.00,0.00,,19.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matteo Gabbia,DF
2023-2024,23,Villarreal,es ESP,1. La Liga,8th,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matteo Gabbia,DF
2023-2024,23,Milan,it ITA,1. Serie A,2nd,14.2,2,11,5,45.5,0.78,0.35,0.18,0.40,12.4,0,0,0,1.6,1.6,0.14,+0.4,+0.4,Matteo Gabbia,DF
2024-2025,24,Milan,it ITA,1. Serie A,8th,9.7,1,8,3,37.5,0.82,0.31,0.13,0.33,10.5,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matteo Gabbia,DF
2018-2019,19,Villarreal,es ESP,1. La Liga,14th,19.0,5,58,23,39.7,3.06,1.21,0.09,0.22,18.1,0,0,0,5.2,5.2,0.09,-0.2,-0.2,Samuel Chukwueze,FW
2019-2020,20,Villarreal,es ESP,1. La Liga,5th,22.8,3,48,11,22.9,2.11,0.48,0.06,0.27,18.5,0,0,0,3.4,3.4,0.07,-0.4,-0.4,Samuel Chukwueze,FW
2020-2021,21,Villarreal,es ESP,1. La Liga,7th,15.2,4,31,10,32.3,2.04,0.66,0.13,0.40,17.0,0,0,0,2.4,2.4,0.08,+1.6,+1.6,Samuel Chukwueze,FW
2021-2022,22,Villarreal,es ESP,1. La Liga,7th,14.8,3,32,7,21.9,2.16,0.47,0.09,0.43,16.3,0,0,0,4.6,4.6,0.14,-1.6,-1.6,Samuel Chukwueze,FW
2022-2023,23,Villarreal,es ESP,1. La Liga,5th,26.0,6,60,17,28.3,2.31,0.65,0.10,0.35,17.4,0,0,0,6.5,6.5,0.11,-0.5,-0.5,Samuel Chukwueze,FW
2023-2024,24,Milan,it ITA,1. Serie A,2nd,11.3,1,28,8,28.6,2.48,0.71,0.04,0.13,17.7,0,0,0,1.7,1.7,0.06,-0.7,-0.7,Samuel Chukwueze,FW
2024-2025,25,Milan,it ITA,1. Serie A,8th,8.2,1,25,6,24.0,3.06,0.73,0.04,0.17,19.8,0,0,0,1.7,1.7,0.07,-0.7,-0.7,Samuel Chukwueze,FW
2018-2019,17,Partizan,rs SRB,1. SuperLiga,3rd,11.0,0,,,,,,,,,,0,0,,,,,,Strahinja Pavlović,DF
2019-2020,18,Partizan,rs SRB,1. SuperLiga,2nd,25.6,1,,,,,,,,,,0,0,,,,,,Strahinja Pavlović,DF
2020-2021,19,Cercle Brugge,be BEL,1. First Division A,16th,10.7,1,13,8,61.5,1.21,0.75,0.08,0.13,14.1,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Strahinja Pavlović,DF
2020-2021,19,Monaco,fr FRA,1. Ligue 1,3rd,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Strahinja Pavlović,DF
2021-2022,20,Monaco,fr FRA,1. Ligue 1,3rd,5.0,0,5,1,20.0,1.00,0.20,0.00,0.00,9.9,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Strahinja Pavlović,DF
2021-2022,20,Basel,ch SUI,1. Super Lg,2nd,6.5,0,4,1,25.0,0.61,0.15,0.00,0.00,,,0,0,,,,,,Strahinja Pavlović,DF
2022-2023,21,RB Salzburg,at AUT,1. Bundesliga,1st,22.5,1,29,7,24.1,1.29,0.31,0.03,0.14,,,0,0,,,,,,Strahinja Pavlović,DF
2023-2024,22,RB Salzburg,at AUT,1. Bundesliga,2nd,25.4,3,19,5,26.3,0.75,0.20,0.16,0.60,,,0,0,,,,,,Strahinja Pavlović,DF
2024-2025,23,Milan,it ITA,1. Serie A,8th,7.3,1,4,3,75.0,0.55,0.41,0.25,0.33,9.8,0,0,0,0.9,0.9,0.22,+0.1,+0.1,Strahinja Pavlović,DF
2014-2015,18,Chelsea,eng ENG,1. Premier League,1st,1.5,0,,0,,,0.00,,,,,0,0,,,,,,Ruben Loftus-Cheek,MF
2015-2016,19,Chelsea,eng ENG,1. Premier League,10th,4.6,1,,3,,,0.66,,0.33,,,0,0,,,,,,Ruben Loftus-Cheek,MF
2016-2017,20,Chelsea,eng ENG,1. Premier League,1st,0.4,0,1,1,100.0,2.57,2.57,0.00,0.00,,,0,0,,,,,,Ruben Loftus-Cheek,MF
2017-2018,21,Crystal Palace,eng ENG,1. Premier League,11th,20.8,2,32,7,21.9,1.54,0.34,0.06,0.29,16.4,0,0,0,3.5,3.5,0.11,-1.5,-1.5,Ruben Loftus-Cheek,MF
2018-2019,22,Chelsea,eng ENG,1. Premier League,3rd,11.1,6,28,8,28.6,2.53,0.72,0.21,0.75,16.2,0,0,0,2.8,2.8,0.10,+3.2,+3.2,Ruben Loftus-Cheek,MF
2019-2020,23,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,1.0,0,,,,,,,,,,0,0,,,,,,Ruben Loftus-Cheek,MF
2019-2020,23,Chelsea,eng ENG,1. Premier League,4th,2.3,0,4,0,0.0,1.73,0.00,0.00,,9.6,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Ruben Loftus-Cheek,MF
2020-2021,24,Fulham,eng ENG,1. Premier League,18th,21.2,1,35,8,22.9,1.65,0.38,0.03,0.13,16.6,0,0,0,3.4,3.4,0.10,-2.4,-2.4,Ruben Loftus-Cheek,MF
2020-2021,24,Chelsea,eng ENG,1. Premier League,4th,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Ruben Loftus-Cheek,MF
2021-2022,25,Chelsea,eng ENG,1. Premier League,3rd,15.5,0,19,6,31.6,1.23,0.39,0.00,0.00,18.6,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Ruben Loftus-Cheek,MF
2022-2023,26,Chelsea,eng ENG,1. Premier League,12th,17.1,0,9,2,22.2,0.53,0.12,0.00,0.00,18.6,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Ruben Loftus-Cheek,MF
2023-2024,27,Milan,it ITA,1. Serie A,2nd,23.0,6,40,14,35.0,1.74,0.61,0.15,0.43,16.6,0,0,0,3.7,3.7,0.09,+2.3,+2.3,Ruben Loftus-Cheek,MF
2024-2025,28,Milan,it ITA,1. Serie A,8th,7.6,0,6,2,33.3,0.79,0.26,0.00,0.00,14.2,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Ruben Loftus-Cheek,MF
2015-2016,17,Chelsea,eng ENG,1. Premier League,10th,0.6,0,,0,,,0.00,,,,,0,0,,,,,,Tammy Abraham,FW
2016-2017,18,Bristol City,eng ENG,2. Championship,17th,37.9,23,0,40,,0.00,1.05,,0.53,,,2,2,,,,,,Tammy Abraham,FW
2017-2018,19,Swansea City,eng ENG,1. Premier League,18th,19.2,5,42,13,31.0,2.19,0.68,0.12,0.38,13.1,0,0,0,6.8,6.8,0.16,-1.8,-1.8,Tammy Abraham,FW
2018-2019,20,Chelsea,eng ENG,Jr. PL2 — Div. 1,6th,1.0,0,,,,,,,,,,0,0,,,,,,Tammy Abraham,FW
2018-2019,20,Aston Villa,eng ENG,2. Championship,5th,34.9,25,103,53,51.5,2.95,1.52,0.19,0.38,13.1,1,5,6,25.2,20.4,0.20,-0.2,-0.4,Tammy Abraham,FW
2019-2020,21,Chelsea,eng ENG,1. Premier League,4th,24.6,15,88,35,39.8,3.58,1.42,0.17,0.43,11.6,0,0,0,16.4,16.4,0.19,-1.4,-1.4,Tammy Abraham,FW
2020-2021,22,Chelsea,eng ENG,1. Premier League,4th,11.6,6,32,13,40.6,2.77,1.13,0.19,0.46,10.7,0,0,0,5.9,5.9,0.18,+0.1,+0.1,Tammy Abraham,FW
2021-2022,23,Roma,it ITA,1. Serie A,6th,34.3,17,92,35,38.0,2.68,1.02,0.15,0.40,12.9,3,3,3,20.7,18.4,0.20,-3.7,-4.4,Tammy Abraham,FW
2022-2023,24,Roma,it ITA,1. Serie A,6th,24.3,8,62,28,45.2,2.55,1.15,0.13,0.29,12.0,0,0,0,10.8,10.8,0.17,-2.8,-2.8,Tammy Abraham,FW
2023-2024,25,Roma,it ITA,1. Serie A,6th,2.7,1,4,2,50.0,1.49,0.74,0.25,0.50,11.9,0,0,0,0.6,0.6,0.15,+0.4,+0.4,Tammy Abraham,FW
2024-2025,26,Roma,it ITA,1. Serie A,10th,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Tammy Abraham,FW
2024-2025,26,Milan,it ITA,1. Serie A,8th,6.3,2,17,8,47.1,2.71,1.28,0.06,0.13,13.3,0,1,2,5.3,3.6,0.21,-3.3,-2.6,Tammy Abraham,FW
2015-2016,17,Chelsea,eng ENG,1. Premier League,10th,0.3,0,,0,,,0.00,,,,,0,0,,,,,,Fikayo Tomori,DF
