Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2023-2024,26,Milan,it ITA,1. Serie A,2nd,24.3,1784.0,74.0,512.0,953.0,325.0,26.0,1784.0,20.0,6.0,30.0,14.0,70.0,932.0,4458.0,2474.0,31.0,31.0,2.0,19.0,9.0,1135.0,66.0,Davide Calabria,"DF,FW"
2024-2025,27,Milan,it ITA,1. Serie A,8th,2.0,137.0,5.0,30.0,77.0,33.0,1.0,137.0,2.0,2.0,100.0,0.0,0.0,85.0,438.0,226.0,6.0,2.0,0.0,0.0,0.0,101.0,13.0,Davide Calabria,"DF,FW"
2023-2024,15,Milan,it ITA,1. Serie A,2nd,0.2,2,0,1,0,1,0,2,1,0,0.0,1,100.0,2,9,0,0,0,0,1,0,1,1,Francesco Camarda,"FW,MF"
2024-2025,16,Milan,it ITA,1. Serie A,8th,1.2,48,3,8,20,20,8,48,4,2,50.0,2,50.0,21,108,25,1,0,0,5,3,27,8,Francesco Camarda,"FW,MF"
2014-2015,16,Arles-Avignon,fr FRA,2. Ligue 2,20th,3.7,,,,,,,,,,,,,,,,,,,,,,,Ismaël Bennacer,MF
2016-2017,18,Arsenal,eng ENG,Jr. PL2 — Div. 1,4th,11.0,,,,,,,,,,,,,,,,,,,,,,,Ismaël Bennacer,MF
2016-2017,18,Tours,fr FRA,2. Ligue 2,16th,13.2,,,,,,,,,,,,,,,,,,,,,,,Ismaël Bennacer,MF
2017-2018,19,Empoli,it ITA,2. Serie B,1st,33.6,,,,,,,,,,,,,,,,,,,,,,,Ismaël Bennacer,MF
2018-2019,20,Empoli,it ITA,1. Serie A,18th,32.9,2347,75,524,1419,442,10,2347,85,66,77.6,19,22.4,1401,7995,3699,49,51,8,54,44,1452,57,Ismaël Bennacer,MF
2019-2020,21,Milan,it ITA,1. Serie A,6th,27.6,2061,54,420,1321,355,9,2061,92,73,79.3,19,20.7,1248,6757,3279,41,45,4,41,30,1364,32,Ismaël Bennacer,MF
2020-2021,22,Milan,it ITA,1. Serie A,2nd,14.7,1140,33,261,749,140,4,1140,36,29,80.6,7,19.4,702,3777,1719,20,23,3,21,15,798,12,Ismaël Bennacer,MF
2021-2022,23,Milan,it ITA,1. Serie A,1st,16.9,1293,44,228,838,247,12,1293,47,36,76.6,11,23.4,790,4679,2094,28,27,3,29,26,881,34,Ismaël Bennacer,MF
2022-2023,24,Milan,it ITA,1. Serie A,4th,22.3,1666,30,300,1023,369,10,1666,49,27,55.1,13,26.5,985,5133,2012,30,30,4,42,23,1097,52,Ismaël Bennacer,MF
2023-2024,25,Milan,it ITA,1. Serie A,2nd,12.8,943,20,158,556,240,15,942,30,17,56.7,10,33.3,554,2959,1211,24,21,3,17,18,687,33,Ismaël Bennacer,MF
2024-2025,26,Milan,it ITA,1. Serie A,8th,1.1,93,2,9,57,27,1,93,4,4,100.0,0,0.0,60,269,74,0,1,0,1,3,77,5,Ismaël Bennacer,MF
2017-2018,18,Anderlecht,be BEL,1. First Division A,3rd,6.8,460,12,109,196,158,7,460,20,12,60.0,8,40.0,238,1405,833,17,12,2,16,8,289,56,Alexis Saelemaekers,"DF,FW"
2018-2019,19,Anderlecht,be BEL,1. First Division A,6th,22.0,1668,35,324,801,566,28,1668,60,33,55.0,27,45.0,983,5917,2987,72,56,13,42,46,1083,166,Alexis Saelemaekers,"DF,FW"
2019-2020,20,Anderlecht,be BEL,1. First Division A,8th,12.9,691,6,84,292,330,47,691,44,23,52.3,21,47.7,405,2706,1388,38,19,16,42,30,504,146,Alexis Saelemaekers,"DF,FW"
2019-2020,20,Milan,it ITA,1. Serie A,6th,7.6,408,5,46,173,194,20,408,18,8,44.4,10,55.6,242,1107,609,21,15,10,12,6,274,78,Alexis Saelemaekers,"DF,FW"
2020-2021,21,Milan,it ITA,1. Serie A,2nd,22.4,1126,13,151,457,531,58,1126,61,37,60.7,24,39.3,619,3436,1596,43,26,10,61,20,807,169,Alexis Saelemaekers,"DF,FW"
2021-2022,22,Milan,it ITA,1. Serie A,1st,20.7,1129,14,111,511,530,68,1129,92,52,56.5,40,43.5,687,4482,2160,63,39,16,54,29,827,161,Alexis Saelemaekers,"DF,FW"
2022-2023,23,Milan,it ITA,1. Serie A,4th,15.6,836,13,105,337,407,50,836,72,31,43.1,32,44.4,503,3229,1563,52,23,15,38,21,568,143,Alexis Saelemaekers,"DF,FW"
2023-2024,24,Bologna,it ITA,1. Serie A,5th,21.0,1271,7,177,555,558,47,1271,106,40,37.7,58,54.7,818,4996,2370,65,49,17,49,25,945,180,Alexis Saelemaekers,"DF,FW"
2024-2025,25,Roma,it ITA,1. Serie A,10th,5.3,280,3,57,105,120,19,280,16,5,31.3,9,56.3,184,980,524,12,10,5,9,7,208,38,Alexis Saelemaekers,"DF,FW"
2024-2025,25,Milan,it ITA,1. Serie A,8th,1.0,81,0,9,34,38,2,81,0,0,,0,,59,356,234,7,4,1,1,0,61,13,Alexis Saelemaekers,"DF,FW"
2013-2014,15,Red Star,rs SRB,1. SuperLiga,1st,0.2,,,,,,,,,,,,,,,,,,,,,,,Luka Jović,FW
2014-2015,16,Red Star,rs SRB,1. SuperLiga,2nd,12.7,,,,,,,,,,,,,,,,,,,,,,,Luka Jović,FW
2015-2016,17,Red Star,rs SRB,1. SuperLiga,1st,7.3,,,,,,,,,,,,,,,,,,,,,,,Luka Jović,FW
2015-2016,17,Benfica,pt POR,1. Primeira Liga,1st,0.1,,,,,,,,,,,,,,,,,,,,,,,Luka Jović,FW
2016-2017,18,Benfica,pt POR,1. Primeira Liga,1st,0.1,,,,,,,,,,,,,,,,,,,,,,,Luka Jović,FW
2017-2018,19,Eint Frankfurt,de GER,1. Bundesliga,8th,10.4,349,4,12,175,167,54,349,26,11,42.3,15,57.7,191,922,329,8,6,7,21,17,287,71,Luka Jović,FW
2018-2019,20,Eint Frankfurt,de GER,1. Bundesliga,7th,24.9,931,34,65,479,400,146,930,45,25,55.6,20,44.4,494,2744,1027,34,28,23,74,45,722,164,Luka Jović,FW
2019-2020,21,Real Madrid,es ESP,1. La Liga,1st,4.8,176,1,7,96,76,16,176,9,5,55.6,4,44.4,102,381,145,4,6,0,8,4,141,27,Luka Jović,FW
