Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,Player
,,,,,,,,,,,,,,,,,,,,,,,,Noah Darvich,MF
U17 Bundesliga (2 Seasons),U17 Bundesliga (2 Seasons),U17 Bundesliga (2 Seasons),,,,23,1646,72,50.8,18.3,21,75,11,2,33,0,1.74,47,41,+6,+0.33,-1.08,,Noah Darvich,MF
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,0,,,,,0,,0,0,,1,,,,,,,,Noah Darvich,MF
2009-2010,19,Brentford,eng ENG,3. League One,9th,28,2495,89,60.3,27.7,28,,,0,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2010-2011,20,Arsenal,eng ENG,1. Premier League,4th,15,1350,90,39.5,15.0,15,,15,0,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2011-2012,21,Arsenal,eng ENG,1. Premier League,3rd,38,3420,90,100.0,38.0,38,,38,0,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2012-2013,22,Arsenal,eng ENG,1. Premier League,4th,25,2250,90,65.8,25.0,25,,25,0,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2013-2014,23,Arsenal,eng ENG,1. Premier League,4th,37,3330,90,97.4,37.0,37,,37,0,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2014-2015,24,Arsenal,eng ENG,1. Premier League,3rd,17,1498,88,43.8,16.6,17,,16,0,,17,1.59,29,21,+8,+0.48,-0.78,,,,,,Matches,Wojciech Szczęsny,GK
2015-2016,25,Roma,it ITA,1. Serie A,3rd,34,3060,90,89.5,34.0,34,,34,0,,1,2.24,75,34,+41,+1.21,+0.96,,,,,,Matches,Wojciech Szczęsny,GK
2016-2017,26,Roma,it ITA,1. Serie A,2nd,38,3420,90,100.0,38.0,38,,38,0,,0,2.29,90,38,+52,+1.37,,,,,,,Matches,Wojciech Szczęsny,GK
2017-2018,27,Juventus,it ITA,1. Serie A,1st,17,1530,90,44.7,17.0,17,,17,0,,21,2.47,31,9,+22,+1.29,-0.61,23.7,10.6,+13.1,+0.77,+0.06,Matches,Wojciech Szczęsny,GK
2018-2019,28,Juventus,it ITA,1. Serie A,1st,28,2520,90,73.7,28.0,28,90,28,0,,10,2.54,55,20,+35,+1.25,+0.75,48.1,26.6,+21.6,+0.77,+0.43,Matches,Wojciech Szczęsny,GK
2019-2020,29,Juventus,it ITA,1. Serie A,1st,29,2591,89,75.8,28.8,29,89,28,0,,7,2.10,57,33,+24,+0.83,-0.14,51.4,35.9,+15.5,+0.54,-0.62,Matches,Wojciech Szczęsny,GK
2020-2021,30,Juventus,it ITA,1. Serie A,4th,30,2677,89,78.3,29.7,30,89,29,0,,8,1.87,55,32,+23,+0.77,-1.16,56.7,30.0,+26.7,+0.90,-0.11,Matches,Wojciech Szczęsny,GK
2021-2022,31,Juventus,it ITA,1. Serie A,4th,33,2970,90,86.8,33.0,33,90,33,0,,4,1.91,50,29,+21,+0.64,+0.84,46.2,33.3,+12.9,+0.39,+0.29,Matches,Wojciech Szczęsny,GK
2022-2023,32,Juventus,it ITA,1. Serie A,7th,28,2472,88,72.3,27.5,28,88,27,0,,6,1.93,40,26,+14,+0.51,-0.34,40.4,29.1,+11.3,+0.41,+0.18,Matches,Wojciech Szczęsny,GK
2023-2024,33,Juventus,it ITA,1. Serie A,3rd,35,3150,90,92.1,35.0,35,90,35,0,,1,1.83,49,30,+19,+0.54,-0.79,50.2,28.6,+21.6,+0.62,-0.36,Matches,Wojciech Szczęsny,GK
2024-2025,34,Barcelona,es ESP,1. La Liga,3rd,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
16 Seasons,16 Seasons,5 Clubs,,4 Leagues,,432,38733,90,72.1,430.4,432,90,400,0,,85,2.08,531,272,+259,+0.90,-0.29,316.8,194.2,+122.6,+0.62,-0.03,,Wojciech Szczęsny,GK
,,,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,Wojciech Szczęsny,GK
Juventus (7 Seasons),Juventus (7 Seasons),Juventus (7 Seasons),,1 League,,200,17910,90,74.8,199.0,200,90,197,0,,57,2.06,337,179,+158,+0.79,-0.43,316.8,194.2,+122.6,+0.62,-0.03,,Wojciech Szczęsny,GK
Arsenal (5 Seasons),Arsenal (5 Seasons),Arsenal (5 Seasons),,1 League,,132,11848,90,69.3,131.6,132,,131,0,,17,1.59,29,21,+8,+0.48,-0.78,,,,,,,Wojciech Szczęsny,GK
Roma (2 Seasons),Roma (2 Seasons),Roma (2 Seasons),,1 League,,72,6480,90,94.7,72.0,72,,72,0,,1,2.27,165,72,+93,+1.29,+1.04,,,,,,,Wojciech Szczęsny,GK
Brentford (1 Season),Brentford (1 Season),Brentford (1 Season),,1 League,,28,2495,89,60.3,27.7,28,,,0,,,,,,,,,,,,,,,Wojciech Szczęsny,GK
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,0,,,,,0,,0,0,,10,,,,,,,,,,,,,Wojciech Szczęsny,GK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny,GK
Serie A (9 Seasons),Serie A (9 Seasons),Serie A (9 Seasons),,,,272,24390,90,79.2,271.0,272,90,269,0,,58,2.11,502,251,+251,+0.93,-0.24,316.8,194.2,+122.6,+0.62,-0.03,,Wojciech Szczęsny,GK
Premier League (5 Seasons),Premier League (5 Seasons),Premier League (5 Seasons),,,,132,11848,90,69.3,131.6,132,,131,0,,17,1.59,29,21,+8,+0.48,-0.78,,,,,,,Wojciech Szczęsny,GK
League One (1 Season),League One (1 Season),League One (1 Season),,,,28,2495,89,60.3,27.7,28,,,0,,,,,,,,,,,,,,,Wojciech Szczęsny,GK
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,0,,,,,0,,0,0,,10,,,,,,,,,,,,,Wojciech Szczęsny,GK
2022-2023,18,FC Andorra,es ESP,2. La Liga 2,7th,7,305,44,8.1,3.4,3,80,0,4,16,9,1.86,5,3,+2,+0.59,+0.38,3.3,2.6,+0.7,+0.20,+0.02,Matches,Álex Valle,DF
2023-2024,19,Levante,es ESP,2. La Liga 2,8th,29,2307,80,61.0,25.6,26,87,19,3,14,6,1.41,32,30,+2,+0.08,-0.04,29.5,29.4,+0.1,0.00,+0.33,Matches,Álex Valle,DF
2024-2025,20,Barcelona,es ESP,1. La Liga,3rd,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,Álex Valle,DF
2024-2025,20,Celtic,sct SCO,1. Premiership,1st,9,546,61,30.3,6.1,6,77,3,3,28,8,2.44,19,5,+14,+2.31,-0.13,,,,,,Matches,Álex Valle,DF
3 Seasons,3 Seasons,4 Clubs,,3 Leagues,,45,3158,70,28.5,35.1,35,85,22,10,19,25,1.69,56,38,+18,+0.51,-0.13,32.8,32.0,+0.8,+0.03,0.00,,Álex Valle,DF
,,,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,Álex Valle,DF
Levante (1 Season),Levante (1 Season),Levante (1 Season),,1 League,,29,2307,80,61.0,25.6,26,87,19,3,14,6,1.41,32,30,+2,+0.08,-0.04,29.5,29.4,+0.1,0.00,+0.33,,Álex Valle,DF
Celtic (1 Season),Celtic (1 Season),Celtic (1 Season),,1 League,,9,546,61,30.3,6.1,6,77,3,3,28,8,2.44,19,5,+14,+2.31,-0.13,,,,,,,Álex Valle,DF
FC Andorra (1 Season),FC Andorra (1 Season),FC Andorra (1 Season),,1 League,,7,305,44,8.1,3.4,3,80,0,4,16,9,1.86,5,3,+2,+0.59,+0.38,3.3,2.6,+0.7,+0.20,+0.02,,Álex Valle,DF
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,0,,,,,0,,0,0,,2,,,,,,,,,,,,,Álex Valle,DF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Álex Valle,DF
La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),,,,36,2612,73,34.6,29.0,29,86,19,7,15,15,1.50,37,33,+4,+0.14,-0.04,32.8,32.0,+0.8,+0.03,0.00,,Álex Valle,DF
Premiership (1 Season),Premiership (1 Season),Premiership (1 Season),,,,9,546,61,30.3,6.1,6,77,3,3,28,8,2.44,19,5,+14,+2.31,-0.13,,,,,,,Álex Valle,DF
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,0,,,,,0,,0,0,,2,,,,,,,,,,,,,Álex Valle,DF
