Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Player
La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),,,,29.0,2,0,0,34,43,2,69,38,41,0,2,0,164,31,37,45.6,,Álex Valle
Premiership (1 Season),Premiership (1 Season),Premiership (1 Season),,,,4.6,1,0,0,4,8,0,19,5,6,,,0,,,,,,Álex Valle
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,,,,,,,,,,,,,,,,,,,Álex Valle
2011-2012,20,Real Sociedad,es ESP,1. La Liga,12th,24.4,9,2,,44,,,,,,,,,,,,,Matches,Iñigo Martínez,DF
2012-2013,21,Real Sociedad,es ESP,1. La Liga,4th,34.0,9,0,,27,,,,,,,,,,,,,Matches,Iñigo Martínez,DF
2013-2014,22,Real Sociedad,es ESP,1. La Liga,7th,34.7,11,0,,34,,,,,,,,,,,,,Matches,Iñigo Martínez,DF
2014-2015,23,Real Sociedad,es ESP,1. La Liga,12th,33.6,6,0,,31,,,,,,,,,,,,,Matches,Iñigo Martínez,DF
2015-2016,24,Real Sociedad,es ESP,1. La Liga,9th,30.0,7,0,0,33,27,2,4,93,44,0,1,0,,,,,Matches,Iñigo Martínez,DF
2016-2017,25,Real Sociedad,es ESP,1. La Liga,6th,33.3,10,1,1,47,37,2,14,60,30,1,3,1,,,,,Matches,Iñigo Martínez,DF
2017-2018,26,Real Sociedad,es ESP,1. La Liga,12th,11.7,0,0,0,10,17,3,13,23,9,0,1,0,83,29,21,58.0,Matches,Iñigo Martínez,DF
2017-2018,26,Athletic Club,es ESP,1. La Liga,16th,16.0,6,0,0,20,18,0,6,30,20,0,0,0,104,40,32,55.6,Matches,Iñigo Martínez,DF
2018-2019,27,Athletic Club,es ESP,1. La Liga,8th,32.2,12,0,0,38,55,0,16,69,26,2,2,0,183,91,69,56.9,Matches,Iñigo Martínez,DF
2019-2020,28,Athletic Club,es ESP,1. La Liga,11th,33.0,10,0,0,30,36,3,19,39,30,0,1,1,210,112,54,67.5,Matches,Iñigo Martínez,DF
2020-2021,29,Athletic Club,es ESP,1. La Liga,10th,28.0,9,1,0,30,35,4,10,28,15,0,0,0,159,69,46,60.0,Matches,Iñigo Martínez,DF
2021-2022,30,Athletic Club,es ESP,1. La Liga,8th,26.0,9,2,1,33,27,2,11,39,13,0,1,0,175,69,46,60.0,Matches,Iñigo Martínez,DF
2022-2023,31,Athletic Club,es ESP,1. La Liga,8th,14.9,1,0,0,13,10,3,5,18,8,0,0,0,92,26,19,57.8,Matches,Iñigo Martínez,DF
2023-2024,32,Barcelona,es ESP,1. La Liga,2nd,14.4,5,0,0,10,11,1,3,11,7,0,0,0,69,33,27,55.0,Matches,Iñigo Martínez,DF
2024-2025,33,Barcelona,es ESP,1. La Liga,3rd,17.8,3,0,0,10,18,0,1,14,9,0,0,0,72,39,22,63.9,Matches,Iñigo Martínez,DF
14 Seasons,14 Seasons,3 Clubs,,1 League,,384.0,107,6,2,410,291,20,102,424,211,3,9,2,1147,508,336,60.2,,Iñigo Martínez,DF
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Iñigo Martínez,DF
Real Sociedad (7 Seasons),Real Sociedad (7 Seasons),Real Sociedad (7 Seasons),,1 League,,201.8,52,3,1,226,81,7,31,176,83,1,5,1,83,29,21,58.0,,Iñigo Martínez,DF
Athletic Club (6 Seasons),Athletic Club (6 Seasons),Athletic Club (6 Seasons),,1 League,,150.1,47,3,1,164,181,12,67,223,112,2,4,1,923,407,266,60.5,,Iñigo Martínez,DF
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,32.2,8,0,0,20,29,1,4,25,16,0,0,0,141,72,49,59.5,,Iñigo Martínez,DF
2015-2016,18,Vitória,pt POR,1. Primeira Liga,10th,0.2,0,0,,1,,,,,,,,,,,,,Matches,Raphinha,"FW,MF"
2016-2017,19,Vitória,pt POR,1. Primeira Liga,4th,18.8,6,0,,29,,,,,,,,,,,,,Matches,Raphinha,"FW,MF"
2017-2018,20,Vitória,pt POR,1. Primeira Liga,9th,30.9,4,0,,31,,,,,,,,,,,,,Matches,Raphinha,"FW,MF"
2018-2019,21,Sporting CP,pt POR,1. Primeira Liga,3rd,16.8,6,0,0,26,41,8,44,22,24,2,0,0,74,21,20,51.2,Matches,Raphinha,"FW,MF"
2019-2020,22,Sporting CP,pt POR,1. Primeira Liga,4th,4.0,1,0,0,8,5,4,10,1,7,0,0,0,14,1,7,12.5,Matches,Raphinha,"FW,MF"
2019-2020,22,Rennes,fr FRA,1. Ligue 1,3rd,18.8,4,0,0,19,32,3,93,17,18,0,0,0,98,14,22,38.9,Matches,Raphinha,"FW,MF"
2020-2021,23,Rennes,fr FRA,1. Ligue 1,6th,4.5,0,0,0,6,12,0,16,3,2,0,0,0,14,5,7,41.7,Matches,Raphinha,"FW,MF"
2020-2021,23,Leeds United,eng ENG,Jr. PL2 — Div. 2,1st,1.0,1,0,0,,,,,,,,,0,,,,,Matches,Raphinha,"FW,MF"
2020-2021,23,Leeds United,eng ENG,1. Premier League,9th,26.2,3,0,0,13,31,14,165,29,17,0,0,0,117,9,36,20.0,Matches,Raphinha,"FW,MF"
2021-2022,24,Leeds United,eng ENG,1. Premier League,17th,32.4,7,0,0,40,47,14,162,29,29,1,1,0,166,22,31,41.5,Matches,Raphinha,"FW,MF"
2022-2023,25,Barcelona,es ESP,1. La Liga,1st,23.0,9,0,0,22,37,15,172,14,19,0,0,0,98,14,9,60.9,Matches,Raphinha,"FW,MF"
2023-2024,26,Barcelona,es ESP,1. La Liga,2nd,15.2,4,1,0,17,25,7,82,13,8,1,0,0,74,9,5,64.3,Matches,Raphinha,"FW,MF"
2024-2025,27,Barcelona,es ESP,1. La Liga,3rd,17.6,1,0,0,4,24,6,120,5,15,2,0,0,60,2,4,33.3,Matches,Raphinha,"FW,MF"
10 Seasons,10 Seasons,6 Clubs,,5 Leagues,,208.5,45,1,0,216,254,71,864,133,139,6,1,0,715,97,141,40.8,,Raphinha,"FW,MF"
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Raphinha,"FW,MF"
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,55.8,14,1,0,43,86,28,374,32,42,3,0,0,232,25,18,58.1,,Raphinha,"FW,MF"
Vitória (3 Seasons),Vitória (3 Seasons),Vitória (3 Seasons),,1 League,,50.0,10,0,,61,,,,,,,,,,,,,,Raphinha,"FW,MF"
Leeds United (2 Seasons),Leeds United (2 Seasons),Leeds United (2 Seasons),,1 League,,58.6,10,0,0,53,78,28,327,58,46,1,1,0,283,31,67,31.6,,Raphinha,"FW,MF"
Sporting CP (2 Seasons),Sporting CP (2 Seasons),Sporting CP (2 Seasons),,1 League,,20.8,7,0,0,34,46,12,54,23,31,2,0,0,88,22,27,44.9,,Raphinha,"FW,MF"
Rennes (2 Seasons),Rennes (2 Seasons),Rennes (2 Seasons),,1 League,,23.3,4,0,0,25,44,3,109,20,20,0,0,0,112,19,29,39.6,,Raphinha,"FW,MF"
Leeds United (1 Season),Leeds United (1 Season),Leeds United (1 Season),,1 League,,1.0,1,0,0,,,,,,,,,0,,,,,,Raphinha,"FW,MF"
Avaí (1 Season),Avaí (1 Season),Avaí (1 Season),,1 League,,,,,,,,,,,,,,,,,,,,Raphinha,"FW,MF"
,,,,,,,,,,,,,,,,,,,,,,,,Raphinha,"FW,MF"
Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),,,,70.8,17,0,0,95,46,12,54,23,31,2,0,0,88,22,27,44.9,,Raphinha,"FW,MF"
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,55.8,14,1,0,43,86,28,374,32,42,3,0,0,232,25,18,58.1,,Raphinha,"FW,MF"
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,58.6,10,0,0,53,78,28,327,58,46,1,1,0,283,31,67,31.6,,Raphinha,"FW,MF"
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,23.3,4,0,0,25,44,3,109,20,20,0,0,0,112,19,29,39.6,,Raphinha,"FW,MF"
PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),,,,1.0,1,0,0,,,,,,,,,0,,,,,,Raphinha,"FW,MF"
Série A (1 Season),Série A (1 Season),Série A (1 Season),,,,,,,,,,,,,,,,,,,,,,Raphinha,"FW,MF"
2008-2009,19,Lech Poznań,pl POL,1. Ekstraklasa,3rd,27.0,1,0,,,,,,,,,,,,,,,Matches,Robert Lewandowski,FW
2009-2010,20,Lech Poznań,pl POL,1. Ekstraklasa,1st,27.9,6,0,,,,,,,,,,,,,,,Matches,Robert Lewandowski,FW
2010-2011,21,Dortmund,de GER,1. Bundesliga,1st,17.7,4,0,,35,,,,,,,,,,,,,Matches,Robert Lewandowski,FW
2011-2012,22,Dortmund,de GER,1. Bundesliga,1st,31.9,4,0,,67,,,,,,,,,,,,,Matches,Robert Lewandowski,FW
2012-2013,23,Dortmund,de GER,1. Bundesliga,2nd,28.8,2,1,,51,,,,,,,,,,,,,Matches,Robert Lewandowski,FW
2013-2014,24,Dortmund,de GER,1. Bundesliga,2nd,31.1,3,0,,66,,,,,,,,,,,,,Matches,Robert Lewandowski,FW
2014-2015,25,Bayern Munich,de GER,1. Bundesliga,1st,27.6,0,0,,31,,,,,,,,,,,,,Matches,Robert Lewandowski,FW
2015-2016,26,Bayern Munich,de GER,1. Bundesliga,1st,29.5,2,0,,36,,,,,,,,,,,,,Matches,Robert Lewandowski,FW
2016-2017,27,Bayern Munich,de GER,1. Bundesliga,1st,30.8,5,0,0,36,56,29,12,12,10,1,0,0,,,,,Matches,Robert Lewandowski,FW
2017-2018,28,Bayern Munich,de GER,1. Bundesliga,1st,24.1,1,0,0,37,37,25,15,5,3,2,0,0,51,49,61,44.5,Matches,Robert Lewandowski,FW
2018-2019,29,Bayern Munich,de GER,1. Bundesliga,1st,32.9,2,0,0,25,47,29,9,7,9,1,0,0,65,56,76,42.4,Matches,Robert Lewandowski,FW
2019-2020,30,Bayern Munich,de GER,1. Bundesliga,1st,30.7,5,0,0,32,43,17,23,7,9,1,0,0,61,59,52,53.2,Matches,Robert Lewandowski,FW
2020-2021,31,Bayern Munich,de GER,1. Bundesliga,1st,27.3,4,0,0,41,29,21,29,3,9,2,0,0,65,44,54,44.9,Matches,Robert Lewandowski,FW
2021-2022,32,Bayern Munich,de GER,1. Bundesliga,1st,32.7,2,0,0,22,37,21,26,6,3,1,0,0,72,53,58,47.7,Matches,Robert Lewandowski,FW
2022-2023,33,Barcelona,es ESP,1. La Liga,1st,31.6,4,1,1,39,46,22,19,2,11,0,0,0,58,52,45,53.6,Matches,Robert Lewandowski,FW
2023-2024,34,Barcelona,es ESP,1. La Liga,2nd,30.6,5,0,0,23,55,24,18,9,5,1,0,0,56,51,49,51.0,Matches,Robert Lewandowski,FW
2024-2025,35,Barcelona,es ESP,1. La Liga,3rd,16.4,1,0,0,14,22,11,2,1,3,0,0,0,32,17,21,44.7,Matches,Robert Lewandowski,FW
17 Seasons,17 Seasons,4 Clubs,,3 Leagues,,478.5,51,2,1,555,372,199,153,52,62,9,0,0,460,381,416,47.8,,Robert Lewandowski,FW
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Robert Lewandowski,FW
Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),,1 League,,235.6,21,0,0,260,249,142,114,40,43,8,0,0,314,261,301,46.4,,Robert Lewandowski,FW
Dortmund (4 Seasons),Dortmund (4 Seasons),Dortmund (4 Seasons),,1 League,,109.5,13,1,,219,,,,,,,,,,,,,,Robert Lewandowski,FW
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,78.6,10,1,1,76,123,57,39,12,19,1,0,0,146,120,115,51.1,,Robert Lewandowski,FW
Lech Poznań (2 Seasons),Lech Poznań (2 Seasons),Lech Poznań (2 Seasons),,1 League,,54.9,7,0,,,,,,,,,,,,,,,,Robert Lewandowski,FW
,,,,,,,,,,,,,,,,,,,,,,,,Robert Lewandowski,FW
Bundesliga (12 Seasons),Bundesliga (12 Seasons),Bundesliga (12 Seasons),,,,345.0,34,1,0,479,249,142,114,40,43,8,0,0,314,261,301,46.4,,Robert Lewandowski,FW
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,78.6,10,1,1,76,123,57,39,12,19,1,0,0,146,120,115,51.1,,Robert Lewandowski,FW
Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),,,,54.9,7,0,,,,,,,,,,,,,,,,Robert Lewandowski,FW
2017-2018,18,Bordeaux,fr FRA,1. Ligue 1,6th,17.7,1,0,0,9,6,1,1,14,19,0,0,0,106,30,34,46.9,Matches,Jules Koundé,DF
2018-2019,19,Bordeaux,fr FRA,1. Ligue 1,14th,37.0,4,0,0,25,22,0,5,50,31,0,2,0,226,116,88,56.9,Matches,Jules Koundé,DF
2019-2020,20,Sevilla,es ESP,1. La Liga,4th,25.7,6,0,0,21,11,0,16,23,12,0,1,0,108,93,47,66.4,Matches,Jules Koundé,DF
2020-2021,21,Sevilla,es ESP,1. La Liga,4th,33.1,4,0,0,20,23,3,21,40,15,0,2,0,186,102,67,60.4,Matches,Jules Koundé,DF
2021-2022,22,Sevilla,es ESP,1. La Liga,4th,30.4,2,2,0,15,28,2,18,21,17,1,0,0,199,77,49,61.1,Matches,Jules Koundé,DF
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,27.0,2,0,0,22,12,2,36,19,23,0,0,1,157,43,22,66.2,Matches,Jules Koundé,DF
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,32.2,4,0,0,22,16,2,34,25,23,0,0,0,157,71,44,61.7,Matches,Jules Koundé,DF
2024-2025,25,Barcelona,es ESP,1. La Liga,3rd,16.9,2,0,0,14,9,5,41,9,30,0,0,0,63,17,17,50.0,Matches,Jules Koundé,DF
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,219.9,25,2,0,148,127,15,172,201,170,1,5,1,1202,549,368,59.9,,Jules Koundé,DF
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Jules Koundé,DF
Sevilla (3 Seasons),Sevilla (3 Seasons),Sevilla (3 Seasons),,1 League,,89.1,12,2,0,56,62,5,55,84,44,1,3,0,493,272,163,62.5,,Jules Koundé,DF
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,76.1,8,0,0,58,37,9,111,53,76,0,0,1,377,131,83,61.2,,Jules Koundé,DF
Bordeaux (2 Seasons),Bordeaux (2 Seasons),Bordeaux (2 Seasons),,1 League,,54.7,5,0,0,34,28,1,6,64,50,0,2,0,332,146,122,54.5,,Jules Koundé,DF
,,,,,,,,,,,,,,,,,,,,,,,,Jules Koundé,DF
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,165.2,20,2,0,114,99,14,166,137,120,1,3,1,870,403,246,62.1,,Jules Koundé,DF
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,54.7,5,0,0,34,28,1,6,64,50,0,2,0,332,146,122,54.5,,Jules Koundé,DF
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,17.3,4,0,0,15,2,0,1,12,14,0,1,0,59,28,26,51.9,Matches,Pau Cubarsí,DF
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,16.5,3,0,0,13,8,0,2,9,12,0,1,0,51,36,22,62.1,Matches,Pau Cubarsí,DF
2 Seasons,2 Seasons,1 Club,,1 League,,33.8,7,0,0,28,10,0,3,21,26,0,2,0,110,64,48,57.1,,Pau Cubarsí,DF
2019-2020,16,Las Palmas,es ESP,2. La Liga 2,9th,31.4,4,0,0,18,45,2,47,20,30,0,0,0,165,20,47,29.9,Matches,Pedri,MF
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,26.8,2,0,0,17,42,0,11,33,27,1,0,0,142,5,9,35.7,Matches,Pedri,MF
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,9.8,0,0,0,1,17,0,18,5,12,0,0,0,63,4,3,57.1,Matches,Pedri,MF
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,22.0,2,0,0,8,43,4,25,13,22,0,0,0,134,3,5,37.5,Matches,Pedri,MF
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,16.4,3,0,0,11,22,1,9,14,24,0,0,0,82,3,5,37.5,Matches,Pedri,MF
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,15.8,2,0,0,7,23,1,21,12,14,0,0,0,118,1,4,20.0,Matches,Pedri,MF
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,122.2,13,0,0,62,192,8,131,97,129,1,0,0,704,36,73,33.0,,Pedri,MF
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Pedri,MF
Barcelona (5 Seasons),Barcelona (5 Seasons),Barcelona (5 Seasons),,1 League,,90.9,9,0,0,44,147,6,84,77,99,1,0,0,539,16,26,38.1,,Pedri,MF
Las Palmas (1 Season),Las Palmas (1 Season),Las Palmas (1 Season),,1 League,,31.4,4,0,0,18,45,2,47,20,30,0,0,0,165,20,47,29.9,,Pedri,MF
,,,,,,,,,,,,,,,,,,,,,,,,Pedri,MF
La Liga (5 Seasons),La Liga (5 Seasons),La Liga (5 Seasons),,,,90.9,9,0,0,44,147,6,84,77,99,1,0,0,539,16,26,38.1,,Pedri,MF
La Liga 2 (1 Season),La Liga 2 (1 Season),La Liga 2 (1 Season),,,,31.4,4,0,0,18,45,2,47,20,30,0,0,0,165,20,47,29.9,,Pedri,MF
2021-2022,17,Barcelona,es ESP,1. La Liga,2nd,2.1,0,0,0,4,4,0,6,1,1,0,0,0,13,0,2,0.0,Matches,Alejandro Balde,DF
2022-2023,18,Barcelona,es ESP,1. La Liga,1st,27.5,4,0,0,27,29,5,67,12,30,0,0,0,145,19,18,51.4,Matches,Alejandro Balde,DF
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,15.3,1,0,0,9,18,4,37,5,11,0,0,0,67,12,13,48.0,Matches,Alejandro Balde,DF
2024-2025,20,Barcelona,es ESP,1. La Liga,3rd,14.3,0,0,0,8,30,0,40,5,5,0,0,0,60,7,7,50.0,Matches,Alejandro Balde,DF
4 Seasons,4 Seasons,1 Club,,1 League,,59.2,5,0,0,48,81,9,150,23,47,0,0,0,285,38,40,48.7,,Alejandro Balde,DF
2022-2023,15,Barcelona,es ESP,1. La Liga,1st,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,Matches,Lamine Yamal,FW
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,24.5,3,0,0,23,52,4,87,19,37,2,0,0,102,2,11,15.4,Matches,Lamine Yamal,FW
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,14.2,1,0,0,12,31,8,38,9,16,2,0,0,55,0,1,0.0,Matches,Lamine Yamal,FW
3 Seasons,3 Seasons,1 Club,,1 League,,38.7,4,0,0,35,83,12,126,28,53,4,0,0,157,2,13,13.3,,Lamine Yamal,FW
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,0.2,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,,Matches,Marc Casado,MF
2024-2025,20,Barcelona,es ESP,1. La Liga,3rd,13.1,4,1,1,19,29,0,6,13,18,0,0,0,72,5,16,23.8,Matches,Marc Casado,MF
3 Seasons,3 Seasons,1 Club,,1 League,,13.3,4,1,1,19,31,0,6,14,19,0,0,0,74,5,16,23.8,,Marc Casado,MF
2021-2022,22,Galatasaray,tr TUR,1. Süper Lig,13th,6.0,1,0,0,0,1,0,0,0,0,,,0,,,,,Matches,Iñaki Peña,GK
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,0.8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,Iñaki Peña,GK
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,10.0,0,0,0,0,1,0,0,0,0,0,0,0,12,4,0,100.0,Matches,Iñaki Peña,GK
2024-2025,25,Barcelona,es ESP,1. La Liga,3rd,13.5,1,0,0,0,0,0,0,0,0,0,0,0,59,1,0,100.0,Matches,Iñaki Peña,GK
7 Seasons,7 Seasons,2 Clubs,,2 Leagues,,30.3,2,0,0,0,2,0,0,0,0,0,0,0,73,5,0,100.0,,Iñaki Peña,GK
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Iñaki Peña,GK
Barcelona (7 Seasons),Barcelona (7 Seasons),Barcelona (7 Seasons),,1 League,,24.3,1,0,0,0,1,0,0,0,0,0,0,0,73,5,0,100.0,,Iñaki Peña,GK
Galatasaray (1 Season),Galatasaray (1 Season),Galatasaray (1 Season),,1 League,,6.0,1,0,0,0,1,0,0,0,0,,,0,,,,,,Iñaki Peña,GK
,,,,,,,,,,,,,,,,,,,,,,,,Iñaki Peña,GK
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,24.3,1,0,0,0,1,0,0,0,0,0,0,0,73,5,0,100.0,,Iñaki Peña,GK
Süper Lig (1 Season),Süper Lig (1 Season),Süper Lig (1 Season),,,,6.0,1,0,0,0,1,0,0,0,0,,,0,,,,,,Iñaki Peña,GK
2014-2015,16,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.8,0,0,,,,,,,,,,,,,,,Matches,Dani Olmo,"MF,FW"
2015-2016,17,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.5,0,0,,,,,,,,,,,,,,,Matches,Dani Olmo,"MF,FW"
2016-2017,18,Dinamo Zagreb,hr CRO,1. 1. HNL,2nd,9.3,2,0,0,,0,0,0,0,0,0,0,0,,,,,Matches,Dani Olmo,"MF,FW"
2017-2018,19,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,23.3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,Matches,Dani Olmo,"MF,FW"
2018-2019,20,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,17.7,4,0,0,,,,,,,,,0,,,,,Matches,Dani Olmo,"MF,FW"
2019-2020,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,8.2,1,0,0,,,,,,,,,0,,,,,Matches,Dani Olmo,"MF,FW"
2019-2020,21,RB Leipzig,de GER,1. Bundesliga,3rd,8.3,1,0,0,10,20,0,17,4,14,0,0,0,26,14,14,50.0,Matches,Dani Olmo,"MF,FW"
2020-2021,22,RB Leipzig,de GER,1. Bundesliga,2nd,24.4,1,0,0,20,38,2,24,13,14,1,0,0,146,25,25,50.0,Matches,Dani Olmo,"MF,FW"
2021-2022,23,RB Leipzig,de GER,1. Bundesliga,4th,8.3,2,0,0,4,22,1,9,4,6,0,0,0,62,3,10,23.1,Matches,Dani Olmo,"MF,FW"
2022-2023,24,RB Leipzig,de GER,1. Bundesliga,3rd,14.2,2,0,0,17,40,1,11,6,9,0,0,0,84,8,17,32.0,Matches,Dani Olmo,"MF,FW"
2023-2024,25,RB Leipzig,de GER,1. Bundesliga,4th,16.1,0,0,0,15,17,1,21,13,18,0,0,0,75,11,19,36.7,Matches,Dani Olmo,"MF,FW"
2024-2025,26,Barcelona,es ESP,1. La Liga,3rd,6.9,0,0,0,11,8,1,10,1,7,0,0,0,25,6,3,66.7,Matches,Dani Olmo,"MF,FW"
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,138.0,14,0,0,77,145,6,92,41,68,1,0,0,418,67,88,43.2,,Dani Olmo,"MF,FW"
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Dani Olmo,"MF,FW"
Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),,1 League,,59.8,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,Dani Olmo,"MF,FW"
RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),,1 League,,71.3,6,0,0,66,137,5,82,40,61,1,0,0,393,61,85,41.8,,Dani Olmo,"MF,FW"
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,6.9,0,0,0,11,8,1,10,1,7,0,0,0,25,6,3,66.7,,Dani Olmo,"MF,FW"
,,,,,,,,,,,,,,,,,,,,,,,,Dani Olmo,"MF,FW"
1. HNL (6 Seasons),1. HNL (6 Seasons),1. HNL (6 Seasons),,,,59.8,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,Dani Olmo,"MF,FW"
Bundesliga (5 Seasons),Bundesliga (5 Seasons),Bundesliga (5 Seasons),,,,71.3,6,0,0,66,137,5,82,40,61,1,0,0,393,61,85,41.8,,Dani Olmo,"MF,FW"
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,6.9,0,0,0,11,8,1,10,1,7,0,0,0,25,6,3,66.7,,Dani Olmo,"MF,FW"
2017-2018,17,Valencia,es ESP,1. La Liga,4th,3.5,0,0,0,4,6,0,11,3,7,0,0,0,18,4,5,44.4,Matches,Ferrán Torres,"FW,MF"
2018-2019,18,Valencia,es ESP,1. La Liga,4th,9.4,5,0,0,18,10,1,34,10,8,0,0,0,50,30,20,60.0,Matches,Ferrán Torres,"FW,MF"
2019-2020,19,Valencia,es ESP,1. La Liga,9th,25.0,5,0,0,20,39,16,91,14,15,0,0,0,125,41,55,42.7,Matches,Ferrán Torres,"FW,MF"
2020-2021,20,Manchester City,eng ENG,1. Premier League,1st,14.5,1,0,0,16,17,5,33,3,5,1,0,0,41,14,20,41.2,Matches,Ferrán Torres,"FW,MF"
2021-2022,21,Manchester City,eng ENG,1. Premier League,1st,3.4,0,0,0,1,1,1,4,0,2,0,0,0,6,4,1,80.0,Matches,Ferrán Torres,"FW,MF"
2021-2022,21,Barcelona,es ESP,1. La Liga,2nd,15.7,1,0,0,9,20,16,7,6,5,0,0,0,44,12,15,44.4,Matches,Ferrán Torres,"FW,MF"
2022-2023,22,Barcelona,es ESP,1. La Liga,1st,15.5,5,1,0,17,25,8,60,3,7,0,0,0,53,11,9,55.0,Matches,Ferrán Torres,"FW,MF"
2023-2024,23,Barcelona,es ESP,1. La Liga,2nd,13.5,2,0,0,8,16,16,21,5,6,1,0,0,40,4,11,26.7,Matches,Ferrán Torres,"FW,MF"
2024-2025,24,Barcelona,es ESP,1. La Liga,3rd,5.7,0,1,0,3,3,4,12,1,3,0,0,0,12,1,4,20.0,Matches,Ferrán Torres,"FW,MF"
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,106.1,19,2,0,96,137,67,273,45,58,2,0,0,389,121,140,46.4,,Ferrán Torres,"FW,MF"
