Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Player
2021-2022,32,Bayern Munich,de GER,1. Bundesliga,1st,32.7,2,0,0,22,37,21,26,6,3,1,0,0,72,53,58,47.7,Matches,Robert Lewandowski
2022-2023,33,Barcelona,es ESP,1. La Liga,1st,31.6,4,1,1,39,46,22,19,2,11,0,0,0,58,52,45,53.6,Matches,Robert Lewandowski
2023-2024,34,Barcelona,es ESP,1. La Liga,2nd,30.6,5,0,0,23,55,24,18,9,5,1,0,0,56,51,49,51.0,Matches,Robert Lewandowski
2024-2025,35,Barcelona,es ESP,1. La Liga,1st,14.7,1,0,0,11,20,10,2,1,3,0,0,0,29,13,18,41.9,Matches,Robert Lewandowski
17 Seasons,17 Seasons,4 Clubs,,3 Leagues,,476.8,51,2,1,552,370,198,153,52,62,9,0,0,457,377,413,47.7,,Robert Lewandowski
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Robert Lewandowski
Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),,1 League,,235.6,21,0,0,260,249,142,114,40,43,8,0,0,314,261,301,46.4,,Robert Lewandowski
Dortmund (4 Seasons),Dortmund (4 Seasons),Dortmund (4 Seasons),,1 League,,109.5,13,1,,219,,,,,,,,,,,,,,Robert Lewandowski
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,76.9,10,1,1,73,121,56,39,12,19,1,0,0,143,116,112,50.9,,Robert Lewandowski
Lech Poznań (2 Seasons),Lech Poznań (2 Seasons),Lech Poznań (2 Seasons),,1 League,,54.9,7,0,,,,,,,,,,,,,,,,Robert Lewandowski
,,,,,,,,,,,,,,,,,,,,,,,,Robert Lewandowski
Bundesliga (12 Seasons),Bundesliga (12 Seasons),Bundesliga (12 Seasons),,,,345.0,34,1,0,479,249,142,114,40,43,8,0,0,314,261,301,46.4,,Robert Lewandowski
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,76.9,10,1,1,73,121,56,39,12,19,1,0,0,143,116,112,50.9,,Robert Lewandowski
Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),,,,54.9,7,0,,,,,,,,,,,,,,,,Robert Lewandowski
2017-2018,18,Bordeaux,fr FRA,1. Ligue 1,6th,17.7,1,0,0,9,6,1,1,14,19,0,0,0,106,30,34,46.9,Matches,Jules Koundé
2018-2019,19,Bordeaux,fr FRA,1. Ligue 1,14th,37.0,4,0,0,25,22,0,5,50,31,0,2,0,226,116,88,56.9,Matches,Jules Koundé
2019-2020,20,Sevilla,es ESP,1. La Liga,4th,25.7,6,0,0,21,11,0,16,23,12,0,1,0,108,93,47,66.4,Matches,Jules Koundé
2020-2021,21,Sevilla,es ESP,1. La Liga,4th,33.1,4,0,0,20,23,3,21,40,15,0,2,0,186,102,67,60.4,Matches,Jules Koundé
2021-2022,22,Sevilla,es ESP,1. La Liga,4th,30.4,2,2,0,15,28,2,18,21,17,1,0,0,199,77,49,61.1,Matches,Jules Koundé
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,27.0,2,0,0,22,12,2,36,19,23,0,0,1,157,43,22,66.2,Matches,Jules Koundé
