Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Player
Girona (4 Seasons),Girona (4 Seasons),Girona (4 Seasons),,2 Leagues,,1.5,0,2,0,0.0,1.37,0.00,0.00,,15.7,0,0,0,0.3,0.3,0.15,-0.3,-0.3,,Pau Victor Delgado,FW
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,2.2,2,8,4,50.0,3.71,1.86,0.25,0.50,16.6,0,0,0,2.0,2.0,0.24,0.0,0.0,,Pau Victor Delgado,FW
,,,,,,,,,,,,,,,,,,,,,,,,,Pau Victor Delgado,FW
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,2.2,2,8,4,50.0,3.71,1.86,0.25,0.50,16.6,0,0,0,2.0,2.0,0.24,0.0,0.0,,Pau Victor Delgado,FW
La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),,,,1.5,0,2,0,0.0,1.37,0.00,0.00,,15.7,0,0,0,0.3,0.3,0.15,-0.3,-0.3,,Pau Victor Delgado,FW
2019-2020,16,Barcelona,es ESP,1. La Liga,2nd,11.4,7,33,12,36.4,2.89,1.05,0.21,0.58,15.6,0,0,0,3.8,3.8,0.12,+3.2,+3.2,Matches,Ansu Fati,FW
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,4.8,4,14,7,50.0,2.92,1.46,0.29,0.57,15.5,0,0,0,1.8,1.8,0.13,+2.2,+2.2,Matches,Ansu Fati,FW
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,3.7,4,18,8,44.4,4.82,2.14,0.22,0.50,17.3,1,0,0,1.3,1.3,0.07,+2.7,+2.7,Matches,Ansu Fati,FW
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,15.5,7,61,18,29.5,3.94,1.16,0.11,0.39,15.0,3,0,0,9.1,9.1,0.16,-2.1,-2.1,Matches,Ansu Fati,FW
2023-2024,20,Brighton,eng ENG,1. Premier League,11th,5.8,2,26,11,42.3,4.49,1.90,0.08,0.18,14.6,0,0,0,3.4,3.4,0.13,-1.4,-1.4,Matches,Ansu Fati,FW
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,0.6,0,7,1,14.3,12.60,1.80,0.00,0.00,18.6,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches,Ansu Fati,FW
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,1.4,0,5,3,60.0,3.54,2.13,0.00,0.00,14.0,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches,Ansu Fati,FW
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,43.2,24,164,60,36.6,3.80,1.39,0.15,0.40,15.5,4,0,0,20.7,20.7,0.13,+3.3,+3.3,,Ansu Fati,FW
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Ansu Fati,FW
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,37.4,22,138,49,35.5,3.69,1.31,0.16,0.45,15.7,4,0,0,17.3,17.3,0.13,+4.7,+4.7,,Ansu Fati,FW
Brighton (1 Season),Brighton (1 Season),Brighton (1 Season),,1 League,,5.8,2,26,11,42.3,4.49,1.90,0.08,0.18,14.6,0,0,0,3.4,3.4,0.13,-1.4,-1.4,,Ansu Fati,FW
,,,,,,,,,,,,,,,,,,,,,,,,,Ansu Fati,FW
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,37.4,22,138,49,35.5,3.69,1.31,0.16,0.45,15.7,4,0,0,17.3,17.3,0.13,+4.7,+4.7,,Ansu Fati,FW
Premier League (1 Season),Premier League (1 Season),Premier League (1 Season),,,,5.8,2,26,11,42.3,4.49,1.90,0.08,0.18,14.6,0,0,0,3.4,3.4,0.13,-1.4,-1.4,,Ansu Fati,FW
2014-2015,18,Chelsea,eng ENG,1. Premier League,1st,0.1,0,,0,,,0.00,,,,,0,0,,,,,,Matches,Andreas Christensen,DF
2015-2016,19,Gladbach,de GER,1. Bundesliga,4th,31.0,3,,5,,,0.16,,0.60,,,0,0,,,,,,Matches,Andreas Christensen,DF
2016-2017,20,Gladbach,de GER,1. Bundesliga,9th,30.9,2,13,3,23.1,0.42,0.10,0.15,0.67,,,0,0,,,,,,Matches,Andreas Christensen,DF
2017-2018,21,Chelsea,eng ENG,1. Premier League,5th,23.2,0,12,1,8.3,0.52,0.04,0.00,0.00,10.9,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches,Andreas Christensen,DF
2018-2019,22,Chelsea,eng ENG,1. Premier League,3rd,6.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Andreas Christensen,DF
2019-2020,23,Chelsea,eng ENG,1. Premier League,4th,19.5,0,7,2,28.6,0.36,0.10,0.00,0.00,12.7,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,Andreas Christensen,DF
2020-2021,24,Chelsea,eng ENG,1. Premier League,4th,15.2,0,3,0,0.0,0.20,0.00,0.00,,12.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Andreas Christensen,DF
2021-2022,25,Chelsea,eng ENG,1. Premier League,3rd,16.6,0,5,0,0.0,0.30,0.00,0.00,,19.7,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches,Andreas Christensen,DF
2022-2023,26,Barcelona,es ESP,1. La Liga,1st,19.6,1,10,5,50.0,0.51,0.26,0.10,0.20,12.2,0,0,0,1.0,1.0,0.10,0.0,0.0,Matches,Andreas Christensen,DF
2023-2024,27,Barcelona,es ESP,1. La Liga,2nd,22.0,2,12,4,33.3,0.55,0.18,0.17,0.50,13.0,0,0,0,1.0,1.0,0.09,+1.0,+1.0,Matches,Andreas Christensen,DF
2024-2025,28,Barcelona,es ESP,1. La Liga,3rd,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Andreas Christensen,DF
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,185.2,8,62,20,24.2,0.40,0.11,0.08,0.40,12.9,0,0,0,4.1,4.1,0.08,-1.1,-1.1,,Andreas Christensen,DF
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Andreas Christensen,DF
Chelsea (6 Seasons),Chelsea (6 Seasons),Chelsea (6 Seasons),,1 League,,81.5,0,27,3,11.1,0.33,0.04,0.00,0.00,13.2,0,0,0,2.1,2.1,0.08,-2.1,-2.1,,Andreas Christensen,DF
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,41.8,3,22,9,40.9,0.53,0.22,0.14,0.33,12.6,0,0,0,2.0,2.0,0.09,+1.0,+1.0,,Andreas Christensen,DF
Gladbach (2 Seasons),Gladbach (2 Seasons),Gladbach (2 Seasons),,1 League,,61.9,5,13,8,23.1,0.42,0.13,0.15,0.63,,,0,0,,,,,,,Andreas Christensen,DF
,,,,,,,,,,,,,,,,,,,,,,,,,Andreas Christensen,DF
Premier League (6 Seasons),Premier League (6 Seasons),Premier League (6 Seasons),,,,81.5,0,27,3,11.1,0.33,0.04,0.00,0.00,13.2,0,0,0,2.1,2.1,0.08,-2.1,-2.1,,Andreas Christensen,DF
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,41.8,3,22,9,40.9,0.53,0.22,0.14,0.33,12.6,0,0,0,2.0,2.0,0.09,+1.0,+1.0,,Andreas Christensen,DF
Bundesliga (2 Seasons),Bundesliga (2 Seasons),Bundesliga (2 Seasons),,,,61.9,5,13,8,23.1,0.42,0.13,0.15,0.63,,,0,0,,,,,,,Andreas Christensen,DF
2017,17,Boston River,uy URU,1. Uruguayan Primera División,6th,5.9,0,,,,,,,,,,0,0,,,,,,Matches,Ronald Araújo,DF
2018,18,Boston River,uy URU,1. Uruguayan Primera División,13th,17.7,0,,,,,,,,,,0,0,,,,,,Matches,Ronald Araújo,DF
2019-2020,20,Barcelona,es ESP,1. La Liga,2nd,2.6,0,1,0,0.0,0.38,0.00,0.00,,3.7,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches,Ronald Araújo,DF
2020-2021,21,Barcelona,es ESP,1. La Liga,3rd,16.8,2,12,4,33.3,0.72,0.24,0.17,0.50,11.7,0,0,0,1.8,1.8,0.15,+0.2,+0.2,Matches,Ronald Araújo,DF
2021-2022,22,Barcelona,es ESP,1. La Liga,2nd,25.2,4,18,10,55.6,0.71,0.40,0.22,0.40,12.6,0,0,0,1.5,1.5,0.09,+2.5,+2.5,Matches,Ronald Araújo,DF
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,20.0,0,18,1,5.6,0.90,0.05,0.00,0.00,13.1,0,0,0,2.1,2.1,0.12,-2.1,-2.1,Matches,Ronald Araújo,DF
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,22.2,1,23,9,39.1,1.04,0.41,0.04,0.11,12.4,0,0,0,2.1,2.1,0.09,-1.1,-1.1,Matches,Ronald Araújo,DF
8 Seasons,8 Seasons,2 Clubs,,2 Leagues,,110.5,7,72,24,33.3,0.83,0.28,0.10,0.29,12.4,0,0,0,7.7,7.7,0.11,-0.7,-0.7,,Ronald Araújo,DF
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Ronald Araújo,DF
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,86.9,7,72,24,33.3,0.83,0.28,0.10,0.29,12.4,0,0,0,7.7,7.7,0.11,-0.7,-0.7,,Ronald Araújo,DF
Boston River (2 Seasons),Boston River (2 Seasons),Boston River (2 Seasons),,1 League,,23.6,0,,,,,,,,,,0,0,,,,,,,Ronald Araújo,DF
,,,,,,,,,,,,,,,,,,,,,,,,,Ronald Araújo,DF
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,86.9,7,72,24,33.3,0.83,0.28,0.10,0.29,12.4,0,0,0,7.7,7.7,0.11,-0.7,-0.7,,Ronald Araújo,DF
Uruguayan Primera División (2 Seasons),Uruguayan Primera División (2 Seasons),Uruguayan Primera División (2 Seasons),,,,23.6,0,,,,,,,,,,0,0,,,,,,,Ronald Araújo,DF
2022-2023,18,FC Andorra,es ESP,2. La Liga 2,7th,3.4,0,2,1,50.0,0.59,0.30,0.00,0.00,17.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Álex Valle,DF
2023-2024,19,Levante,es ESP,2. La Liga 2,8th,25.6,0,17,2,11.8,0.66,0.08,0.00,0.00,21.8,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,Álex Valle,DF
2024-2025,20,Celtic,sct SCO,1. Premiership,1st,6.1,0,9,4,44.4,1.48,0.66,0.00,0.00,,,0,0,,,,,,Matches,Álex Valle,DF
3 Seasons,3 Seasons,4 Clubs,,3 Leagues,,35.1,0,28,7,25.0,0.80,0.20,0.00,0.00,21.4,0,0,0,0.7,0.7,0.04,-0.7,-0.7,,Álex Valle,DF
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Álex Valle,DF
Levante (1 Season),Levante (1 Season),Levante (1 Season),,1 League,,25.6,0,17,2,11.8,0.66,0.08,0.00,0.00,21.8,0,0,0,0.6,0.6,0.04,-0.6,-0.6,,Álex Valle,DF
Celtic (1 Season),Celtic (1 Season),Celtic (1 Season),,1 League,,6.1,0,9,4,44.4,1.48,0.66,0.00,0.00,,,0,0,,,,,,,Álex Valle,DF
FC Andorra (1 Season),FC Andorra (1 Season),FC Andorra (1 Season),,1 League,,3.4,0,2,1,50.0,0.59,0.30,0.00,0.00,17.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,,Álex Valle,DF
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,,,,,,,,,,,,,,,,,,,,Álex Valle,DF
,,,,,,,,,,,,,,,,,,,,,,,,,Álex Valle,DF
La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),,,,29.0,0,19,3,15.8,0.65,0.10,0.00,0.00,21.4,0,0,0,0.7,0.7,0.04,-0.7,-0.7,,Álex Valle,DF
Premiership (1 Season),Premiership (1 Season),Premiership (1 Season),,,,6.1,0,9,4,44.4,1.48,0.66,0.00,0.00,,,0,0,,,,,,,Álex Valle,DF
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,,,,,,,,,,,,,,,,,,,,Álex Valle,DF
