Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Player
2014-2015,25,Bayern Munich,de GER,1. Bundesliga,1st,27.6,17,,50,,,1.81,,0.32,,,1,1,,,,,,Matches,Robert Lewandowski,FW
2015-2016,26,Bayern Munich,de GER,1. Bundesliga,1st,29.5,30,,74,,,2.51,,0.38,,,2,2,,,,,,Matches,Robert Lewandowski,FW
2016-2017,27,Bayern Munich,de GER,1. Bundesliga,1st,30.8,30,143,59,41.3,4.64,1.91,0.17,0.42,,,5,5,,,,,,Matches,Robert Lewandowski,FW
2017-2018,28,Bayern Munich,de GER,1. Bundesliga,1st,24.1,29,120,48,40.0,4.97,1.99,0.19,0.48,13.9,5,6,7,27.9,22.4,0.19,+1.1,+0.6,Matches,Robert Lewandowski,FW
2018-2019,29,Bayern Munich,de GER,1. Bundesliga,1st,32.9,22,140,48,34.3,4.26,1.46,0.14,0.40,13.2,5,3,4,30.7,27.5,0.20,-8.7,-8.5,Matches,Robert Lewandowski,FW
2019-2020,30,Bayern Munich,de GER,1. Bundesliga,1st,30.7,34,133,62,46.6,4.34,2.02,0.22,0.47,13.4,2,5,5,30.7,26.8,0.20,+3.3,+2.2,Matches,Robert Lewandowski,FW
2020-2021,31,Bayern Munich,de GER,1. Bundesliga,1st,27.3,41,128,56,43.8,4.69,2.05,0.26,0.59,13.8,5,8,9,31.3,24.2,0.20,+9.7,+8.8,Matches,Robert Lewandowski,FW
2021-2022,32,Bayern Munich,de GER,1. Bundesliga,1st,32.7,35,156,75,48.1,4.77,2.29,0.19,0.40,13.6,3,5,5,33.2,29.3,0.19,+1.8,+0.7,Matches,Robert Lewandowski,FW
2022-2023,33,Barcelona,es ESP,1. La Liga,1st,31.6,23,134,56,41.8,4.24,1.77,0.17,0.41,13.8,5,0,1,24.3,23.5,0.18,-1.3,-0.5,Matches,Robert Lewandowski,FW
2023-2024,34,Barcelona,es ESP,1. La Liga,2nd,30.6,19,90,37,41.1,2.95,1.21,0.17,0.41,13.9,3,4,4,18.1,15.0,0.17,+0.9,0.0,Matches,Robert Lewandowski,FW
2024-2025,35,Barcelona,es ESP,1. La Liga,3rd,16.4,16,61,29,47.5,3.72,1.77,0.23,0.48,13.7,3,2,3,17.5,15.1,0.25,-1.5,-1.1,Matches,Robert Lewandowski,FW
17 Seasons,17 Seasons,4 Clubs,,3 Leagues,,478.5,402,1105,888,42.5,4.30,1.86,0.19,0.40,13.6,31,46,52,213.6,183.8,0.19,+5.4,+2.2,,Robert Lewandowski,FW
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Robert Lewandowski,FW
Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),,1 League,,235.6,238,820,472,42.4,4.59,2.00,0.19,0.43,13.6,20,35,38,153.7,130.2,0.19,+7.3,+3.8,,Robert Lewandowski,FW
Dortmund (4 Seasons),Dortmund (4 Seasons),Dortmund (4 Seasons),,1 League,,109.5,74,,207,,,1.89,,0.33,,,5,6,,,,,,,Robert Lewandowski,FW
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,78.6,58,285,122,42.8,3.63,1.55,0.18,0.43,13.8,11,6,8,59.9,53.6,0.19,-1.9,-1.6,,Robert Lewandowski,FW
Lech Poznań (2 Seasons),Lech Poznań (2 Seasons),Lech Poznań (2 Seasons),,1 League,,54.9,32,,87,,,1.58,,0.37,,,0,0,,,,,,,Robert Lewandowski,FW
,,,,,,,,,,,,,,,,,,,,,,,,,Robert Lewandowski,FW
Bundesliga (12 Seasons),Bundesliga (12 Seasons),Bundesliga (12 Seasons),,,,345.0,312,820,679,42.4,4.59,1.97,0.19,0.40,13.6,20,40,44,153.7,130.2,0.19,+7.3,+3.8,,Robert Lewandowski,FW
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,78.6,58,285,122,42.8,3.63,1.55,0.18,0.43,13.8,11,6,8,59.9,53.6,0.19,-1.9,-1.6,,Robert Lewandowski,FW
Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),,,,54.9,32,,87,,,1.58,,0.37,,,0,0,,,,,,,Robert Lewandowski,FW
2017-2018,18,Bordeaux,fr FRA,1. Ligue 1,6th,17.7,2,10,3,30.0,0.57,0.17,0.20,0.67,15.3,0,0,0,1.3,1.3,0.13,+0.7,+0.7,Matches,Jules Koundé,DF
2018-2019,19,Bordeaux,fr FRA,1. Ligue 1,14th,37.0,0,13,1,7.7,0.35,0.03,0.00,0.00,15.2,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches,Jules Koundé,DF
2019-2020,20,Sevilla,es ESP,1. La Liga,4th,25.7,1,23,5,21.7,0.90,0.19,0.04,0.20,11.8,0,0,0,2.2,2.2,0.10,-1.2,-1.2,Matches,Jules Koundé,DF
2020-2021,21,Sevilla,es ESP,1. La Liga,4th,33.1,2,21,6,28.6,0.64,0.18,0.10,0.33,11.5,0,0,0,2.0,2.0,0.09,0.0,0.0,Matches,Jules Koundé,DF
