Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Player
La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),,,,8,0,131,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,5,9,0.00,0.00,0.00,0.00,0.00,0.20,0.02,0.22,0.20,0.22,,Pau Victor Delgado,FW
2019-2020,16,Barcelona,es ESP,1. La Liga,2nd,24,11,1027,11.4,7,1,8,7,0,0,2,1,3.8,3.8,2.1,5.9,77,29,187,0.61,0.09,0.70,0.61,0.70,0.33,0.18,0.52,0.33,0.52,Matches,Ansu Fati,FW
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,7,6,431,4.8,4,0,4,4,0,0,1,0,1.8,1.8,1.7,3.5,32,12,60,0.84,0.00,0.84,0.84,0.84,0.37,0.36,0.73,0.37,0.73,Matches,Ansu Fati,FW
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,10,3,336,3.7,4,0,4,4,0,0,0,0,1.3,1.3,0.4,1.8,20,9,49,1.07,0.00,1.07,1.07,1.07,0.36,0.12,0.47,0.36,0.47,Matches,Ansu Fati,FW
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,36,12,1393,15.5,7,3,10,7,0,0,3,0,9.1,9.1,1.7,10.7,47,48,178,0.45,0.19,0.65,0.45,0.65,0.59,0.11,0.69,0.59,0.69,Matches,Ansu Fati,FW
2023-2024,20,Brighton,eng ENG,1. Premier League,11th,19,3,521,5.8,2,0,2,2,0,0,2,0,3.4,3.4,0.8,4.2,16,28,50,0.35,0.00,0.35,0.35,0.35,0.59,0.14,0.73,0.59,0.73,Matches,Ansu Fati,FW
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,3,0,50,0.6,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,6,4,5,0.00,0.00,0.00,0.00,0.00,1.34,0.00,1.34,1.34,1.34,Matches,Ansu Fati,FW
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,4,1,127,1.4,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,4,3,16,0.00,0.00,0.00,0.00,0.00,0.42,0.04,0.46,0.42,0.46,Matches,Ansu Fati,FW
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,103,36,3885,43.2,24,4,28,24,0,0,9,1,20.7,20.7,6.8,27.5,202,133,545,0.56,0.09,0.65,0.56,0.65,0.48,0.16,0.64,0.48,0.64,,Ansu Fati,FW
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Ansu Fati,FW
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,84,33,3364,37.4,22,4,26,22,0,0,7,1,17.3,17.3,6.0,23.3,186,105,495,0.59,0.11,0.70,0.59,0.70,0.46,0.16,0.62,0.46,0.62,,Ansu Fati,FW
Brighton (1 Season),Brighton (1 Season),Brighton (1 Season),,1 League,,19,3,521,5.8,2,0,2,2,0,0,2,0,3.4,3.4,0.8,4.2,16,28,50,0.35,0.00,0.35,0.35,0.35,0.59,0.14,0.73,0.59,0.73,,Ansu Fati,FW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ansu Fati,FW
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,84,33,3364,37.4,22,4,26,22,0,0,7,1,17.3,17.3,6.0,23.3,186,105,495,0.59,0.11,0.70,0.59,0.70,0.46,0.16,0.62,0.46,0.62,,Ansu Fati,FW
Premier League (1 Season),Premier League (1 Season),Premier League (1 Season),,,,19,3,521,5.8,2,0,2,2,0,0,2,0,3.4,3.4,0.8,4.2,16,28,50,0.35,0.00,0.35,0.35,0.35,0.59,0.14,0.73,0.59,0.73,,Ansu Fati,FW
2014-2015,18,Chelsea,eng ENG,1. Premier League,1st,1,0,13,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Andreas Christensen,DF
2015-2016,19,Gladbach,de GER,1. Bundesliga,4th,31,31,2790,31.0,3,1,4,3,0,0,1,0,,,,,,,,0.10,0.03,0.13,0.10,0.13,,,,,,Matches,Andreas Christensen,DF
2016-2017,20,Gladbach,de GER,1. Bundesliga,9th,31,31,2781,30.9,2,0,2,2,0,0,1,0,,,,,,,,0.06,0.00,0.06,0.06,0.06,,,,,,Matches,Andreas Christensen,DF
2017-2018,21,Chelsea,eng ENG,1. Premier League,5th,27,23,2086,23.2,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1.0,22,76,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,Andreas Christensen,DF
2018-2019,22,Chelsea,eng ENG,1. Premier League,3rd,8,6,617,6.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,35,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Andreas Christensen,DF
2019-2020,23,Chelsea,eng ENG,1. Premier League,4th,21,21,1751,19.5,0,0,0,0,0,0,5,0,0.5,0.5,0.9,1.4,17,75,1,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,Matches,Andreas Christensen,DF
2020-2021,24,Chelsea,eng ENG,1. Premier League,4th,17,15,1371,15.2,0,0,0,0,0,0,2,1,0.1,0.1,0.3,0.4,7,43,1,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,Andreas Christensen,DF
2021-2022,25,Chelsea,eng ENG,1. Premier League,3rd,19,17,1496,16.6,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,14,81,5,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,Andreas Christensen,DF
2022-2023,26,Barcelona,es ESP,1. La Liga,1st,23,22,1760,19.6,1,1,2,1,0,0,2,0,1.0,1.0,0.5,1.5,18,91,5,0.05,0.05,0.10,0.05,0.10,0.05,0.03,0.08,0.05,0.08,Matches,Andreas Christensen,DF
2023-2024,27,Barcelona,es ESP,1. La Liga,2nd,30,27,1979,22.0,2,2,4,2,0,0,4,0,1.0,1.0,1.1,2.2,24,117,6,0.09,0.09,0.18,0.09,0.18,0.05,0.05,0.10,0.05,0.10,Matches,Andreas Christensen,DF
2024-2025,28,Barcelona,es ESP,1. La Liga,3rd,1,0,27,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Andreas Christensen,DF
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,209,193,16671,185.2,8,4,12,8,0,0,19,1,4.1,4.1,3.1,7.3,105,518,21,0.04,0.02,0.06,0.04,0.06,0.03,0.03,0.06,0.03,0.06,,Andreas Christensen,DF
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Andreas Christensen,DF
Chelsea (6 Seasons),Chelsea (6 Seasons),Chelsea (6 Seasons),,1 League,,93,82,7334,81.5,0,0,0,0,0,0,10,1,2.1,2.1,1.5,3.6,63,310,10,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,,Andreas Christensen,DF
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,54,49,3766,41.8,3,3,6,3,0,0,7,0,2.0,2.0,1.7,3.7,42,208,11,0.07,0.07,0.14,0.07,0.14,0.05,0.04,0.09,0.05,0.09,,Andreas Christensen,DF
Gladbach (2 Seasons),Gladbach (2 Seasons),Gladbach (2 Seasons),,1 League,,62,62,5571,61.9,5,1,6,5,0,0,2,0,,,,,,,,0.08,0.02,0.10,0.08,0.10,,,,,,,Andreas Christensen,DF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andreas Christensen,DF
Premier League (6 Seasons),Premier League (6 Seasons),Premier League (6 Seasons),,,,93,82,7334,81.5,0,0,0,0,0,0,10,1,2.1,2.1,1.5,3.6,63,310,10,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,,Andreas Christensen,DF
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,54,49,3766,41.8,3,3,6,3,0,0,7,0,2.0,2.0,1.7,3.7,42,208,11,0.07,0.07,0.14,0.07,0.14,0.05,0.04,0.09,0.05,0.09,,Andreas Christensen,DF
Bundesliga (2 Seasons),Bundesliga (2 Seasons),Bundesliga (2 Seasons),,,,62,62,5571,61.9,5,1,6,5,0,0,2,0,,,,,,,,0.08,0.02,0.10,0.08,0.10,,,,,,,Andreas Christensen,DF
2017,17,Boston River,uy URU,1. Uruguayan Primera División,6th,9,5,530,5.9,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Ronald Araújo,DF
2018,18,Boston River,uy URU,1. Uruguayan Primera División,13th,18,18,1596,17.7,0,0,0,0,0,0,4,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Ronald Araújo,DF
2019-2020,20,Barcelona,es ESP,1. La Liga,2nd,6,2,238,2.6,0,0,0,0,0,0,0,1,0.2,0.2,0.0,0.2,1,5,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,Ronald Araújo,DF
2020-2021,21,Barcelona,es ESP,1. La Liga,3rd,24,16,1510,16.8,2,1,3,2,0,0,3,0,1.8,1.8,0.2,2.0,9,43,2,0.12,0.06,0.18,0.12,0.18,0.11,0.01,0.12,0.11,0.12,Matches,Ronald Araújo,DF
2021-2022,22,Barcelona,es ESP,1. La Liga,2nd,30,25,2272,25.2,4,0,4,4,0,0,6,0,1.5,1.5,1.2,2.8,30,91,14,0.16,0.00,0.16,0.16,0.16,0.06,0.05,0.11,0.06,0.11,Matches,Ronald Araújo,DF
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,22,21,1800,20.0,0,2,2,0,0,0,5,1,2.1,2.1,0.8,2.9,29,79,11,0.00,0.10,0.10,0.00,0.10,0.10,0.04,0.15,0.10,0.15,Matches,Ronald Araújo,DF
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,25,21,1997,22.2,1,2,3,1,0,0,6,0,2.1,2.1,1.4,3.5,24,101,11,0.05,0.09,0.14,0.05,0.14,0.09,0.07,0.16,0.09,0.16,Matches,Ronald Araújo,DF
2024-2025,25,Barcelona,es ESP,1. La Liga,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Ronald Araújo,DF
8 Seasons,8 Seasons,2 Clubs,,2 Leagues,,134,108,9943,110.5,7,5,12,7,0,0,26,3,7.7,7.7,3.7,11.4,93,319,38,0.06,0.05,0.11,0.06,0.11,0.09,0.04,0.13,0.09,0.13,,Ronald Araújo,DF
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Ronald Araújo,DF
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,107,85,7817,86.9,7,5,12,7,0,0,20,2,7.7,7.7,3.7,11.4,93,319,38,0.08,0.06,0.14,0.08,0.14,0.09,0.04,0.13,0.09,0.13,,Ronald Araújo,DF
Boston River (2 Seasons),Boston River (2 Seasons),Boston River (2 Seasons),,1 League,,27,23,2126,23.6,0,0,0,0,0,0,6,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Ronald Araújo,DF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ronald Araújo,DF
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,107,85,7817,86.9,7,5,12,7,0,0,20,2,7.7,7.7,3.7,11.4,93,319,38,0.08,0.06,0.14,0.08,0.14,0.09,0.04,0.13,0.09,0.13,,Ronald Araújo,DF
Uruguayan Primera División (2 Seasons),Uruguayan Primera División (2 Seasons),Uruguayan Primera División (2 Seasons),,,,27,23,2126,23.6,0,0,0,0,0,0,6,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Ronald Araújo,DF
2021-2022,14,Freiburg U17,de GER,Jr. U17 Bundesliga,7th,15,14,987,11.0,4,,,4,0,0,3,0,0.36,,,0.36,,Matches,Noah Darvich,MF
2022-2023,15,Freiburg U17,de GER,Jr. U17 Bundesliga,28th,8,7,659,7.3,5,,,4,1,1,1,0,0.68,,,0.55,,Matches,Noah Darvich,MF
,,,,,,,,,,,,,,,,,,,,,,,,Noah Darvich,MF
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,0,0,,,,,,,,,,,,,,,,Matches,Noah Darvich,MF
1 Season,1 Season,1 Club,,1 League,,0,0,,,,,,,,,,,,,,,,,Noah Darvich,MF
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Noah Darvich,MF
Freiburg U17 (2 Seasons),Freiburg U17 (2 Seasons),Freiburg U17 (2 Seasons),,1 League,,23,21,1646,18.3,9,,,8,1,1,4,0,0.49,,,0.44,,,Noah Darvich,MF
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,Noah Darvich,MF
,,,,,,,,,,,,,,,,,,,,,,,,Noah Darvich,MF
U17 Bundesliga (2 Seasons),U17 Bundesliga (2 Seasons),U17 Bundesliga (2 Seasons),,,,23,21,1646,18.3,9,,,8,1,1,4,0,0.49,,,0.44,,,Noah Darvich,MF
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,0,0,,,,,,,,,,,,,,,,,Noah Darvich,MF
2009-2010,19,Brentford,eng ENG,3. League One,9th,28,28,2495,27.7,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Wojciech Szczęsny,GK
2010-2011,20,Arsenal,eng ENG,1. Premier League,4th,15,15,1350,15.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Wojciech Szczęsny,GK
2011-2012,21,Arsenal,eng ENG,1. Premier League,3rd,38,38,3420,38.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Wojciech Szczęsny,GK
2012-2013,22,Arsenal,eng ENG,1. Premier League,4th,25,25,2250,25.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Wojciech Szczęsny,GK
2013-2014,23,Arsenal,eng ENG,1. Premier League,4th,37,37,3330,37.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Wojciech Szczęsny,GK
2014-2015,24,Arsenal,eng ENG,1. Premier League,3rd,17,17,1498,16.6,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Wojciech Szczęsny,GK
2015-2016,25,Roma,it ITA,1. Serie A,3rd,34,34,3060,34.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Wojciech Szczęsny,GK
2016-2017,26,Roma,it ITA,1. Serie A,2nd,38,38,3420,38.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Wojciech Szczęsny,GK
2017-2018,27,Juventus,it ITA,1. Serie A,1st,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Wojciech Szczęsny,GK
2018-2019,28,Juventus,it ITA,1. Serie A,1st,28,28,2520,28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Wojciech Szczęsny,GK
2019-2020,29,Juventus,it ITA,1. Serie A,1st,29,29,2591,28.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Wojciech Szczęsny,GK
2020-2021,30,Juventus,it ITA,1. Serie A,4th,30,30,2677,29.7,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches,Wojciech Szczęsny,GK
2021-2022,31,Juventus,it ITA,1. Serie A,4th,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Wojciech Szczęsny,GK
2022-2023,32,Juventus,it ITA,1. Serie A,7th,28,28,2472,27.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Wojciech Szczęsny,GK
2023-2024,33,Juventus,it ITA,1. Serie A,3rd,35,35,3150,35.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Wojciech Szczęsny,GK
2024-2025,34,Barcelona,es ESP,1. La Liga,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
16 Seasons,16 Seasons,5 Clubs,,4 Leagues,,432,432,38733,430.4,0,1,1,0,0,0,15,0,0.0,0.0,0.2,0.2,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Wojciech Szczęsny,GK
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Wojciech Szczęsny,GK
Juventus (7 Seasons),Juventus (7 Seasons),Juventus (7 Seasons),,1 League,,200,200,17910,199.0,0,1,1,0,0,0,4,0,0.0,0.0,0.2,0.2,0,1,1,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,Wojciech Szczęsny,GK
Arsenal (5 Seasons),Arsenal (5 Seasons),Arsenal (5 Seasons),,1 League,,132,132,11848,131.6,0,0,0,0,0,0,7,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Wojciech Szczęsny,GK
Roma (2 Seasons),Roma (2 Seasons),Roma (2 Seasons),,1 League,,72,72,6480,72.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Wojciech Szczęsny,GK
Brentford (1 Season),Brentford (1 Season),Brentford (1 Season),,1 League,,28,28,2495,27.7,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Wojciech Szczęsny,GK
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny,GK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny,GK
Serie A (9 Seasons),Serie A (9 Seasons),Serie A (9 Seasons),,,,272,272,24390,271.0,0,1,1,0,0,0,5,0,0.0,0.0,0.2,0.2,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Wojciech Szczęsny,GK
Premier League (5 Seasons),Premier League (5 Seasons),Premier League (5 Seasons),,,,132,132,11848,131.6,0,0,0,0,0,0,7,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Wojciech Szczęsny,GK
League One (1 Season),League One (1 Season),League One (1 Season),,,,28,28,2495,27.7,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Wojciech Szczęsny,GK
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny,GK
2022-2023,18,FC Andorra,es ESP,2. La Liga 2,7th,7,3,305,3.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,19,17,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches,Álex Valle,DF
2023-2024,19,Levante,es ESP,2. La Liga 2,8th,29,26,2307,25.6,0,0,0,0,0,0,2,0,0.6,0.6,1.8,2.4,48,108,122,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches,Álex Valle,DF
2024-2025,20,Barcelona,es ESP,1. La Liga,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Álex Valle,DF
2024-2025,20,Celtic,sct SCO,1. Premiership,1st,9,6,546,6.1,0,3,3,0,0,0,1,0,,,,,,,,0.00,0.49,0.49,0.00,0.49,,,,,,Matches,Álex Valle,DF
3 Seasons,3 Seasons,4 Clubs,,3 Leagues,,45,35,3158,35.1,0,3,3,0,0,0,3,0,0.7,0.7,1.9,2.6,52,127,139,0.00,0.09,0.09,0.00,0.09,0.02,0.06,0.09,0.02,0.09,,Álex Valle,DF
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Álex Valle,DF
Levante (1 Season),Levante (1 Season),Levante (1 Season),,1 League,,29,26,2307,25.6,0,0,0,0,0,0,2,0,0.6,0.6,1.8,2.4,48,108,122,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,,Álex Valle,DF
Celtic (1 Season),Celtic (1 Season),Celtic (1 Season),,1 League,,9,6,546,6.1,0,3,3,0,0,0,1,0,,,,,,,,0.00,0.49,0.49,0.00,0.49,,,,,,,Álex Valle,DF
FC Andorra (1 Season),FC Andorra (1 Season),FC Andorra (1 Season),,1 League,,7,3,305,3.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,19,17,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,,Álex Valle,DF
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Álex Valle,DF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Álex Valle,DF
La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),,,,36,29,2612,29.0,0,0,0,0,0,0,2,0,0.7,0.7,1.9,2.6,52,127,139,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.09,0.02,0.09,,Álex Valle,DF
Premiership (1 Season),Premiership (1 Season),Premiership (1 Season),,,,9,6,546,6.1,0,3,3,0,0,0,1,0,,,,,,,,0.00,0.49,0.49,0.00,0.49,,,,,,,Álex Valle,DF
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Álex Valle,DF
