Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Player
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,24,16,1476,16.4,4,2,6,4,0,0,3,0,3.1,3.1,4.2,7.3,41,136,81,0.24,0.12,0.37,0.24,0.37,0.19,0.25,0.44,0.19,0.44,Matches,Pedri,MF
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,19,17,1425,15.8,4,2,6,4,0,0,2,0,1.7,1.7,3.5,5.2,38,150,64,0.25,0.13,0.38,0.25,0.38,0.11,0.22,0.33,0.11,0.33,Matches,Pedri,MF
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,154,127,11000,122.2,24,15,39,24,0,0,13,0,18.4,18.1,23.9,42.0,317,855,600,0.20,0.12,0.32,0.20,0.32,0.15,0.20,0.35,0.15,0.34,,Pedri,MF
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Pedri,MF
Barcelona (5 Seasons),Barcelona (5 Seasons),Barcelona (5 Seasons),,1 League,,118,93,8177,90.9,20,9,29,20,0,0,9,0,15.7,15.4,17.4,32.8,234,706,414,0.22,0.10,0.32,0.22,0.32,0.17,0.19,0.36,0.17,0.36,,Pedri,MF
Las Palmas (1 Season),Las Palmas (1 Season),Las Palmas (1 Season),,1 League,,36,34,2823,31.4,4,6,10,4,0,0,4,0,2.7,2.7,6.5,9.2,83,149,186,0.13,0.19,0.32,0.13,0.32,0.09,0.21,0.29,0.09,0.29,,Pedri,MF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pedri,MF
La Liga (5 Seasons),La Liga (5 Seasons),La Liga (5 Seasons),,,,118,93,8177,90.9,20,9,29,20,0,0,9,0,15.7,15.4,17.4,32.8,234,706,414,0.22,0.10,0.32,0.22,0.32,0.17,0.19,0.36,0.17,0.36,,Pedri,MF
La Liga 2 (1 Season),La Liga 2 (1 Season),La Liga 2 (1 Season),,,,36,34,2823,31.4,4,6,10,4,0,0,4,0,2.7,2.7,6.5,9.2,83,149,186,0.13,0.19,0.32,0.13,0.32,0.09,0.21,0.29,0.09,0.29,,Pedri,MF
2021-2022,17,Barcelona,es ESP,1. La Liga,2nd,5,2,188,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,9,7,23,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Alejandro Balde,DF
2022-2023,18,Barcelona,es ESP,1. La Liga,1st,33,30,2471,27.5,1,6,7,1,0,0,4,0,1.9,1.9,4.9,6.8,95,79,234,0.04,0.22,0.25,0.04,0.25,0.07,0.18,0.25,0.07,0.25,Matches,Alejandro Balde,DF
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,18,15,1378,15.3,0,1,1,0,0,0,1,0,0.1,0.1,1.2,1.4,73,41,141,0.0,0.07,0.07,0.0,0.07,0.01,0.08,0.09,0.01,0.09,Matches,Alejandro Balde,DF
2024-2025,20,Barcelona,es ESP,1. La Liga,3rd,17,15,1288,14.3,0,2,2,0,0,0,0,0,0.3,0.3,1.6,1.9,58,44,122,0.0,0.14,0.14,0.0,0.14,0.02,0.11,0.13,0.02,0.13,Matches,Alejandro Balde,DF
4 Seasons,4 Seasons,1 Club,,1 League,,73,62,5325,59.2,1,9,10,1,0,0,5,0,2.4,2.4,7.7,10.1,235,171,520,0.02,0.15,0.17,0.02,0.17,0.04,0.13,0.17,0.04,0.17,,Alejandro Balde,DF
2022-2023,15,Barcelona,es ESP,1. La Liga,1st,1,0,8,0.1,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,2,2,0.0,0.0,0.0,0.0,0.0,3.94,0.0,3.94,3.94,3.94,Matches,Lamine Yamal,FW
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,37,22,2201,24.5,5,5,10,5,0,0,3,0,5.2,5.2,6.2,11.4,123,80,350,0.2,0.2,0.41,0.2,0.41,0.21,0.25,0.47,0.21,0.47,Matches,Lamine Yamal,FW
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,16,14,1274,14.2,5,9,14,5,0,0,1,0,4.8,4.8,6.7,11.5,77,77,185,0.35,0.64,0.99,0.35,0.99,0.34,0.47,0.81,0.34,0.81,Matches,Lamine Yamal,FW
3 Seasons,3 Seasons,1 Club,,1 League,,54,36,3483,38.7,10,14,24,10,0,0,4,0,10.3,10.3,12.9,23.2,200,159,537,0.26,0.36,0.62,0.26,0.62,0.27,0.33,0.6,0.27,0.6,,Lamine Yamal,FW
2022-2023,18,Barcelona,es ESP,1. La Liga,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Marc Casado,MF
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Marc Casado,MF
2024-2025,20,Barcelona,es ESP,1. La Liga,3rd,16,14,1182.0,13.1,0.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,0.9,0.9,1.3,2.2,9.0,90.0,20.0,0.0,0.23,0.23,0.0,0.23,0.07,0.1,0.17,0.07,0.17,Matches,Marc Casado,MF
