Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Player
,,,,,,,,,,,,,,,,,,,,,,,,Robert Lewandowski
Bundesliga (12 Seasons),Bundesliga (12 Seasons),Bundesliga (12 Seasons),,,,345.0,502,3.40,311,4,59,77,46,5,82,0.56,45,0,17,11,7,2,,Robert Lewandowski
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,76.9,187,2.43,132,2,14,26,13,0,29,0.38,21,0,1,5,2,0,,Robert Lewandowski
Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),,,,54.9,,,,,,,,,,,,,,,,,,Robert Lewandowski
2017-2018,18,Bordeaux,fr FRA,1. Ligue 1,6th,17.7,14,0.79,13,0,0,1,0,0,2,0.11,2,0,0,0,0,0,Matches,Jules Koundé
2018-2019,19,Bordeaux,fr FRA,1. Ligue 1,14th,37.0,28,0.76,24,1,0,3,0,0,2,0.05,1,1,0,0,0,0,Matches,Jules Koundé
2019-2020,20,Sevilla,es ESP,1. La Liga,4th,25.7,21,0.82,14,2,3,1,0,1,5,0.19,3,0,1,1,0,0,Matches,Jules Koundé
2020-2021,21,Sevilla,es ESP,1. La Liga,4th,33.1,33,1.00,29,0,1,3,0,0,5,0.15,4,0,0,1,0,0,Matches,Jules Koundé
2021-2022,22,Sevilla,es ESP,1. La Liga,4th,30.4,43,1.41,35,0,4,2,2,0,3,0.10,2,0,1,0,0,0,Matches,Jules Koundé
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,27.0,41,1.52,39,1,0,1,0,0,7,0.26,7,0,0,0,0,0,Matches,Jules Koundé
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,32.2,62,1.92,55,2,0,4,1,0,9,0.28,9,0,0,0,0,0,Matches,Jules Koundé
2024-2025,25,Barcelona,es ESP,1. La Liga,1st,14.9,23,1.54,22,0,1,0,0,0,4,0.27,4,0,0,0,0,0,Matches,Jules Koundé
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,217.9,265,1.22,231,6,9,15,3,1,37,0.17,32,1,2,2,0,0,,Jules Koundé
,,,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Jules Koundé
Sevilla (3 Seasons),Sevilla (3 Seasons),Sevilla (3 Seasons),,1 League,,89.1,97,1.09,78,2,8,6,2,1,13,0.15,9,0,2,2,0,0,,Jules Koundé
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,74.1,126,1.70,116,3,1,5,1,0,20,0.27,20,0,0,0,0,0,,Jules Koundé
Bordeaux (2 Seasons),Bordeaux (2 Seasons),Bordeaux (2 Seasons),,1 League,,54.7,42,0.77,37,1,0,4,0,0,4,0.07,3,1,0,0,0,0,,Jules Koundé
,,,,,,,,,,,,,,,,,,,,,,,,Jules Koundé
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,163.2,223,1.37,194,5,9,11,3,1,33,0.20,29,0,2,2,0,0,,Jules Koundé
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,54.7,42,0.77,37,1,0,4,0,0,4,0.07,3,1,0,0,0,0,,Jules Koundé
