Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Player
2019-2020,22,Rennes,fr FRA,1. Ligue 1,3rd,18.8,678,587,87,24,3,9,93,13,49,28,16,0,444,4,22,Matches,Raphinha,"FW,MF"
2020-2021,23,Rennes,fr FRA,1. Ligue 1,6th,4.5,139,120,18,5,2,2,16,3,10,10,0,0,89,1,4,Matches,Raphinha,"FW,MF"
2020-2021,23,Leeds United,eng ENG,Jr. PL2 — Div. 2,1st,1.0,,,,,,,,,,,,,,,,Matches,Raphinha,"FW,MF"
2020-2021,23,Leeds United,eng ENG,1. Premier League,9th,26.2,1064,904,154,43,0,9,165,17,93,45,35,1,687,6,33,Matches,Raphinha,"FW,MF"
2021-2022,24,Leeds United,eng ENG,1. Premier League,17th,32.4,1301,1111,188,46,16,20,162,63,76,52,14,0,824,2,38,Matches,Raphinha,"FW,MF"
2022-2023,25,Barcelona,es ESP,1. La Liga,1st,23.0,1266,1072,185,35,12,26,172,42,108,44,35,1,915,9,30,Matches,Raphinha,"FW,MF"
2023-2024,26,Barcelona,es ESP,1. La Liga,2nd,15.2,693,600,88,18,6,11,82,19,50,20,19,0,522,5,16,Matches,Raphinha,"FW,MF"
2024-2025,27,Barcelona,es ESP,1. La Liga,3rd,17.6,813,665,138,31,6,12,120,9,86,19,32,0,564,10,17,Matches,Raphinha,"FW,MF"
10 Seasons,10 Seasons,6 Clubs,,5 Leagues,,208.5,6599,5667,894,208,47,100,864,184,484,224,152,2,4488,38,184,,Raphinha,"FW,MF"
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Raphinha,"FW,MF"
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,55.8,2772,2337,411,84,24,49,374,70,244,83,86,1,2001,24,63,,Raphinha,"FW,MF"
Vitória (3 Seasons),Vitória (3 Seasons),Vitória (3 Seasons),,1 League,,50.0,,,,,,,,,,,,,,,,,Raphinha,"FW,MF"
Leeds United (2 Seasons),Leeds United (2 Seasons),Leeds United (2 Seasons),,1 League,,58.6,2365,2015,342,89,16,29,327,80,169,97,49,1,1511,8,71,,Raphinha,"FW,MF"
Sporting CP (2 Seasons),Sporting CP (2 Seasons),Sporting CP (2 Seasons),,1 League,,20.8,645,608,36,6,2,11,54,18,12,6,1,0,443,1,24,,Raphinha,"FW,MF"
Rennes (2 Seasons),Rennes (2 Seasons),Rennes (2 Seasons),,1 League,,23.3,817,707,105,29,5,11,109,16,59,38,16,0,533,5,26,,Raphinha,"FW,MF"
Leeds United (1 Season),Leeds United (1 Season),Leeds United (1 Season),,1 League,,1.0,,,,,,,,,,,,,,,,,Raphinha,"FW,MF"
Avaí (1 Season),Avaí (1 Season),Avaí (1 Season),,1 League,,,,,,,,,,,,,,,,,,,Raphinha,"FW,MF"
,,,,,,,,,,,,,,,,,,,,,,,Raphinha,"FW,MF"
Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),,,,70.8,645,608,36,6,2,11,54,18,12,6,1,0,443,1,24,,Raphinha,"FW,MF"
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,55.8,2772,2337,411,84,24,49,374,70,244,83,86,1,2001,24,63,,Raphinha,"FW,MF"
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,58.6,2365,2015,342,89,16,29,327,80,169,97,49,1,1511,8,71,,Raphinha,"FW,MF"
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,23.3,817,707,105,29,5,11,109,16,59,38,16,0,533,5,26,,Raphinha,"FW,MF"
PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),,,,1.0,,,,,,,,,,,,,,,,,Raphinha,"FW,MF"
Série A (1 Season),Série A (1 Season),Série A (1 Season),,,,,,,,,,,,,,,,,,,,,Raphinha,"FW,MF"
2008-2009,19,Lech Poznań,pl POL,1. Ekstraklasa,3rd,27.0,,,,,,,,,,,,,,,,Matches,Robert Lewandowski,FW
2009-2010,20,Lech Poznań,pl POL,1. Ekstraklasa,1st,27.9,,,,,,,,,,,,,,,,Matches,Robert Lewandowski,FW
2010-2011,21,Dortmund,de GER,1. Bundesliga,1st,17.7,,,,,,,,,,,,,,,,Matches,Robert Lewandowski,FW
2011-2012,22,Dortmund,de GER,1. Bundesliga,1st,31.9,,,,,,,,,,,,,,,,Matches,Robert Lewandowski,FW
2012-2013,23,Dortmund,de GER,1. Bundesliga,2nd,28.8,,,,,,,,,,,,,,,,Matches,Robert Lewandowski,FW
2013-2014,24,Dortmund,de GER,1. Bundesliga,2nd,31.1,,,,,,,,,,,,,,,,Matches,Robert Lewandowski,FW
2014-2015,25,Bayern Munich,de GER,1. Bundesliga,1st,27.6,,,,,,,,,,,,,,,,Matches,Robert Lewandowski,FW
2015-2016,26,Bayern Munich,de GER,1. Bundesliga,1st,29.5,,,,,,,,,,,,,,,,Matches,Robert Lewandowski,FW
2016-2017,27,Bayern Munich,de GER,1. Bundesliga,1st,30.8,,,,,,,12,,,,,,,,,Matches,Robert Lewandowski,FW
2017-2018,28,Bayern Munich,de GER,1. Bundesliga,1st,24.1,613,591,18,4,1,2,15,0,0,0,0,0,472,4,26,Matches,Robert Lewandowski,FW
2018-2019,29,Bayern Munich,de GER,1. Bundesliga,1st,32.9,742,719,18,0,12,5,9,0,0,0,0,0,565,5,44,Matches,Robert Lewandowski,FW
2019-2020,30,Bayern Munich,de GER,1. Bundesliga,1st,30.7,796,766,23,5,8,8,23,0,0,0,0,0,571,7,32,Matches,Robert Lewandowski,FW
2020-2021,31,Bayern Munich,de GER,1. Bundesliga,1st,27.3,694,666,24,2,2,4,29,0,0,0,0,0,516,4,26,Matches,Robert Lewandowski,FW
2021-2022,32,Bayern Munich,de GER,1. Bundesliga,1st,32.7,767,733,29,7,10,4,26,1,0,0,0,0,575,5,26,Matches,Robert Lewandowski,FW
2022-2023,33,Barcelona,es ESP,1. La Liga,1st,31.6,793,767,14,4,16,5,19,0,0,0,0,0,602,12,24,Matches,Robert Lewandowski,FW
2023-2024,34,Barcelona,es ESP,1. La Liga,2nd,30.6,592,569,16,2,9,5,18,1,0,0,0,0,416,7,23,Matches,Robert Lewandowski,FW
2024-2025,35,Barcelona,es ESP,1. La Liga,3rd,16.4,315,303,8,0,1,5,2,0,0,0,0,0,232,4,14,Matches,Robert Lewandowski,FW
17 Seasons,17 Seasons,4 Clubs,,3 Leagues,,478.5,5312,5114,150,24,59,38,153,2,0,0,0,0,3949,48,215,,Robert Lewandowski,FW
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Robert Lewandowski,FW
Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),,1 League,,235.6,3612,3475,112,18,33,23,114,1,0,0,0,0,2699,25,154,,Robert Lewandowski,FW
Dortmund (4 Seasons),Dortmund (4 Seasons),Dortmund (4 Seasons),,1 League,,109.5,,,,,,,,,,,,,,,,,Robert Lewandowski,FW
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,78.6,1700,1639,38,6,26,15,39,1,0,0,0,0,1250,23,61,,Robert Lewandowski,FW
Lech Poznań (2 Seasons),Lech Poznań (2 Seasons),Lech Poznań (2 Seasons),,1 League,,54.9,,,,,,,,,,,,,,,,,Robert Lewandowski,FW
,,,,,,,,,,,,,,,,,,,,,,,Robert Lewandowski,FW
Bundesliga (12 Seasons),Bundesliga (12 Seasons),Bundesliga (12 Seasons),,,,345.0,3612,3475,112,18,33,23,114,1,0,0,0,0,2699,25,154,,Robert Lewandowski,FW
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,78.6,1700,1639,38,6,26,15,39,1,0,0,0,0,1250,23,61,,Robert Lewandowski,FW
Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),,,,54.9,,,,,,,,,,,,,,,,,Robert Lewandowski,FW
2017-2018,18,Bordeaux,fr FRA,1. Ligue 1,6th,17.7,844,817,25,25,4,12,1,0,0,0,0,0,704,2,6,Matches,Jules Koundé,DF
2018-2019,19,Bordeaux,fr FRA,1. Ligue 1,14th,37.0,2015,1908,101,58,4,10,5,43,0,0,0,0,1614,6,20,Matches,Jules Koundé,DF
2019-2020,20,Sevilla,es ESP,1. La Liga,4th,25.7,1511,1438,70,26,0,3,16,44,0,0,0,0,1279,3,11,Matches,Jules Koundé,DF
2020-2021,21,Sevilla,es ESP,1. La Liga,4th,33.1,2395,2338,50,40,0,17,21,10,0,0,0,0,2133,7,16,Matches,Jules Koundé,DF
2021-2022,22,Sevilla,es ESP,1. La Liga,4th,30.4,2153,2061,88,56,1,31,18,32,0,0,0,0,1894,4,10,Matches,Jules Koundé,DF
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,27.0,2024,1840,180,50,4,11,36,130,0,0,0,0,1775,4,25,Matches,Jules Koundé,DF
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,32.2,2757,2482,267,61,2,29,34,198,0,0,0,0,2478,8,29,Matches,Jules Koundé,DF
2024-2025,25,Barcelona,es ESP,1. La Liga,3rd,16.9,1182,981,199,41,5,8,41,158,0,0,0,0,1013,2,15,Matches,Jules Koundé,DF
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,219.9,14881,13865,980,357,20,121,172,615,0,0,0,0,12890,36,132,,Jules Koundé,DF
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Jules Koundé,DF
Sevilla (3 Seasons),Sevilla (3 Seasons),Sevilla (3 Seasons),,1 League,,89.1,6059,5837,208,122,1,51,55,86,0,0,0,0,5306,14,37,,Jules Koundé,DF
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,76.1,5963,5303,646,152,11,48,111,486,0,0,0,0,5266,14,69,,Jules Koundé,DF
Bordeaux (2 Seasons),Bordeaux (2 Seasons),Bordeaux (2 Seasons),,1 League,,54.7,2859,2725,126,83,8,22,6,43,0,0,0,0,2318,8,26,,Jules Koundé,DF
,,,,,,,,,,,,,,,,,,,,,,,Jules Koundé,DF
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,165.2,12022,11140,854,274,12,99,166,572,0,0,0,0,10572,28,106,,Jules Koundé,DF
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,54.7,2859,2725,126,83,8,22,6,43,0,0,0,0,2318,8,26,,Jules Koundé,DF
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,17.3,1487,1441,43,32,2,11,1,3,0,0,0,0,1360,3,6,Matches,Pau Cubarsí,DF
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,16.5,1436,1385,50,40,2,4,2,2,0,0,0,0,1341,1,4,Matches,Pau Cubarsí,DF
2 Seasons,2 Seasons,1 Club,,1 League,,33.8,2923,2826,93,72,4,15,3,5,0,0,0,0,2701,4,10,,Pau Cubarsí,DF
2019-2020,16,Las Palmas,es ESP,2. La Liga 2,9th,31.4,1349,1281,63,14,11,14,47,13,22,7,8,0,1049,5,43,Matches,Pedri,MF
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,26.8,1721,1665,50,13,8,9,11,10,27,3,0,0,1498,6,30,Matches,Pedri,MF
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,9.8,606,577,25,3,5,6,18,5,17,4,9,0,513,4,18,Matches,Pedri,MF
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,22.0,1449,1384,59,22,24,24,25,11,13,1,11,0,1251,6,25,Matches,Pedri,MF
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,16.4,1189,1138,44,23,11,5,9,8,3,0,2,0,1035,7,23,Matches,Pedri,MF
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,15.8,1127,1072,53,28,12,10,21,7,11,6,1,0,986,2,21,Matches,Pedri,MF
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,122.2,7441,7117,294,103,71,68,131,54,93,21,31,0,6332,30,160,,Pedri,MF
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Pedri,MF
Barcelona (5 Seasons),Barcelona (5 Seasons),Barcelona (5 Seasons),,1 League,,90.9,6092,5836,231,89,60,54,84,41,71,14,23,0,5283,25,117,,Pedri,MF
Las Palmas (1 Season),Las Palmas (1 Season),Las Palmas (1 Season),,1 League,,31.4,1349,1281,63,14,11,14,47,13,22,7,8,0,1049,5,43,,Pedri,MF
,,,,,,,,,,,,,,,,,,,,,,,Pedri,MF
La Liga (5 Seasons),La Liga (5 Seasons),La Liga (5 Seasons),,,,90.9,6092,5836,231,89,60,54,84,41,71,14,23,0,5283,25,117,,Pedri,MF
La Liga 2 (1 Season),La Liga 2 (1 Season),La Liga 2 (1 Season),,,,31.4,1349,1281,63,14,11,14,47,13,22,7,8,0,1049,5,43,,Pedri,MF
2021-2022,17,Barcelona,es ESP,1. La Liga,2nd,2.1,150,143,7,2,0,0,6,5,0,0,0,0,138,0,2,Matches,Alejandro Balde,DF
2022-2023,18,Barcelona,es ESP,1. La Liga,1st,27.5,1670,1444,217,32,0,5,67,185,0,0,0,0,1482,9,19,Matches,Alejandro Balde,DF
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,15.3,817,694,122,12,1,3,37,110,0,0,0,0,694,1,16,Matches,Alejandro Balde,DF
2024-2025,20,Barcelona,es ESP,1. La Liga,3rd,14.3,792,677,111,23,1,2,40,88,0,0,0,0,687,4,18,Matches,Alejandro Balde,DF
4 Seasons,4 Seasons,1 Club,,1 League,,59.2,3429,2958,457,69,2,10,150,388,0,0,0,0,3001,14,55,,Alejandro Balde,DF
2022-2023,15,Barcelona,es ESP,1. La Liga,1st,0.1,9,9,0,0,1,0,1,0,0,0,0,0,8,0,0,Matches,Lamine Yamal,FW
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,24.5,1132,1091,36,4,6,6,87,14,18,6,4,1,903,5,22,Matches,Lamine Yamal,FW
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,14.2,597,574,15,2,13,2,38,9,4,0,0,0,445,8,28,Matches,Lamine Yamal,FW
3 Seasons,3 Seasons,1 Club,,1 League,,38.7,1738,1674,51,6,20,8,126,23,22,6,4,1,1356,13,50,,Lamine Yamal,FW
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,0.2,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches,Marc Casado,MF
2024-2025,20,Barcelona,es ESP,1. La Liga,3rd,13.1,1002,979,23,20,4,6,6,3,0,0,0,0,894,0,12,Matches,Marc Casado,MF
3 Seasons,3 Seasons,1 Club,,1 League,,13.3,1008,985,23,20,4,6,6,3,0,0,0,0,900,0,12,,Marc Casado,MF
2021-2022,22,Galatasaray,tr TUR,1. Süper Lig,13th,6.0,,,,,,,0,,,,,,,,,Matches,Iñaki Peña,GK
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,0.8,27,22,5,1,0,0,0,0,0,0,0,0,25,0,0,Matches,Iñaki Peña,GK
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,10.0,297,230,67,19,0,0,0,0,0,0,0,0,259,0,0,Matches,Iñaki Peña,GK
2024-2025,25,Barcelona,es ESP,1. La Liga,3rd,13.5,565,467,98,26,0,0,0,0,0,0,0,0,501,0,0,Matches,Iñaki Peña,GK
7 Seasons,7 Seasons,2 Clubs,,2 Leagues,,30.3,889,719,170,46,0,0,0,0,0,0,0,0,785,0,0,,Iñaki Peña,GK
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Iñaki Peña,GK
Barcelona (7 Seasons),Barcelona (7 Seasons),Barcelona (7 Seasons),,1 League,,24.3,889,719,170,46,0,0,0,0,0,0,0,0,785,0,0,,Iñaki Peña,GK
Galatasaray (1 Season),Galatasaray (1 Season),Galatasaray (1 Season),,1 League,,6.0,,,,,,,0,,,,,,,,,,Iñaki Peña,GK
,,,,,,,,,,,,,,,,,,,,,,,Iñaki Peña,GK
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,24.3,889,719,170,46,0,0,0,0,0,0,0,0,785,0,0,,Iñaki Peña,GK
Süper Lig (1 Season),Süper Lig (1 Season),Süper Lig (1 Season),,,,6.0,,,,,,,0,,,,,,,,,,Iñaki Peña,GK
2014-2015,16,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.8,,,,,,,,,,,,,,,,Matches,Dani Olmo,"MF,FW"
2015-2016,17,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.5,,,,,,,,,,,,,,,,Matches,Dani Olmo,"MF,FW"
2016-2017,18,Dinamo Zagreb,hr CRO,1. 1. HNL,2nd,9.3,,,,,,,0,,,,,,,,,Matches,Dani Olmo,"MF,FW"
2017-2018,19,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,23.3,,,,,,,0,,,,,,,,,Matches,Dani Olmo,"MF,FW"
2018-2019,20,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,17.7,,,,,,,,,,,,,,,,Matches,Dani Olmo,"MF,FW"
2019-2020,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,8.2,,,,,,,,,,,,,,,,Matches,Dani Olmo,"MF,FW"
2019-2020,21,RB Leipzig,de GER,1. Bundesliga,3rd,8.3,361,340,17,4,4,2,17,2,10,8,1,0,262,4,17,Matches,Dani Olmo,"MF,FW"
2020-2021,22,RB Leipzig,de GER,1. Bundesliga,2nd,24.4,1256,1225,23,9,5,9,24,7,6,4,0,0,958,8,37,Matches,Dani Olmo,"MF,FW"
2021-2022,23,RB Leipzig,de GER,1. Bundesliga,4th,8.3,353,344,8,2,6,1,9,0,3,1,2,0,273,1,12,Matches,Dani Olmo,"MF,FW"
2022-2023,24,RB Leipzig,de GER,1. Bundesliga,3rd,14.2,596,560,29,10,21,6,11,3,10,2,0,0,450,7,23,Matches,Dani Olmo,"MF,FW"
2023-2024,25,RB Leipzig,de GER,1. Bundesliga,4th,16.1,657,639,13,9,9,9,21,4,0,0,0,0,511,5,21,Matches,Dani Olmo,"MF,FW"
2024-2025,26,Barcelona,es ESP,1. La Liga,3rd,6.9,297,283,13,7,7,4,10,0,1,1,0,0,226,1,13,Matches,Dani Olmo,"MF,FW"
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,138.0,3520,3391,103,41,52,31,92,16,30,16,3,0,2680,26,123,,Dani Olmo,"MF,FW"
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Dani Olmo,"MF,FW"
Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),,1 League,,59.8,,,,,,,0,,,,,,,,,,Dani Olmo,"MF,FW"
RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),,1 League,,71.3,3223,3108,90,34,45,27,82,16,29,15,3,0,2454,25,110,,Dani Olmo,"MF,FW"
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,6.9,297,283,13,7,7,4,10,0,1,1,0,0,226,1,13,,Dani Olmo,"MF,FW"
,,,,,,,,,,,,,,,,,,,,,,,Dani Olmo,"MF,FW"
1. HNL (6 Seasons),1. HNL (6 Seasons),1. HNL (6 Seasons),,,,59.8,,,,,,,0,,,,,,,,,,Dani Olmo,"MF,FW"
Bundesliga (5 Seasons),Bundesliga (5 Seasons),Bundesliga (5 Seasons),,,,71.3,3223,3108,90,34,45,27,82,16,29,15,3,0,2454,25,110,,Dani Olmo,"MF,FW"
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,6.9,297,283,13,7,7,4,10,0,1,1,0,0,226,1,13,,Dani Olmo,"MF,FW"
2017-2018,17,Valencia,es ESP,1. La Liga,4th,3.5,110,108,1,0,0,1,11,0,1,0,1,0,68,1,5,Matches,Ferrán Torres,"FW,MF"
2018-2019,18,Valencia,es ESP,1. La Liga,4th,9.4,330,323,6,2,2,2,34,3,0,0,0,0,239,1,13,Matches,Ferrán Torres,"FW,MF"
2019-2020,19,Valencia,es ESP,1. La Liga,9th,25.0,768,730,30,7,3,3,91,16,4,0,3,0,535,8,15,Matches,Ferrán Torres,"FW,MF"
2020-2021,20,Manchester City,eng ENG,1. Premier League,1st,14.5,445,421,23,3,1,1,33,5,11,7,4,0,353,1,9,Matches,Ferrán Torres,"FW,MF"
2021-2022,21,Manchester City,eng ENG,1. Premier League,1st,3.4,74,69,5,0,1,0,4,0,0,0,0,0,54,0,4,Matches,Ferrán Torres,"FW,MF"
2021-2022,21,Barcelona,es ESP,1. La Liga,2nd,15.7,587,565,19,3,0,4,7,5,2,0,0,0,489,3,12,Matches,Ferrán Torres,"FW,MF"
2022-2023,22,Barcelona,es ESP,1. La Liga,1st,15.5,576,533,41,8,1,3,60,9,21,10,6,0,437,2,15,Matches,Ferrán Torres,"FW,MF"
2023-2024,23,Barcelona,es ESP,1. La Liga,2nd,13.5,450,422,22,1,3,3,21,4,10,1,5,0,351,6,18,Matches,Ferrán Torres,"FW,MF"
2024-2025,24,Barcelona,es ESP,1. La Liga,3rd,5.7,160,147,12,3,1,1,12,0,5,2,0,0,112,1,6,Matches,Ferrán Torres,"FW,MF"
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,106.1,3500,3318,159,27,12,18,273,42,54,20,19,0,2638,23,97,,Ferrán Torres,"FW,MF"
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Ferrán Torres,"FW,MF"
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,50.4,1773,1667,94,15,5,11,100,18,38,13,11,0,1389,12,51,,Ferrán Torres,"FW,MF"
Valencia (3 Seasons),Valencia (3 Seasons),Valencia (3 Seasons),,1 League,,37.9,1208,1161,37,9,5,6,136,19,5,0,4,0,842,10,33,,Ferrán Torres,"FW,MF"
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,17.9,519,490,28,3,2,1,37,5,11,7,4,0,407,1,13,,Ferrán Torres,"FW,MF"
,,,,,,,,,,,,,,,,,,,,,,,Ferrán Torres,"FW,MF"
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,88.3,2981,2828,131,24,10,17,236,37,43,13,15,0,2231,22,84,,Ferrán Torres,"FW,MF"
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,17.9,519,490,28,3,2,1,37,5,11,7,4,0,407,1,13,,Ferrán Torres,"FW,MF"
2010-2011,18,Gladbach,de GER,1. Bundesliga,16th,6.0,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen,GK
2011-2012,19,Gladbach,de GER,1. Bundesliga,4th,34.0,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen,GK
2012-2013,20,Gladbach,de GER,1. Bundesliga,8th,33.8,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen,GK
2013-2014,21,Gladbach,de GER,1. Bundesliga,6th,34.0,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen,GK
2015-2016,23,Barcelona,es ESP,1. La Liga,1st,6.0,,,,,,,0,,,,,,,,,Matches,Marc-André ter Stegen,GK
2016-2017,24,Barcelona,es ESP,1. La Liga,2nd,36.0,,,,,,,0,,,,,,,,,Matches,Marc-André ter Stegen,GK
2017-2018,25,Barcelona,es ESP,1. La Liga,1st,37.0,1304,989,313,51,0,6,0,0,0,0,0,0,1068,2,1,Matches,Marc-André ter Stegen,GK
2018-2019,26,Barcelona,es ESP,1. La Liga,1st,35.0,1084,838,245,45,0,3,0,0,0,0,0,0,930,1,0,Matches,Marc-André ter Stegen,GK
2019-2020,27,Barcelona,es ESP,1. La Liga,2nd,36.0,1431,1166,264,40,1,2,0,0,0,0,0,0,1253,1,1,Matches,Marc-André ter Stegen,GK
2020-2021,28,Barcelona,es ESP,1. La Liga,3rd,31.0,1043,845,197,36,0,1,0,0,0,0,0,0,925,1,0,Matches,Marc-André ter Stegen,GK
2021-2022,29,Barcelona,es ESP,1. La Liga,2nd,35.0,1281,1014,263,57,0,2,0,1,0,0,0,0,1113,4,1,Matches,Marc-André ter Stegen,GK
2022-2023,30,Barcelona,es ESP,1. La Liga,1st,37.2,1412,1145,267,69,0,6,0,1,0,0,0,0,1193,0,0,Matches,Marc-André ter Stegen,GK
2023-2024,31,Barcelona,es ESP,1. La Liga,2nd,28.0,1036,818,216,53,0,1,0,0,0,0,0,0,927,2,2,Matches,Marc-André ter Stegen,GK
2024-2025,32,Barcelona,es ESP,1. La Liga,3rd,5.5,203,176,27,10,0,0,0,0,0,0,0,0,186,0,0,Matches,Marc-André ter Stegen,GK
15 Seasons,15 Seasons,2 Clubs,,2 Leagues,,394.6,8794,6991,1792,361,1,21,0,2,0,0,0,0,7595,11,5,,Marc-André ter Stegen,GK
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Marc-André ter Stegen,GK
Barcelona (11 Seasons),Barcelona (11 Seasons),Barcelona (11 Seasons),,1 League,,286.7,8794,6991,1792,361,1,21,0,2,0,0,0,0,7595,11,5,,Marc-André ter Stegen,GK
Gladbach (4 Seasons),Gladbach (4 Seasons),Gladbach (4 Seasons),,1 League,,107.8,,,,,,,,,,,,,,,,,Marc-André ter Stegen,GK
,,,,,,,,,,,,,,,,,,,,,,,Marc-André ter Stegen,GK
La Liga (11 Seasons),La Liga (11 Seasons),La Liga (11 Seasons),,,,286.7,8794,6991,1792,361,1,21,0,2,0,0,0,0,7595,11,5,,Marc-André ter Stegen,GK
Bundesliga (4 Seasons),Bundesliga (4 Seasons),Bundesliga (4 Seasons),,,,107.8,,,,,,,,,,,,,,,,,Marc-André ter Stegen,GK
2017-2018,16,Manchester City,eng ENG,Jr. PL2 — Div. 1,6th,2.0,,,,,,,,,,,,,,,,Matches,Eric García,"MF,DF"
2018-2019,17,Manchester City,eng ENG,Jr. PL2 — Div. 1,8th,9.8,,,,,,,,,,,,,,,,Matches,Eric García,"MF,DF"
2019-2020,18,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,3.0,,,,,,,,,,,,,,,,Matches,Eric García,"MF,DF"
2019-2020,18,Manchester City,eng ENG,1. Premier League,2nd,8.8,731,723,7,6,0,1,1,1,0,0,0,0,680,1,5,Matches,Eric García,"MF,DF"
2020-2021,19,Manchester City,eng ENG,1. Premier League,1st,4.3,342,337,4,2,1,1,0,2,0,0,0,0,325,1,0,Matches,Eric García,"MF,DF"
2021-2022,20,Barcelona,es ESP,1. La Liga,2nd,22.7,1689,1630,58,40,2,20,2,14,0,0,0,0,1568,1,7,Matches,Eric García,"MF,DF"
2022-2023,21,Barcelona,es ESP,1. La Liga,1st,15.7,1257,1205,50,33,2,13,0,16,0,0,0,0,1142,2,8,Matches,Eric García,"MF,DF"
2023-2024,22,Girona,es ESP,1. La Liga,3rd,29.3,2306,2123,175,71,7,18,10,95,0,0,0,0,2064,8,20,Matches,Eric García,"MF,DF"
