Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Player
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,76.9,1676,1615,38,6,26,15,39,1,0,0,0,0,1232,23,61,,Robert Lewandowski
Lech Poznań (2 Seasons),Lech Poznań (2 Seasons),Lech Poznań (2 Seasons),,1 League,,54.9,,,,,,,,,,,,,,,,,Robert Lewandowski
,,,,,,,,,,,,,,,,,,,,,,,Robert Lewandowski
Bundesliga (12 Seasons),Bundesliga (12 Seasons),Bundesliga (12 Seasons),,,,345.0,3612,3475,112,18,33,23,114,1,0,0,0,0,2699,25,154,,Robert Lewandowski
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,76.9,1676,1615,38,6,26,15,39,1,0,0,0,0,1232,23,61,,Robert Lewandowski
Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),,,,54.9,,,,,,,,,,,,,,,,,Robert Lewandowski
2017-2018,18,Bordeaux,fr FRA,1. Ligue 1,6th,17.7,844,817,25,25,4,12,1,0,0,0,0,0,704,2,6,Matches,Jules Koundé
2018-2019,19,Bordeaux,fr FRA,1. Ligue 1,14th,37.0,2015,1908,101,58,4,10,5,43,0,0,0,0,1614,6,20,Matches,Jules Koundé
2019-2020,20,Sevilla,es ESP,1. La Liga,4th,25.7,1511,1438,70,26,0,3,16,44,0,0,0,0,1279,3,11,Matches,Jules Koundé
2020-2021,21,Sevilla,es ESP,1. La Liga,4th,33.1,2395,2338,50,40,0,17,21,10,0,0,0,0,2133,7,16,Matches,Jules Koundé
2021-2022,22,Sevilla,es ESP,1. La Liga,4th,30.4,2153,2061,88,56,1,31,18,32,0,0,0,0,1894,4,10,Matches,Jules Koundé
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,27.0,2024,1840,180,50,4,11,36,130,0,0,0,0,1775,4,25,Matches,Jules Koundé
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,32.2,2757,2482,267,61,2,29,34,198,0,0,0,0,2478,8,29,Matches,Jules Koundé
2024-2025,25,Barcelona,es ESP,1. La Liga,1st,14.9,1025,846,178,37,5,8,33,141,0,0,0,0,877,1,13,Matches,Jules Koundé
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,217.9,14724,13730,959,353,20,121,164,598,0,0,0,0,12754,35,130,,Jules Koundé
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Jules Koundé
Sevilla (3 Seasons),Sevilla (3 Seasons),Sevilla (3 Seasons),,1 League,,89.1,6059,5837,208,122,1,51,55,86,0,0,0,0,5306,14,37,,Jules Koundé
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,74.1,5806,5168,625,148,11,48,103,469,0,0,0,0,5130,13,67,,Jules Koundé
Bordeaux (2 Seasons),Bordeaux (2 Seasons),Bordeaux (2 Seasons),,1 League,,54.7,2859,2725,126,83,8,22,6,43,0,0,0,0,2318,8,26,,Jules Koundé
,,,,,,,,,,,,,,,,,,,,,,,Jules Koundé
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,163.2,11865,11005,833,270,12,99,158,555,0,0,0,0,10436,27,104,,Jules Koundé
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,54.7,2859,2725,126,83,8,22,6,43,0,0,0,0,2318,8,26,,Jules Koundé
2019-2020,16,Las Palmas,es ESP,2. La Liga 2,9th,31.4,1349,1281,63,14,11,14,47,13,22,7,8,0,1049,5,43,Matches,Pedri
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,26.8,1721,1665,50,13,8,9,11,10,27,3,0,0,1498,6,30,Matches,Pedri
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,9.8,606,577,25,3,5,6,18,5,17,4,9,0,513,4,18,Matches,Pedri
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,22.0,1449,1384,59,22,24,24,25,11,13,1,11,0,1251,6,25,Matches,Pedri
