Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Player
Girona (4 Seasons),Girona (4 Seasons),Girona (4 Seasons),,2 Leagues,,1.5,49,0,3,18,29,10,49,5,3,60.0,2,40.0,32,168,81,2,5,1,5,4,35,9,,Pau Victor Delgado,FW
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,2.2,120,4,11,55,57,12,120,11,7,63.6,4,36.4,66,297,136,2,2,2,6,7,89,21,,Pau Victor Delgado,FW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pau Victor Delgado,FW
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,2.2,120,4,11,55,57,12,120,11,7,63.6,4,36.4,66,297,136,2,2,2,6,7,89,21,,Pau Victor Delgado,FW
La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),,,,1.5,49,0,3,18,29,10,49,5,3,60.0,2,40.0,32,168,81,2,5,1,5,4,35,9,,Pau Victor Delgado,FW
2019-2020,16,Barcelona,es ESP,1. La Liga,2nd,11.4,703,7,38,207,464,89,703,53,25,47.2,28,52.8,544,3520,1934,77,35,46,35,25,601,187,Matches,Ansu Fati,FW
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,4.8,270,0,12,86,174,39,270,23,11,47.8,12,52.2,183,1296,700,32,16,21,11,8,226,60,Matches,Ansu Fati,FW
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,3.7,222,0,10,71,144,34,222,14,4,28.6,10,71.4,151,832,430,20,11,13,18,2,190,49,Matches,Ansu Fati,FW
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,15.5,806,10,64,278,470,128,806,47,23,48.9,21,44.7,557,2983,1399,47,28,31,35,30,640,178,Matches,Ansu Fati,FW
2023-2024,20,Brighton,eng ENG,1. Premier League,11th,5.8,300,4,27,141,135,43,300,18,5,27.8,9,50.0,212,1025,451,16,5,9,15,10,238,50,Matches,Ansu Fati,FW
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,0.6,42,0,1,16,25,5,42,3,1,33.3,1,33.3,32,266,157,6,4,2,1,1,35,5,Matches,Ansu Fati,FW
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,1.4,81,0,7,35,41,10,81,5,2,40.0,2,40.0,58,305,121,4,5,1,6,2,67,16,Matches,Ansu Fati,FW
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,43.2,2424,21,159,834,1453,348,2424,163,71,43.6,83,50.9,1737,10227,5192,202,104,123,121,78,1997,545,,Ansu Fati,FW
,,,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Ansu Fati,FW
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,37.4,2124,17,132,693,1318,305,2124,145,66,45.5,74,51.0,1525,9202,4741,186,99,114,106,68,1759,495,,Ansu Fati,FW
Brighton (1 Season),Brighton (1 Season),Brighton (1 Season),,1 League,,5.8,300,4,27,141,135,43,300,18,5,27.8,9,50.0,212,1025,451,16,5,9,15,10,238,50,,Ansu Fati,FW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ansu Fati,FW
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,37.4,2124,17,132,693,1318,305,2124,145,66,45.5,74,51.0,1525,9202,4741,186,99,114,106,68,1759,495,,Ansu Fati,FW
Premier League (1 Season),Premier League (1 Season),Premier League (1 Season),,,,5.8,300,4,27,141,135,43,300,18,5,27.8,9,50.0,212,1025,451,16,5,9,15,10,238,50,,Ansu Fati,FW
2014-2015,18,Chelsea,eng ENG,1. Premier League,1st,0.1,,,,,,,,,,,,,,,,,,,,,,,Matches,Andreas Christensen,DF
2015-2016,19,Gladbach,de GER,1. Bundesliga,4th,31.0,,,,,,,,,,,,,,,,,,,,,,,Matches,Andreas Christensen,DF
2016-2017,20,Gladbach,de GER,1. Bundesliga,9th,30.9,,,,,,,,,,,,,,,,,,,,,,,Matches,Andreas Christensen,DF
2017-2018,21,Chelsea,eng ENG,1. Premier League,5th,23.2,1589,150,768,790,41,22,1589,5,5,100.0,0,0.0,982,4823,2811,22,12,1,9,1,1073,2,Matches,Andreas Christensen,DF
2018-2019,22,Chelsea,eng ENG,1. Premier League,3rd,6.9,517,35,230,280,9,3,517,1,1,100.0,0,0.0,304,1759,1091,3,4,0,3,0,352,1,Matches,Andreas Christensen,DF
2019-2020,23,Chelsea,eng ENG,1. Premier League,4th,19.5,1484,137,690,758,43,12,1484,4,4,100.0,0,0.0,983,5524,3175,17,12,0,4,1,1066,1,Matches,Andreas Christensen,DF
2020-2021,24,Chelsea,eng ENG,1. Premier League,4th,15.2,1272,163,687,562,34,7,1272,7,7,100.0,0,0.0,799,3892,2134,7,12,0,9,1,939,1,Matches,Andreas Christensen,DF
2021-2022,25,Chelsea,eng ENG,1. Premier League,3rd,16.6,1477,147,645,772,68,5,1477,4,4,100.0,0,0.0,823,3835,2215,14,15,0,3,1,1058,5,Matches,Andreas Christensen,DF
2022-2023,26,Barcelona,es ESP,1. La Liga,1st,19.6,1652,127,645,962,50,13,1652,2,0,0.0,2,100.0,1170,5841,3232,18,15,0,10,1,1257,5,Matches,Andreas Christensen,DF
2023-2024,27,Barcelona,es ESP,1. La Liga,2nd,22.0,1723,111,549,1077,104,18,1723,6,3,50.0,3,50.0,1101,5001,2934,24,18,1,6,9,1324,6,Matches,Andreas Christensen,DF
2024-2025,28,Barcelona,es ESP,1. La Liga,3rd,0.3,18,0,10,8,0,0,18,0,0,,0,,9,24,7,0,0,0,0,0,10,0,Matches,Andreas Christensen,DF
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,185.2,9732,870,4224,5209,349,80,9732,29,24,82.8,5,17.2,6171,30699,17599,105,88,2,44,14,7079,21,,Andreas Christensen,DF
,,,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Andreas Christensen,DF
Chelsea (6 Seasons),Chelsea (6 Seasons),Chelsea (6 Seasons),,1 League,,81.5,6339,632,3020,3162,195,49,6339,21,21,100.0,0,0.0,3891,19833,11426,63,55,1,28,4,4488,10,,Andreas Christensen,DF
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,41.8,3393,238,1204,2047,154,31,3393,8,3,37.5,5,62.5,2280,10866,6173,42,33,1,16,10,2591,11,,Andreas Christensen,DF
Gladbach (2 Seasons),Gladbach (2 Seasons),Gladbach (2 Seasons),,1 League,,61.9,,,,,,,,,,,,,,,,,,,,,,,,Andreas Christensen,DF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andreas Christensen,DF
