Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Player
2014-2015,25,Bayern Munich,de GER,1. Bundesliga,1st,27.6,,,,,,,,,,,,,,,5,,,,,,,,,Matches,Robert Lewandowski
2015-2016,26,Bayern Munich,de GER,1. Bundesliga,1st,29.5,,,,,,,,,,,,,,,2,,,,,,,,,Matches,Robert Lewandowski
2016-2017,27,Bayern Munich,de GER,1. Bundesliga,1st,30.8,,,,,,,,,,,,,,,5,,,,,,,,,Matches,Robert Lewandowski
2017-2018,28,Bayern Munich,de GER,1. Bundesliga,1st,24.1,472,613,77.0,7147,1289,254,320,79.4,173,201,86.1,26,37,70.3,2,2.4,2.5,-0.4,21,41,18,0,71,Matches,Robert Lewandowski
2018-2019,29,Bayern Munich,de GER,1. Bundesliga,1st,32.9,565,742,76.1,7685,1666,311,365,85.2,161,204,78.9,33,40,82.5,7,8.9,6.9,-1.9,47,42,31,1,92,Matches,Robert Lewandowski
2019-2020,30,Bayern Munich,de GER,1. Bundesliga,1st,30.7,571,796,71.7,7709,1626,339,414,81.9,146,211,69.2,30,42,71.4,4,6.6,7.1,-2.6,36,34,45,8,91,Matches,Robert Lewandowski
2020-2021,31,Bayern Munich,de GER,1. Bundesliga,1st,27.3,516,694,74.4,6933,1468,287,353,81.3,148,190,77.9,26,43,60.5,7,4.7,4.5,+2.3,32,43,24,3,67,Matches,Robert Lewandowski
2021-2022,32,Bayern Munich,de GER,1. Bundesliga,1st,32.7,575,767,75.0,7309,1585,362,441,82.1,146,193,75.6,21,40,52.5,3,4.4,4.8,-1.4,37,38,30,3,81,Matches,Robert Lewandowski
2022-2023,33,Barcelona,es ESP,1. La Liga,1st,31.6,602,793,75.9,8306,1669,369,440,83.9,165,214,77.1,30,46,65.2,7,6.3,5.3,+0.7,35,49,31,2,100,Matches,Robert Lewandowski
2023-2024,34,Barcelona,es ESP,1. La Liga,2nd,30.6,416,592,70.3,5780,1192,248,311,79.7,120,168,71.4,21,35,60.0,8,4.9,3.6,+3.1,27,27,25,4,64,Matches,Robert Lewandowski
2024-2025,35,Barcelona,es ESP,1. La Liga,1st,14.7,214,291,73.5,2852,623,138,171,80.7,50,62,80.6,10,19,52.6,2,2.1,0.8,-0.1,15,18,6,0,28,Matches,Robert Lewandowski
17 Seasons,17 Seasons,4 Clubs,,3 Leagues,,476.8,3931,5288,74.3,53721,11118,2308,2815,82.0,1109,1443,76.9,197,302,65.2,80,40.3,35.4,+39.7,250,292,210,21,594,,Robert Lewandowski
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Robert Lewandowski
Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),,1 League,,235.6,2699,3612,74.7,36783,7634,1553,1893,82.0,774,999,77.5,136,202,67.3,35,27.0,25.8,+8.0,173,198,148,15,402,,Robert Lewandowski
Dortmund (4 Seasons),Dortmund (4 Seasons),Dortmund (4 Seasons),,1 League,,109.5,,,,,,,,,,,,,,,21,,,,,,,,,,Robert Lewandowski
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,76.9,1232,1676,73.5,16938,3484,755,922,81.9,335,444,75.5,61,100,61.0,17,13.3,9.6,+3.7,77,94,62,6,192,,Robert Lewandowski
Lech Poznań (2 Seasons),Lech Poznań (2 Seasons),Lech Poznań (2 Seasons),,1 League,,54.9,,,,,,,,,,,,,,,7,,,,,,,,,,Robert Lewandowski
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert Lewandowski
Bundesliga (12 Seasons),Bundesliga (12 Seasons),Bundesliga (12 Seasons),,,,345.0,2699,3612,74.7,36783,7634,1553,1893,82.0,774,999,77.5,136,202,67.3,56,27.0,25.8,+29.0,173,198,148,15,402,,Robert Lewandowski
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,76.9,1232,1676,73.5,16938,3484,755,922,81.9,335,444,75.5,61,100,61.0,17,13.3,9.6,+3.7,77,94,62,6,192,,Robert Lewandowski
Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),,,,54.9,,,,,,,,,,,,,,,7,,,,,,,,,,Robert Lewandowski
2017-2018,18,Bordeaux,fr FRA,1. Ligue 1,6th,17.7,704,844,83.4,13655,5363,276,297,92.9,323,356,90.7,95,167,56.9,0,0.1,0.3,-0.1,3,52,3,0,63,Matches,Jules Koundé
2018-2019,19,Bordeaux,fr FRA,1. Ligue 1,14th,37.0,1614,2015,80.1,30391,12529,621,707,87.8,787,874,90.0,182,368,49.5,1,0.8,0.9,+0.2,10,115,8,1,149,Matches,Jules Koundé
2019-2020,20,Sevilla,es ESP,1. La Liga,4th,25.7,1279,1511,84.6,24144,8245,470,520,90.4,661,728,90.8,132,215,61.4,1,1.0,0.8,0.0,4,78,3,2,82,Matches,Jules Koundé
2020-2021,21,Sevilla,es ESP,1. La Liga,4th,33.1,2133,2395,89.1,37121,13036,935,998,93.7,995,1059,94.0,162,255,63.5,1,0.9,0.9,+0.1,10,138,9,2,167,Matches,Jules Koundé
2021-2022,22,Sevilla,es ESP,1. La Liga,4th,30.4,1894,2153,88.0,34950,12876,758,821,92.3,887,955,92.9,218,319,68.3,1,2.3,2.2,-1.3,17,121,13,5,168,Matches,Jules Koundé
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,27.0,1775,2024,87.7,29836,9690,827,895,92.4,792,866,91.5,123,182,67.6,3,2.8,2.3,+0.2,16,176,15,6,185,Matches,Jules Koundé
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,32.2,2478,2757,89.9,41514,13135,1192,1263,94.4,1090,1164,93.6,156,237,65.8,2,2.2,2.6,-0.2,23,267,20,5,245,Matches,Jules Koundé
2024-2025,25,Barcelona,es ESP,1. La Liga,1st,14.9,877,1025,85.6,14092,4341,423,461,91.8,400,460,87.0,37,67,55.2,3,2.6,1.9,+0.4,14,66,13,4,76,Matches,Jules Koundé
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,217.9,12754,14724,86.6,225703,79215,5502,5962,92.3,5935,6462,91.8,1105,1810,61.0,12,12.8,11.9,-0.8,97,1013,84,25,1135,,Jules Koundé
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Jules Koundé
Sevilla (3 Seasons),Sevilla (3 Seasons),Sevilla (3 Seasons),,1 League,,89.1,5306,6059,87.6,96215,34157,2163,2339,92.5,2543,2742,92.7,512,789,64.9,3,4.3,3.8,-1.3,31,337,25,9,417,,Jules Koundé
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,74.1,5130,5806,88.4,85442,27166,2442,2619,93.2,2282,2490,91.6,316,486,65.0,8,7.6,6.8,+0.4,53,509,48,15,506,,Jules Koundé
Bordeaux (2 Seasons),Bordeaux (2 Seasons),Bordeaux (2 Seasons),,1 League,,54.7,2318,2859,81.1,44046,17892,897,1004,89.3,1110,1230,90.2,277,535,51.8,1,0.9,1.2,+0.1,13,167,11,1,212,,Jules Koundé
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jules Koundé
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,163.2,10436,11865,88.0,181657,61323,4605,4958,92.9,4825,5232,92.2,828,1275,64.9,11,11.9,10.7,-0.9,84,846,73,24,923,,Jules Koundé
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,54.7,2318,2859,81.1,44046,17892,897,1004,89.3,1110,1230,90.2,277,535,51.8,1,0.9,1.2,+0.1,13,167,11,1,212,,Jules Koundé
2019-2020,16,Las Palmas,es ESP,2. La Liga 2,9th,31.4,1049,1349,77.8,16399,3759,540,635,85.0,337,402,83.8,95,149,63.8,6,6.5,4.6,-0.5,60,110,34,3,149,Matches,Pedri
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,26.8,1498,1721,87.0,22376,4124,827,897,92.2,483,543,89.0,99,129,76.7,3,3.5,4.2,-0.5,39,109,43,1,152,Matches,Pedri
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,9.8,513,606,84.7,8778,2142,238,264,90.2,196,226,86.7,57,68,83.8,1,1.2,1.8,-0.2,15,57,19,1,84,Matches,Pedri
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,22.0,1251,1449,86.3,22516,4967,574,632,90.8,485,546,88.8,164,198,82.8,1,5.0,5.3,-4.0,42,161,30,2,184,Matches,Pedri
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,16.4,1035,1189,87.0,17171,3933,497,555,89.5,435,478,91.0,78,95,82.1,2,4.2,4.1,-2.2,37,83,37,4,136,Matches,Pedri
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,13.8,803,925,86.8,13681,3344,395,421,93.8,304,341,89.1,85,122,69.7,2,2.1,3.3,-0.1,25,97,17,1,103,Matches,Pedri
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,120.2,6149,7239,84.9,100921,22269,3071,3404,90.2,2240,2536,88.3,578,761,76.0,15,22.4,23.4,-7.4,218,617,180,12,808,,Pedri
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Pedri
Barcelona (5 Seasons),Barcelona (5 Seasons),Barcelona (5 Seasons),,1 League,,88.9,5100,5890,86.6,84522,18510,2531,2769,91.4,1903,2134,89.2,483,612,78.9,9,15.9,18.7,-6.9,158,507,146,9,659,,Pedri
Las Palmas (1 Season),Las Palmas (1 Season),Las Palmas (1 Season),,1 League,,31.4,1049,1349,77.8,16399,3759,540,635,85.0,337,402,83.8,95,149,63.8,6,6.5,4.6,-0.5,60,110,34,3,149,,Pedri
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pedri
La Liga (5 Seasons),La Liga (5 Seasons),La Liga (5 Seasons),,,,88.9,5100,5890,86.6,84522,18510,2531,2769,91.4,1903,2134,89.2,483,612,78.9,9,15.9,18.7,-6.9,158,507,146,9,659,,Pedri
La Liga 2 (1 Season),La Liga 2 (1 Season),La Liga 2 (1 Season),,,,31.4,1049,1349,77.8,16399,3759,540,635,85.0,337,402,83.8,95,149,63.8,6,6.5,4.6,-0.5,60,110,34,3,149,,Pedri
2022-2023,15,Barcelona,es ESP,1. La Liga,1st,0.1,8,9,88.9,112,47,6,6,100.0,1,1,100.0,1,1,100.0,0,0.0,0.3,0.0,0,0,2,0,2,Matches,Lamine Yamal
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,24.5,903,1132,79.8,12868,3009,572,650,88.0,262,337,77.7,44,77,57.1,5,6.2,6.5,-1.2,38,39,52,16,80,Matches,Lamine Yamal
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,13.3,407,548,74.3,5998,1910,238,283,84.1,139,181,76.8,21,37,56.8,9,6.7,3.7,2.3,29,36,38,7,72,Matches,Lamine Yamal
3 Seasons,3 Seasons,1 Club,,1 League,,37.9,1318,1689,78.0,18978,4966,816,939,86.9,402,519,77.5,66,115,57.4,14,12.9,10.5,1.1,67,75,92,23,154,,Lamine Yamal
2021-2022,17,Barcelona,es ESP,1. La Liga,2nd,2.1,138,150,92.0,1779,312,93,96,96.9,37,41,90.2,3,6,50.0,0,0.0,0.2,0.0,1,6,3,2,7,Matches,Alejandro Balde
2022-2023,18,Barcelona,es ESP,1. La Liga,1st,27.5,1482,1670,88.7,21525,4340,892,951,93.8,486,536,90.7,71,106,67.0,6,4.9,5.4,1.1,22,74,22,16,79,Matches,Alejandro Balde
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,15.3,694,817,84.9,9879,2231,430,473,90.9,229,264,86.7,22,42,52.4,1,1.2,1.5,-0.2,13,26,20,7,41,Matches,Alejandro Balde
2024-2025,20,Barcelona,es ESP,1. La Liga,1st,12.3,538,626,85.9,8254,1847,280,312,89.7,228,252,90.5,20,33,60.6,2,1.3,0.9,0.7,11,19,16,5,32,Matches,Alejandro Balde
4 Seasons,4 Seasons,1 Club,,1 League,,57.2,2852,3263,87.4,41437,8730,1695,1832,92.5,980,1093,89.7,116,187,62.0,9,7.4,7.9,1.6,47,125,61,30,159,,Alejandro Balde
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,0.2,6,6,100.0,97,33,4,4,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches,Marc Casado
2024-2025,20,Barcelona,es ESP,1. La Liga,1st,11.4,728,815,89.3,11679,2727,360,390,92.3,310,325,95.4,39,63,61.9,3,1.3,1.3,1.7,7,81,4,0,76,Matches,Marc Casado
3 Seasons,3 Seasons,1 Club,,1 League,,11.5,734,821,89.4,11776,2760,364,394,92.4,311,326,95.4,40,64,62.5,3,1.3,1.3,1.7,7,83,4,0,77,,Marc Casado
2021-2022,22,Galatasaray,tr TUR,1. Süper Lig,13th,6.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Iñaki Peña
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,0.8,25,27,92.6,585,407,3,3,100.0,18,18,100.0,4,6,66.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Iñaki Peña
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,10.0,259,297,87.2,5660,3681,76,76,100.0,145,146,99.3,37,74,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Iñaki Peña
2024-2025,25,Barcelona,es ESP,1. La Liga,1st,11.5,442,501,88.2,9969,5399,66,67,98.5,311,314,99.0,64,119,53.8,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Iñaki Peña
7 Seasons,7 Seasons,2 Clubs,,2 Leagues,,28.3,726,825,88.0,16214,9487,145,146,99.3,474,478,99.2,105,199,52.8,0,0.0,0.0,0.0,0,0,0,0,0,,Iñaki Peña
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Iñaki Peña
Barcelona (7 Seasons),Barcelona (7 Seasons),Barcelona (7 Seasons),,1 League,,22.3,726,825,88.0,16214,9487,145,146,99.3,474,478,99.2,105,199,52.8,0,0.0,0.0,0.0,0,0,0,0,0,,Iñaki Peña
Galatasaray (1 Season),Galatasaray (1 Season),Galatasaray (1 Season),,1 League,,6.0,,,,,,,,,,,,,,,0,,,,,,,,,,Iñaki Peña
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iñaki Peña
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,22.3,726,825,88.0,16214,9487,145,146,99.3,474,478,99.2,105,199,52.8,0,0.0,0.0,0.0,0,0,0,0,0,,Iñaki Peña
Süper Lig (1 Season),Süper Lig (1 Season),Süper Lig (1 Season),,,,6.0,,,,,,,,,,,,,,,0,,,,,,,,,,Iñaki Peña
2014-2015,16,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.8,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Dani Olmo
