Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Player
2022-2023,33,Barcelona,es ESP,1. La Liga,1st,31.6,602,793,75.9,8306,1669,369,440,83.9,165,214,77.1,30,46,65.2,7,6.3,5.3,+0.7,35,49,31,2,100,Matches,Robert Lewandowski,FW
2023-2024,34,Barcelona,es ESP,1. La Liga,2nd,30.6,416,592,70.3,5780,1192,248,311,79.7,120,168,71.4,21,35,60.0,8,4.9,3.6,+3.1,27,27,25,4,64,Matches,Robert Lewandowski,FW
2024-2025,35,Barcelona,es ESP,1. La Liga,3rd,16.4,232,315,73.7,3137,678,146,182,80.2,58,71,81.7,11,20,55.0,2,2.2,0.8,-0.2,17,20,7,0,32,Matches,Robert Lewandowski,FW
17 Seasons,17 Seasons,4 Clubs,,3 Leagues,,478.5,3949,5312,74.3,54006,11173,2316,2826,82.0,1117,1452,76.9,198,303,65.3,80,40.4,35.5,+39.6,252,294,211,21,598,,Robert Lewandowski,FW
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Robert Lewandowski,FW
Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),,1 League,,235.6,2699,3612,74.7,36783,7634,1553,1893,82.0,774,999,77.5,136,202,67.3,35,27.0,25.8,+8.0,173,198,148,15,402,,Robert Lewandowski,FW
Dortmund (4 Seasons),Dortmund (4 Seasons),Dortmund (4 Seasons),,1 League,,109.5,,,,,,,,,,,,,,,21,,,,,,,,,,Robert Lewandowski,FW
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,78.6,1250,1700,73.5,17223,3539,763,933,81.8,343,453,75.7,62,101,61.4,17,13.4,9.7,+3.6,79,96,63,6,196,,Robert Lewandowski,FW
Lech Poznań (2 Seasons),Lech Poznań (2 Seasons),Lech Poznań (2 Seasons),,1 League,,54.9,,,,,,,,,,,,,,,7,,,,,,,,,,Robert Lewandowski,FW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert Lewandowski,FW
Bundesliga (12 Seasons),Bundesliga (12 Seasons),Bundesliga (12 Seasons),,,,345.0,2699,3612,74.7,36783,7634,1553,1893,82.0,774,999,77.5,136,202,67.3,56,27.0,25.8,+29.0,173,198,148,15,402,,Robert Lewandowski,FW
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,78.6,1250,1700,73.5,17223,3539,763,933,81.8,343,453,75.7,62,101,61.4,17,13.4,9.7,+3.6,79,96,63,6,196,,Robert Lewandowski,FW
Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),,,,54.9,,,,,,,,,,,,,,,7,,,,,,,,,,Robert Lewandowski,FW
2017-2018,18,Bordeaux,fr FRA,1. Ligue 1,6th,17.7,704,844,83.4,13655,5363,276,297,92.9,323,356,90.7,95,167,56.9,0,0.1,0.3,-0.1,3,52,3,0,63,Matches,Jules Koundé,DF
2018-2019,19,Bordeaux,fr FRA,1. Ligue 1,14th,37.0,1614,2015,80.1,30391,12529,621,707,87.8,787,874,90.0,182,368,49.5,1,0.8,0.9,+0.2,10,115,8,1,149,Matches,Jules Koundé,DF
2019-2020,20,Sevilla,es ESP,1. La Liga,4th,25.7,1279,1511,84.6,24144,8245,470,520,90.4,661,728,90.8,132,215,61.4,1,1.0,0.8,0.0,4,78,3,2,82,Matches,Jules Koundé,DF
2020-2021,21,Sevilla,es ESP,1. La Liga,4th,33.1,2133,2395,89.1,37121,13036,935,998,93.7,995,1059,94.0,162,255,63.5,1,0.9,0.9,+0.1,10,138,9,2,167,Matches,Jules Koundé,DF
2021-2022,22,Sevilla,es ESP,1. La Liga,4th,30.4,1894,2153,88.0,34950,12876,758,821,92.3,887,955,92.9,218,319,68.3,1,2.3,2.2,-1.3,17,121,13,5,168,Matches,Jules Koundé,DF
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,27.0,1775,2024,87.7,29836,9690,827,895,92.4,792,866,91.5,123,182,67.6,3,2.8,2.3,+0.2,16,176,15,6,185,Matches,Jules Koundé,DF
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,32.2,2478,2757,89.9,41514,13135,1192,1263,94.4,1090,1164,93.6,156,237,65.8,2,2.2,2.6,-0.2,23,267,20,5,245,Matches,Jules Koundé,DF
2024-2025,25,Barcelona,es ESP,1. La Liga,3rd,16.9,1013,1182,85.7,16057,4875,499,542,92.1,451,520,86.7,41,73,56.2,3,3.0,2.5,0.0,20,78,18,5,91,Matches,Jules Koundé,DF
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,219.9,12890,14881,86.6,227668,79749,5578,6043,92.3,5986,6522,91.8,1109,1816,61.1,12,13.1,12.4,-1.1,103,1025,89,26,1150,,Jules Koundé,DF
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Jules Koundé,DF
Sevilla (3 Seasons),Sevilla (3 Seasons),Sevilla (3 Seasons),,1 League,,89.1,5306,6059,87.6,96215,34157,2163,2339,92.5,2543,2742,92.7,512,789,64.9,3,4.3,3.8,-1.3,31,337,25,9,417,,Jules Koundé,DF
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,76.1,5266,5963,88.3,87407,27700,2518,2700,93.3,2333,2550,91.5,320,492,65.0,8,8.0,7.4,0.0,59,521,53,16,521,,Jules Koundé,DF
Bordeaux (2 Seasons),Bordeaux (2 Seasons),Bordeaux (2 Seasons),,1 League,,54.7,2318,2859,81.1,44046,17892,897,1004,89.3,1110,1230,90.2,277,535,51.8,1,0.9,1.2,+0.1,13,167,11,1,212,,Jules Koundé,DF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jules Koundé,DF
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,165.2,10572,12022,87.9,183622,61857,4681,5039,92.9,4876,5292,92.1,832,1281,64.9,11,12.2,11.3,-1.2,90,858,78,25,938,,Jules Koundé,DF
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,54.7,2318,2859,81.1,44046,17892,897,1004,89.3,1110,1230,90.2,277,535,51.8,1,0.9,1.2,+0.1,13,167,11,1,212,,Jules Koundé,DF
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,17.3,1360,1487,91.5,25525,8442,493,523,94.3,737,772,95.5,122,170,71.8,0,0.4,0.4,-0.4,5,73,0,0,75,Matches,Pau Cubarsí,DF
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,16.5,1341,1436,93.4,26125,8920,407,430,94.7,809,838,96.5,116,150,77.3,1,0.9,0.5,0.1,6,106,2,1,100,Matches,Pau Cubarsí,DF
2 Seasons,2 Seasons,1 Club,,1 League,,33.8,2701,2923,92.4,51650,17362,900,953,94.4,1546,1610,96.0,238,320,74.4,1,1.4,0.9,-0.4,11,179,2,1,175,,Pau Cubarsí,DF
2019-2020,16,Las Palmas,es ESP,2. La Liga 2,9th,31.4,1049,1349,77.8,16399,3759,540,635,85.0,337,402,83.8,95,149,63.8,6,6.5,4.6,-0.5,60,110,34,3,149,Matches,Pedri,MF
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,26.8,1498,1721,87.0,22376,4124,827,897,92.2,483,543,89.0,99,129,76.7,3,3.5,4.2,-0.5,39,109,43,1,152,Matches,Pedri,MF
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,9.8,513,606,84.7,8778,2142,238,264,90.2,196,226,86.7,57,68,83.8,1,1.2,1.8,-0.2,15,57,19,1,84,Matches,Pedri,MF
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,22.0,1251,1449,86.3,22516,4967,574,632,90.8,485,546,88.8,164,198,82.8,1,5.0,5.3,-4.0,42,161,30,2,184,Matches,Pedri,MF
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,16.4,1035,1189,87.0,17171,3933,497,555,89.5,435,478,91.0,78,95,82.1,2,4.2,4.1,-2.2,37,83,37,4,136,Matches,Pedri,MF
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,15.8,986,1127,87.5,16890,4356,475,506,93.9,392,434,90.3,99,138,71.7,2,3.5,4.3,-1.5,31,129,28,1,150,Matches,Pedri,MF
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,122.2,6332,7441,85.1,104130,23281,3151,3489,90.3,2328,2629,88.6,592,777,76.2,15,23.9,24.4,-8.9,224,649,191,12,855,,Pedri,MF
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Pedri,MF
Barcelona (5 Seasons),Barcelona (5 Seasons),Barcelona (5 Seasons),,1 League,,90.9,5283,6092,86.7,87731,19522,2611,2854,91.5,1991,2227,89.4,497,628,79.1,9,17.4,19.7,-8.4,164,539,157,9,706,,Pedri,MF
Las Palmas (1 Season),Las Palmas (1 Season),Las Palmas (1 Season),,1 League,,31.4,1049,1349,77.8,16399,3759,540,635,85.0,337,402,83.8,95,149,63.8,6,6.5,4.6,-0.5,60,110,34,3,149,,Pedri,MF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pedri,MF
La Liga (5 Seasons),La Liga (5 Seasons),La Liga (5 Seasons),,,,90.9,5283,6092,86.7,87731,19522,2611,2854,91.5,1991,2227,89.4,497,628,79.1,9,17.4,19.7,-8.4,164,539,157,9,706,,Pedri,MF
La Liga 2 (1 Season),La Liga 2 (1 Season),La Liga 2 (1 Season),,,,31.4,1049,1349,77.8,16399,3759,540,635,85.0,337,402,83.8,95,149,63.8,6,6.5,4.6,-0.5,60,110,34,3,149,,Pedri,MF
2021-2022,17,Barcelona,es ESP,1. La Liga,2nd,2.1,138,150,92.0,1779,312,93,96,96.9,37,41,90.2,3,6,50.0,0,0.0,0.2,0.0,1,6,3,2,7,Matches,Alejandro Balde,DF
2022-2023,18,Barcelona,es ESP,1. La Liga,1st,27.5,1482,1670,88.7,21525,4340,892,951,93.8,486,536,90.7,71,106,67.0,6,4.9,5.4,1.1,22,74,22,16,79,Matches,Alejandro Balde,DF
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,15.3,694,817,84.9,9879,2231,430,473,90.9,229,264,86.7,22,42,52.4,1,1.2,1.5,-0.2,13,26,20,7,41,Matches,Alejandro Balde,DF
2024-2025,20,Barcelona,es ESP,1. La Liga,3rd,14.3,687,792,86.7,10538,2207,352,388,90.7,296,327,90.5,24,39,61.5,2,1.6,1.0,0.4,13,26,18,6,44,Matches,Alejandro Balde,DF
4 Seasons,4 Seasons,1 Club,,1 League,,59.2,3001,3429,87.5,43721,9090,1767,1908,92.6,1048,1168,89.7,120,193,62.2,9,7.7,8.1,1.3,49,132,63,31,171,,Alejandro Balde,DF
2022-2023,15,Barcelona,es ESP,1. La Liga,1st,0.1,8,9,88.9,112,47,6,6,100.0,1,1,100.0,1,1,100.0,0,0.0,0.3,0.0,0,0,2,0,2,Matches,Lamine Yamal,FW
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,24.5,903,1132,79.8,12868,3009,572,650,88.0,262,337,77.7,44,77,57.1,5,6.2,6.5,-1.2,38,39,52,16,80,Matches,Lamine Yamal,FW
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,14.2,445,597,74.5,6485,2047,264,312,84.6,148,194,76.3,22,39,56.4,9,6.7,3.8,2.3,29,41,38,7,77,Matches,Lamine Yamal,FW
3 Seasons,3 Seasons,1 Club,,1 League,,38.7,1356,1738,78.0,19465,5103,842,968,87.0,411,532,77.3,67,117,57.3,14,12.9,10.6,1.1,67,80,92,23,159,,Lamine Yamal,FW
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,0.2,6,6,100.0,97,33,4,4,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches,Marc Casado,MF
2024-2025,20,Barcelona,es ESP,1. La Liga,3rd,13.1,894,1002,89.2,14281,3306,451,491,91.9,367,387,94.8,54,79,68.4,3,1.3,1.5,1.7,7,110,4,0,90,Matches,Marc Casado,MF
3 Seasons,3 Seasons,1 Club,,1 League,,13.3,900,1008,89.3,14378,3339,455,495,91.9,368,388,94.8,55,80,68.8,3,1.3,1.5,1.7,7,112,4,0,91,,Marc Casado,MF
2021-2022,22,Galatasaray,tr TUR,1. Süper Lig,13th,6.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Iñaki Peña,GK
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,0.8,25,27,92.6,585,407,3,3,100.0,18,18,100.0,4,6,66.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Iñaki Peña,GK
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,10.0,259,297,87.2,5660,3681,76,76,100.0,145,146,99.3,37,74,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Iñaki Peña,GK
2024-2025,25,Barcelona,es ESP,1. La Liga,3rd,13.5,501,565,88.7,11230,6180,81,82,98.8,345,348,99.1,73,133,54.9,0,0.0,0.0,0.0,0,0,0,0,2,Matches,Iñaki Peña,GK
7 Seasons,7 Seasons,2 Clubs,,2 Leagues,,30.3,785,889,88.3,17475,10268,160,161,99.4,508,512,99.2,114,213,53.5,0,0.0,0.0,0.0,0,0,0,0,2,,Iñaki Peña,GK
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Iñaki Peña,GK
Barcelona (7 Seasons),Barcelona (7 Seasons),Barcelona (7 Seasons),,1 League,,24.3,785,889,88.3,17475,10268,160,161,99.4,508,512,99.2,114,213,53.5,0,0.0,0.0,0.0,0,0,0,0,2,,Iñaki Peña,GK
Galatasaray (1 Season),Galatasaray (1 Season),Galatasaray (1 Season),,1 League,,6.0,,,,,,,,,,,,,,,0,,,,,,,,,,Iñaki Peña,GK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iñaki Peña,GK
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,24.3,785,889,88.3,17475,10268,160,161,99.4,508,512,99.2,114,213,53.5,0,0.0,0.0,0.0,0,0,0,0,2,,Iñaki Peña,GK
Süper Lig (1 Season),Süper Lig (1 Season),Süper Lig (1 Season),,,,6.0,,,,,,,,,,,,,,,0,,,,,,,,,,Iñaki Peña,GK
2014-2015,16,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.8,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Dani Olmo,"MF,FW"
2015-2016,17,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.5,,,,,,,,,,,,,,,1,,,,,,,,,Matches,Dani Olmo,"MF,FW"
2016-2017,18,Dinamo Zagreb,hr CRO,1. 1. HNL,2nd,9.3,,,,,,,,,,,,,,,4,,,,,,,,,Matches,Dani Olmo,"MF,FW"
2017-2018,19,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,23.3,,,,,,,,,,,,,,,6,,,,,,,,,Matches,Dani Olmo,"MF,FW"
2018-2019,20,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,17.7,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Dani Olmo,"MF,FW"
2019-2020,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,8.2,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Dani Olmo,"MF,FW"
2019-2020,21,RB Leipzig,de GER,1. Bundesliga,3rd,8.3,262,361,72.6,3517,1285,154,178,86.5,61,85,71.8,18,37,48.6,1,1.2,1.7,-0.2,9,35,13,2,46,Matches,Dani Olmo,"MF,FW"
2020-2021,22,RB Leipzig,de GER,1. Bundesliga,2nd,24.4,958,1256,76.3,13733,4251,550,641,85.8,269,352,76.4,73,114,64.0,9,5.1,6.0,+3.9,41,106,46,3,175,Matches,Dani Olmo,"MF,FW"
2021-2022,23,RB Leipzig,de GER,1. Bundesliga,4th,8.3,273,353,77.3,3916,1298,148,169,87.6,90,111,81.1,16,34,47.1,3,2.6,3.4,+0.4,12,31,16,2,53,Matches,Dani Olmo,"MF,FW"
2022-2023,24,RB Leipzig,de GER,1. Bundesliga,3rd,14.2,450,596,75.5,6561,1888,258,300,86.0,134,173,77.5,31,57,54.4,5,4.5,5.1,+0.5,38,36,27,1,68,Matches,Dani Olmo,"MF,FW"
2023-2024,25,RB Leipzig,de GER,1. Bundesliga,4th,16.1,511,657,77.8,8589,2309,256,306,83.7,187,226,82.7,52,74,70.3,5,5.4,3.7,-0.4,32,60,21,7,68,Matches,Dani Olmo,"MF,FW"
2024-2025,26,Barcelona,es ESP,1. La Liga,3rd,6.9,226,297,76.1,3734,1127,125,142,88.0,72,93,77.4,22,29,75.9,0,1.7,2.1,-1.7,8,21,14,1,42,Matches,Dani Olmo,"MF,FW"
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,138.0,2680,3520,76.1,40050,12158,1491,1736,85.9,813,1040,78.2,212,345,61.4,34,20.4,22.0,+13.6,140,289,137,16,452,,Dani Olmo,"MF,FW"
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Dani Olmo,"MF,FW"
Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),,1 League,,59.8,,,,,,,,,,,,,,,11,,,,,,,,,,Dani Olmo,"MF,FW"
RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),,1 League,,71.3,2454,3223,76.1,36316,11031,1366,1594,85.7,741,947,78.2,190,316,60.1,23,18.8,19.9,+4.2,132,268,123,15,410,,Dani Olmo,"MF,FW"
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,6.9,226,297,76.1,3734,1127,125,142,88.0,72,93,77.4,22,29,75.9,0,1.7,2.1,-1.7,8,21,14,1,42,,Dani Olmo,"MF,FW"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dani Olmo,"MF,FW"
1. HNL (6 Seasons),1. HNL (6 Seasons),1. HNL (6 Seasons),,,,59.8,,,,,,,,,,,,,,,11,,,,,,,,,,Dani Olmo,"MF,FW"
Bundesliga (5 Seasons),Bundesliga (5 Seasons),Bundesliga (5 Seasons),,,,71.3,2454,3223,76.1,36316,11031,1366,1594,85.7,741,947,78.2,190,316,60.1,23,18.8,19.9,+4.2,132,268,123,15,410,,Dani Olmo,"MF,FW"
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,6.9,226,297,76.1,3734,1127,125,142,88.0,72,93,77.4,22,29,75.9,0,1.7,2.1,-1.7,8,21,14,1,42,,Dani Olmo,"MF,FW"
2017-2018,17,Valencia,es ESP,1. La Liga,4th,3.5,68,110,61.8,1005,379,46,63,73.0,17,26,65.4,4,13,30.8,1,0.8,0.7,+0.2,4,4,3,0,11,Matches,Ferrán Torres,"FW,MF"
2018-2019,18,Valencia,es ESP,1. La Liga,4th,9.4,239,330,72.4,3643,1131,127,157,80.9,83,108,76.9,19,35,54.3,1,1.7,1.6,-0.7,15,13,18,8,27,Matches,Ferrán Torres,"FW,MF"
2019-2020,19,Valencia,es ESP,1. La Liga,9th,25.0,535,768,69.7,7746,2357,310,355,87.3,166,245,67.8,32,88,36.4,5,4.9,3.3,+0.1,25,32,35,8,76,Matches,Ferrán Torres,"FW,MF"
2020-2021,20,Manchester City,eng ENG,1. Premier League,1st,14.5,353,445,79.3,4935,789,216,242,89.3,99,123,80.5,17,39,43.6,2,2.2,1.7,-0.2,19,12,13,1,31,Matches,Ferrán Torres,"FW,MF"
2021-2022,21,Manchester City,eng ENG,1. Premier League,1st,3.4,54,74,73.0,711,64,32,39,82.1,15,20,75.0,2,3,66.7,1,0.0,0.2,+1.0,1,0,1,0,4,Matches,Ferrán Torres,"FW,MF"
2021-2022,21,Barcelona,es ESP,1. La Liga,2nd,15.7,489,587,83.3,6854,1284,291,326,89.3,133,160,83.1,33,41,80.5,4,3.1,2.6,+0.9,12,30,12,0,53,Matches,Ferrán Torres,"FW,MF"
2022-2023,22,Barcelona,es ESP,1. La Liga,1st,15.5,437,576,75.9,6772,1479,250,285,87.7,144,192,75.0,33,62,53.2,2,4.1,4.2,-2.1,25,13,29,11,44,Matches,Ferrán Torres,"FW,MF"
2023-2024,23,Barcelona,es ESP,1. La Liga,2nd,13.5,351,450,78.0,5339,1196,203,241,84.2,102,127,80.3,31,38,81.6,2,2.7,1.9,-0.7,26,26,22,5,44,Matches,Ferrán Torres,"FW,MF"
2024-2025,24,Barcelona,es ESP,1. La Liga,3rd,5.7,112,160,70.0,1331,392,75,91,82.4,24,36,66.7,4,16,25.0,2,1.4,0.9,+0.6,9,9,8,1,14,Matches,Ferrán Torres,"FW,MF"
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,106.1,2638,3500,75.4,38336,9071,1550,1799,86.2,783,1037,75.5,175,335,52.2,20,20.9,17.1,-0.9,136,139,141,34,304,,Ferrán Torres,"FW,MF"
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Ferrán Torres,"FW,MF"
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,50.4,1389,1773,78.3,20296,4351,819,943,86.9,403,515,78.3,101,157,64.3,10,11.2,9.6,-1.2,72,78,71,17,155,,Ferrán Torres,"FW,MF"
Valencia (3 Seasons),Valencia (3 Seasons),Valencia (3 Seasons),,1 League,,37.9,842,1208,69.7,12394,3867,483,575,84.0,266,379,70.2,55,136,40.4,7,7.4,5.6,-0.4,44,49,56,16,114,,Ferrán Torres,"FW,MF"
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,17.9,407,519,78.4,5646,853,248,281,88.3,114,143,79.7,19,42,45.2,3,2.3,1.9,+0.7,20,12,14,1,35,,Ferrán Torres,"FW,MF"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferrán Torres,"FW,MF"
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,88.3,2231,2981,74.8,32690,8218,1302,1518,85.8,669,894,74.8,156,293,53.2,17,18.6,15.2,-1.6,116,127,127,33,269,,Ferrán Torres,"FW,MF"
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,17.9,407,519,78.4,5646,853,248,281,88.3,114,143,79.7,19,42,45.2,3,2.3,1.9,+0.7,20,12,14,1,35,,Ferrán Torres,"FW,MF"
2010-2011,18,Gladbach,de GER,1. Bundesliga,16th,6.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Marc-André ter Stegen,GK
2011-2012,19,Gladbach,de GER,1. Bundesliga,4th,34.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Marc-André ter Stegen,GK
2012-2013,20,Gladbach,de GER,1. Bundesliga,8th,33.8,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Marc-André ter Stegen,GK
2013-2014,21,Gladbach,de GER,1. Bundesliga,6th,34.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Marc-André ter Stegen,GK
2015-2016,23,Barcelona,es ESP,1. La Liga,1st,6.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Marc-André ter Stegen,GK
2016-2017,24,Barcelona,es ESP,1. La Liga,2nd,36.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,Marc-André ter Stegen,GK
2017-2018,25,Barcelona,es ESP,1. La Liga,1st,37.0,1068,1304,81.9,27867,19433,154,154,100.0,598,613,97.6,313,531,58.9,0,0.0,0.0,0.0,0,1,0,0,0,Matches,Marc-André ter Stegen,GK
2018-2019,26,Barcelona,es ESP,1. La Liga,1st,35.0,930,1084,85.8,24411,17180,131,131,100.0,512,521,98.3,284,427,66.5,0,0.0,0.0,0.0,0,6,0,0,0,Matches,Marc-André ter Stegen,GK
2019-2020,27,Barcelona,es ESP,1. La Liga,2nd,36.0,1253,1431,87.6,29479,20950,331,333,99.4,599,614,97.6,318,477,66.7,2,0.7,0.2,+1.3,2,9,2,0,1,Matches,Marc-André ter Stegen,GK
2020-2021,28,Barcelona,es ESP,1. La Liga,3rd,31.0,925,1043,88.7,22407,15660,182,183,99.5,514,522,98.5,228,336,67.9,0,0.0,0.0,0.0,1,2,0,0,1,Matches,Marc-André ter Stegen,GK
2021-2022,29,Barcelona,es ESP,1. La Liga,2nd,35.0,1113,1281,86.9,27465,18908,242,245,98.8,564,577,97.7,300,447,67.1,0,0.1,0.0,-0.1,1,10,0,0,2,Matches,Marc-André ter Stegen,GK
2022-2023,30,Barcelona,es ESP,1. La Liga,1st,37.2,1193,1412,84.5,30703,21527,228,232,98.3,600,613,97.9,362,564,64.2,0,0.3,0.0,-0.3,3,15,0,0,4,Matches,Marc-André ter Stegen,GK
2023-2024,31,Barcelona,es ESP,1. La Liga,2nd,28.0,927,1036,89.5,22797,16159,182,183,99.5,490,501,97.8,251,344,73.0,0,0.1,0.1,-0.1,1,9,1,0,1,Matches,Marc-André ter Stegen,GK
2024-2025,32,Barcelona,es ESP,1. La Liga,3rd,5.5,186,203,91.6,4679,3174,17,17,100.0,125,127,98.4,44,59,74.6,0,0.0,0.0,0.0,0,1,1,0,0,Matches,Marc-André ter Stegen,GK
15 Seasons,15 Seasons,2 Clubs,,2 Leagues,,394.6,7595,8794,86.4,189808,132991,1467,1478,99.3,4002,4088,97.9,2100,3185,65.9,2,1.3,0.4,+0.7,8,53,4,0,9,,Marc-André ter Stegen,GK
,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Marc-André ter Stegen,GK
Barcelona (11 Seasons),Barcelona (11 Seasons),Barcelona (11 Seasons),,1 League,,286.7,7595,8794,86.4,189808,132991,1467,1478,99.3,4002,4088,97.9,2100,3185,65.9,2,1.3,0.4,+0.7,8,53,4,0,9,,Marc-André ter Stegen,GK
Gladbach (4 Seasons),Gladbach (4 Seasons),Gladbach (4 Seasons),,1 League,,107.8,,,,,,,,,,,,,,,0,,,,,,,,,,Marc-André ter Stegen,GK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marc-André ter Stegen,GK
La Liga (11 Seasons),La Liga (11 Seasons),La Liga (11 Seasons),,,,286.7,7595,8794,86.4,189808,132991,1467,1478,99.3,4002,4088,97.9,2100,3185,65.9,2,1.3,0.4,+0.7,8,53,4,0,9,,Marc-André ter Stegen,GK
