Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2018-2019,20,RB Salzburg,at AUT,1. Bundesliga,1st,14,1189,85,41.3,13.2,13,90,11,1,21,3,2.57,36,12,+24,+1.82,+0.33,,,,,,Marin Pongračić,DF
2019-2020,21,RB Salzburg,at AUT,1. Bundesliga,1st,5,388,78,13.5,4.3,4,84,3,1,51,2,1.80,10,6,+4,+0.93,-1.67,,,,,,Marin Pongračić,DF
2019-2020,21,Wolfsburg,de GER,1. Bundesliga,7th,11,928,84,30.3,10.3,11,84,9,0,,1,1.55,18,19,-1,-0.10,-0.22,15.6,15.1,+0.5,+0.04,-0.35,Marin Pongračić,DF
2020-2021,22,Wolfsburg,de GER,1. Bundesliga,4th,10,575,58,18.8,6.4,7,77,2,3,11,11,1.90,14,5,+9,+1.41,+0.87,9.2,8.8,+0.4,+0.07,-0.17,Marin Pongračić,DF
2021-2022,23,Wolfsburg,de GER,1. Bundesliga,12th,0,,,,,0,,0,0,,1,,,,,,,,,,,,Marin Pongračić,DF
2021-2022,23,Dortmund,de GER,1. Bundesliga,2nd,17,827,49,27.0,9.2,9,76,5,8,18,14,2.24,19,12,+7,+0.76,-0.29,14.1,10.3,+3.8,+0.41,-0.15,Marin Pongračić,DF
2022-2023,24,Lecce,it ITA,1. Serie A,16th,9,790,88,23.1,8.8,9,88,8,0,,10,1.44,9,9,0,0.00,+0.44,7.6,8.0,-0.4,-0.04,+0.15,Marin Pongračić,DF
2023-2024,25,Lecce,it ITA,1. Serie A,14th,36,3219,89,94.1,35.8,36,89,35,0,,0,1.06,32,48,-16,-0.45,+2.24,40.9,48.6,-7.7,-0.22,+0.91,Marin Pongračić,DF
2024-2025,26,Fiorentina,it ITA,1. Serie A,4th,3,102,34,8.1,1.1,1,82,0,2,10,3,1.33,1,1,0,0.00,-1.40,1.1,1.9,-0.8,-0.73,-1.35,Marin Pongračić,DF
2012-2013,17,Příbram,cz CZE,1. First League,11th,1,7,7,0.3,0.1,0,,,1,,,,,,,,,,,,,,Antonín Barák,MF
2015-2016,20,Příbram,cz CZE,1. First League,14th,12,766,64,28.4,8.5,8,,5,4,,0,1.08,13,18,-5,-0.59,+0.11,,,,,,Antonín Barák,MF
2015-2016,20,Slavia Prague,cz CZE,1. First League,5th,9,548,61,20.3,6.1,6,,2,3,,2,2.11,13,2,+11,+1.81,+1.35,,,,,,Antonín Barák,MF
2016-2017,21,Slavia Prague,cz CZE,1. First League,1st,25,1619,65,60.0,18.0,18,,9,7,,0,2.36,43,11,+32,+1.78,+0.86,,,,,,Antonín Barák,MF
2017-2018,22,Udinese,it ITA,1. Serie A,14th,34,2713,80,79.3,30.1,31,,25,3,,3,1.09,37,44,-7,-0.23,+0.79,33.3,37.0,-3.8,-0.12,+0.17,Antonín Barák,MF
2018-2019,23,Udinese,it ITA,1. Serie A,12th,8,329,41,9.6,3.7,4,72,0,4,11,7,0.88,3,10,-7,-1.91,-1.71,2.6,7.7,-5.1,-1.39,-1.04,Antonín Barák,MF
2019-2020,24,Udinese,it ITA,1. Serie A,13th,8,194,24,5.7,2.2,1,69,0,7,18,13,0.63,0,3,-3,-1.39,-1.08,1.5,4.5,-3.0,-1.38,-1.14,Antonín Barák,MF
2019-2020,24,Lecce,it ITA,1. Serie A,18th,16,1369,86,40.0,15.2,15,90,15,1,19,0,1.19,28,37,-9,-0.59,+0.46,26.7,33.9,-7.2,-0.47,+0.56,Antonín Barák,MF
