Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2014-2015,19,Lazio,it ITA,1. Serie A,3rd,11.1,,,,,,,,,,,,,,,2,,,,,,,,,Danilo Cataldi,MF
2015-2016,20,Lazio,it ITA,1. Serie A,8th,15.0,,,,,,,,,,,,,,,3,,,,,,,,,Danilo Cataldi,MF
2016-2017,21,Lazio,it ITA,1. Serie A,5th,7.4,,,,,,,,,,,,,,,1,,,,,,,,,Danilo Cataldi,MF
2016-2017,21,Genoa,it ITA,1. Serie A,16th,10.3,,,,,,,,,,,,,,,0,,,,,,,,,Danilo Cataldi,MF
2017-2018,22,Benevento,it ITA,1. Serie A,20th,25.4,1124,1369,82.1,19121,5343,537,600,89.5,412,475,86.7,128,209,61.2,4,2.3,2.1,+1.7,37,98,18,6,135,Danilo Cataldi,MF
2018-2019,23,Lazio,it ITA,1. Serie A,8th,6.4,306,390,78.5,4936,1705,151,169,89.3,123,150,82.0,23,50,46.0,1,1.5,1.1,-0.5,14,16,10,1,34,Danilo Cataldi,MF
2019-2020,24,Lazio,it ITA,1. Serie A,4th,6.6,370,447,82.8,6654,2689,161,175,92.0,155,181,85.6,42,69,60.9,0,0.7,1.0,-0.7,12,52,6,2,58,Danilo Cataldi,MF
2020-2021,25,Lazio,it ITA,1. Serie A,6th,6.3,351,429,81.8,5783,1975,168,180,93.3,140,163,85.9,31,67,46.3,0,0.3,0.7,-0.3,5,40,7,3,43,Danilo Cataldi,MF
2021-2022,26,Lazio,it ITA,1. Serie A,5th,19.0,1201,1401,85.7,19380,6444,632,674,93.8,411,472,87.1,111,184,60.3,2,3.2,2.6,-1.2,25,126,17,2,97,Danilo Cataldi,MF
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,21.3,1147,1325,86.6,17538,6173,658,708,92.9,354,410,86.3,94,142,66.2,1,1.1,1.5,-0.1,16,99,9,0,83,Danilo Cataldi,MF
2023-2024,28,Lazio,it ITA,1. Serie A,7th,15.1,800,932,85.8,12545,3512,421,452,93.1,309,347,89.0,48,94,51.1,0,0.8,0.9,-0.8,11,79,8,2,69,Danilo Cataldi,MF
2024-2025,29,Fiorentina,it ITA,1. Serie A,4th,7.2,344,394,87.3,6164,1884,149,159,93.7,155,170,91.2,34,53,64.2,0,0.2,0.3,-0.2,5,46,4,2,39,Danilo Cataldi,MF
2018-2019,17,River Plate,ar ARG,1. Liga Argentina,4th,1.3,25,34,73.5,326,114,17,21,81.0,6,7,85.7,1,3,33.3,0,0.3,0.3,-0.3,2,1,4,1,6,Lucas Beltrán,"MF,FW"
2023-2024,22,Fiorentina,it ITA,1. Serie A,8th,18.8,360,459,78.4,5213,1095,201,246,81.7,118,137,86.1,21,28,75.0,2,1.5,1.9,+0.5,25,25,19,0,49,Lucas Beltrán,"MF,FW"
2024-2025,23,Fiorentina,it ITA,1. Serie A,4th,6.8,199,236,84.3,3117,744,101,112,90.2,75,87,86.2,13,20,65.0,4,1.0,0.8,+3.0,12,21,6,2,27,Lucas Beltrán,"MF,FW"
2017-2018,17,Paris S-G,fr FRA,1. Ligue 1,1st,0.1,7,7,100.0,163,42,4,4,100.0,1,1,100.0,2,2,100.0,0,0.0,0.0,0.0,0,3,0,0,3,Yacine Adli,MF
2018-2019,18,Bordeaux,fr FRA,1. Ligue 1,14th,2.4,111,151,73.5,1783,526,54,69,78.3,45,59,76.3,9,16,56.3,0,0.8,0.9,-0.8,6,17,2,1,17,Yacine Adli,MF
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,11.3,448,571,78.5,7437,1845,225,256,87.9,165,202,81.7,44,76,57.9,3,2.2,1.4,+0.8,19,51,5,0,65,Yacine Adli,MF
2020-2021,20,Bordeaux,fr FRA,1. Ligue 1,12th,26.9,1327,1631,81.4,24310,6907,569,643,88.5,548,642,85.4,167,251,66.5,5,4.4,3.0,+0.6,53,158,20,2,188,Yacine Adli,MF
2021-2022,21,Bordeaux,fr FRA,1. Ligue 1,20th,25.1,906,1251,72.4,17505,6047,410,480,85.4,310,407,76.2,157,279,56.3,7,5.7,4.3,+1.3,59,122,36,4,164,Yacine Adli,MF
2022-2023,22,Milan,it ITA,1. Serie A,4th,1.6,49,76,64.5,931,308,21,28,75.0,17,24,70.8,9,16,56.3,0,0.3,0.2,-0.3,2,6,2,0,10,Yacine Adli,MF
2023-2024,23,Milan,it ITA,1. Serie A,2nd,15.6,1125,1300,86.5,20142,6752,489,534,91.6,487,534,91.2,120,177,67.8,2,2.2,2.0,-0.2,22,149,16,6,125,Yacine Adli,MF
2024-2025,24,Fiorentina,it ITA,1. Serie A,4th,6.2,352,428,82.2,7011,2175,151,165,91.5,138,156,88.5,61,97,62.9,3,1.2,0.9,+1.8,13,44,4,0,45,Yacine Adli,MF
2016-2017,18,Cittadella,it ITA,2. Serie B,6th,5.9,,,,,,,,,,,,,,,2,,,,,,,,,Christian Kouamé,"FW,MF"
2017-2018,19,Cittadella,it ITA,2. Serie B,6th,29.0,,,,,,,,,,,,,,,7,,,,,,,,,Christian Kouamé,"FW,MF"
2018-2019,20,Genoa,it ITA,1. Serie A,17th,34.1,617,953,64.7,8179,1705,397,561,70.8,139,205,67.8,34,50,68.0,5,5.3,3.8,-0.3,48,40,25,6,67,Christian Kouamé,"FW,MF"
2019-2020,21,Genoa,it ITA,1. Serie A,17th,10.2,176,242,72.7,2261,458,106,137,77.4,43,59,72.9,7,11,63.6,2,1.0,1.1,+1.0,14,10,9,1,26,Christian Kouamé,"FW,MF"
2019-2020,21,Fiorentina,it ITA,1. Serie A,10th,3.3,73,102,71.6,1061,238,47,57,82.5,18,24,75.0,6,10,60.0,1,0.2,0.1,+0.8,5,6,3,1,7,Christian Kouamé,"FW,MF"
2020-2021,22,Fiorentina,it ITA,1. Serie A,13th,11.1,234,326,71.8,2764,400,166,212,78.3,47,62,75.8,5,7,71.4,1,1.2,0.9,-0.2,12,15,6,1,16,Christian Kouamé,"FW,MF"
2021-2022,23,Anderlecht,be BEL,1. First Division A,3rd,22.3,453,630,71.9,6725,1098,258,349,73.9,162,209,77.5,19,29,65.5,3,6.7,3.4,-3.7,38,25,21,1,55,Christian Kouamé,"FW,MF"
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,20.7,468,661,70.8,6983,1648,275,348,79.0,134,194,69.1,32,55,58.2,4,3.7,2.8,+0.3,39,29,31,10,54,Christian Kouamé,"FW,MF"
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,12.1,325,448,72.5,4901,1038,171,216,79.2,120,155,77.4,20,35,57.1,1,1.8,1.2,-0.8,12,15,18,1,41,Christian Kouamé,"FW,MF"
2024-2025,26,Fiorentina,it ITA,1. Serie A,4th,6.1,125,175,71.4,1855,365,67,85,78.8,39,54,72.2,11,16,68.8,1,1.5,0.7,-0.5,9,8,4,1,15,Christian Kouamé,"FW,MF"
2011-2012,18,Juve Stabia,it ITA,2. Serie B,9th,6.6,,,,,,,,,,,,,,,0,,,,,,,,,Cristiano Biraghi,DF
2012-2013,19,Cittadella,it ITA,2. Serie B,15th,30.4,,,,,,,,,,,,,,,0,,,,,,,,,Cristiano Biraghi,DF
2013-2014,20,Catania,it ITA,1. Serie A,18th,17.3,,,,,,,,,,,,,,,1,,,,,,,,,Cristiano Biraghi,DF
2014-2015,21,Chievo,it ITA,1. Serie A,14th,14.5,,,,,,,,,,,,,,,0,,,,,,,,,Cristiano Biraghi,DF
2015-2016,22,Granada,es ESP,1. La Liga,16th,31.3,,,,,,,,,,,,,,,1,,,,,,,,,Cristiano Biraghi,DF
2016-2017,23,Pescara,it ITA,1. Serie A,20th,33.2,,,,,,,,,,,,,,,4,,,,,,,,,Cristiano Biraghi,DF
2017-2018,24,Fiorentina,it ITA,1. Serie A,8th,33.1,1268,1790,70.8,22496,7919,573,656,87.3,519,686,75.7,144,355,40.6,4,4.5,4.4,-0.5,58,68,41,25,81,Cristiano Biraghi,DF
2018-2019,25,Fiorentina,it ITA,1. Serie A,16th,35.5,1359,1941,70.0,22959,8680,660,777,84.9,521,702,74.2,134,343,39.1,4,6.1,4.3,-2.1,62,82,52,31,119,Cristiano Biraghi,DF
2019-2020,26,Inter,it ITA,1. Serie A,2nd,17.5,633,902,70.2,10457,3979,347,380,91.3,207,305,67.9,64,143,44.8,6,3.9,3.7,+2.1,31,26,30,20,45,Cristiano Biraghi,DF
2020-2021,27,Fiorentina,it ITA,1. Serie A,13th,31.1,1175,1735,67.7,19485,8025,580,656,88.4,414,597,69.3,124,338,36.7,5,6.7,6.0,-1.7,49,78,39,27,117,Cristiano Biraghi,DF
2021-2022,28,Fiorentina,it ITA,1. Serie A,7th,35.0,2080,2600,80.0,39364,14210,846,918,92.2,942,1095,86.0,263,480,54.8,1,6.1,7.6,-5.1,72,145,64,38,171,Cristiano Biraghi,DF
2022-2023,29,Fiorentina,it ITA,1. Serie A,8th,28.3,1433,1994,71.9,27338,10270,603,677,89.1,614,783,78.4,196,456,43.0,4,5.5,5.8,-1.5,82,114,35,23,161,Cristiano Biraghi,DF
2023-2024,30,Fiorentina,it ITA,1. Serie A,8th,26.2,1388,1842,75.4,25646,9082,573,624,91.8,639,813,78.6,156,340,45.9,5,3.6,4.3,+1.4,46,118,31,20,129,Cristiano Biraghi,DF
2024-2025,31,Fiorentina,it ITA,1. Serie A,4th,4.8,259,309,83.8,4734,1698,107,115,93.0,122,132,92.4,26,51,51.0,0,0.3,0.5,-0.3,6,16,3,2,15,Cristiano Biraghi,DF
2018-2019,19,Pescara,it ITA,2. Serie B,4th,6.4,141,177,79.7,2319,304,73,77,94.8,56,72,77.8,9,20,45.0,1,0.7,0.7,+0.3,4,6,6,2,17,Riccardo Sottil,"FW,MF"
2018-2019,19,Fiorentina,it ITA,1. Serie A,16th,0.2,7,9,77.8,103,7,3,4,75.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Riccardo Sottil,"FW,MF"
2019-2020,20,Fiorentina,it ITA,1. Serie A,10th,5.7,150,191,78.5,2163,330,89,103,86.4,44,55,80.0,9,14,64.3,0,0.5,0.4,-0.5,5,5,5,1,9,Riccardo Sottil,"FW,MF"
2020-2021,21,Cagliari,it ITA,1. Serie A,16th,13.2,281,382,73.6,4702,973,139,173,80.3,108,140,77.1,24,40,60.0,1,1.8,1.4,-0.8,16,19,18,4,47,Riccardo Sottil,"FW,MF"
2021-2022,22,Fiorentina,it ITA,1. Serie A,7th,13.8,296,386,76.7,5041,737,147,169,87.0,119,152,78.3,26,38,68.4,2,2.5,1.8,-0.5,14,9,19,6,39,Riccardo Sottil,"FW,MF"
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,9.3,209,266,78.6,3457,554,102,115,88.7,84,109,77.1,18,25,72.0,2,1.1,0.8,+0.9,15,11,8,2,27,Riccardo Sottil,"FW,MF"
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,12.3,331,421,78.6,5471,827,161,184,87.5,142,167,85.0,20,35,57.1,3,2.5,2.4,+0.5,13,11,16,7,33,Riccardo Sottil,"FW,MF"
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,5.0,113,161,70.2,1807,230,63,77,81.8,43,63,68.3,6,13,46.2,1,0.7,0.6,+0.3,8,2,6,3,8,Riccardo Sottil,"FW,MF"
2016-2017,20,River Plate,ar ARG,1. Primera Div,2nd,18.9,733,977,75.0,14288,6467,280,330,84.8,327,399,82.0,107,205,52.2,0,0.0,0.0,0.0,2,51,3,0,76,Lucas Martínez Quarta,DF
2017-2018,21,River Plate,ar ARG,1. Liga Argentina,8th,9.0,509,627,81.2,10288,4179,175,199,87.9,257,286,89.9,73,127,57.5,0,0.0,0.1,0.0,1,25,0,0,38,Lucas Martínez Quarta,DF
2018-2019,22,River Plate,ar ARG,1. Liga Argentina,4th,16.7,674,844,79.9,15225,5733,188,213,88.3,329,370,88.9,147,226,65.0,0,0.6,0.3,-0.6,6,44,2,1,60,Lucas Martínez Quarta,DF
2019-2020,23,River Plate,ar ARG,1. Liga Argentina,2nd,18.3,869,1070,81.2,17625,7281,289,312,92.6,435,498,87.3,129,216,59.7,1,1.2,1.0,-0.2,4,77,3,0,89,Lucas Martínez Quarta,DF
2020-2021,24,Fiorentina,it ITA,1. Serie A,13th,16.5,667,830,80.4,13041,5425,243,277,87.7,328,380,86.3,92,157,58.6,0,0.3,0.4,-0.3,7,61,6,3,70,Lucas Martínez Quarta,DF
2021-2022,25,Fiorentina,it ITA,1. Serie A,7th,15.9,1007,1123,89.7,21071,7834,310,333,93.1,543,581,93.5,146,186,78.5,0,1.0,0.5,-1.0,5,73,1,0,76,Lucas Martínez Quarta,DF
2022-2023,26,Fiorentina,it ITA,1. Serie A,8th,24.1,1245,1524,81.7,27128,10926,357,402,88.8,664,741,89.6,213,340,62.6,1,0.6,0.7,+0.4,8,119,5,1,119,Lucas Martínez Quarta,DF
