Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2022-2023,20,Roma,it ITA,1. Serie A,6th,11.0,406,373,33,8,2,2,9,16,4,1,1,0,309,0,12,Edoardo Bove,"MF,FW"
2023-2024,21,Roma,it ITA,1. Serie A,6th,19.8,780,764,11,10,3,3,8,1,0,0,0,0,649,5,19,Edoardo Bove,"MF,FW"
2024-2025,22,Fiorentina,it ITA,1. Serie A,4th,9.3,340,317,19,15,1,3,2,3,1,0,0,0,280,4,13,Edoardo Bove,"MF,FW"
2013-2014,18,Crotone,it ITA,2. Serie B,6th,27.7,,,,,,,,,,,,,,,,Danilo Cataldi,MF
2014-2015,19,Lazio,it ITA,1. Serie A,3rd,11.1,,,,,,,,,,,,,,,,Danilo Cataldi,MF
2015-2016,20,Lazio,it ITA,1. Serie A,8th,15.0,,,,,,,,,,,,,,,,Danilo Cataldi,MF
2016-2017,21,Lazio,it ITA,1. Serie A,5th,7.4,,,,,,,57,,,,,,,,,Danilo Cataldi,MF
2016-2017,21,Genoa,it ITA,1. Serie A,16th,10.3,,,,,,,62,,,,,,,,,Danilo Cataldi,MF
2017-2018,22,Benevento,it ITA,1. Serie A,20th,25.4,1369,1272,92,46,5,19,62,12,33,11,14,0,1124,5,19,Danilo Cataldi,MF
2018-2019,23,Lazio,it ITA,1. Serie A,8th,6.4,390,335,54,17,0,2,41,3,32,12,15,0,306,1,7,Danilo Cataldi,MF
2019-2020,24,Lazio,it ITA,1. Serie A,4th,6.6,447,399,48,19,1,4,35,4,25,8,13,0,370,0,7,Danilo Cataldi,MF
2020-2021,25,Lazio,it ITA,1. Serie A,6th,6.3,429,387,41,16,1,3,30,4,19,11,5,0,351,1,5,Danilo Cataldi,MF
2021-2022,26,Lazio,it ITA,1. Serie A,5th,19.0,1401,1294,103,51,6,10,66,1,51,19,27,0,1201,4,11,Danilo Cataldi,MF
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,21.3,1325,1245,76,40,3,5,44,3,33,6,20,0,1147,4,14,Danilo Cataldi,MF
2023-2024,28,Lazio,it ITA,1. Serie A,7th,15.1,932,882,48,23,3,3,31,5,20,4,13,0,800,2,8,Danilo Cataldi,MF
2024-2025,29,Fiorentina,it ITA,1. Serie A,4th,7.2,394,373,17,13,1,1,6,3,1,0,1,0,344,4,2,Danilo Cataldi,MF
2018-2019,17,River Plate,ar ARG,1. Liga Argentina,4th,1.3,34,32,2,0,0,0,3,0,0,0,0,0,25,0,0,Lucas Beltrán,"MF,FW"
2023-2024,22,Fiorentina,it ITA,1. Serie A,8th,18.8,459,438,19,2,4,3,7,4,0,0,0,0,360,2,15,Lucas Beltrán,"MF,FW"
2024-2025,23,Fiorentina,it ITA,1. Serie A,4th,6.8,236,227,7,0,3,2,3,1,0,0,0,0,199,2,1,Lucas Beltrán,"MF,FW"
2017-2018,17,Paris S-G,fr FRA,1. Ligue 1,1st,0.1,7,7,0,0,0,1,0,0,0,0,0,0,7,0,0,Yacine Adli,MF
2018-2019,18,Bordeaux,fr FRA,1. Ligue 1,14th,2.4,151,145,5,1,1,2,9,2,2,2,0,0,111,1,3,Yacine Adli,MF
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,11.3,571,530,38,17,6,2,39,2,19,12,6,0,448,3,8,Yacine Adli,MF
2020-2021,20,Bordeaux,fr FRA,1. Ligue 1,12th,26.9,1631,1559,65,40,6,25,53,6,18,7,8,0,1327,7,22,Yacine Adli,MF
2021-2022,21,Bordeaux,fr FRA,1. Ligue 1,20th,25.1,1251,1105,138,48,11,30,114,12,68,38,17,1,906,8,25,Yacine Adli,MF
2022-2023,22,Milan,it ITA,1. Serie A,4th,1.6,76,72,4,1,0,1,6,1,2,0,2,0,49,0,5,Yacine Adli,MF
2023-2024,23,Milan,it ITA,1. Serie A,2nd,15.6,1300,1220,78,36,3,16,50,7,35,11,12,0,1125,2,14,Yacine Adli,MF
2024-2025,24,Fiorentina,it ITA,1. Serie A,4th,6.2,428,381,45,18,2,7,29,2,24,7,16,0,352,2,4,Yacine Adli,MF
2016-2017,18,Cittadella,it ITA,2. Serie B,6th,5.9,,,,,,,,,,,,,,,,Christian Kouamé,"FW,MF"
2017-2018,19,Cittadella,it ITA,2. Serie B,6th,29.0,,,,,,,0,,,,,,,,,Christian Kouamé,"FW,MF"
2018-2019,20,Genoa,it ITA,1. Serie A,17th,34.1,953,924,25,2,2,6,28,14,1,0,0,0,617,4,34,Christian Kouamé,"FW,MF"
2019-2020,21,Genoa,it ITA,1. Serie A,17th,10.2,242,229,13,2,0,0,4,4,0,0,0,0,176,0,3,Christian Kouamé,"FW,MF"
2019-2020,21,Fiorentina,it ITA,1. Serie A,10th,3.3,102,96,5,1,1,2,1,2,0,0,0,0,73,1,2,Christian Kouamé,"FW,MF"
