Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2024-2025,22,Fiorentina,it ITA,1. Serie A,4th,9.3,24,17,7,14,3,14,28,50.0,14,12,0,12,6,30,8,0,Edoardo Bove,"MF,FW"
2013-2014,18,Crotone,it ITA,2. Serie B,6th,27.7,,,,,,,,,,,,,,,,,Danilo Cataldi,MF
2014-2015,19,Lazio,it ITA,1. Serie A,3rd,11.1,,,,,,,,,,,,,,,,,Danilo Cataldi,MF
2015-2016,20,Lazio,it ITA,1. Serie A,8th,15.0,,,,,,,,,,,,,,,,,Danilo Cataldi,MF
2016-2017,21,Lazio,it ITA,1. Serie A,5th,7.4,,9,,,,,,,,,,,8,,,,Danilo Cataldi,MF
2016-2017,21,Genoa,it ITA,1. Serie A,16th,10.3,,10,,,,,,,,,,,9,,,,Danilo Cataldi,MF
2017-2018,22,Benevento,it ITA,1. Serie A,20th,25.4,33,25,12,19,2,5,28,17.9,23,18,5,13,37,70,20,1,Danilo Cataldi,MF
2018-2019,23,Lazio,it ITA,1. Serie A,8th,6.4,12,7,4,5,3,2,9,22.2,7,3,0,3,7,19,6,0,Danilo Cataldi,MF
2019-2020,24,Lazio,it ITA,1. Serie A,4th,6.6,17,11,10,5,2,10,20,50.0,10,7,1,6,13,30,10,0,Danilo Cataldi,MF
2020-2021,25,Lazio,it ITA,1. Serie A,6th,6.3,7,2,1,5,1,4,18,22.2,14,3,1,2,9,16,7,0,Danilo Cataldi,MF
2021-2022,26,Lazio,it ITA,1. Serie A,5th,19.0,36,17,15,17,4,12,38,31.6,26,24,12,12,17,53,19,1,Danilo Cataldi,MF
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,21.3,25,16,7,15,3,14,40,35.0,26,23,9,14,24,49,33,0,Danilo Cataldi,MF
2023-2024,28,Lazio,it ITA,1. Serie A,7th,15.1,24,12,7,16,1,8,18,44.4,10,15,7,8,17,41,19,1,Danilo Cataldi,MF
2024-2025,29,Fiorentina,it ITA,1. Serie A,4th,7.2,15,11,6,7,2,6,10,60.0,4,7,4,3,8,23,14,0,Danilo Cataldi,MF
2018-2019,17,River Plate,ar ARG,1. Liga Argentina,4th,1.3,0,0,0,0,0,0,0,,0,3,0,3,0,0,1,0,Lucas Beltrán,"MF,FW"
2023-2024,22,Fiorentina,it ITA,1. Serie A,8th,18.8,27,14,4,18,5,11,20,55.0,9,29,3,26,2,29,11,0,Lucas Beltrán,"MF,FW"
2024-2025,23,Fiorentina,it ITA,1. Serie A,4th,6.8,8,4,2,4,2,2,4,50.0,2,7,1,6,2,10,3,0,Lucas Beltrán,"MF,FW"
