Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2017-2018,17,Paris S-G,fr FRA,1. Ligue 1,1st,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yacine Adli,MF
2018-2019,18,Bordeaux,fr FRA,1. Ligue 1,14th,2.4,1,0,0,4,1,0,9,2,2,0,0,0,16,2,1,66.7,Yacine Adli,MF
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,11.3,3,0,0,13,18,0,39,8,14,0,0,0,57,10,13,43.5,Yacine Adli,MF
2020-2021,20,Bordeaux,fr FRA,1. Ligue 1,12th,26.9,6,0,0,39,37,0,53,39,37,0,0,0,172,27,27,50.0,Yacine Adli,MF
2021-2022,21,Bordeaux,fr FRA,1. Ligue 1,20th,25.1,5,0,0,21,27,4,114,37,27,0,0,0,150,12,19,38.7,Yacine Adli,MF
2022-2023,22,Milan,it ITA,1. Serie A,4th,1.6,1,0,0,4,1,1,6,1,3,0,0,0,8,1,3,25.0,Yacine Adli,MF
2023-2024,23,Milan,it ITA,1. Serie A,2nd,15.6,3,0,0,26,9,1,50,20,17,0,1,0,94,15,10,60.0,Yacine Adli,MF
2024-2025,24,Fiorentina,it ITA,1. Serie A,4th,6.2,1,0,0,3,13,0,29,3,9,0,0,0,32,3,6,33.3,Yacine Adli,MF
2016-2017,18,Cittadella,it ITA,2. Serie B,6th,5.9,4,0,,,,,,,,,,,,,,,Christian Kouamé,"FW,MF"
2017-2018,19,Cittadella,it ITA,2. Serie B,6th,29.0,3,0,0,,0,0,0,0,0,0,0,0,,,,,Christian Kouamé,"FW,MF"
2018-2019,20,Genoa,it ITA,1. Serie A,17th,34.1,4,0,0,36,82,18,28,25,22,0,0,0,126,195,171,53.3,Christian Kouamé,"FW,MF"
2019-2020,21,Genoa,it ITA,1. Serie A,17th,10.2,1,0,0,20,24,6,4,1,1,2,0,0,34,31,35,47.0,Christian Kouamé,"FW,MF"
2019-2020,21,Fiorentina,it ITA,1. Serie A,10th,3.3,0,0,0,6,6,0,1,1,2,0,0,0,5,12,15,44.4,Christian Kouamé,"FW,MF"
2020-2021,22,Fiorentina,it ITA,1. Serie A,13th,11.1,4,0,0,25,32,5,6,5,4,0,0,0,31,38,56,40.4,Christian Kouamé,"FW,MF"
2021-2022,23,Anderlecht,be BEL,1. First Division A,3rd,22.3,3,1,0,27,43,15,8,6,20,2,0,0,64,49,40,55.1,Christian Kouamé,"FW,MF"
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,20.7,5,0,0,32,56,7,49,12,18,1,0,0,91,62,52,54.4,Christian Kouamé,"FW,MF"
