Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2019-2020,20,Trapani,it ITA,2. Serie B,18th,19.5,0,39,11,28.2,2.00,0.56,0.00,0.00,23.2,1,0,0,1.9,1.9,0.05,-1.9,-1.9,Andrea Colpani,"FW,MF"
2020-2021,21,Monza,it ITA,2. Serie B,3rd,10.3,1,19,9,47.4,1.85,0.88,0.05,0.11,16.5,2,0,0,2.7,2.7,0.14,-1.7,-1.7,Andrea Colpani,"FW,MF"
2021-2022,22,Monza,it ITA,2. Serie B,4th,18.6,5,48,14,29.2,2.58,0.75,0.10,0.36,19.6,2,0,0,4.1,4.1,0.09,+0.9,+0.9,Andrea Colpani,"FW,MF"
2022-2023,23,Monza,it ITA,1. Serie A,11th,10.5,4,25,10,40.0,2.37,0.95,0.16,0.40,19.1,0,0,0,2.1,2.1,0.09,+1.9,+1.9,Andrea Colpani,"FW,MF"
2023-2024,24,Monza,it ITA,1. Serie A,12th,29.5,8,65,19,29.2,2.20,0.64,0.12,0.42,19.9,9,0,0,4.8,4.8,0.07,+3.2,+3.2,Andrea Colpani,"FW,MF"
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,10.7,2,26,10,38.5,2.44,0.94,0.08,0.20,19.3,1,0,0,2.0,2.0,0.08,0.0,0.0,Andrea Colpani,"FW,MF"
2020-2021,18,Roma,it ITA,1. Serie A,7th,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Edoardo Bove,"MF,FW"
2021-2022,19,Roma,it ITA,1. Serie A,6th,0.8,1,1,1,100.0,1.32,1.32,1.00,1.00,16.4,0,0,0,0.0,0.0,0.02,+1.0,+1.0,Edoardo Bove,"MF,FW"
2022-2023,20,Roma,it ITA,1. Serie A,6th,11.0,1,7,2,28.6,0.64,0.18,0.14,0.50,12.9,0,0,0,0.8,0.5,0.07,+0.2,+0.5,Edoardo Bove,"MF,FW"
2023-2024,21,Roma,it ITA,1. Serie A,6th,19.8,0,19,6,31.6,0.96,0.30,0.00,0.00,17.8,0,0,0,2.0,2.0,0.10,-2.0,-2.0,Edoardo Bove,"MF,FW"
2024-2025,22,Fiorentina,it ITA,1. Serie A,4th,9.3,1,7,2,28.6,0.75,0.22,0.14,0.50,14.6,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Edoardo Bove,"MF,FW"
2013-2014,18,Crotone,it ITA,2. Serie B,6th,27.7,4,,18,,,0.65,,0.22,,,0,0,,,,,,Danilo Cataldi,MF
2014-2015,19,Lazio,it ITA,1. Serie A,3rd,11.1,0,,4,,,0.36,,0.00,,,0,0,,,,,,Danilo Cataldi,MF
2015-2016,20,Lazio,it ITA,1. Serie A,8th,15.0,1,,6,,,0.40,,0.17,,,0,0,,,,,,Danilo Cataldi,MF
2016-2017,21,Lazio,it ITA,1. Serie A,5th,7.4,1,10,4,40.0,1.36,0.54,0.10,0.25,,,0,0,,,,,,Danilo Cataldi,MF
2016-2017,21,Genoa,it ITA,1. Serie A,16th,10.3,0,7,4,57.1,0.68,0.39,0.00,0.00,,,0,0,,,,,,Danilo Cataldi,MF
2017-2018,22,Benevento,it ITA,1. Serie A,20th,25.4,1,36,6,16.7,1.42,0.24,0.03,0.17,25.3,5,0,0,1.5,1.5,0.04,-0.5,-0.5,Danilo Cataldi,MF
2018-2019,23,Lazio,it ITA,1. Serie A,8th,6.4,2,13,4,30.8,2.02,0.62,0.15,0.50,25.0,3,0,0,0.6,0.6,0.05,+1.4,+1.4,Danilo Cataldi,MF
2019-2020,24,Lazio,it ITA,1. Serie A,4th,6.6,1,9,1,11.1,1.37,0.15,0.11,1.00,33.3,2,0,0,0.5,0.5,0.05,+0.5,+0.5,Danilo Cataldi,MF
2020-2021,25,Lazio,it ITA,1. Serie A,6th,6.3,0,6,2,33.3,0.95,0.32,0.00,0.00,20.9,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Danilo Cataldi,MF
2021-2022,26,Lazio,it ITA,1. Serie A,5th,19.0,1,12,4,33.3,0.63,0.21,0.08,0.25,28.0,3,0,0,0.4,0.4,0.04,+0.6,+0.6,Danilo Cataldi,MF
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,21.3,0,7,1,14.3,0.33,0.05,0.00,0.00,28.8,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Danilo Cataldi,MF
2023-2024,28,Lazio,it ITA,1. Serie A,7th,15.1,1,12,2,16.7,0.79,0.13,0.08,0.50,27.8,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Danilo Cataldi,MF
2024-2025,29,Fiorentina,it ITA,1. Serie A,4th,7.2,3,9,4,44.4,1.25,0.55,0.33,0.75,22.9,1,0,0,0.7,0.7,0.07,+2.3,+2.3,Danilo Cataldi,MF
2018-2019,17,River Plate,ar ARG,1. Liga Argentina,4th,1.3,0,3,2,66.7,2.25,1.50,0.00,0.00,18.2,0,0,0,0.7,0.7,0.25,-0.7,-0.7,Lucas Beltrán,"MF,FW"
2023-2024,22,Fiorentina,it ITA,1. Serie A,8th,18.8,6,30,7,23.3,1.60,0.37,0.17,0.71,15.5,0,1,1,3.8,3.0,0.10,+2.2,+2.0,Lucas Beltrán,"MF,FW"
