Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2014-2015,19,Lazio,it ITA,1. Serie A,3rd,11.1,,,,,,,,,,,,,,,,,Danilo Cataldi,MF
2015-2016,20,Lazio,it ITA,1. Serie A,8th,15.0,,,,,,,,,,,,,,,,,Danilo Cataldi,MF
2016-2017,21,Lazio,it ITA,1. Serie A,5th,7.4,,,,,,,,,,,,,,,,,Danilo Cataldi,MF
2016-2017,21,Genoa,it ITA,1. Serie A,16th,10.3,,,,,,,,,,,,,,,,,Danilo Cataldi,MF
2017-2018,22,Benevento,it ITA,1. Serie A,20th,25.4,79,3.12,60,8,2,3,2,4,7,0.28,5,1,0,0,0,1,Danilo Cataldi,MF
2018-2019,23,Lazio,it ITA,1. Serie A,8th,6.4,34,5.29,16,15,0,2,1,0,3,0.47,1,2,0,0,0,0,Danilo Cataldi,MF
2019-2020,24,Lazio,it ITA,1. Serie A,4th,6.6,31,4.71,23,6,1,1,0,0,2,0.30,2,0,0,0,0,0,Danilo Cataldi,MF
2020-2021,25,Lazio,it ITA,1. Serie A,6th,6.3,16,2.53,13,2,1,0,0,0,1,0.16,1,0,0,0,0,0,Danilo Cataldi,MF
2021-2022,26,Lazio,it ITA,1. Serie A,5th,19.0,39,2.06,25,14,0,0,0,0,3,0.16,2,1,0,0,0,0,Danilo Cataldi,MF
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,21.3,35,1.64,21,13,0,1,0,0,2,0.09,1,0,0,1,0,0,Danilo Cataldi,MF
2023-2024,28,Lazio,it ITA,1. Serie A,7th,15.1,23,1.52,15,6,2,0,0,0,1,0.07,1,0,0,0,0,0,Danilo Cataldi,MF
2024-2025,29,Fiorentina,it ITA,1. Serie A,4th,7.2,12,1.66,10,1,0,0,0,1,1,0.14,0,1,0,0,0,0,Danilo Cataldi,MF
2018-2019,17,River Plate,ar ARG,1. Liga Argentina,4th,1.3,5,3.75,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Lucas Beltrán,"MF,FW"
2023-2024,22,Fiorentina,it ITA,1. Serie A,8th,18.8,56,2.98,39,0,2,8,6,1,10,0.53,5,0,1,3,1,0,Lucas Beltrán,"MF,FW"
2024-2025,23,Fiorentina,it ITA,1. Serie A,4th,6.8,23,3.36,22,0,0,0,0,1,5,0.73,5,0,0,0,0,0,Lucas Beltrán,"MF,FW"
2017-2018,17,Paris S-G,fr FRA,1. Ligue 1,1st,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Yacine Adli,MF
