Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2022-2023,25,Fiorentina,it ITA,1. Serie A,8th,21.7,1190,33,175,670,356,37,1190,16,5,31.3,9,56.3,598,2489,1243,18,25,3,13,8,720,59,Rolando Mandragora,MF
2023-2024,26,Fiorentina,it ITA,1. Serie A,8th,17.6,897,27,155,521,224,25,897,11,6,54.5,4,36.4,489,1723,827,7,6,0,10,8,587,32,Rolando Mandragora,MF
2024-2025,27,Fiorentina,it ITA,1. Serie A,4th,3.4,192,8,41,114,37,2,192,1,0,0.0,0,0.0,108,542,272,4,5,0,0,1,136,3,Rolando Mandragora,MF
2020-2021,18,Le Havre,fr FRA,2. Ligue 2,12th,1.0,35,3,17,17,1,0,35,2,1,50.0,1,50.0,9,34,9,0,0,0,0,0,13,0,Amir Richardson,MF
2021-2022,19,Le Havre,fr FRA,2. Ligue 2,8th,24.8,1303,30,258,815,247,23,1303,43,25,58.1,18,41.9,698,3728,1735,25,20,6,44,26,808,50,Amir Richardson,MF
2022-2023,20,Le Havre,fr FRA,2. Ligue 2,1st,26.5,1500,41,236,839,448,46,1500,66,29,43.9,31,47.0,1154,7455,3199,74,68,8,50,44,1099,107,Amir Richardson,MF
2023-2024,21,Reims,fr FRA,1. Ligue 1,9th,15.0,855,45,166,487,214,20,855,26,8,30.8,18,69.2,593,3703,1511,28,28,3,23,21,563,40,Amir Richardson,MF
2024-2025,22,Fiorentina,it ITA,1. Serie A,4th,4.0,290,15,63,182,45,4,290,7,6,85.7,0,0.0,188,982,440,9,3,0,6,4,207,5,Amir Richardson,MF
2011-2012,21,Catania,it ITA,1. Serie A,11th,2.0,,,,,,,,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2013-2014,23,Avellino,it ITA,2. Serie B,11th,18.0,,,,,,,,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2014-2015,24,Catania,it ITA,2. Serie B,22nd,6.0,,,,,,,,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2015-2016,25,Salernitana,it ITA,2. Serie B,18th,31.0,,,,,,,,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2016-2017,26,Salernitana,it ITA,2. Serie B,10th,21.0,,,,,,,,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2017-2018,27,Empoli,it ITA,2. Serie B,1st,3.0,,,,,,,,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2018-2019,28,Empoli,it ITA,1. Serie A,18th,8.0,266,248,266,0,0,0,266,0,0,,0,,128,614,416,0,0,0,1,0,117,0,Pietro Terracciano,GK
2018-2019,28,Fiorentina,it ITA,1. Serie A,16th,2.0,72,61,72,0,0,0,72,0,0,,0,,35,284,175,0,0,0,0,0,21,0,Pietro Terracciano,GK
2019-2020,29,Fiorentina,it ITA,1. Serie A,10th,6.9,227,209,227,0,0,0,227,0,0,,0,,107,569,369,0,0,0,0,0,70,0,Pietro Terracciano,GK
2020-2021,30,Fiorentina,it ITA,1. Serie A,13th,3.0,96,80,95,1,0,0,96,0,0,,0,,36,235,127,0,0,0,0,0,20,0,Pietro Terracciano,GK
2021-2022,31,Fiorentina,it ITA,1. Serie A,7th,31.8,1596,1283,1586,11,0,0,1596,2,1,50.0,1,50.0,1022,4983,2868,0,0,0,0,0,1032,0,Pietro Terracciano,GK
2022-2023,32,Fiorentina,it ITA,1. Serie A,8th,29.0,1135,893,1125,10,0,0,1135,1,1,100.0,0,0.0,602,3154,1984,0,0,0,1,0,612,0,Pietro Terracciano,GK
2023-2024,33,Fiorentina,it ITA,1. Serie A,8th,33.0,1314,1099,1311,3,0,0,1314,0,0,,0,,726,3411,2221,0,0,0,1,1,743,0,Pietro Terracciano,GK
2024-2025,34,Fiorentina,it ITA,1. Serie A,4th,3.0,96,80,96,0,0,0,96,0,0,,0,,67,285,144,0,0,0,0,0,58,0,Pietro Terracciano,GK
2015-2016,18,Jong PSV,nl NED,2. Eerste Divisie,11th,8.8,,,,,,,,,,,,,,,,,,,,,,,Albert Guðmundsson,"MF,FW"
2016-2017,19,Jong PSV,nl NED,2. Eerste Divisie,4th,29.1,,,,,,,,,,,,,,,,,,,,,,,Albert Guðmundsson,"MF,FW"
2017-2018,20,Jong PSV,nl NED,2. Eerste Divisie,5th,13.3,,,,,,,,,,,,,,,,,,,,,,,Albert Guðmundsson,"MF,FW"
2017-2018,20,PSV Eindhoven,nl NED,1. Eredivisie,1st,2.0,,,,,,,,,,,,,,,,,,,,,,,Albert Guðmundsson,"MF,FW"
2018-2019,21,AZ Alkmaar,nl NED,1. Eredivisie,4th,14.5,700,11,67,311,337,59,700,50,31,62.0,19,38.0,494,3404,1621,59,47,18,45,38,523,116,Albert Guðmundsson,"MF,FW"
2019-2020,22,Jong AZ,nl NED,2. Eerste Divisie,14th,3.0,,,,,,,,,,,,,,,,,,,,,,,Albert Guðmundsson,"MF,FW"
2019-2020,22,AZ Alkmaar,nl NED,1. Eredivisie,2nd,1.3,65,0,7,27,33,7,65,3,2,66.7,1,33.3,49,285,142,7,3,0,5,2,53,13,Albert Guðmundsson,"MF,FW"
2020-2021,23,AZ Alkmaar,nl NED,1. Eredivisie,3rd,21.8,1015,14,99,459,469,102,1014,64,41,64.1,23,35.9,674,3861,1571,48,42,24,86,28,772,177,Albert Guðmundsson,"MF,FW"
2021-2022,24,AZ Alkmaar,nl NED,1. Eredivisie,5th,12.1,575,12,63,253,267,38,573,29,20,69.0,9,31.0,382,2364,1017,32,26,8,38,29,438,98,Albert Guðmundsson,"MF,FW"
2021-2022,24,Genoa,it ITA,1. Serie A,19th,6.7,308,10,35,121,156,27,308,14,7,50.0,7,50.0,164,944,373,14,8,6,27,10,190,45,Albert Guðmundsson,"MF,FW"
2022-2023,25,Genoa,it ITA,2. Serie B,2nd,30.0,1436,12,145,579,745,127,1436,138,70,50.7,49,35.5,922,7173,3456,125,81,40,86,57,1064,221,Albert Guðmundsson,"MF,FW"
2023-2024,26,Genoa,it ITA,1. Serie A,11th,33.5,1526,18,168,708,678,71,1521,96,42,43.8,41,42.7,900,6120,2951,82,71,17,89,51,1031,168,Albert Guðmundsson,"MF,FW"
2024-2025,27,Fiorentina,it ITA,1. Serie A,4th,2.5,99,1,17,53,32,7,97,6,3,50.0,1,16.7,59,582,253,11,3,2,2,1,70,8,Albert Guðmundsson,"MF,FW"
2014-2015,17,Utrecht,nl NED,1. Eredivisie,11th,2.3,,,,,,,,,,,,,,,,,,,,,,,Sofyan Amrabat,MF
2015-2016,18,Utrecht,nl NED,1. Eredivisie,5th,3.1,,,,,,,,,,,,,,,,,,,,,,,Sofyan Amrabat,MF
2016-2017,19,Utrecht,nl NED,1. Eredivisie,4th,28.6,,,,,,,,,,,,,,,,,,,,,,,Sofyan Amrabat,MF
2017-2018,20,Feyenoord,nl NED,1. Eredivisie,4th,13.2,,,,,,,,,,,,,,,,,,,,,,,Sofyan Amrabat,MF
2018-2019,21,Club Brugge,be BEL,1. First Division A,2nd,12.8,942,40,231,558,173,7,942,19,18,94.7,1,5.3,579,3881,2442,50,23,4,16,14,632,16,Sofyan Amrabat,MF
2019-2020,22,Club Brugge,be BEL,1. First Division A,1st,0.9,91,2,10,54,29,0,91,1,1,100.0,0,0.0,69,219,107,1,2,1,3,1,76,0,Sofyan Amrabat,MF
2019-2020,22,Hellas Verona,it ITA,1. Serie A,9th,32.4,2062,54,355,1357,395,22,2061,103,75,72.8,28,27.2,1388,10322,4827,84,67,5,57,56,1421,52,Sofyan Amrabat,MF
2020-2021,23,Fiorentina,it ITA,1. Serie A,13th,27.1,1603,33,270,1091,266,12,1603,71,47,66.2,24,33.8,1051,6212,2510,38,33,3,33,48,1143,46,Sofyan Amrabat,MF
2021-2022,24,Fiorentina,it ITA,1. Serie A,7th,10.5,799,28,176,530,101,0,799,12,10,83.3,2,16.7,506,2432,1014,13,9,0,9,6,572,3,Sofyan Amrabat,MF
2022-2023,25,Fiorentina,it ITA,1. Serie A,8th,22.2,1641,45,298,1106,256,6,1641,17,12,70.6,4,23.5,1054,6108,2876,36,28,1,20,16,1196,24,Sofyan Amrabat,MF
2023-2024,26,Manchester Utd,eng ENG,1. Premier League,8th,10.4,770,48,218,439,120,1,770,10,6,60.0,2,20.0,489,2362,947,6,8,0,9,11,545,10,Sofyan Amrabat,MF
2024-2025,27,Fiorentina,it ITA,1. Serie A,4th,2.0,140,6,24,103,14,0,140,0,0,,0,,84,388,196,2,0,0,1,2,103,1,Sofyan Amrabat,MF
2024-2025,27,Fenerbahçe,tr TUR,1. Süper Lig,2nd,8.1,,,,,,,,,,,,,,,,,,,,,,,Sofyan Amrabat,MF
2016-2017,18,Paris S-G,fr FRA,1. Ligue 1,2nd,1.5,,,,,,,,,,,,,,,,,,,,,,,Jonathan Ikone,"FW,MF"
2016-2017,18,Montpellier,fr FRA,1. Ligue 1,15th,7.4,,,,,,,,,,,,,,,,,,,,,,,Jonathan Ikone,"FW,MF"
2017-2018,19,Montpellier,fr FRA,1. Ligue 1,10th,11.1,520,5,35,228,268,37,520,52,33,63.5,19,36.5,328,2775,1305,48,41,19,30,27,414,85,Jonathan Ikone,"FW,MF"
2018-2019,20,Lille,fr FRA,1. Ligue 1,2nd,31.1,1255,8,89,610,578,83,1255,123,75,61.0,48,39.0,908,6017,3214,112,74,33,80,65,1009,199,Jonathan Ikone,"FW,MF"
2019-2020,21,Lille,fr FRA,1. Ligue 1,4th,22.9,983,5,41,458,505,71,982,119,72,60.5,47,39.5,666,4251,1981,67,55,30,74,49,748,162,Jonathan Ikone,"FW,MF"
2020-2021,22,Lille,fr FRA,1. Ligue 1,1st,24.2,1012,14,82,506,448,55,1011,87,53,60.9,34,39.1,712,4495,2322,65,54,24,61,56,796,117,Jonathan Ikone,"FW,MF"
2021-2022,23,Lille,fr FRA,1. Ligue 1,10th,11.8,576,15,63,284,248,44,576,56,25,44.6,30,53.6,372,2512,1243,34,29,11,29,18,417,71,Jonathan Ikone,"FW,MF"
2021-2022,23,Fiorentina,it ITA,1. Serie A,7th,7.2,369,6,31,159,183,28,369,23,13,56.5,10,43.5,244,1623,758,13,14,7,27,10,273,57,Jonathan Ikone,"FW,MF"
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,22.3,921,7,78,372,490,109,921,90,48,53.3,30,33.3,654,5072,2366,83,45,50,61,47,714,178,Jonathan Ikone,"FW,MF"
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,18.7,641,8,55,249,346,84,641,46,21,45.7,20,43.5,433,3266,1469,51,21,36,28,22,484,154,Jonathan Ikone,"FW,MF"
2024-2025,26,Fiorentina,it ITA,1. Serie A,4th,2.8,102,2,16,36,53,12,102,13,4,30.8,8,61.5,68,589,328,10,5,4,2,5,78,27,Jonathan Ikone,"FW,MF"
2020-2021,19,Empoli,it ITA,2. Serie B,1st,18.3,1634,51,464,739,459,32,1634,67,40,59.7,27,40.3,924,5335,2990,72,66,17,41,15,959,83,Fabiano Parisi,DF
2021-2022,20,Empoli,it ITA,1. Serie A,14th,16.4,1040,79,381,424,263,17,1040,55,29,52.7,26,47.3,589,3860,2116,58,41,6,42,18,519,49,Fabiano Parisi,DF
2022-2023,21,Empoli,it ITA,1. Serie A,14th,31.4,2094,159,727,930,483,26,2094,129,64,49.6,47,36.4,1105,7030,4064,102,75,13,55,39,1113,68,Fabiano Parisi,DF
2023-2024,22,Fiorentina,it ITA,1. Serie A,8th,16.2,1171,51,327,551,313,25,1171,42,24,57.1,11,26.2,702,4605,2491,50,41,10,25,17,705,64,Fabiano Parisi,DF
2024-2025,23,Fiorentina,it ITA,1. Serie A,4th,1.8,97,3,28,45,24,4,97,5,3,60.0,1,20.0,61,321,184,4,4,3,2,4,59,3,Fabiano Parisi,DF
2016-2017,18,1860 Munich,de GER,2. 2. Bundesliga,16th,6.0,,,,,,,,,,,,,,,,,,,,,,,Marin Pongračić,DF
2017-2018,19,RB Salzburg,at AUT,1. Bundesliga,1st,14.6,,,,,,,,,,,,,,,,,,,,,,,Marin Pongračić,DF
2018-2019,20,RB Salzburg,at AUT,1. Bundesliga,1st,13.2,,,,,,,,,,,,,,,,,,,,,,,Marin Pongračić,DF
2019-2020,21,RB Salzburg,at AUT,1. Bundesliga,1st,4.3,,,,,,,,,,,,,,,,,,,,,,,Marin Pongračić,DF
2019-2020,21,Wolfsburg,de GER,1. Bundesliga,7th,10.3,684,49,318,365,14,5,684,13,11,84.6,2,15.4,435,2630,1596,10,6,0,7,4,421,0,Marin Pongračić,DF
2020-2021,22,Wolfsburg,de GER,1. Bundesliga,4th,6.4,395,53,217,175,4,2,395,0,0,,0,,231,1333,669,2,1,0,4,0,230,0,Marin Pongračić,DF
2021-2022,23,Dortmund,de GER,1. Bundesliga,2nd,9.2,734,78,380,352,9,0,734,9,7,77.8,2,22.2,477,2631,1182,7,3,0,5,0,511,0,Marin Pongračić,DF
2022-2023,24,Lecce,it ITA,1. Serie A,16th,8.8,435,48,232,201,11,4,435,2,2,100.0,0,0.0,223,1491,754,3,1,0,5,0,210,1,Marin Pongračić,DF
2023-2024,25,Lecce,it ITA,1. Serie A,14th,35.8,2191,322,1143,1018,60,23,2191,23,15,65.2,4,17.4,1324,10044,5792,45,18,1,15,3,1324,7,Marin Pongračić,DF
2024-2025,26,Fiorentina,it ITA,1. Serie A,4th,1.1,65,11,34,29,2,0,65,1,1,100.0,0,0.0,29,225,110,0,1,0,0,0,38,0,Marin Pongračić,DF
2012-2013,17,Příbram,cz CZE,1. First League,11th,0.1,,,,,,,,,,,,,,,,,,,,,,,Antonín Barák,MF
2015-2016,20,Příbram,cz CZE,1. First League,14th,8.5,,,,,,,,,,,,,,,,,,,,,,,Antonín Barák,MF
2015-2016,20,Slavia Prague,cz CZE,1. First League,5th,6.1,,,,,,,,,,,,,,,,,,,,,,,Antonín Barák,MF
2016-2017,21,Slavia Prague,cz CZE,1. First League,1st,18.0,,,,,,,,,,,,,,,,,,,,,,,Antonín Barák,MF
2017-2018,22,Udinese,it ITA,1. Serie A,14th,30.1,1452,33,234,861,387,53,1452,55,31,56.4,24,43.6,954,5759,2780,67,56,17,38,49,1010,127,Antonín Barák,MF
2018-2019,23,Udinese,it ITA,1. Serie A,12th,3.7,211,3,39,129,44,1,211,4,3,75.0,1,25.0,149,779,369,9,7,0,6,7,163,11,Antonín Barák,MF
2019-2020,24,Udinese,it ITA,1. Serie A,13th,2.2,135,3,18,67,51,2,135,2,1,50.0,1,50.0,82,425,213,7,5,0,8,4,86,12,Antonín Barák,MF
2019-2020,24,Lecce,it ITA,1. Serie A,18th,15.2,842,27,183,436,232,36,842,22,10,45.5,12,54.5,544,3379,1894,44,41,2,16,20,629,66,Antonín Barák,MF
2020-2021,25,Hellas Verona,it ITA,1. Serie A,10th,30.7,1598,57,234,937,459,76,1598,41,27,65.9,14,34.1,882,4840,2376,64,49,14,44,28,1080,101,Antonín Barák,MF
2021-2022,26,Hellas Verona,it ITA,1. Serie A,9th,26.0,1376,40,185,723,488,91,1372,55,31,56.4,24,43.6,851,4966,2391,68,51,16,42,54,1039,124,Antonín Barák,MF
2022-2023,27,Hellas Verona,it ITA,1. Serie A,18th,0.3,16,0,0,10,6,0,16,2,1,50.0,1,50.0,12,68,25,0,0,0,1,1,11,1,Antonín Barák,MF
2022-2023,27,Fiorentina,it ITA,1. Serie A,8th,20.0,904,19,84,470,362,67,904,39,19,48.7,17,43.6,556,3364,1435,45,31,8,34,28,649,93,Antonín Barák,MF
2023-2024,28,Fiorentina,it ITA,1. Serie A,8th,9.0,473,6,38,218,219,40,473,13,4,30.8,8,61.5,310,1648,634,17,23,1,15,16,372,64,Antonín Barák,MF
2024-2025,29,Fiorentina,it ITA,1. Serie A,4th,0.6,25,1,2,11,12,3,25,1,0,0.0,1,100.0,20,117,35,2,1,0,1,0,20,5,Antonín Barák,MF
2024-2025,29,Kasımpaşa,tr TUR,1. Süper Lig,14th,4.5,,,,,,,,,,,,,,,,,,,,,,,Antonín Barák,MF
2023-2024,19,Fiorentina,it ITA,1. Serie A,8th,22.9,1537,72,478,703,371,23,1537,47,22,46.8,21,44.7,834,4821,2245,45,31,7,30,8,941,102,Michael Kayode,"DF,FW"
2024-2025,20,Fiorentina,it ITA,1. Serie A,4th,0.4,28,3,11,10,7,1,28,3,3,100.0,0,0.0,8,63,29,2,0,1,0,3,10,1,Michael Kayode,"DF,FW"
2022-2023,19,Fiorentina,it ITA,1. Serie A,8th,1.7,91,2,18,59,14,1,91,2,0,0.0,0,0.0,49,240,144,4,1,0,2,5,68,2,Alessandro Bianco,MF
2023-2024,20,Reggiana,it ITA,2. Serie B,11th,33.5,2336,75,537,1453,378,15,2336,84,46,54.8,27,32.1,1448,7472,4058,76,46,4,50,24,1715,45,Alessandro Bianco,MF
2024-2025,21,Monza,it ITA,1. Serie A,19th,9.2,592,21,145,360,95,8,592,15,6,40.0,7,46.7,385,2196,1020,16,16,3,16,10,422,9,Alessandro Bianco,MF
2024-2025,21,Fiorentina,it ITA,1. Serie A,4th,0.2,14,0,2,11,1,0,14,0,0,,0,,8,48,30,0,0,0,1,0,8,1,Alessandro Bianco,MF
2024-2025,17,Fiorentina,it ITA,1. Serie A,4th,0.1,3,0,1,2,0,0,3,0,0,,0,,3,5,4,0,0,0,0,0,1,0,Tommaso Rubino,MF
2015-2016,17,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,3.2,,,,,,,,,,,,,,,,,,,,,,,Josip Brekalo,"FW,MF"
