Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2017-2018,19,Toulouse,fr FRA,1. Ligue 1,18th,17.6,1040,43,208,674,182,17,1040,36,29,80.6,7,19.4,548,3247,1601,34,20,2,24,25,611,23,Ibrahim Sangaré,MF
2018-2019,20,Toulouse,fr FRA,1. Ligue 1,16th,27.4,1912,95,453,1213,279,27,1912,71,50,70.4,21,29.6,1089,5546,2879,37,43,0,54,33,1247,36,Ibrahim Sangaré,MF
2019-2020,21,Toulouse,fr FRA,1. Ligue 1,20th,24.2,1609,94,396,984,252,28,1609,39,30,76.9,9,23.1,933,4534,2363,35,27,2,40,25,997,23,Ibrahim Sangaré,MF
2020-2021,22,Toulouse,fr FRA,2. Ligue 2,3rd,2.0,187,8,45,128,17,2,187,3,3,100.0,0,0.0,112,657,360,5,5,1,3,2,122,2,Ibrahim Sangaré,MF
2020-2021,22,PSV Eindhoven,nl NED,1. Eredivisie,2nd,25.3,2276,87,531,1416,357,32,2276,48,36,75.0,12,25.0,1319,6037,2519,26,34,5,40,23,1535,30,Ibrahim Sangaré,MF
2021-2022,23,PSV Eindhoven,nl NED,1. Eredivisie,2nd,26.8,2453,73,455,1567,457,55,2453,68,47,69.1,21,30.9,1461,6835,3140,39,44,5,40,30,1679,47,Ibrahim Sangaré,MF
2022-2023,24,PSV Eindhoven,nl NED,1. Eredivisie,2nd,25.6,1885,92,435,1101,378,47,1885,48,34,70.8,10,20.8,989,4756,2104,32,44,2,44,41,1217,37,Ibrahim Sangaré,MF
2023-2024,25,PSV Eindhoven,nl NED,1. Eredivisie,1st,2.0,187,6,24,139,25,1,187,3,2,66.7,1,33.3,110,622,299,4,3,0,4,2,154,0,Ibrahim Sangaré,MF
2023-2024,25,Nott'ham Forest,eng ENG,1. Premier League,17th,11.5,554,36,176,289,92,12,554,12,6,50.0,6,50.0,279,1219,532,5,4,0,10,8,327,7,Ibrahim Sangaré,MF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,2.4,146,4,36,92,20,6,146,0,0,,0,,60,231,67,0,2,0,2,1,76,2,Ibrahim Sangaré,MF
2020-2021,19,Benfica,pt POR,1. Primeira Liga,3rd,1.0,68,4,28,37,3,1,68,0,0,,0,,41,183,136,2,1,0,0,0,48,0,Morato,DF
2021-2022,20,Benfica,pt POR,1. Primeira Liga,3rd,11.2,847,92,346,465,42,9,847,9,7,77.8,2,22.2,587,3375,2265,23,13,0,3,1,621,0,Morato,DF
2022-2023,21,Benfica,pt POR,1. Primeira Liga,1st,7.2,547,56,265,274,9,3,547,1,1,100.0,0,0.0,340,1496,897,7,4,0,2,1,386,0,Morato,DF
2023-2024,22,Benfica,pt POR,1. Primeira Liga,2nd,16.9,1118,81,397,495,232,20,1118,20,11,55.0,6,30.0,516,2594,1481,28,28,2,25,9,669,61,Morato,DF
2024-2025,23,Benfica,pt POR,1. Primeira Liga,3rd,1.0,85,8,31,49,7,2,85,1,1,100.0,0,0.0,52,413,297,4,4,0,0,0,59,0,Morato,DF
2024-2025,23,Nott'ham Forest,eng ENG,1. Premier League,3rd,4.1,187,47,127,48,13,0,187,1,1,100.0,0,0.0,54,241,137,0,2,0,4,0,59,0,Morato,DF
2015-2016,17,FSV Frankfurt,de GER,2. 2. Bundesliga,17th,10.0,,,,,,,,,,,,,,,,,,,,,,,Taiwo Awoniyi,FW
2016-2017,18,NEC Nijmegen,nl NED,1. Eredivisie,16th,10.7,,,,,,,,,,,,,,,,,,,,,,,Taiwo Awoniyi,FW
2017-2018,19,Excel Mouscron,be BEL,1. First Division A,13th,26.2,804,9,26,344,452,114,804,58,43,74.1,15,25.9,511,3820,1669,54,43,23,77,42,681,194,Taiwo Awoniyi,FW
2018-2019,20,Excel Mouscron,be BEL,1. First Division A,14th,7.9,287,6,13,110,166,43,287,14,6,42.9,8,57.1,183,1115,456,16,11,6,36,19,235,73,Taiwo Awoniyi,FW
2018-2019,20,Gent,be BEL,1. First Division A,5th,6.3,224,1,7,98,122,30,224,5,0,0.0,5,100.0,128,587,188,6,4,2,13,13,182,58,Taiwo Awoniyi,FW
2019-2020,21,Mainz 05,de GER,1. Bundesliga,13th,5.4,179,3,20,81,83,31,179,15,8,53.3,7,46.7,117,827,386,12,8,6,21,4,128,43,Taiwo Awoniyi,FW
2020-2021,22,Union Berlin,de GER,1. Bundesliga,7th,15.1,485,3,26,268,203,66,485,29,13,44.8,16,55.2,294,1358,495,19,23,10,75,29,389,108,Taiwo Awoniyi,FW
2021-2022,23,Union Berlin,de GER,1. Bundesliga,5th,24.2,829,32,56,393,396,129,827,63,35,55.6,28,44.4,501,2643,1004,36,23,19,140,41,609,171,Taiwo Awoniyi,FW
