Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2022-2023,19,Newcastle Utd,eng ENG,1. Premier League,4th,4.6,0,0,0,6,10,1,9,6,5,0,0,0,29,11,5,68.8,Elliot Anderson,"MF,FW"
2023-2024,20,Newcastle Utd,eng ENG,1. Premier League,7th,11.4,3,0,0,21,19,1,19,8,18,0,0,0,60,19,12,61.3,Elliot Anderson,"MF,FW"
2024-2025,21,Nott'ham Forest,eng ENG,1. Premier League,3rd,12.6,4,0,0,20,26,2,45,14,31,0,0,0,86,20,12,62.5,Elliot Anderson,"MF,FW"
2016-2017,18,Barrow,eng ENG,5. National League,7th,15.5,4,0,0,18,0,0,0,0,0,0,0,0,,,,,Ryan Yates,MF
2016-2017,18,Shrewsbury,eng ENG,3. League One,18th,8.3,2,2,1,19,0,0,0,0,0,0,0,0,,,,,Ryan Yates,MF
2017-2018,19,Scunthorpe Utd,eng ENG,3. League One,5th,14.2,0,0,0,19,0,0,0,0,0,0,0,0,,,,,Ryan Yates,MF
2017-2018,19,Notts County,eng ENG,4. League Two,5th,24.7,2,0,0,33,0,0,0,0,0,0,0,0,,,,,Ryan Yates,MF
2018-2019,20,Nott'ham Forest,eng ENG,2. Championship,9th,13.6,5,0,0,30,38,1,3,21,13,0,0,0,89,18,41,30.5,Ryan Yates,MF
2019-2020,21,Nott'ham Forest,eng ENG,2. Championship,7th,16.7,0,1,0,21,50,4,10,18,10,0,1,0,69,55,41,57.3,Ryan Yates,MF
2020-2021,22,Nott'ham Forest,eng ENG,2. Championship,17th,30.2,3,1,0,41,79,8,9,37,35,0,1,0,190,109,84,56.5,Ryan Yates,MF
2021-2022,23,Nott'ham Forest,eng ENG,2. Championship,4th,40.8,8,0,0,68,78,8,11,50,43,0,1,1,254,98,63,60.9,Ryan Yates,MF
2022-2023,24,Nott'ham Forest,eng ENG,1. Premier League,16th,20.4,5,0,0,50,53,1,8,10,19,1,0,0,111,29,21,58.0,Ryan Yates,MF
2023-2024,25,Nott'ham Forest,eng ENG,1. Premier League,17th,22.1,6,0,0,54,57,2,6,21,39,0,0,0,110,41,36,53.2,Ryan Yates,MF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,14.5,5,0,0,33,36,5,3,18,16,0,0,0,63,32,19,62.7,Ryan Yates,MF
2018-2019,16,Manchester Utd,eng ENG,Jr. PL2 — Div. 2,6th,0.3,0,0,0,,,,,,,,,0,,,,,Anthony Elanga,"FW,MF"
2019-2020,17,Manchester Utd,eng ENG,Jr. PL2 — Div. 2,2nd,4.6,0,0,0,,,,,,,,,0,,,,,Anthony Elanga,"FW,MF"
2020-2021,18,Manchester Utd,eng ENG,1. Premier League,2nd,1.7,0,0,0,2,4,1,2,1,2,0,0,0,9,1,4,20.0,Anthony Elanga,"FW,MF"
2020-2021,18,Manchester Utd,eng ENG,Jr. PL2 — Div. 1,8th,15.6,0,0,0,,,,,,,,,0,,,,,Anthony Elanga,"FW,MF"
2021-2022,19,Manchester Utd,eng ENG,Jr. PL2 — Div. 1,6th,8.0,1,1,0,,,,,,,,,0,,,,,Anthony Elanga,"FW,MF"
2021-2022,19,Manchester Utd,eng ENG,1. Premier League,6th,13.5,0,0,0,8,22,3,21,9,20,0,0,0,50,24,18,57.1,Anthony Elanga,"FW,MF"
2022-2023,20,Manchester Utd,eng ENG,1. Premier League,3rd,4.7,0,0,0,3,7,3,7,2,0,0,0,0,17,8,11,42.1,Anthony Elanga,"FW,MF"
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,27.0,1,0,0,9,26,19,58,8,19,0,0,0,96,17,37,31.5,Anthony Elanga,"FW,MF"
2024-2025,22,Nott'ham Forest,eng ENG,1. Premier League,3rd,11.6,1,0,0,3,17,9,80,4,6,0,0,0,43,12,16,42.9,Anthony Elanga,"FW,MF"
2016-2017,18,Vélez Sarsfield,ar ARG,1. Primera Div,19th,8.0,1,0,0,10,7,1,35,9,20,0,0,0,46,6,9,40.0,Nicolás Domínguez,"MF,FW"
2017-2018,19,Vélez Sarsfield,ar ARG,1. Liga Argentina,14th,20.5,4,0,0,36,27,0,21,33,45,0,0,1,118,28,28,50.0,Nicolás Domínguez,"MF,FW"
