Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2021-2022,29,Newcastle Utd,eng ENG,1. Premier League,11th,14.7,169,327,51.7,1958,472,126,207,60.9,26,65,40.0,6,10,60.0,0,1.1,0.5,-1.1,10,18,2,0,18,Chris Wood,FW
2022-2023,30,Newcastle Utd,eng ENG,1. Premier League,4th,5.0,66,106,62.3,786,149,40,67,59.7,16,25,64.0,4,5,80.0,0,0.3,0.3,-0.3,3,3,1,0,4,Chris Wood,FW
2022-2023,30,Nott'ham Forest,eng ENG,1. Premier League,16th,4.1,43,71,60.6,581,139,26,43,60.5,14,22,63.6,1,2,50.0,0,0.2,0.1,-0.2,3,5,2,0,7,Chris Wood,FW
2023-2024,31,Nott'ham Forest,eng ENG,1. Premier League,17th,20.1,278,433,64.2,3415,784,178,260,68.5,70,108,64.8,7,11,63.6,1,2.1,1.1,-1.1,22,19,3,0,30,Chris Wood,FW
2024-2025,32,Nott'ham Forest,eng ENG,1. Premier League,3rd,16.5,156,248,62.9,2070,504,104,150,69.3,33,56,58.9,9,13,69.2,1,1.2,0.3,-0.2,7,8,5,1,16,Chris Wood,FW
2017-2018,16,Chelsea,eng ENG,Jr. PL2 — Div. 1,8th,8.2,,,,,,,,,,,,,,,1,,,,,,,,,Callum Hudson-Odoi,"FW,MF"
2017-2018,16,Chelsea,eng ENG,1. Premier League,5th,0.3,12,18,66.7,222,30,5,6,83.3,5,7,71.4,1,3,33.3,0,0.0,0.0,0.0,0,2,1,0,2,Callum Hudson-Odoi,"FW,MF"
2018-2019,17,Chelsea,eng ENG,Jr. PL2 — Div. 1,6th,5.0,,,,,,,,,,,,,,,2,,,,,,,,,Callum Hudson-Odoi,"FW,MF"
2018-2019,17,Chelsea,eng ENG,1. Premier League,3rd,4.4,185,231,80.1,2518,451,125,143,87.4,40,52,76.9,11,20,55.0,1,1.4,1.2,-0.4,9,7,7,3,13,Callum Hudson-Odoi,"FW,MF"
2019-2020,18,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,1.5,,,,,,,,,,,,,,,1,,,,,,,,,Callum Hudson-Odoi,"FW,MF"
2019-2020,18,Chelsea,eng ENG,1. Premier League,4th,9.6,380,486,78.2,6339,1158,196,231,84.8,105,129,81.4,52,75,69.3,5,2.0,2.0,+3.0,20,15,26,9,43,Callum Hudson-Odoi,"FW,MF"
2020-2021,19,Chelsea,eng ENG,1. Premier League,4th,11.8,533,659,80.9,7903,1791,315,349,90.3,139,179,77.7,39,65,60.0,3,2.8,2.9,+0.2,31,29,43,13,75,Callum Hudson-Odoi,"FW,MF"
2021-2022,20,Chelsea,eng ENG,1. Premier League,3rd,10.7,317,399,79.4,4453,981,203,232,87.5,87,109,79.8,15,33,45.5,2,2.1,1.9,-0.1,25,9,18,4,41,Callum Hudson-Odoi,"FW,MF"
2022-2023,21,Leverkusen,de GER,1. Bundesliga,6th,6.7,206,248,83.1,3427,782,114,128,89.1,67,78,85.9,22,30,73.3,1,0.8,0.9,+0.2,13,18,7,1,31,Callum Hudson-Odoi,"FW,MF"
2023-2024,22,Nott'ham Forest,eng ENG,1. Premier League,17th,20.6,574,736,78.0,9036,1826,325,359,90.5,187,251,74.5,46,83,55.4,1,2.8,2.5,-1.8,36,20,32,8,58,Callum Hudson-Odoi,"FW,MF"
2024-2025,23,Nott'ham Forest,eng ENG,1. Premier League,3rd,14.6,414,505,82.0,5861,1151,256,278,92.1,117,144,81.3,24,49,49.0,1,1.7,1.4,-0.7,31,14,15,4,41,Callum Hudson-Odoi,"FW,MF"
2016-2017,16,Wolves,eng ENG,2. Championship,15th,2.2,,,,,,,,,,,,,,,0,,,,,,,,,Morgan Gibbs-White,MF
2017-2018,17,Wolves,eng ENG,Jr. PL2 — Div. 2,9th,1.4,,,,,,,,,,,,,,,1,,,,,,,,,Morgan Gibbs-White,MF
2017-2018,17,Wolves,eng ENG,2. Championship,1st,2.8,,,,,,,,,,,,,,,0,,,,,,,,,Morgan Gibbs-White,MF
2018-2019,18,Wolves,eng ENG,1. Premier League,7th,7.4,272,336,81.0,4750,970,119,140,85.0,105,122,86.1,35,46,76.1,1,1.3,1.0,-0.3,11,28,8,1,28,Morgan Gibbs-White,MF
2019-2020,19,Wolves,eng ENG,Jr. PL2 — Div. 1,12th,0.4,,,,,,,,,,,,,,,0,,,,,,,,,Morgan Gibbs-White,MF
2019-2020,19,Wolves,eng ENG,1. Premier League,7th,1.4,64,83,77.1,962,230,32,37,86.5,26,33,78.8,2,6,33.3,0,0.1,0.1,-0.1,3,3,2,0,6,Morgan Gibbs-White,MF
2020-2021,20,Swansea City,eng ENG,2. Championship,4th,3.5,118,170,69.4,1860,512,64,77,83.1,31,47,66.0,16,30,53.3,1,0.7,0.6,+0.3,9,12,5,2,20,Morgan Gibbs-White,MF
2020-2021,20,Wolves,eng ENG,1. Premier League,13th,4.6,193,236,81.8,2799,646,109,127,85.8,58,69,84.1,14,23,60.9,0,0.4,0.3,-0.4,8,20,3,0,28,Morgan Gibbs-White,MF
2021-2022,21,Sheffield Utd,eng ENG,2. Championship,5th,31.8,1005,1430,70.3,14912,4479,575,737,78.0,298,407,73.2,76,132,57.6,9,10.0,9.0,-1.0,55,111,78,18,190,Morgan Gibbs-White,MF
2021-2022,21,Wolves,eng ENG,1. Premier League,10th,0.1,7,10,70.0,77,26,6,7,85.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,2,Morgan Gibbs-White,MF
2022-2023,22,Wolves,eng ENG,1. Premier League,13th,2.0,75,95,78.9,1122,345,47,58,81.0,17,21,81.0,7,9,77.8,0,0.1,0.2,-0.1,1,10,1,0,12,Morgan Gibbs-White,MF
2022-2023,22,Nott'ham Forest,eng ENG,1. Premier League,16th,33.0,659,1078,61.1,10717,3931,351,466,75.3,195,279,69.9,84,229,36.7,8,8.2,6.2,-0.2,66,70,40,5,131,Morgan Gibbs-White,MF
