Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2016-2017,16,Wolves,eng ENG,2. Championship,15th,2.2,,,,,,,0,,,,,,,,,Morgan Gibbs-White,MF
2017-2018,17,Wolves,eng ENG,Jr. PL2 — Div. 2,9th,1.4,,,,,,,,,,,,,,,,Morgan Gibbs-White,MF
2017-2018,17,Wolves,eng ENG,2. Championship,1st,2.8,,,,,,,3,,,,,,,,,Morgan Gibbs-White,MF
2018-2019,18,Wolves,eng ENG,1. Premier League,7th,7.4,336,315,19,4,4,4,17,0,9,4,5,0,272,2,7,Morgan Gibbs-White,MF
2019-2020,19,Wolves,eng ENG,Jr. PL2 — Div. 1,12th,0.4,,,,,,,,,,,,,,,,Morgan Gibbs-White,MF
2019-2020,19,Wolves,eng ENG,1. Premier League,7th,1.4,83,80,2,1,1,0,2,1,0,0,0,0,64,1,2,Morgan Gibbs-White,MF
2020-2021,20,Swansea City,eng ENG,2. Championship,4th,3.5,170,160,9,4,0,1,17,0,5,4,0,0,118,1,4,Morgan Gibbs-White,MF
2020-2021,20,Wolves,eng ENG,1. Premier League,13th,4.6,236,229,7,3,0,2,11,3,1,0,1,0,193,0,4,Morgan Gibbs-White,MF
2021-2022,21,Sheffield Utd,eng ENG,2. Championship,5th,31.8,1430,1403,17,3,22,9,80,8,1,0,0,0,1005,10,47,Morgan Gibbs-White,MF
2021-2022,21,Wolves,eng ENG,1. Premier League,10th,0.1,10,9,1,0,0,0,1,0,1,1,0,0,7,0,1,Morgan Gibbs-White,MF
2022-2023,22,Wolves,eng ENG,1. Premier League,13th,2.0,95,88,7,2,0,1,8,1,4,0,3,0,75,0,2,Morgan Gibbs-White,MF
2022-2023,22,Nott'ham Forest,eng ENG,1. Premier League,16th,33.0,1078,891,171,62,16,8,161,5,94,43,44,1,659,16,30,Morgan Gibbs-White,MF
2023-2024,23,Nott'ham Forest,eng ENG,1. Premier League,17th,35.1,1480,1255,214,91,17,17,182,5,97,42,45,0,1045,11,30,Morgan Gibbs-White,MF
2024-2025,24,Nott'ham Forest,eng ENG,1. Premier League,3rd,12.9,533,523,4,4,12,5,11,0,0,0,0,0,416,6,13,Morgan Gibbs-White,MF
2019-2020,16,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,6th,5.5,,,,,,,,,,,,,,,,Elliot Anderson,"MF,FW"
2020-2021,17,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,13th,9.0,,,,,,,,,,,,,,,,Elliot Anderson,"MF,FW"
2020-2021,17,Newcastle Utd,eng ENG,1. Premier League,12th,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Elliot Anderson,"MF,FW"
2021-2022,18,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,8th,5.9,,,,,,,,,,,,,,,,Elliot Anderson,"MF,FW"
2021-2022,18,Bristol Rovers,eng ENG,4. League Two,3rd,19.5,,,,,,,32,,,,,,,,,Elliot Anderson,"MF,FW"
2022-2023,19,Newcastle Utd,eng ENG,1. Premier League,4th,4.6,198,193,3,0,1,0,9,2,1,0,0,0,150,2,10,Elliot Anderson,"MF,FW"
2023-2024,20,Newcastle Utd,eng ENG,1. Premier League,7th,11.4,460,431,29,3,4,1,19,25,1,0,0,0,370,0,9,Elliot Anderson,"MF,FW"
2024-2025,21,Nott'ham Forest,eng ENG,1. Premier League,3rd,12.6,575,522,50,14,3,2,45,1,29,12,15,0,449,3,14,Elliot Anderson,"MF,FW"
