Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2020-2021,28,Burnley,eng ENG,1. Premier League,17th,33,32,2741,30.5,12,3,15,10,2,2,0,0,13.0,11.4,1.9,13.4,17,20,217,0.39,0.10,0.49,0.33,0.43,0.43,0.06,0.49,0.38,0.44,Chris Wood,FW
2021-2022,29,Burnley,eng ENG,1. Premier League,18th,17,17,1367,15.2,3,0,3,3,0,0,1,0,4.2,4.2,0.5,4.7,5,23,69,0.20,0.00,0.20,0.20,0.20,0.28,0.03,0.31,0.28,0.31,Chris Wood,FW
2021-2022,29,Newcastle Utd,eng ENG,1. Premier League,11th,17,15,1327,14.7,2,0,2,1,1,1,0,0,3.1,2.3,1.1,3.4,5,18,60,0.14,0.00,0.14,0.07,0.07,0.21,0.07,0.28,0.16,0.23,Chris Wood,FW
2022-2023,30,Newcastle Utd,eng ENG,1. Premier League,4th,18,4,446,5.0,2,0,2,1,1,1,0,0,1.8,1.0,0.3,1.3,1,4,23,0.40,0.00,0.40,0.20,0.20,0.37,0.06,0.43,0.21,0.27,Chris Wood,FW
2022-2023,30,Nott'ham Forest,eng ENG,1. Premier League,16th,7,5,372,4.1,1,0,1,1,0,0,0,0,1.0,1.0,0.2,1.2,2,7,12,0.24,0.00,0.24,0.24,0.24,0.23,0.05,0.28,0.23,0.28,Chris Wood,FW
2023-2024,31,Nott'ham Forest,eng ENG,1. Premier League,17th,31,20,1812,20.1,14,1,15,14,0,0,0,0,11.9,11.9,2.1,14.0,16,30,76,0.70,0.05,0.75,0.70,0.75,0.59,0.10,0.70,0.59,0.70,Chris Wood,FW
2024-2025,32,Nott'ham Forest,eng ENG,1. Premier League,3rd,19,18,1486,16.5,11,1,12,9,2,2,1,0,6.9,5.3,1.2,6.5,12,16,40,0.67,0.06,0.73,0.55,0.61,0.42,0.07,0.49,0.32,0.39,Chris Wood,FW
2017-2018,16,Chelsea,eng ENG,Jr. PL2 — Div. 1,8th,10,7,740,8.2,6,1,7,4,2,2,0,0,,,,,,,,0.73,0.12,0.85,0.49,0.61,,,,,,Callum Hudson-Odoi,"FW,MF"
2017-2018,16,Chelsea,eng ENG,1. Premier League,5th,2,0,29,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,2,5,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25,Callum Hudson-Odoi,"FW,MF"
2018-2019,17,Chelsea,eng ENG,Jr. PL2 — Div. 1,6th,5,5,450,5.0,1,2,3,0,1,1,0,0,,,,,,,,0.20,0.40,0.60,0.00,0.40,,,,,,Callum Hudson-Odoi,"FW,MF"
2018-2019,17,Chelsea,eng ENG,1. Premier League,3rd,10,4,393,4.4,0,1,1,0,0,0,0,0,0.7,0.7,1.4,2.2,20,13,59,0.00,0.23,0.23,0.00,0.23,0.16,0.33,0.50,0.16,0.50,Callum Hudson-Odoi,"FW,MF"
2019-2020,18,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,2,2,135,1.5,1,1,2,1,0,0,0,0,,,,,,,,0.67,0.67,1.33,0.67,1.33,,,,,,Callum Hudson-Odoi,"FW,MF"
2019-2020,18,Chelsea,eng ENG,1. Premier League,4th,22,7,863,9.6,1,5,6,1,0,0,1,0,1.9,1.9,2.0,4.0,63,43,116,0.10,0.52,0.63,0.10,0.63,0.20,0.21,0.41,0.20,0.41,Callum Hudson-Odoi,"FW,MF"
2020-2021,19,Chelsea,eng ENG,1. Premier League,4th,23,10,1059,11.8,2,3,5,2,0,0,0,0,1.3,1.3,2.8,4.1,89,75,155,0.17,0.25,0.42,0.17,0.42,0.11,0.24,0.35,0.11,0.35,Callum Hudson-Odoi,"FW,MF"
2021-2022,20,Chelsea,eng ENG,1. Premier League,3rd,15,11,962,10.7,1,2,3,1,0,0,1,0,2.5,2.5,2.1,4.6,67,41,102,0.09,0.19,0.28,0.09,0.28,0.23,0.20,0.43,0.23,0.43,Callum Hudson-Odoi,"FW,MF"
2022-2023,21,Chelsea,eng ENG,1. Premier League,12th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Callum Hudson-Odoi,"FW,MF"
2022-2023,21,Leverkusen,de GER,1. Bundesliga,6th,14,7,605,6.7,0,1,1,0,0,0,0,0,0.2,0.2,0.8,0.9,30,31,44,0.00,0.15,0.15,0.00,0.15,0.03,0.11,0.14,0.03,0.14,Callum Hudson-Odoi,"FW,MF"
2023-2024,22,Nott'ham Forest,eng ENG,1. Premier League,17th,29,20,1854,20.6,8,1,9,8,0,0,0,0,2.7,2.7,2.8,5.5,111,58,171,0.39,0.05,0.44,0.39,0.44,0.13,0.14,0.27,0.13,0.27,Callum Hudson-Odoi,"FW,MF"
