Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2020-2021,19,Chelsea,eng ENG,1. Premier League,4th,23,1059,46,31.0,11.8,10,73,2,13,26,10,1.87,22,5,+17,+1.44,+1.25,21.4,6.3,+15.1,+1.28,+0.64,Callum Hudson-Odoi,"FW,MF"
2021-2022,20,Chelsea,eng ENG,1. Premier League,3rd,15,962,64,28.1,10.7,11,80,3,4,20,7,1.93,24,8,+16,+1.50,+0.51,18.8,8.2,+10.6,+0.99,+0.28,Callum Hudson-Odoi,"FW,MF"
2022-2023,21,Chelsea,eng ENG,1. Premier League,12th,0,,,,,0,,0,0,,3,,,,,,,,,,,,Callum Hudson-Odoi,"FW,MF"
2022-2023,21,Leverkusen,de GER,1. Bundesliga,6th,14,605,43,19.8,6.7,7,68,0,7,18,8,1.50,12,13,-1,-0.15,-0.48,9.8,8.7,+1.0,+0.15,-0.12,Callum Hudson-Odoi,"FW,MF"
2023-2024,22,Nott'ham Forest,eng ENG,1. Premier League,17th,29,1854,64,54.2,20.6,20,82,9,9,24,1,0.86,32,41,-9,-0.44,+0.08,32.4,28.2,+4.2,+0.21,+0.64,Callum Hudson-Odoi,"FW,MF"
2024-2025,23,Nott'ham Forest,eng ENG,1. Premier League,3rd,17,1316,77,77.0,14.6,15,83,3,2,36,1,2.00,24,12,+12,+0.82,+1.96,18.9,11.9,+7.1,+0.48,+1.29,Callum Hudson-Odoi,"FW,MF"
2016-2017,16,Wolves,eng ENG,2. Championship,15th,7,200,29,4.8,2.2,2,,0,5,,6,1.43,0,5,-5,-2.25,-2.27,,,,,,Morgan Gibbs-White,MF
2017-2018,17,Wolves,eng ENG,Jr. PL2 — Div. 2,9th,2,122,61,7.5,1.4,2,61,1,0,,0,3.00,5,2,+3,+2.21,+3.05,,,,,,Morgan Gibbs-White,MF
2017-2018,17,Wolves,eng ENG,2. Championship,1st,13,251,19,6.1,2.8,1,,0,12,,11,1.85,1,6,-5,-1.79,-2.90,,,,,,Morgan Gibbs-White,MF
2018-2019,18,Wolves,eng ENG,1. Premier League,7th,26,663,26,19.4,7.4,5,72,0,21,14,10,1.38,10,12,-2,-0.27,-0.37,12.7,10.5,+2.2,+0.29,+0.04,Morgan Gibbs-White,MF
2019-2020,19,Wolves,eng ENG,Jr. PL2 — Div. 1,12th,1,35,35,2.2,0.4,1,35,0,0,,0,0.00,0,2,-2,-5.14,-4.46,,,,,,Morgan Gibbs-White,MF
2019-2020,19,Wolves,eng ENG,1. Premier League,7th,7,129,18,3.8,1.4,1,66,0,6,11,19,1.43,2,2,0,0.00,-0.30,2.4,3.1,-0.8,-0.53,-0.99,Morgan Gibbs-White,MF
2020-2021,20,Swansea City,eng ENG,2. Championship,4th,5,318,64,7.7,3.5,4,78,1,1,6,0,2.60,5,1,+4,+1.13,+0.83,5.8,1.7,+4.1,+1.16,+1.18,Morgan Gibbs-White,MF
2020-2021,20,Wolves,eng ENG,1. Premier League,13th,11,414,38,12.1,4.6,4,73,1,7,17,9,0.73,4,6,-2,-0.43,-0.02,4.6,5.1,-0.6,-0.12,+0.25,Morgan Gibbs-White,MF
2021-2022,21,Sheffield Utd,eng ENG,2. Championship,5th,35,2865,82,69.2,31.8,33,85,22,2,29,0,1.70,48,28,+20,+0.63,+0.77,53.6,36.0,+17.6,+0.55,+0.40,Morgan Gibbs-White,MF
2021-2022,21,Wolves,eng ENG,1. Premier League,10th,2,9,5,0.3,0.1,0,,0,2,5,1,0.00,0,0,0,0.00,+0.13,0.3,0.1,+0.3,+2.80,+3.32,Morgan Gibbs-White,MF
2022-2023,22,Wolves,eng ENG,1. Premier League,13th,2,180,90,5.3,2.0,2,90,2,0,,0,0.50,1,2,-1,-0.50,+0.22,2.2,2.3,0.0,-0.02,+0.62,Morgan Gibbs-White,MF
2022-2023,22,Nott'ham Forest,eng ENG,1. Premier League,16th,35,2971,85,86.9,33.0,34,87,26,1,30,0,1.00,37,59,-22,-0.67,+0.94,36.0,54.7,-18.7,-0.57,+0.69,Morgan Gibbs-White,MF
2023-2024,23,Nott'ham Forest,eng ENG,1. Premier League,17th,37,3156,85,92.3,35.1,35,88,27,2,38,0,0.97,46,59,-13,-0.37,+1.33,47.2,49.1,-1.9,-0.05,+0.43,Morgan Gibbs-White,MF
2024-2025,24,Nott'ham Forest,eng ENG,1. Premier League,3rd,15,1163,78,68.0,12.9,15,78,3,0,,0,2.07,20,12,+8,+0.62,+0.78,16.8,12.6,+4.2,+0.32,+0.44,Morgan Gibbs-White,MF
2019-2020,16,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,6th,9,493,55,30.4,5.5,4,88,3,5,29,4,1.67,16,6,+10,+1.83,+2.86,,,,,,Elliot Anderson,"MF,FW"
2020-2021,17,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,13th,9,810,90,37.5,9.0,9,90,9,0,,0,1.22,17,18,-1,-0.11,+0.89,,,,,,Elliot Anderson,"MF,FW"
2020-2021,17,Newcastle Utd,eng ENG,1. Premier League,12th,1,4,4,0.1,0.0,0,,0,1,4,8,0.00,0,0,0,0.00,+0.42,0.0,0.2,-0.2,-3.66,-3.27,Elliot Anderson,"MF,FW"
2021-2022,18,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,8th,7,527,75,22.5,5.9,7,75,3,0,,0,0.86,10,11,-1,-0.17,+0.03,,,,,,Elliot Anderson,"MF,FW"
2021-2022,18,Bristol Rovers,eng ENG,4. League Two,3rd,21,1758,84,42.5,19.5,20,86,16,1,34,0,2.10,36,12,+24,+1.23,+1.30,,,,,,Elliot Anderson,"MF,FW"
2021-2022,18,Newcastle Utd,eng ENG,1. Premier League,11th,0,,,,,0,,0,0,,5,,,,,,,,,,,,Elliot Anderson,"MF,FW"
2022-2023,19,Newcastle Utd,eng ENG,1. Premier League,4th,22,410,19,12.0,4.6,3,58,0,19,12,12,1.82,8,7,+1,+0.22,-0.80,11.7,5.5,+6.2,+1.37,+0.59,Elliot Anderson,"MF,FW"
2023-2024,20,Newcastle Utd,eng ENG,1. Premier League,7th,21,1027,49,30.0,11.4,10,80,3,11,21,0,1.86,30,14,+16,+1.40,+1.14,25.9,12.2,+13.7,+1.20,+1.17,Elliot Anderson,"MF,FW"
2024-2025,21,Nott'ham Forest,eng ENG,1. Premier League,3rd,18,1132,63,66.2,12.6,14,73,2,4,27,0,2.06,21,12,+9,+0.72,+1.03,16.4,12.7,+3.7,+0.29,+0.32,Elliot Anderson,"MF,FW"
2016-2017,18,Barrow,eng ENG,5. National League,7th,16,1396,87,33.7,15.5,16,,13,0,,2,2.13,30,9,+21,+1.35,+1.42,,,,,,Ryan Yates,MF
2016-2017,18,Shrewsbury,eng ENG,3. League One,18th,12,749,62,18.1,8.3,9,,5,3,,4,1.25,9,13,-4,-0.48,-0.14,,,,,,Ryan Yates,MF
2017-2018,19,Scunthorpe Utd,eng ENG,3. League One,5th,16,1278,80,30.9,14.2,14,,12,2,,1,1.33,19,17,+2,+0.14,-0.27,,,,,,Ryan Yates,MF
