Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2023-2024,31,Nott'ham Forest,eng ENG,1. Premier League,17th,20.1,14,48,26,54.2,2.38,1.29,0.29,0.54,10.2,0,0,0,11.9,11.9,0.25,+2.1,+2.1,Chris Wood,FW
2024-2025,32,Nott'ham Forest,eng ENG,1. Premier League,3rd,16.5,11,32,18,56.3,1.94,1.09,0.28,0.50,14.8,0,2,2,6.9,5.3,0.17,+4.1,+3.7,Chris Wood,FW
2017-2018,16,Chelsea,eng ENG,Jr. PL2 — Div. 1,8th,8.2,6,,,,,,,,,,2,2,,,,,,Callum Hudson-Odoi,"FW,MF"
2017-2018,16,Chelsea,eng ENG,1. Premier League,5th,0.3,0,2,1,50.0,6.21,3.10,0.00,0.00,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Callum Hudson-Odoi,"FW,MF"
2018-2019,17,Chelsea,eng ENG,Jr. PL2 — Div. 1,6th,5.0,1,,,,,,,,,,1,1,,,,,,Callum Hudson-Odoi,"FW,MF"
2018-2019,17,Chelsea,eng ENG,1. Premier League,3rd,4.4,0,6,3,50.0,1.37,0.69,0.00,0.00,12.6,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Callum Hudson-Odoi,"FW,MF"
2019-2020,18,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,1.5,1,,,,,,,,,,0,0,,,,,,Callum Hudson-Odoi,"FW,MF"
2019-2020,18,Chelsea,eng ENG,1. Premier League,4th,9.6,1,21,4,19.0,2.19,0.42,0.05,0.25,18.3,0,0,0,1.9,1.9,0.09,-0.9,-0.9,Callum Hudson-Odoi,"FW,MF"
2020-2021,19,Chelsea,eng ENG,1. Premier League,4th,11.8,2,23,6,26.1,1.95,0.51,0.09,0.33,19.3,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Callum Hudson-Odoi,"FW,MF"
2021-2022,20,Chelsea,eng ENG,1. Premier League,3rd,10.7,1,18,7,38.9,1.68,0.65,0.06,0.14,13.3,0,0,0,2.5,2.5,0.14,-1.5,-1.5,Callum Hudson-Odoi,"FW,MF"
