Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2020-2021,19,Chelsea,eng ENG,1. Premier League,4th,11.8,63,5.35,60,0,2,0,1,0,9,0.76,8,0,1,0,0,0,Callum Hudson-Odoi,"FW,MF"
2021-2022,20,Chelsea,eng ENG,1. Premier League,3rd,10.7,55,5.15,41,0,6,3,5,0,6,0.56,2,0,2,0,2,0,Callum Hudson-Odoi,"FW,MF"
2022-2023,21,Leverkusen,de GER,1. Bundesliga,6th,6.7,26,3.86,19,4,1,2,0,0,2,0.30,2,0,0,0,0,0,Callum Hudson-Odoi,"FW,MF"
2023-2024,22,Nott'ham Forest,eng ENG,1. Premier League,17th,20.6,82,3.98,63,4,8,4,2,1,6,0.29,4,0,1,0,1,0,Callum Hudson-Odoi,"FW,MF"
2024-2025,23,Nott'ham Forest,eng ENG,1. Premier League,3rd,14.6,65,4.45,49,3,7,3,3,0,5,0.34,3,0,0,0,2,0,Callum Hudson-Odoi,"FW,MF"
2016-2017,16,Wolves,eng ENG,2. Championship,15th,2.2,,,,,,,,,,,,,,,,,Morgan Gibbs-White,MF
2017-2018,17,Wolves,eng ENG,Jr. PL2 — Div. 2,9th,1.4,,,,,,,,,,,,,,,,,Morgan Gibbs-White,MF
2017-2018,17,Wolves,eng ENG,2. Championship,1st,2.8,,,,,,,,,,,,,,,,,Morgan Gibbs-White,MF
2018-2019,18,Wolves,eng ENG,1. Premier League,7th,7.4,18,2.45,14,3,1,0,0,0,3,0.41,2,0,1,0,0,0,Morgan Gibbs-White,MF
2019-2020,19,Wolves,eng ENG,Jr. PL2 — Div. 1,12th,0.4,,,,,,,,,,,,,,,,,Morgan Gibbs-White,MF
2019-2020,19,Wolves,eng ENG,1. Premier League,7th,1.4,4,2.79,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Morgan Gibbs-White,MF
