Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2020-2021,19,Chelsea,eng ENG,1. Premier League,4th,11.8,23,15,11,7,5,8,21,38.1,13,15,1,14,6,29,6,0,Callum Hudson-Odoi,"FW,MF"
2021-2022,20,Chelsea,eng ENG,1. Premier League,3rd,10.7,14,10,5,6,3,8,23,34.8,15,8,0,8,2,16,6,1,Callum Hudson-Odoi,"FW,MF"
2022-2023,21,Leverkusen,de GER,1. Bundesliga,6th,6.7,5,3,4,0,1,1,1,100.0,0,0,0,0,2,7,4,0,Callum Hudson-Odoi,"FW,MF"
2023-2024,22,Nott'ham Forest,eng ENG,1. Premier League,17th,20.6,18,8,4,5,9,7,28,25.0,21,16,1,15,7,25,12,1,Callum Hudson-Odoi,"FW,MF"
2024-2025,23,Nott'ham Forest,eng ENG,1. Premier League,3rd,14.6,14,9,4,6,4,6,10,60.0,4,5,0,5,10,24,4,1,Callum Hudson-Odoi,"FW,MF"
2016-2017,16,Wolves,eng ENG,2. Championship,15th,2.2,,0,,,,,,,,,,,0,,,,Morgan Gibbs-White,MF
2017-2018,17,Wolves,eng ENG,Jr. PL2 — Div. 2,9th,1.4,,,,,,,,,,,,,,,,,Morgan Gibbs-White,MF
2017-2018,17,Wolves,eng ENG,2. Championship,1st,2.8,,2,,,,,,,,,,,2,,,,Morgan Gibbs-White,MF
2018-2019,18,Wolves,eng ENG,1. Premier League,7th,7.4,6,3,2,4,0,1,4,25.0,3,6,0,6,1,7,0,0,Morgan Gibbs-White,MF
2019-2020,19,Wolves,eng ENG,Jr. PL2 — Div. 1,12th,0.4,,,,,,,,,,,,,,,,,Morgan Gibbs-White,MF
2019-2020,19,Wolves,eng ENG,1. Premier League,7th,1.4,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,Morgan Gibbs-White,MF
2020-2021,20,Swansea City,eng ENG,2. Championship,4th,3.5,4,1,0,3,1,2,4,50.0,2,3,0,3,2,6,1,0,Morgan Gibbs-White,MF
2020-2021,20,Wolves,eng ENG,1. Premier League,13th,4.6,9,7,3,4,2,5,12,41.7,7,6,0,6,3,12,1,0,Morgan Gibbs-White,MF
2021-2022,21,Sheffield Utd,eng ENG,2. Championship,5th,31.8,25,16,6,10,9,8,25,32.0,17,21,1,20,11,36,16,0,Morgan Gibbs-White,MF
2021-2022,21,Wolves,eng ENG,1. Premier League,10th,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Morgan Gibbs-White,MF
2022-2023,22,Wolves,eng ENG,1. Premier League,13th,2.0,3,1,3,0,0,2,4,50.0,2,2,0,2,1,4,3,0,Morgan Gibbs-White,MF
