Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2024-2025,22,Eint Frankfurt,de GER,1. Bundesliga,3rd,7.6,262,239,22,0,1,0,18,22,0,0,0,0,177,1,8,Ansgar Knauff,"MF,DF"
2009-2010,17,Dortmund,de GER,1. Bundesliga,5th,0.5,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2010-2011,18,Dortmund,de GER,1. Bundesliga,1st,28.1,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2011-2012,19,Dortmund,de GER,1. Bundesliga,1st,13.1,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2012-2013,20,Dortmund,de GER,1. Bundesliga,2nd,22.4,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2013-2014,21,Bayern Munich,de GER,1. Bundesliga,1st,20.2,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2014-2015,22,Bayern Munich,de GER,1. Bundesliga,1st,24.9,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2015-2016,23,Bayern Munich,de GER,1. Bundesliga,1st,10.6,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2016-2017,24,Dortmund,de GER,1. Bundesliga,3rd,8.4,,,,,,,23,,,,,,,,,Mario Götze,"MF,FW"
2017-2018,25,Dortmund,de GER,1. Bundesliga,4th,17.8,1034,976,50,14,6,6,42,12,22,5,10,2,818,8,28,Mario Götze,"MF,FW"
2018-2019,26,Dortmund,de GER,1. Bundesliga,2nd,18.6,903,870,30,3,9,1,27,8,0,0,0,0,720,3,32,Mario Götze,"MF,FW"
2019-2020,27,Dortmund,de GER,1. Bundesliga,2nd,5.8,284,265,19,0,2,1,8,5,0,0,0,0,237,0,3,Mario Götze,"MF,FW"
2020-2021,28,PSV Eindhoven,nl NED,1. Eredivisie,2nd,15.6,1111,1083,24,3,3,12,27,8,13,3,2,0,924,4,16,Mario Götze,"MF,FW"
2021-2022,29,PSV Eindhoven,nl NED,1. Eredivisie,2nd,24.6,1549,1494,53,9,6,10,35,11,3,1,0,0,1339,2,30,Mario Götze,"MF,FW"
2022-2023,30,Eint Frankfurt,de GER,1. Bundesliga,7th,30.4,1527,1397,119,28,12,9,102,14,38,15,13,1,1130,11,48,Mario Götze,"MF,FW"
2023-2024,31,Eint Frankfurt,de GER,1. Bundesliga,6th,23.0,1325,1259,61,23,6,4,54,10,27,9,13,0,1050,5,33,Mario Götze,"MF,FW"
2024-2025,32,Eint Frankfurt,de GER,1. Bundesliga,3rd,6.2,282,279,3,1,1,2,6,2,0,0,0,0,222,0,11,Mario Götze,"MF,FW"
2022-2023,19,Toulouse,fr FRA,1. Ligue 1,13th,26.0,1018,975,37,8,6,13,57,14,8,1,4,0,742,6,33,Fares Chaïbi,"MF,FW"
2023-2024,20,Toulouse,fr FRA,1. Ligue 1,11th,0.6,40,38,2,0,0,0,7,0,2,1,1,0,28,0,0,Fares Chaïbi,"MF,FW"
2023-2024,20,Eint Frankfurt,de GER,1. Bundesliga,6th,21.2,922,744,172,41,3,3,176,28,94,41,50,0,592,6,32,Fares Chaïbi,"MF,FW"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,6.8,255,212,39,11,2,3,46,6,22,7,13,0,163,4,7,Fares Chaïbi,"MF,FW"
2019-2020,16,Nürnberg U17,de GER,Jr. U17 Bundesliga,22nd,15.5,,,,,,,,,,,,,,,,Nathaniel Brown,"DF,MF"
2020-2021,17,Nürnberg U19,de GER,Jr. U19 Bundesliga,26th,3.8,,,,,,,,,,,,,,,,Nathaniel Brown,"DF,MF"
2021-2022,18,Nürnberg U19,de GER,Jr. U19 Bundesliga,2nd,16.4,,,,,,,,,,,,,,,,Nathaniel Brown,"DF,MF"
2022-2023,19,Nürnberg,de GER,2. 2. Bundesliga,14th,8.1,430,320,109,10,3,0,38,85,14,1,4,0,326,1,15,Nathaniel Brown,"DF,MF"
2023-2024,20,Nürnberg,de GER,2. 2. Bundesliga,12th,26.7,1226,990,226,22,1,3,84,167,34,12,18,0,952,10,30,Nathaniel Brown,"DF,MF"
