Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2021-2022,29,PSV Eindhoven,nl NED,1. Eredivisie,2nd,24.6,42,21,11,20,11,14,44,31.8,30,21,1,20,7,49,2,0,Mario Götze,"MF,FW"
2022-2023,30,Eint Frankfurt,de GER,1. Bundesliga,7th,30.4,42,25,13,22,7,14,47,29.8,33,25,0,25,13,55,12,0,Mario Götze,"MF,FW"
2023-2024,31,Eint Frankfurt,de GER,1. Bundesliga,6th,23.0,51,34,18,25,8,28,62,45.2,34,19,3,16,14,65,10,0,Mario Götze,"MF,FW"
2024-2025,32,Eint Frankfurt,de GER,1. Bundesliga,3rd,6.2,14,11,5,6,3,6,17,35.3,11,6,1,5,4,18,6,0,Mario Götze,"MF,FW"
2022-2023,19,Toulouse,fr FRA,1. Ligue 1,13th,26.0,31,18,8,15,8,17,50,34.0,33,38,5,33,19,50,36,1,Fares Chaïbi,"MF,FW"
2023-2024,20,Toulouse,fr FRA,1. Ligue 1,11th,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Fares Chaïbi,"MF,FW"
2023-2024,20,Eint Frankfurt,de GER,1. Bundesliga,6th,21.2,27,17,7,12,8,8,18,44.4,10,37,1,36,5,32,19,0,Fares Chaïbi,"MF,FW"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,6.8,11,7,4,4,3,6,12,50.0,6,9,0,9,7,18,21,1,Fares Chaïbi,"MF,FW"
2019-2020,16,Nürnberg U17,de GER,Jr. U17 Bundesliga,22nd,15.5,,,,,,,,,,,,,,,,,Nathaniel Brown,"DF,MF"
2020-2021,17,Nürnberg U19,de GER,Jr. U19 Bundesliga,26th,3.8,,,,,,,,,,,,,,,,,Nathaniel Brown,"DF,MF"
2021-2022,18,Nürnberg U19,de GER,Jr. U19 Bundesliga,2nd,16.4,,,,,,,,,,,,,,,,,Nathaniel Brown,"DF,MF"
2022-2023,19,Nürnberg,de GER,2. 2. Bundesliga,14th,8.1,26,15,18,7,1,19,28,67.9,9,10,3,7,6,32,13,0,Nathaniel Brown,"DF,MF"
2023-2024,20,Nürnberg,de GER,2. 2. Bundesliga,12th,26.7,85,56,56,24,5,37,67,55.2,30,36,2,34,24,109,57,0,Nathaniel Brown,"DF,MF"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,6.3,17,12,7,6,4,10,14,71.4,4,7,0,7,2,19,18,0,Nathaniel Brown,"DF,MF"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,4.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,2,Kauã Santos,GK
2019-2020,15,Dortmund U17,de GER,Jr. U17 Bundesliga,2nd,18.1,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2020-2021,16,Dortmund U19,de GER,Jr. U19 Bundesliga,1st,3.0,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2021-2022,17,Dortmund U19,de GER,Jr. U19 Bundesliga,4th,11.7,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2022-2023,18,Dortmund U19,de GER,Jr. U19 Bundesliga,4th,13.0,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2022-2023,18,Dortmund II,de GER,3. 3. Liga,13th,6.6,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2023-2024,19,Eint Frankfurt,de GER,1. Bundesliga,6th,1.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,4,0,Nnamdi Collins,DF
2024-2025,20,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.6,6,6,5,0,1,3,3,100.0,0,9,4,5,3,9,14,1,Nnamdi Collins,DF
2020-2021,19,Everton,eng ENG,Jr. PL2 — Div. 1,5th,3.8,,,,,,,,,,,,,,,,,Niels Nkounkou,"DF,MF"
2020-2021,19,Everton,eng ENG,1. Premier League,10th,0.9,4,3,1,2,1,3,8,37.5,5,4,0,4,0,4,4,0,Niels Nkounkou,"DF,MF"
2021-2022,20,Standard Liège,be BEL,1. First Division A,14th,17.4,54,39,32,17,5,26,37,70.3,11,30,1,29,25,79,51,0,Niels Nkounkou,"DF,MF"
2022-2023,21,Cardiff City,eng ENG,2. Championship,21st,13.6,40,26,30,9,1,23,35,65.7,12,12,2,10,10,50,30,0,Niels Nkounkou,"DF,MF"
2022-2023,21,Saint-Étienne,fr FRA,2. Ligue 2,8th,18.7,52,36,26,18,8,22,44,50.0,22,16,1,15,16,68,24,0,Niels Nkounkou,"DF,MF"
2023-2024,22,Saint-Étienne,fr FRA,2. Ligue 2,3rd,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,0,0,Niels Nkounkou,"DF,MF"
2023-2024,22,Eint Frankfurt,de GER,1. Bundesliga,6th,14.5,54,30,34,17,3,29,64,45.3,35,30,2,28,16,70,30,0,Niels Nkounkou,"DF,MF"
2024-2025,23,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.4,6,5,2,1,3,1,4,25.0,3,4,2,2,5,11,6,0,Niels Nkounkou,"DF,MF"
2014-2015,18,Gladbach,de GER,1. Bundesliga,3rd,0.0,,,,,,,,,,,,,,,,,Mahmoud Dahoud,MF
2015-2016,19,Gladbach,de GER,1. Bundesliga,4th,23.0,,,,,,,,,,,,,,,,,Mahmoud Dahoud,MF
2016-2017,20,Gladbach,de GER,1. Bundesliga,9th,25.3,,55,,,,,,,,,,,51,,,,Mahmoud Dahoud,MF
2017-2018,21,Dortmund,de GER,1. Bundesliga,4th,12.7,38,23,11,21,6,13,30,43.3,17,18,2,16,12,50,7,0,Mahmoud Dahoud,MF
2018-2019,22,Dortmund,de GER,1. Bundesliga,2nd,7.7,16,10,4,10,2,3,15,20.0,12,10,0,10,17,33,8,0,Mahmoud Dahoud,MF
2019-2020,23,Dortmund,de GER,1. Bundesliga,2nd,6.2,10,6,4,4,2,6,18,33.3,12,8,2,6,8,18,4,0,Mahmoud Dahoud,MF
2020-2021,24,Dortmund,de GER,1. Bundesliga,3rd,14.0,30,18,9,20,1,14,38,36.8,24,23,5,18,18,48,11,1,Mahmoud Dahoud,MF
2021-2022,25,Dortmund,de GER,1. Bundesliga,2nd,18.4,42,19,10,24,8,20,46,43.5,26,18,3,15,17,59,16,0,Mahmoud Dahoud,MF
2022-2023,26,Dortmund,de GER,1. Bundesliga,2nd,3.7,11,9,3,4,4,7,7,100.0,0,6,2,4,7,18,3,0,Mahmoud Dahoud,MF
2023-2024,27,Stuttgart,de GER,1. Bundesliga,2nd,2.5,5,1,1,4,0,3,7,42.9,4,4,0,4,0,5,1,0,Mahmoud Dahoud,MF
2023-2024,27,Brighton,eng ENG,1. Premier League,11th,5.0,9,4,2,4,3,3,9,33.3,6,4,1,3,1,10,5,0,Mahmoud Dahoud,MF
2024-2025,28,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.6,9,4,4,5,0,4,6,66.7,2,5,1,4,2,11,4,0,Mahmoud Dahoud,MF
2019-2020,18,Le Havre,fr FRA,2. Ligue 2,6th,19.6,32,25,10,16,6,7,49,14.3,42,16,0,16,10,42,12,0,Junior Dina Ebimbe,"MF,FW"
2020-2021,19,Dijon,fr FRA,1. Ligue 1,20th,23.8,38,25,14,19,5,15,45,33.3,30,17,1,16,14,52,9,0,Junior Dina Ebimbe,"MF,FW"
2021-2022,20,Paris S-G,fr FRA,1. Ligue 1,1st,3.5,9,4,3,4,2,2,3,66.7,1,5,3,2,2,11,1,0,Junior Dina Ebimbe,"MF,FW"
2022-2023,21,Eint Frankfurt,de GER,1. Bundesliga,7th,11.8,30,19,16,14,0,16,33,48.5,17,18,5,13,11,41,20,0,Junior Dina Ebimbe,"MF,FW"
2023-2024,22,Eint Frankfurt,de GER,1. Bundesliga,6th,21.7,44,29,15,17,12,18,41,43.9,23,28,7,21,9,53,39,1,Junior Dina Ebimbe,"MF,FW"
2024-2025,23,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.1,2,1,1,1,0,0,2,0.0,2,4,0,4,7,9,6,0,Junior Dina Ebimbe,"MF,FW"
2018-2019,15,St. Pauli U17,de GER,Jr. U17 Bundesliga,18th,15.7,,,,,,,,,,,,,,,,,Igor Matanovic,"FW,MF"
2019-2020,16,St. Pauli U17,de GER,Jr. U17 Bundesliga,25th,4.7,,,,,,,,,,,,,,,,,Igor Matanovic,"FW,MF"
2019-2020,16,St. Pauli U19,de GER,Jr. U19 Bundesliga,24th,4.9,,,,,,,,,,,,,,,,,Igor Matanovic,"FW,MF"
2020-2021,17,St. Pauli U19,de GER,Jr. U19 Bundesliga,12th,1.3,,,,,,,,,,,,,,,,,Igor Matanovic,"FW,MF"
2020-2021,17,St. Pauli,de GER,2. 2. Bundesliga,10th,4.4,3,1,0,2,1,2,2,100.0,0,6,2,4,1,4,3,0,Igor Matanovic,"FW,MF"
2021-2022,18,St. Pauli,de GER,2. 2. Bundesliga,5th,6.1,3,2,0,2,1,0,4,0.0,4,13,2,11,1,4,5,0,Igor Matanovic,"FW,MF"
2022-2023,19,St. Pauli,de GER,2. 2. Bundesliga,5th,6.9,2,1,1,0,1,1,6,16.7,5,6,0,6,2,4,0,0,Igor Matanovic,"FW,MF"
2023-2024,20,Karlsruher,de GER,2. 2. Bundesliga,5th,25.8,14,8,5,4,5,5,17,29.4,12,18,4,14,5,19,28,0,Igor Matanovic,"FW,MF"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.2,1,0,0,1,0,0,1,0.0,1,2,0,2,1,2,7,0,Igor Matanovic,"FW,MF"
2020-2021,14,Nürnberg U17,de GER,Jr. U17 Bundesliga,7th,3.2,,,,,,,,,,,,,,,,,Can Uzun,"MF,FW"
2021-2022,15,Nürnberg U17,de GER,Jr. U17 Bundesliga,14th,18.5,,,,,,,,,,,,,,,,,Can Uzun,"MF,FW"
2021-2022,15,Nürnberg U19,de GER,Jr. U19 Bundesliga,2nd,0.0,,,,,,,,,,,,,,,,,Can Uzun,"MF,FW"
