Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2016-2017,26,Paris S-G,fr FRA,1. Ligue 1,2nd,23.6,,,,,,,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2017-2018,27,Paris S-G,fr FRA,1. Ligue 1,1st,4.0,103,86,103,0,0,0,103,0,0,,0,,52,255,185,0,1,1,0,0,37,0,Kevin Trapp,GK
2018-2019,28,Eint Frankfurt,de GER,1. Bundesliga,7th,32.6,1310,932,1305,5,0,0,1310,0,0,,0,,629,4509,3302,0,1,1,0,0,514,0,Kevin Trapp,GK
2019-2020,29,Eint Frankfurt,de GER,1. Bundesliga,9th,22.0,988,727,984,4,0,0,988,0,0,,0,,526,2725,1889,0,1,1,0,0,496,0,Kevin Trapp,GK
2020-2021,30,Eint Frankfurt,de GER,1. Bundesliga,5th,33.0,1438,1147,1431,7,0,0,1438,0,0,,0,,776,3806,2234,0,0,0,1,0,728,0,Kevin Trapp,GK
2021-2022,31,Eint Frankfurt,de GER,1. Bundesliga,11th,32.0,1342,1126,1333,10,0,0,1342,0,0,,0,,755,3468,2119,0,1,1,0,0,657,0,Kevin Trapp,GK
2022-2023,32,Eint Frankfurt,de GER,1. Bundesliga,7th,33.0,957,854,951,6,0,0,957,0,0,,0,,493,2258,1322,0,0,0,0,0,417,0,Kevin Trapp,GK
2023-2024,33,Eint Frankfurt,de GER,1. Bundesliga,6th,32.0,1228,1013,1218,12,0,0,1228,0,0,,0,,704,3122,1991,0,0,0,0,0,657,0,Kevin Trapp,GK
2024-2025,34,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.5,405,353,404,1,0,0,405,0,0,,0,,273,1112,642,0,0,0,1,0,223,0,Kevin Trapp,GK
2014-2015,19,Montpellier,fr FRA,1. Ligue 1,7th,1.0,,,,,,,,,,,,,,,,,,,,,,,Ellyes Skhiri,MF
2015-2016,20,Montpellier,fr FRA,1. Ligue 1,12th,9.1,,,,,,,,,,,,,,,,,,,,,,,Ellyes Skhiri,MF
2016-2017,21,Montpellier,fr FRA,1. Ligue 1,15th,36.5,,,,,,,,,,,,,,,,,,,,,,,Ellyes Skhiri,MF
2017-2018,22,Montpellier,fr FRA,1. Ligue 1,10th,33.9,1965,55,395,1266,330,17,1965,50,41,82.0,9,18.0,863,4525,2074,28,39,3,30,22,1238,49,Ellyes Skhiri,MF
2018-2019,23,Montpellier,fr FRA,1. Ligue 1,6th,34.3,2051,73,416,1298,354,26,2051,43,32,74.4,11,25.6,986,4869,2011,38,35,6,37,35,1251,52,Ellyes Skhiri,MF
2019-2020,24,Köln,de GER,1. Bundesliga,14th,29.7,1744,69,451,1045,265,31,1744,32,22,68.8,10,31.3,909,4718,2189,27,22,2,44,39,997,49,Ellyes Skhiri,MF
2020-2021,25,Köln,de GER,1. Bundesliga,16th,30.9,1882,115,712,971,211,27,1882,22,15,68.2,7,31.8,921,4338,1983,19,19,2,32,17,1072,28,Ellyes Skhiri,MF
2021-2022,26,Köln,de GER,1. Bundesliga,7th,20.2,1200,82,373,662,178,41,1200,20,10,50.0,10,50.0,572,2572,1105,19,15,5,14,18,664,39,Ellyes Skhiri,MF
2022-2023,27,Köln,de GER,1. Bundesliga,11th,31.7,2056,105,583,1207,287,54,2056,32,24,75.0,8,25.0,1123,6762,3462,50,35,7,27,20,1263,61,Ellyes Skhiri,MF
2023-2024,28,Eint Frankfurt,de GER,1. Bundesliga,6th,24.1,1556,87,452,906,206,30,1556,17,12,70.6,5,29.4,773,3297,1338,10,18,1,28,25,1002,28,Ellyes Skhiri,MF
2024-2025,29,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.0,574,35,164,316,95,9,574,4,3,75.0,1,25.0,296,1192,419,4,7,1,11,5,378,12,Ellyes Skhiri,MF
2018-2019,16,Dortmund U17,de GER,Jr. U17 Bundesliga,1st,11.9,,,,,,,,,,,,,,,,,,,,,,,Ansgar Knauff,"MF,DF"
2019-2020,17,Dortmund U19,de GER,Jr. U19 Bundesliga,4th,13.7,,,,,,,,,,,,,,,,,,,,,,,Ansgar Knauff,"MF,DF"
2020-2021,18,Dortmund U19,de GER,Jr. U19 Bundesliga,1st,1.0,,,,,,,,,,,,,,,,,,,,,,,Ansgar Knauff,"MF,DF"
2020-2021,18,Dortmund,de GER,1. Bundesliga,3rd,0.8,42,1,6,16,21,5,42,9,6,66.7,3,33.3,28,313,191,9,3,2,2,1,31,7,Ansgar Knauff,"MF,DF"
