Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2016-2017,21,Montpellier,fr FRA,1. Ligue 1,15th,36.5,3,0,0,44,24,2,8,105,70,0,2,1,,,,,Ellyes Skhiri,MF
2017-2018,22,Montpellier,fr FRA,1. Ligue 1,10th,33.9,8,0,0,37,31,0,8,77,54,0,0,0,225,35,34,50.7,Ellyes Skhiri,MF
2018-2019,23,Montpellier,fr FRA,1. Ligue 1,6th,34.3,5,0,0,40,34,0,6,60,58,0,0,0,235,40,30,57.1,Ellyes Skhiri,MF
2019-2020,24,Köln,de GER,1. Bundesliga,14th,29.7,4,0,0,35,18,3,6,67,52,0,0,0,230,47,36,56.6,Ellyes Skhiri,MF
2020-2021,25,Köln,de GER,1. Bundesliga,16th,30.9,5,0,0,43,17,3,3,82,48,0,0,0,209,42,34,55.3,Ellyes Skhiri,MF
2021-2022,26,Köln,de GER,1. Bundesliga,7th,20.2,3,0,0,18,21,2,6,37,33,0,0,0,157,34,23,59.6,Ellyes Skhiri,MF
2022-2023,27,Köln,de GER,1. Bundesliga,11th,31.7,5,0,0,34,11,4,13,56,44,0,0,0,250,40,22,64.5,Ellyes Skhiri,MF
2023-2024,28,Eint Frankfurt,de GER,1. Bundesliga,6th,24.1,1,0,0,14,18,3,4,39,24,0,0,0,160,31,25,55.4,Ellyes Skhiri,MF
2024-2025,29,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.0,3,0,0,11,6,1,0,10,6,0,0,0,40,8,10,44.4,Ellyes Skhiri,MF
2018-2019,16,Dortmund U17,de GER,Jr. U17 Bundesliga,1st,11.9,1,0,0,,,,,,,,,0,,,,,Ansgar Knauff,"MF,DF"
2019-2020,17,Dortmund U19,de GER,Jr. U19 Bundesliga,4th,13.7,4,0,0,,,,,,,,,0,,,,,Ansgar Knauff,"MF,DF"
2020-2021,18,Dortmund U19,de GER,Jr. U19 Bundesliga,1st,1.0,1,0,0,,,,,,,,,0,,,,,Ansgar Knauff,"MF,DF"
2020-2021,18,Dortmund,de GER,1. Bundesliga,3rd,0.8,0,0,0,3,2,0,4,0,0,0,0,0,1,1,1,50.0,Ansgar Knauff,"MF,DF"
2021-2022,19,Dortmund,de GER,1. Bundesliga,2nd,1.3,0,0,0,4,1,1,0,0,1,0,0,0,3,3,2,60.0,Ansgar Knauff,"MF,DF"
2021-2022,19,Dortmund II,de GER,3. 3. Liga,9th,6.4,3,0,0,,,,,,,,,0,,,,,Ansgar Knauff,"MF,DF"
2021-2022,19,Eint Frankfurt,de GER,1. Bundesliga,11th,8.4,0,0,0,11,8,1,21,8,14,0,0,0,45,7,17,29.2,Ansgar Knauff,"MF,DF"
2022-2023,20,Eint Frankfurt,de GER,1. Bundesliga,7th,14.3,1,0,0,15,17,2,29,15,25,1,0,0,97,9,16,36.0,Ansgar Knauff,"MF,DF"
2023-2024,21,Eint Frankfurt,de GER,1. Bundesliga,6th,23.4,7,1,1,32,24,2,46,20,26,0,3,0,92,23,43,34.8,Ansgar Knauff,"MF,DF"
2024-2025,22,Eint Frankfurt,de GER,1. Bundesliga,3rd,7.6,2,0,0,13,8,3,18,7,13,0,0,0,34,11,9,55.0,Ansgar Knauff,"MF,DF"
2009-2010,17,Dortmund,de GER,1. Bundesliga,5th,0.5,0,0,,2,,,,,,,,,,,,,Mario Götze,"MF,FW"
2010-2011,18,Dortmund,de GER,1. Bundesliga,1st,28.1,1,0,,52,,,,,,,,,,,,,Mario Götze,"MF,FW"
2011-2012,19,Dortmund,de GER,1. Bundesliga,1st,13.1,2,1,,20,,,,,,,,,,,,,Mario Götze,"MF,FW"
2012-2013,20,Dortmund,de GER,1. Bundesliga,2nd,22.4,4,0,,36,,,,,,,,,,,,,Mario Götze,"MF,FW"
2013-2014,21,Bayern Munich,de GER,1. Bundesliga,1st,20.2,0,0,,14,,,,,,,,,,,,,Mario Götze,"MF,FW"
2014-2015,22,Bayern Munich,de GER,1. Bundesliga,1st,24.9,1,0,,34,,,,,,,,,,,,,Mario Götze,"MF,FW"
2015-2016,23,Bayern Munich,de GER,1. Bundesliga,1st,10.6,1,0,,22,,,,,,,,,,,,,Mario Götze,"MF,FW"
2016-2017,24,Dortmund,de GER,1. Bundesliga,3rd,8.4,1,0,0,11,17,2,23,13,8,0,0,0,,,,,Mario Götze,"MF,FW"
2017-2018,25,Dortmund,de GER,1. Bundesliga,4th,17.8,1,0,0,25,29,5,42,8,43,0,0,0,78,9,11,45.0,Mario Götze,"MF,FW"
2018-2019,26,Dortmund,de GER,1. Bundesliga,2nd,18.6,0,0,0,20,26,12,27,8,19,0,0,0,72,8,31,20.5,Mario Götze,"MF,FW"
2019-2020,27,Dortmund,de GER,1. Bundesliga,2nd,5.8,0,0,0,5,10,5,8,2,7,0,0,0,18,1,7,12.5,Mario Götze,"MF,FW"
2020-2021,28,PSV Eindhoven,nl NED,1. Eredivisie,2nd,15.6,0,0,0,7,17,4,27,22,15,0,0,0,109,5,7,41.7,Mario Götze,"MF,FW"
2021-2022,29,PSV Eindhoven,nl NED,1. Eredivisie,2nd,24.6,4,0,0,23,29,4,35,7,21,0,0,0,127,7,11,38.9,Mario Götze,"MF,FW"
2022-2023,30,Eint Frankfurt,de GER,1. Bundesliga,7th,30.4,6,0,0,25,44,3,102,13,25,0,0,0,167,2,19,9.5,Mario Götze,"MF,FW"
2023-2024,31,Eint Frankfurt,de GER,1. Bundesliga,6th,23.0,5,1,1,14,35,1,54,14,34,0,1,0,152,8,13,38.1,Mario Götze,"MF,FW"
2024-2025,32,Eint Frankfurt,de GER,1. Bundesliga,3rd,6.2,0,0,0,5,5,0,6,4,11,0,0,0,35,2,1,66.7,Mario Götze,"MF,FW"
2022-2023,19,Toulouse,fr FRA,1. Ligue 1,13th,26.0,2,0,0,34,21,8,57,19,18,0,0,0,109,30,50,37.5,Fares Chaïbi,"MF,FW"
2023-2024,20,Toulouse,fr FRA,1. Ligue 1,11th,0.6,1,0,0,1,0,0,7,0,0,0,0,0,3,1,0,100.0,Fares Chaïbi,"MF,FW"
2023-2024,20,Eint Frankfurt,de GER,1. Bundesliga,6th,21.2,2,0,0,14,11,9,176,5,17,0,0,0,66,10,56,15.2,Fares Chaïbi,"MF,FW"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,6.8,2,0,0,2,2,1,46,7,7,0,0,0,16,8,13,38.1,Fares Chaïbi,"MF,FW"
2019-2020,16,Nürnberg U17,de GER,Jr. U17 Bundesliga,22nd,15.5,4,0,0,,,,,,,,,0,,,,,Nathaniel Brown,"DF,MF"
2020-2021,17,Nürnberg U19,de GER,Jr. U19 Bundesliga,26th,3.8,0,0,0,,,,,,,,,0,,,,,Nathaniel Brown,"DF,MF"
2021-2022,18,Nürnberg U19,de GER,Jr. U19 Bundesliga,2nd,16.4,1,0,0,,,,,,,,,0,,,,,Nathaniel Brown,"DF,MF"
2022-2023,19,Nürnberg,de GER,2. 2. Bundesliga,14th,8.1,1,0,0,8,10,0,38,6,15,0,0,0,39,10,12,45.5,Nathaniel Brown,"DF,MF"
2023-2024,20,Nürnberg,de GER,2. 2. Bundesliga,12th,26.7,5,0,0,16,22,4,84,24,56,0,1,0,111,10,21,32.3,Nathaniel Brown,"DF,MF"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,6.3,1,0,0,3,10,0,27,2,12,0,0,0,32,2,9,18.2,Nathaniel Brown,"DF,MF"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,4.5,0,0,0,0,2,0,0,0,0,0,0,1,12,4,0,100.0,Kauã Santos,GK
2019-2020,15,Dortmund U17,de GER,Jr. U17 Bundesliga,2nd,18.1,1,0,0,,,,,,,,,0,,,,,Nnamdi Collins,DF
2020-2021,16,Dortmund U19,de GER,Jr. U19 Bundesliga,1st,3.0,0,0,0,,,,,,,,,1,,,,,Nnamdi Collins,DF
2021-2022,17,Dortmund U19,de GER,Jr. U19 Bundesliga,4th,11.7,1,0,0,,,,,,,,,0,,,,,Nnamdi Collins,DF
2022-2023,18,Dortmund U19,de GER,Jr. U19 Bundesliga,4th,13.0,1,0,0,,,,,,,,,0,,,,,Nnamdi Collins,DF
2022-2023,18,Dortmund II,de GER,3. 3. Liga,13th,6.6,1,0,0,,,,,,,,,0,,,,,Nnamdi Collins,DF
2023-2024,19,Eint Frankfurt,de GER,1. Bundesliga,6th,1.0,0,0,0,0,1,0,2,2,0,0,0,0,7,0,2,0.0,Nnamdi Collins,DF
2024-2025,20,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.6,0,0,0,6,5,0,9,3,6,0,0,0,18,3,3,50.0,Nnamdi Collins,DF
2020-2021,19,Everton,eng ENG,Jr. PL2 — Div. 1,5th,3.8,3,0,0,,,,,,,,,0,,,,,Niels Nkounkou,"DF,MF"
2020-2021,19,Everton,eng ENG,1. Premier League,10th,0.9,1,0,0,1,0,0,4,0,3,0,0,0,3,0,0,,Niels Nkounkou,"DF,MF"
2021-2022,20,Standard Liège,be BEL,1. First Division A,14th,17.4,5,0,0,26,6,2,37,25,39,0,0,0,134,21,27,43.8,Niels Nkounkou,"DF,MF"
2022-2023,21,Cardiff City,eng ENG,2. Championship,21st,13.6,5,0,0,19,7,1,32,10,26,0,0,0,93,17,20,45.9,Niels Nkounkou,"DF,MF"
2022-2023,21,Saint-Étienne,fr FRA,2. Ligue 2,8th,18.7,4,0,0,29,12,15,63,16,36,1,0,0,110,23,8,74.2,Niels Nkounkou,"DF,MF"
2023-2024,22,Saint-Étienne,fr FRA,2. Ligue 2,3rd,1.0,0,0,0,0,0,2,2,1,1,0,0,0,5,2,1,66.7,Niels Nkounkou,"DF,MF"
2023-2024,22,Eint Frankfurt,de GER,1. Bundesliga,6th,14.5,5,1,1,27,2,0,53,16,30,0,1,0,102,17,27,38.6,Niels Nkounkou,"DF,MF"
2024-2025,23,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.4,1,0,0,5,1,0,13,5,5,0,0,0,18,1,5,16.7,Niels Nkounkou,"DF,MF"
2014-2015,18,Gladbach,de GER,1. Bundesliga,3rd,0.0,0,0,,0,,,,,,,,,,,,,Mahmoud Dahoud,MF
2015-2016,19,Gladbach,de GER,1. Bundesliga,4th,23.0,4,0,,53,,,,,,,,,,,,,Mahmoud Dahoud,MF
2016-2017,20,Gladbach,de GER,1. Bundesliga,9th,25.3,3,0,0,42,35,4,2,51,55,0,1,0,,,,,Mahmoud Dahoud,MF
2017-2018,21,Dortmund,de GER,1. Bundesliga,4th,12.7,4,0,0,31,8,0,6,12,23,0,0,0,80,3,11,21.4,Mahmoud Dahoud,MF
2018-2019,22,Dortmund,de GER,1. Bundesliga,2nd,7.7,2,0,0,12,7,0,1,17,10,0,0,0,63,6,8,42.9,Mahmoud Dahoud,MF
2019-2020,23,Dortmund,de GER,1. Bundesliga,2nd,6.2,1,0,0,12,6,0,4,8,6,0,0,0,45,3,5,37.5,Mahmoud Dahoud,MF
2020-2021,24,Dortmund,de GER,1. Bundesliga,3rd,14.0,2,0,0,27,18,0,7,18,18,0,1,0,121,10,12,45.5,Mahmoud Dahoud,MF
2021-2022,25,Dortmund,de GER,1. Bundesliga,2nd,18.4,7,1,1,23,13,0,29,17,19,0,0,0,142,11,15,42.3,Mahmoud Dahoud,MF
2022-2023,26,Dortmund,de GER,1. Bundesliga,2nd,3.7,1,0,0,3,2,0,3,7,9,0,0,0,24,1,3,25.0,Mahmoud Dahoud,MF
2023-2024,27,Stuttgart,de GER,1. Bundesliga,2nd,2.5,0,0,0,0,2,0,6,0,1,0,0,0,23,2,5,28.6,Mahmoud Dahoud,MF
2023-2024,27,Brighton,eng ENG,1. Premier League,11th,5.0,1,1,0,6,2,0,3,1,4,0,0,0,26,0,5,0.0,Mahmoud Dahoud,MF
2024-2025,28,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.6,1,0,0,9,2,0,4,2,4,0,0,0,18,1,2,33.3,Mahmoud Dahoud,MF
2019-2020,18,Le Havre,fr FRA,2. Ligue 2,6th,19.6,3,0,0,39,21,9,41,10,25,0,0,0,101,25,34,42.4,Junior Dina Ebimbe,"MF,FW"
2020-2021,19,Dijon,fr FRA,1. Ligue 1,20th,23.8,5,0,0,44,36,2,27,14,25,0,0,0,134,17,29,37.0,Junior Dina Ebimbe,"MF,FW"
2021-2022,20,Paris S-G,fr FRA,1. Ligue 1,1st,3.5,2,0,0,11,4,0,2,2,4,0,0,0,12,1,1,50.0,Junior Dina Ebimbe,"MF,FW"
2022-2023,21,Eint Frankfurt,de GER,1. Bundesliga,7th,11.8,4,0,0,15,11,2,8,11,19,0,0,0,73,23,20,53.5,Junior Dina Ebimbe,"MF,FW"
2023-2024,22,Eint Frankfurt,de GER,1. Bundesliga,6th,21.7,5,0,0,49,15,3,21,9,29,0,0,0,112,41,32,56.2,Junior Dina Ebimbe,"MF,FW"
2024-2025,23,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.1,0,0,0,10,4,1,8,7,1,0,1,0,11,8,4,66.7,Junior Dina Ebimbe,"MF,FW"
2018-2019,15,St. Pauli U17,de GER,Jr. U17 Bundesliga,18th,15.7,1,0,0,,,,,,,,,0,,,,,Igor Matanovic,"FW,MF"
2019-2020,16,St. Pauli U17,de GER,Jr. U17 Bundesliga,25th,4.7,3,0,0,,,,,,,,,0,,,,,Igor Matanovic,"FW,MF"
2019-2020,16,St. Pauli U19,de GER,Jr. U19 Bundesliga,24th,4.9,1,0,0,,,,,,,,,0,,,,,Igor Matanovic,"FW,MF"
2020-2021,17,St. Pauli U19,de GER,Jr. U19 Bundesliga,12th,1.3,0,0,0,,,,,,,,,0,,,,,Igor Matanovic,"FW,MF"
2020-2021,17,St. Pauli,de GER,2. 2. Bundesliga,10th,4.4,2,0,0,9,7,1,0,1,1,0,0,0,9,16,38,29.6,Igor Matanovic,"FW,MF"
2021-2022,18,St. Pauli,de GER,2. 2. Bundesliga,5th,6.1,2,1,1,17,11,2,1,1,2,0,0,0,18,11,20,35.5,Igor Matanovic,"FW,MF"
2022-2023,19,St. Pauli,de GER,2. 2. Bundesliga,5th,6.9,3,0,0,12,7,0,1,2,1,1,0,0,13,13,21,38.2,Igor Matanovic,"FW,MF"
2023-2024,20,Karlsruher,de GER,2. 2. Bundesliga,5th,25.8,1,0,0,49,48,5,4,5,8,1,0,0,62,125,124,50.2,Igor Matanovic,"FW,MF"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.2,0,0,0,6,8,1,0,1,0,0,0,0,7,9,12,42.9,Igor Matanovic,"FW,MF"
2020-2021,14,Nürnberg U17,de GER,Jr. U17 Bundesliga,7th,3.2,1,0,0,,,,,,,,,0,,,,,Can Uzun,"MF,FW"
2021-2022,15,Nürnberg U17,de GER,Jr. U17 Bundesliga,14th,18.5,6,0,0,,,,,,,,,0,,,,,Can Uzun,"MF,FW"
2021-2022,15,Nürnberg U19,de GER,Jr. U19 Bundesliga,2nd,0.0,0,0,0,,,,,,,,,0,,,,,Can Uzun,"MF,FW"
2022-2023,16,Nürnberg U19,de GER,Jr. U19 Bundesliga,8th,14.2,1,0,0,,,,,,,,,0,,,,,Can Uzun,"MF,FW"
2022-2023,16,Nürnberg,de GER,2. 2. Bundesliga,14th,0.8,0,0,0,0,0,0,0,0,1,0,0,0,3,0,5,0.0,Can Uzun,"MF,FW"
2023-2024,17,Nürnberg,de GER,2. 2. Bundesliga,12th,22.1,5,0,0,19,20,4,8,3,11,0,0,0,99,9,14,39.1,Can Uzun,"MF,FW"
2024-2025,18,Eint Frankfurt,de GER,1. Bundesliga,3rd,2.7,0,0,0,4,4,0,9,0,2,0,0,0,5,3,1,75.0,Can Uzun,"MF,FW"
2022-2023,17,Angers,fr FRA,1. Ligue 1,20th,3.0,0,0,0,4,7,0,2,0,3,0,0,0,14,2,5,28.6,Jean Mattéo Bahoya,"MF,DF"
2023-2024,18,Angers,fr FRA,2. Ligue 2,2nd,8.0,4,0,0,9,12,1,6,9,9,0,0,0,63,5,11,31.3,Jean Mattéo Bahoya,"MF,DF"
