Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2013-2014,23,Nürnberg,de GER,1. Bundesliga,17th,21,1590,76,52.0,17.7,19,,16,2,,,,,,,,,,,,,,Timothy Chandler,DF
2014-2015,24,Eint Frankfurt,de GER,1. Bundesliga,9th,29,2337,81,76.4,26.0,25,,25,4,,3,1.34,45,50,-5,-0.19,-0.07,,,,,,Timothy Chandler,DF
2015-2016,25,Eint Frankfurt,de GER,1. Bundesliga,16th,12,667,56,21.8,7.4,5,,4,7,,3,1.08,5,17,-12,-1.62,-1.39,,,,,,Timothy Chandler,DF
2016-2017,26,Eint Frankfurt,de GER,1. Bundesliga,11th,32,2817,88,92.1,31.3,31,,30,1,,0,1.31,35,41,-6,-0.19,+0.18,,,,,,Timothy Chandler,DF
2017-2018,27,Eint Frankfurt,de GER,1. Bundesliga,8th,24,1892,79,61.8,21.0,22,,18,2,,2,1.54,27,30,-3,-0.14,-0.37,25.5,27.1,-1.6,-0.08,-0.24,Timothy Chandler,DF
2018-2019,28,Eint Frankfurt,de GER,1. Bundesliga,7th,1,17,17,0.6,0.2,0,,0,1,16,3,0.00,0,0,0,0.00,-0.35,0.1,0.2,-0.1,-0.39,-0.59,Timothy Chandler,DF
2019-2020,29,Eint Frankfurt,de GER,1. Bundesliga,9th,22,1220,55,39.9,13.6,12,87,9,10,18,12,1.14,22,26,-4,-0.30,-0.44,19.1,19.4,-0.3,-0.02,-0.50,Timothy Chandler,DF
2020-2021,30,Eint Frankfurt,de GER,1. Bundesliga,5th,15,432,29,14.1,4.8,3,86,1,12,15,17,1.67,10,12,-2,-0.42,-1.03,9.4,10.5,-1.2,-0.25,-0.69,Timothy Chandler,DF
2021-2022,31,Eint Frankfurt,de GER,1. Bundesliga,11th,17,1212,71,39.6,13.5,15,80,8,2,5,14,1.41,18,21,-3,-0.22,-0.17,15.5,18.2,-2.7,-0.20,-0.07,Timothy Chandler,DF
2022-2023,32,Eint Frankfurt,de GER,1. Bundesliga,7th,6,86,14,2.8,1.0,0,,0,6,14,25,2.17,1,5,-4,-4.19,-4.49,1.2,2.1,-0.9,-0.94,-1.23,Timothy Chandler,DF
2023-2024,33,Eint Frankfurt,de GER,1. Bundesliga,6th,6,18,3,0.6,0.2,0,,0,6,3,12,1.00,1,1,0,0.00,-0.03,1.0,1.1,-0.1,-0.46,-0.28,Timothy Chandler,DF
2024-2025,34,Eint Frankfurt,de GER,1. Bundesliga,3rd,1,18,18,1.3,0.2,0,,0,1,18,4,3.00,0,0,0,0.00,-0.81,0.3,0.6,-0.3,-1.66,-2.11,Timothy Chandler,DF
2013-2014,24,Hoffenheim,de GER,1. Bundesliga,9th,11,990,90,32.4,11.0,11,,11,0,,,,,,,,,,,,,,Jens Grahl,GK
2014-2015,25,Hoffenheim,de GER,1. Bundesliga,8th,0,,,,,0,,0,0,,33,,,,,,,,,,,,Jens Grahl,GK
2015-2016,26,Hoffenheim,de GER,1. Bundesliga,15th,1,90,90,2.9,1.0,1,,1,0,,29,0.00,1,4,-3,-3.00,-2.64,,,,,,Jens Grahl,GK
2016-2017,27,Stuttgart,de GER,2. 2. Bundesliga,1st,0,,,,,0,,0,0,,7,,,,,,,,,,,,Jens Grahl,GK
2017-2018,28,Stuttgart,de GER,1. Bundesliga,7th,0,,,,,0,,0,0,,18,,,,,,,,,,,,Jens Grahl,GK
2018-2019,29,Stuttgart,de GER,1. Bundesliga,16th,0,,,,,0,,0,0,,34,,,,,,,,,,,,Jens Grahl,GK
2020-2021,31,Stuttgart,de GER,1. Bundesliga,9th,0,,,,,0,,0,0,,1,,,,,,,,,,,,Jens Grahl,GK
2021-2022,32,Eint Frankfurt,de GER,1. Bundesliga,11th,1,90,90,2.9,1.0,1,90,1,0,,14,0.00,0,2,-2,-2.00,-1.94,0.5,1.1,-0.6,-0.56,-0.42,Jens Grahl,GK
2022-2023,33,Eint Frankfurt,de GER,1. Bundesliga,7th,0,,,,,0,,0,0,,3,,,,,,,,,,,,Jens Grahl,GK
2023-2024,34,Eint Frankfurt,de GER,1. Bundesliga,6th,2,180,90,5.9,2.0,2,90,2,0,,32,2.00,4,2,+2,+1.00,+1.03,4.8,2.9,+1.9,+0.96,+1.20,Jens Grahl,GK
2024-2025,35,Eint Frankfurt,de GER,1. Bundesliga,3rd,0,,,,,0,,0,0,,3,,,,,,,,,,,,Jens Grahl,GK
2023-2024,16,Frankfurt U17,de GER,Jr. U17 Bundesliga,4th,5,423,85,18.1,4.0,5,85,4,0,,0,2.20,15,11,+4,+0.85,-0.65,Matches,Amil Siljević,GK,,,,
2023-2024,16,Frankfurt U19,de GER,Jr. U19 Bundesliga,15th,3,270,90,11.5,3.0,3,90,3,0,,0,0.33,5,9,-4,-1.33,-1.94,Matches,Amil Siljević,GK,,,,
2024-2025,17,Frankfurt U19,de GER,Jr. U19 DFB Youth League,12th,8,720,90,57.1,8.0,8,90,8,0,,0,2.63,30,7,+23,+2.87,+2.87,Matches,Amil Siljević,GK,,,,
2024-2025,17,Eint Frankfurt,de GER,1. Bundesliga,3rd,0,,,,,0,,0,0,,1,,,,,,,Matches,Amil Siljević,GK,,,,
