Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2023-2024,26,Roma,it ITA,1. Serie A,6th,19.4,28,1.44,21,3,3,0,1,0,3,0.15,2,0,0,0,1,0,Rasmus Kristensen,DF
2024-2025,27,Eint Frankfurt,de GER,1. Bundesliga,3rd,11.4,30,2.63,25,2,1,1,1,0,1,0.09,1,0,0,0,0,0,Rasmus Kristensen,DF
2023-2024,19,Eint Frankfurt,de GER,1. Bundesliga,6th,21.0,25,1.19,23,0,0,2,0,0,5,0.24,4,0,0,1,0,0,Hugo Larsson,MF
2024-2025,20,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.8,22,2.04,19,0,0,3,0,0,0,0.00,0,0,0,0,0,0,Hugo Larsson,MF
2010-2011,20,Kaiserslautern,de GER,1. Bundesliga,7th,9.0,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2011-2012,21,Kaiserslautern,de GER,1. Bundesliga,18th,23.0,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2012-2013,22,Eint Frankfurt,de GER,1. Bundesliga,6th,26.0,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2013-2014,23,Eint Frankfurt,de GER,1. Bundesliga,13th,33.8,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2014-2015,24,Eint Frankfurt,de GER,1. Bundesliga,9th,22.0,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2015-2016,25,Paris S-G,fr FRA,1. Ligue 1,1st,34.5,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2016-2017,26,Paris S-G,fr FRA,1. Ligue 1,2nd,23.6,,,,,,,,,,,,,,,,,Kevin Trapp,GK
2017-2018,27,Paris S-G,fr FRA,1. Ligue 1,1st,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Kevin Trapp,GK
2018-2019,28,Eint Frankfurt,de GER,1. Bundesliga,7th,32.6,8,0.25,6,2,0,0,0,0,1,0.03,0,1,0,0,0,0,Kevin Trapp,GK
2019-2020,29,Eint Frankfurt,de GER,1. Bundesliga,9th,22.0,3,0.14,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Kevin Trapp,GK
2020-2021,30,Eint Frankfurt,de GER,1. Bundesliga,5th,33.0,2,0.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Kevin Trapp,GK
