Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2024-2025,34,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.5,291,380,76.6,6539,4512,91,91,100.0,135,137,98.5,63,148,42.6,0,0.0,0.0,0.0,0,1,0,0,0,Kevin Trapp,GK
2014-2015,19,Montpellier,fr FRA,1. Ligue 1,7th,1.0,,,,,,,,,,,,,,,1,,,,,,,,,Ellyes Skhiri,MF
2015-2016,20,Montpellier,fr FRA,1. Ligue 1,12th,9.1,,,,,,,,,,,,,,,0,,,,,,,,,Ellyes Skhiri,MF
2016-2017,21,Montpellier,fr FRA,1. Ligue 1,15th,36.5,,,,,,,,,,,,,,,1,,,,,,,,,Ellyes Skhiri,MF
2017-2018,22,Montpellier,fr FRA,1. Ligue 1,10th,33.9,1355,1584,85.5,23643,6048,644,724,89.0,503,565,89.0,166,207,80.2,1,1.4,1.2,-0.4,32,128,18,1,178,Ellyes Skhiri,MF
2018-2019,23,Montpellier,fr FRA,1. Ligue 1,6th,34.3,1428,1673,85.4,23916,6291,665,744,89.4,566,643,88.0,138,178,77.5,2,1.2,1.7,+0.8,23,118,17,2,175,Ellyes Skhiri,MF
2019-2020,24,Köln,de GER,1. Bundesliga,14th,29.7,1184,1392,85.1,20041,5609,554,634,87.4,455,511,89.0,119,149,79.9,3,2.5,2.4,+0.5,20,86,20,2,154,Ellyes Skhiri,MF
2020-2021,25,Köln,de GER,1. Bundesliga,16th,30.9,1316,1523,86.4,23420,7721,552,625,88.3,578,622,92.9,142,195,72.8,2,1.0,1.5,+1.0,17,66,16,1,109,Ellyes Skhiri,MF
2021-2022,26,Köln,de GER,1. Bundesliga,7th,20.2,805,958,84.0,14195,4499,355,423,83.9,330,373,88.5,91,107,85.0,1,0.9,1.5,+0.1,15,58,10,1,83,Ellyes Skhiri,MF
2022-2023,27,Köln,de GER,1. Bundesliga,11th,31.7,1505,1717,87.7,26548,8222,615,688,89.4,739,804,91.9,126,152,82.9,1,1.8,1.8,-0.8,27,112,13,2,155,Ellyes Skhiri,MF
2023-2024,28,Eint Frankfurt,de GER,1. Bundesliga,6th,24.1,1082,1287,84.1,17184,4753,541,593,91.2,432,495,87.3,71,120,59.2,2,1.0,1.9,+1.0,19,76,16,0,110,Ellyes Skhiri,MF
2024-2025,29,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.0,426,479,88.9,6665,1791,225,246,91.5,168,181,92.8,22,31,71.0,1,0.6,1.1,+0.4,10,36,5,0,43,Ellyes Skhiri,MF
2018-2019,16,Dortmund U17,de GER,Jr. U17 Bundesliga,1st,11.9,,,,,,,,,,,,,,,,,,,,,,,,Ansgar Knauff,"MF,DF"
