Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2017-2018,18,PSV Eindhoven,nl NED,1. Eredivisie,1st,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Cody Gakpo,FW
2018-2019,19,Jong PSV,nl NED,2. Eerste Divisie,3rd,9.5,1,0,0,,,,,,,,,0,,,,,Cody Gakpo,FW
2018-2019,19,PSV Eindhoven,nl NED,1. Eredivisie,2nd,4.4,0,0,0,6,6,6,25,1,1,0,0,0,16,6,6,50.0,Cody Gakpo,FW
2019-2020,20,PSV Eindhoven,nl NED,1. Eredivisie,4th,16.2,5,0,0,12,14,5,75,14,10,1,0,0,73,24,24,50.0,Cody Gakpo,FW
2020-2021,21,PSV Eindhoven,nl NED,1. Eredivisie,2nd,18.5,2,0,0,21,36,5,47,9,9,0,1,0,80,25,21,54.3,Cody Gakpo,FW
2021-2022,22,PSV Eindhoven,nl NED,1. Eredivisie,2nd,21.2,1,0,0,15,32,10,140,16,9,0,0,0,97,24,34,41.4,Cody Gakpo,FW
2022-2023,23,PSV Eindhoven,nl NED,1. Eredivisie,2nd,12.5,0,0,0,9,29,13,134,8,10,0,0,0,48,15,17,46.9,Cody Gakpo,FW
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,16.2,0,0,0,26,33,8,17,4,15,1,0,0,57,26,24,52.0,Cody Gakpo,FW
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,18.3,1,0,0,28,38,8,21,14,17,0,0,0,81,32,27,54.2,Cody Gakpo,FW
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,11.0,4,0,0,10,13,4,42,6,10,0,0,0,38,8,13,38.1,Cody Gakpo,FW
2017-2018,24,Roma,it ITA,1. Serie A,3rd,37.0,1,0,0,1,3,0,0,2,0,0,0,0,69,7,0,100.0,Alisson,GK
2018-2019,25,Liverpool,eng ENG,1. Premier League,2nd,38.0,1,0,0,0,1,0,0,1,1,0,0,0,70,11,1,91.7,Alisson,GK
