Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2022-2023,28,Liverpool,eng ENG,1. Premier League,5th,28.7,0,13,2,15.4,0.45,0.07,0.00,0.00,14.5,0,0,0,1.3,1.3,0.11,-1.3,-1.3,Andrew Robertson,DF
2023-2024,29,Liverpool,eng ENG,1. Premier League,3rd,18.8,3,12,6,50.0,0.64,0.32,0.25,0.50,12.5,0,0,0,1.9,1.9,0.16,+1.1,+1.1,Andrew Robertson,DF
2024-2025,30,Liverpool,eng ENG,1. Premier League,1st,15.3,0,6,2,33.3,0.39,0.13,0.00,0.00,15.6,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Andrew Robertson,DF
2017-2018,18,Arg Juniors,ar ARG,1. Liga Argentina,12th,14.6,2,44,9,20.5,3.01,0.62,0.05,0.22,25.6,6,0,0,2.7,2.7,0.06,-0.7,-0.7,Alexis Mac Allister,MF
2018-2019,19,Arg Juniors,ar ARG,1. Liga Argentina,26th,17.1,5,64,15,23.4,3.74,0.88,0.06,0.27,23.5,6,1,1,6.0,5.2,0.08,-1.0,-1.2,Alexis Mac Allister,MF
2019-2020,20,Boca Juniors,ar ARG,1. Liga Argentina,1st,7.9,1,24,12,50.0,3.05,1.53,0.04,0.08,23.3,5,0,0,2.2,2.2,0.09,-1.2,-1.2,Alexis Mac Allister,MF
2019-2020,20,Brighton,eng ENG,1. Premier League,15th,3.9,0,7,1,14.3,1.79,0.26,0.00,0.00,22.5,1,0,0,0.5,0.5,0.07,-0.5,-0.5,Alexis Mac Allister,MF
2020-2021,21,Brighton,eng ENG,1. Premier League,16th,12.4,1,24,3,12.5,1.94,0.24,0.04,0.33,22.5,1,0,0,1.3,1.3,0.05,-0.3,-0.3,Alexis Mac Allister,MF
2021-2022,22,Brighton,eng ENG,1. Premier League,9th,23.6,5,57,9,15.8,2.42,0.38,0.05,0.33,22.0,4,2,3,6.3,4.0,0.07,-1.3,-1.0,Alexis Mac Allister,MF
2022-2023,23,Brighton,eng ENG,1. Premier League,6th,32.1,10,80,28,35.0,2.49,0.87,0.05,0.14,22.5,8,6,6,12.1,7.3,0.09,-2.1,-3.3,Alexis Mac Allister,MF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,28.9,5,43,8,18.6,1.49,0.28,0.09,0.50,23.3,2,1,1,3.7,2.9,0.07,+1.3,+1.1,Alexis Mac Allister,MF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,14.7,1,16,7,43.8,1.09,0.48,0.06,0.14,16.6,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Alexis Mac Allister,MF
2019-2020,22,Porto,pt POR,1. Primeira Liga,1st,19.7,6,50,19,38.0,2.54,0.97,0.12,0.32,17.5,0,0,0,6.2,6.2,0.12,-0.2,-0.2,Luis Díaz,FW
2020-2021,23,Porto,pt POR,1. Primeira Liga,2nd,18.2,6,42,12,28.6,2.31,0.66,0.14,0.50,17.2,0,0,0,5.1,5.1,0.12,+0.9,+0.9,Luis Díaz,FW
2021-2022,24,Porto,pt POR,1. Primeira Liga,1st,16.6,14,62,25,40.3,3.74,1.51,0.23,0.56,15.1,1,0,1,12.0,11.3,0.18,+2.0,+2.7,Luis Díaz,FW
2021-2022,24,Liverpool,eng ENG,1. Premier League,2nd,10.6,4,38,13,34.2,3.57,1.22,0.11,0.31,16.7,0,0,0,3.6,3.6,0.09,+0.4,+0.4,Luis Díaz,FW
2022-2023,25,Liverpool,eng ENG,1. Premier League,5th,11.1,4,27,8,29.6,2.44,0.72,0.15,0.50,15.1,0,0,0,2.5,2.5,0.09,+1.5,+1.5,Luis Díaz,FW
