Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2023-2024,29,Liverpool,eng ENG,1. Premier League,3rd,18.8,97,5.16,62,33,1,0,1,0,5,0.27,3,2,0,0,0,0,Andrew Robertson,DF
2024-2025,30,Liverpool,eng ENG,1. Premier League,1st,15.3,43,2.80,36,6,0,0,0,1,1,0.07,1,0,0,0,0,0,Andrew Robertson,DF
2017-2018,18,Arg Juniors,ar ARG,1. Liga Argentina,12th,14.6,68,4.65,39,12,6,5,5,1,8,0.55,4,1,0,1,2,0,Alexis Mac Allister,MF
2018-2019,19,Arg Juniors,ar ARG,1. Liga Argentina,26th,17.1,83,4.85,43,18,6,6,8,2,7,0.41,5,1,0,0,1,0,Alexis Mac Allister,MF
2019-2020,20,Boca Juniors,ar ARG,1. Liga Argentina,1st,7.9,34,4.33,17,7,1,5,4,0,3,0.38,1,1,0,1,0,0,Alexis Mac Allister,MF
2019-2020,20,Brighton,eng ENG,1. Premier League,15th,3.9,11,2.81,6,2,1,2,0,0,1,0.26,1,0,0,0,0,0,Alexis Mac Allister,MF
2020-2021,21,Brighton,eng ENG,1. Premier League,16th,12.4,34,2.74,29,0,2,2,1,0,2,0.16,2,0,0,0,0,0,Alexis Mac Allister,MF
2021-2022,22,Brighton,eng ENG,1. Premier League,9th,23.6,83,3.52,57,10,3,3,7,3,5,0.21,2,2,0,1,0,0,Alexis Mac Allister,MF
2022-2023,23,Brighton,eng ENG,1. Premier League,6th,32.1,106,3.31,76,7,9,8,4,2,8,0.25,7,0,1,0,0,0,Alexis Mac Allister,MF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,28.9,108,3.74,92,5,3,1,5,2,12,0.42,10,1,1,0,0,0,Alexis Mac Allister,MF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,14.7,60,4.08,48,7,1,2,1,1,8,0.54,7,0,0,1,0,0,Alexis Mac Allister,MF
2019-2020,22,Porto,pt POR,1. Primeira Liga,1st,19.7,65,3.31,43,0,9,6,7,0,12,0.61,7,0,0,2,3,0,Luis Díaz,FW
2020-2021,23,Porto,pt POR,1. Primeira Liga,2nd,18.2,49,2.69,30,0,13,2,4,0,6,0.33,4,0,2,0,0,0,Luis Díaz,FW
2021-2022,24,Porto,pt POR,1. Primeira Liga,1st,16.6,92,5.54,68,0,15,7,1,1,13,0.78,8,0,4,1,0,0,Luis Díaz,FW
2021-2022,24,Liverpool,eng ENG,1. Premier League,2nd,10.6,60,5.64,41,0,11,6,1,1,4,0.38,3,0,0,1,0,0,Luis Díaz,FW
2022-2023,25,Liverpool,eng ENG,1. Premier League,5th,11.1,41,3.70,29,0,7,3,2,0,6,0.54,3,0,2,1,0,0,Luis Díaz,FW
2023-2024,26,Liverpool,eng ENG,1. Premier League,3rd,29.2,163,5.58,121,1,17,15,8,1,9,0.31,9,0,0,0,0,0,Luis Díaz,FW
2024-2025,27,Liverpool,eng ENG,1. Premier League,1st,12.4,63,5.08,45,0,10,6,2,0,10,0.81,8,0,1,0,1,0,Luis Díaz,FW
2018-2019,17,RB Salzburg,at AUT,1. Bundesliga,1st,8.0,,,,,,,,,,,,,,,,,Dominik Szoboszlai,MF
2019-2020,18,RB Salzburg,at AUT,1. Bundesliga,1st,18.5,,,,,,,,,,,,,,,,,Dominik Szoboszlai,MF
2020-2021,19,RB Salzburg,at AUT,1. Bundesliga,1st,8.9,,,,,,,,,,,,,,,,,Dominik Szoboszlai,MF
2021-2022,20,RB Leipzig,de GER,1. Bundesliga,4th,17.1,79,4.61,47,25,3,2,2,0,13,0.76,7,5,1,0,0,0,Dominik Szoboszlai,MF
2022-2023,21,RB Leipzig,de GER,1. Bundesliga,3rd,27.2,150,5.52,94,31,8,5,10,2,17,0.63,11,3,0,1,2,0,Dominik Szoboszlai,MF
2023-2024,22,Liverpool,eng ENG,1. Premier League,3rd,23.4,115,4.92,84,21,4,3,3,0,7,0.30,5,0,0,1,1,0,Dominik Szoboszlai,MF
2024-2025,23,Liverpool,eng ENG,1. Premier League,1st,12.6,52,4.14,40,3,2,5,1,1,9,0.72,7,0,0,2,0,0,Dominik Szoboszlai,MF
2016-2017,17,Sochaux,fr FRA,2. Ligue 2,12th,11.1,,,,,,,,,,,,,,,,,Ibrahima Konaté,DF
2017-2018,18,Leipzig U19,de GER,Jr. U19 Bundesliga,9th,1.0,,,,,,,,,,,,,,,,,Ibrahima Konaté,DF
2017-2018,18,RB Leipzig,de GER,1. Bundesliga,6th,13.6,9,0.66,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Ibrahima Konaté,DF
2018-2019,19,RB Leipzig,de GER,1. Bundesliga,3rd,27.0,26,0.96,19,1,2,2,2,0,3,0.11,1,0,2,0,0,0,Ibrahima Konaté,DF
2019-2020,20,RB Leipzig,de GER,1. Bundesliga,3rd,6.3,3,0.47,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Ibrahima Konaté,DF
2020-2021,21,RB Leipzig,de GER,1. Bundesliga,2nd,7.7,2,0.26,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Ibrahima Konaté,DF
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,11.0,6,0.55,5,0,0,0,0,1,3,0.27,3,0,0,0,0,0,Ibrahima Konaté,DF
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,17.2,17,0.99,12,0,1,2,1,1,1,0.06,1,0,0,0,0,0,Ibrahima Konaté,DF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,17.5,24,1.37,24,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Ibrahima Konaté,DF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,11.8,10,0.85,8,0,0,2,0,0,2,0.17,2,0,0,0,0,0,Ibrahima Konaté,DF
2016-2017,17,Jong PSV,nl NED,2. Eerste Divisie,4th,0.6,,,,,,,,,,,,,,,,,Cody Gakpo,FW
2017-2018,18,Jong PSV,nl NED,2. Eerste Divisie,5th,10.6,,,,,,,,,,,,,,,,,Cody Gakpo,FW
2017-2018,18,PSV Eindhoven,nl NED,1. Eredivisie,1st,0.0,,,,,,,,,,,,,,,,,Cody Gakpo,FW
2018-2019,19,Jong PSV,nl NED,2. Eerste Divisie,3rd,9.5,,,,,,,,,,,,,,,,,Cody Gakpo,FW
2018-2019,19,PSV Eindhoven,nl NED,1. Eredivisie,2nd,4.4,29,6.54,23,0,2,3,1,0,9,2.03,7,0,1,1,0,0,Cody Gakpo,FW
2019-2020,20,PSV Eindhoven,nl NED,1. Eredivisie,4th,16.2,87,5.35,56,20,5,3,3,0,12,0.74,8,1,2,0,1,0,Cody Gakpo,FW
2020-2021,21,PSV Eindhoven,nl NED,1. Eredivisie,2nd,18.5,68,3.68,41,4,12,2,7,2,7,0.38,6,0,1,0,0,0,Cody Gakpo,FW
2021-2022,22,PSV Eindhoven,nl NED,1. Eredivisie,2nd,21.2,144,6.81,68,34,22,11,9,0,22,1.04,11,8,1,2,0,0,Cody Gakpo,FW
2022-2023,23,PSV Eindhoven,nl NED,1. Eredivisie,2nd,12.5,101,8.10,39,34,9,11,8,0,17,1.36,10,4,2,1,0,0,Cody Gakpo,FW
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,16.2,49,3.02,37,0,3,4,3,2,6,0.37,5,0,0,0,1,0,Cody Gakpo,FW
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,18.3,73,3.98,47,1,6,12,5,2,10,0.55,6,0,1,2,1,0,Cody Gakpo,FW
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,11.0,39,3.55,28,0,4,4,2,1,4,0.36,2,0,2,0,0,0,Cody Gakpo,FW
2017-2018,24,Roma,it ITA,1. Serie A,3rd,37.0,5,0.14,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Alisson,GK
2018-2019,25,Liverpool,eng ENG,1. Premier League,2nd,38.0,4,0.11,1,3,0,0,0,0,1,0.03,0,1,0,0,0,0,Alisson,GK
2019-2020,26,Liverpool,eng ENG,1. Premier League,1st,28.3,5,0.18,5,0,0,0,0,0,2,0.07,2,0,0,0,0,0,Alisson,GK
2020-2021,27,Liverpool,eng ENG,1. Premier League,3rd,33.0,5,0.15,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Alisson,GK
2021-2022,28,Liverpool,eng ENG,1. Premier League,2nd,36.0,2,0.06,2,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Alisson,GK
2022-2023,29,Liverpool,eng ENG,1. Premier League,5th,37.0,3,0.08,3,0,0,0,0,0,2,0.05,2,0,0,0,0,0,Alisson,GK
2023-2024,30,Liverpool,eng ENG,1. Premier League,3rd,28.0,11,0.39,10,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Alisson,GK
2024-2025,31,Liverpool,eng ENG,1. Premier League,1st,10.9,3,0.28,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Alisson,GK
2017-2018,16,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,4.5,,,,,,,,,,,,,,,,,Curtis Jones,MF
2018-2019,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,12.0,,,,,,,,,,,,,,,,,Curtis Jones,MF
2019-2020,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,13.1,,,,,,,,,,,,,,,,,Curtis Jones,MF
2019-2020,18,Liverpool,eng ENG,1. Premier League,1st,1.4,3,2.14,2,0,0,0,0,1,1,0.71,1,0,0,0,0,0,Curtis Jones,MF
2020-2021,19,Liverpool,eng ENG,1. Premier League,3rd,13.1,40,3.05,33,0,3,1,2,1,4,0.31,4,0,0,0,0,0,Curtis Jones,MF
2021-2022,20,Liverpool,eng ENG,1. Premier League,2nd,9.5,28,2.96,17,1,2,3,3,2,3,0.32,2,0,0,1,0,0,Curtis Jones,MF
2022-2023,21,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,0.5,,,,,,,,,,,,,,,,,Curtis Jones,MF
2022-2023,21,Liverpool,eng ENG,1. Premier League,5th,11.5,38,3.30,31,0,4,1,1,1,4,0.35,3,0,1,0,0,0,Curtis Jones,MF
2023-2024,22,Liverpool,eng ENG,1. Premier League,3rd,13.0,36,2.78,28,0,3,3,1,1,3,0.23,3,0,0,0,0,0,Curtis Jones,MF
2024-2025,23,Liverpool,eng ENG,1. Premier League,1st,9.7,18,1.86,17,0,0,0,1,0,4,0.41,3,0,0,0,1,0,Curtis Jones,MF
2016-2017,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,3rd,6.0,,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2017-2018,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,5.0,,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2018-2019,19,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,11.0,,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2019-2020,20,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,6.0,,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2020-2021,21,Liverpool,eng ENG,Jr. PL2 — Div. 1,7th,5.0,,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2020-2021,21,Liverpool,eng ENG,1. Premier League,3rd,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Caoimhín Kelleher,GK
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Caoimhín Kelleher,GK
2022-2023,23,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,1.0,,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Caoimhín Kelleher,GK
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,10.0,2,0.20,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Caoimhín Kelleher,GK
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,8.0,3,0.37,3,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Caoimhín Kelleher,GK
2019-2020,20,Almería,es ESP,2. La Liga 2,4th,26.9,56,2.08,34,1,12,4,3,2,9,0.33,3,0,3,1,1,1,Darwin Núñez,FW
2020-2021,21,Benfica,pt POR,1. Primeira Liga,3rd,19.9,68,3.42,48,0,12,4,3,1,16,0.80,11,0,5,0,0,0,Darwin Núñez,FW
2021-2022,22,Benfica,pt POR,1. Primeira Liga,3rd,22.0,71,3.23,46,1,11,9,3,1,13,0.59,7,0,4,1,1,0,Darwin Núñez,FW
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,18.8,54,2.87,35,1,4,7,7,0,3,0.16,2,0,0,0,1,0,Darwin Núñez,FW
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,22.7,79,3.47,60,0,5,12,2,0,14,0.62,11,0,0,2,1,0,Darwin Núñez,FW
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,8.4,19,2.26,11,0,4,1,1,2,3,0.36,3,0,0,0,0,0,Darwin Núñez,FW
2014-2015,17,Paços,pt POR,1. Primeira Liga,8th,7.1,,,,,,,,,,,,,,,,,Diogo Jota,FW
2015-2016,18,Paços,pt POR,1. Primeira Liga,7th,30.6,,,,,,,,,,,,,,,,,Diogo Jota,FW
2016-2017,19,Porto,pt POR,1. Primeira Liga,2nd,16.1,,,,,,,,,,,,,,,,,Diogo Jota,FW
2017-2018,20,Wolves,eng ENG,2. Championship,1st,40.1,,,,,,,,,,,,,,,,,Diogo Jota,FW
2018-2019,21,Wolves,eng ENG,1. Premier League,7th,26.2,89,3.40,53,1,12,10,13,0,11,0.42,5,0,1,3,2,0,Diogo Jota,FW
2019-2020,22,Wolves,eng ENG,1. Premier League,7th,25.4,102,4.02,56,0,15,13,17,1,7,0.28,5,0,0,1,1,0,Diogo Jota,FW
2020-2021,23,Liverpool,eng ENG,1. Premier League,3rd,12.4,37,2.99,23,0,2,5,6,1,4,0.32,2,0,1,0,1,0,Diogo Jota,FW
2021-2022,24,Liverpool,eng ENG,1. Premier League,2nd,26.3,98,3.73,63,0,12,9,13,1,13,0.49,7,0,2,2,2,0,Diogo Jota,FW
2022-2023,25,Liverpool,eng ENG,1. Premier League,5th,12.6,33,2.63,23,0,3,5,2,0,5,0.40,4,0,1,0,0,0,Diogo Jota,FW
2023-2024,26,Liverpool,eng ENG,1. Premier League,3rd,12.7,48,3.77,36,0,5,3,4,0,14,1.10,7,0,4,1,2,0,Diogo Jota,FW
2024-2025,27,Liverpool,eng ENG,1. Premier League,1st,6.7,18,2.69,10,0,3,3,1,1,4,0.60,2,0,1,0,1,0,Diogo Jota,FW
2014-2015,17,Charlton Ath,eng ENG,2. Championship,12th,16.5,,,,,,,,,,,,,,,,,Joe Gomez,DF
2015-2016,18,Liverpool,eng ENG,1. Premier League,8th,4.9,,,,,,,,,,,,,,,,,Joe Gomez,DF
2016-2017,19,Liverpool,eng ENG,Jr. PL2 — Div. 1,3rd,7.5,,,,,,,,,,,,,,,,,Joe Gomez,DF
2017-2018,20,Liverpool,eng ENG,1. Premier League,4th,21.1,31,1.47,25,4,2,0,0,0,1,0.05,1,0,0,0,0,0,Joe Gomez,DF
2018-2019,21,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,0.7,,,,,,,,,,,,,,,,,Joe Gomez,DF
2018-2019,21,Liverpool,eng ENG,1. Premier League,2nd,11.8,11,0.93,11,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Joe Gomez,DF
2019-2020,22,Liverpool,eng ENG,1. Premier League,1st,22.3,22,0.99,20,0,0,1,0,1,4,0.18,3,0,0,1,0,0,Joe Gomez,DF
2020-2021,23,Liverpool,eng ENG,1. Premier League,3rd,6.6,3,0.46,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Joe Gomez,DF
2021-2022,24,Liverpool,eng ENG,1. Premier League,2nd,3.7,7,1.90,6,0,0,0,1,0,2,0.54,2,0,0,0,0,0,Joe Gomez,DF
2022-2023,25,Liverpool,eng ENG,1. Premier League,5th,16.3,18,1.11,15,1,0,1,0,1,1,0.06,1,0,0,0,0,0,Joe Gomez,DF
2023-2024,26,Liverpool,eng ENG,1. Premier League,3rd,19.8,51,2.57,43,0,1,4,3,0,5,0.25,4,0,0,1,0,0,Joe Gomez,DF
2024-2025,27,Liverpool,eng ENG,1. Premier League,1st,5.8,5,0.87,5,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Joe Gomez,DF
2015-2016,19,Olympiacos,gr GRE,1. Super League,1st,2.2,,,,,,,,,,,,,,,,,Kostas Tsimikas,DF
2016-2017,20,Olympiacos,gr GRE,1. Super League,1st,0.7,,,,,,,,,,,,,,,,,Kostas Tsimikas,DF
2016-2017,20,Esbjerg,dk DEN,1. Danish Superliga,14th,7.7,,,,,,,,,,,,,,,,,Kostas Tsimikas,DF
2017-2018,21,Willem II,nl NED,1. Eredivisie,13th,31.3,,,,,,,,,,,,,,,,,Kostas Tsimikas,DF
2018-2019,22,Olympiacos,gr GRE,1. Super League,2nd,14.0,,,,,,,,,,,,,,,,,Kostas Tsimikas,DF
2019-2020,23,Olympiacos,gr GRE,1. Super League,1st,25.7,,,,,,,,,,,,,,,,,Kostas Tsimikas,DF
2020-2021,24,Liverpool,eng ENG,1. Premier League,3rd,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Kostas Tsimikas,DF
