Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2020-2021,21,Liverpool,eng ENG,1. Premier League,3rd,33.7,2245,3015,74.5,40719,15754,1064,1184,89.9,897,1145,78.3,256,545,47.0,7,8.6,7.5,-1.6,77,193,101,29,251,Trent Alexander-Arnold,DF
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,31.7,2039,2757,74.0,40112,15683,841,964,87.2,811,1048,77.4,344,636,54.1,12,12.0,13.0,0.0,90,245,85,25,267,Trent Alexander-Arnold,DF
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,32.5,2188,2912,75.1,41590,16323,1000,1123,89.0,822,1045,78.7,331,642,51.6,9,11.5,9.1,-2.5,71,239,82,28,235,Trent Alexander-Arnold,DF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,23.9,1553,2062,75.3,30386,12434,676,734,92.1,607,762,79.7,244,495,49.3,4,7.2,6.1,-3.2,64,202,57,18,205,Trent Alexander-Arnold,DF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,15.5,789,1097,71.9,15143,5961,353,399,88.5,308,410,75.1,114,241,47.3,4,5.4,4.9,-1.4,36,105,38,14,118,Trent Alexander-Arnold,DF
2013-2014,19,Dundee United,sct SCO,1. Premiership,4th,36.0,,,,,,,,,,,,,,,4,,,,,,,,,Andrew Robertson,DF
2014-2015,20,Hull City,eng ENG,1. Premier League,18th,17.0,,,,,,,,,,,,,,,2,,,,,,,,,Andrew Robertson,DF
2015-2016,21,Hull City,eng ENG,2. Championship,4th,39.6,,,,,,,,,,,,,,,4,,,,,,,,,Andrew Robertson,DF
2016-2017,22,Hull City,eng ENG,1. Premier League,18th,30.4,,,,,,,,,,,,,,,2,,,,,,,,,Andrew Robertson,DF
2017-2018,23,Liverpool,eng ENG,1. Premier League,4th,21.6,1404,1681,83.5,22245,6855,692,753,91.9,595,691,86.1,73,149,49.0,5,4.1,3.4,+0.9,24,121,31,8,150,Andrew Robertson,DF
2018-2019,24,Liverpool,eng ENG,1. Premier League,2nd,35.7,2285,2840,80.5,35590,12053,1265,1381,91.6,844,1053,80.2,121,266,45.5,11,7.2,6.3,+3.8,50,155,68,15,244,Andrew Robertson,DF
2019-2020,25,Liverpool,eng ENG,1. Premier League,1st,34.6,2391,2996,79.8,37653,11408,1298,1441,90.1,874,1072,81.5,153,313,48.9,12,7.5,5.9,+4.5,60,166,56,23,219,Andrew Robertson,DF
2020-2021,26,Liverpool,eng ENG,1. Premier League,3rd,37.6,2624,3303,79.4,41070,12970,1461,1619,90.2,953,1156,82.4,156,376,41.5,7,6.6,5.9,+0.4,66,194,62,27,228,Andrew Robertson,DF
2021-2022,27,Liverpool,eng ENG,1. Premier League,2nd,28.2,1885,2350,80.2,30530,10280,980,1078,90.9,759,906,83.8,120,268,44.8,10,5.6,5.5,+4.4,55,131,45,13,186,Andrew Robertson,DF
