Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2022-2023,23,Brighton,eng ENG,1. Premier League,6th,32.1,70,39,22,40,8,34,71,47.9,37,26,2,24,22,92,10,1,Alexis Mac Allister,MF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,28.9,99,55,35,50,14,59,125,47.2,66,65,8,57,35,134,25,1,Alexis Mac Allister,MF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,14.7,54,33,16,32,6,30,58,51.7,28,37,1,36,11,65,11,1,Alexis Mac Allister,MF
2019-2020,22,Porto,pt POR,1. Primeira Liga,1st,19.7,22,10,12,4,6,9,22,40.9,13,15,3,12,15,37,6,0,Luis Díaz,FW
2020-2021,23,Porto,pt POR,1. Primeira Liga,2nd,18.2,26,18,12,10,4,12,32,37.5,20,17,1,16,13,39,6,1,Luis Díaz,FW
2021-2022,24,Porto,pt POR,1. Primeira Liga,1st,16.6,12,5,2,6,4,5,13,38.5,8,11,0,11,4,16,6,0,Luis Díaz,FW
2021-2022,24,Liverpool,eng ENG,1. Premier League,2nd,10.6,9,7,3,5,1,2,8,25.0,6,7,0,7,4,13,2,0,Luis Díaz,FW
2022-2023,25,Liverpool,eng ENG,1. Premier League,5th,11.1,17,11,4,8,5,8,15,53.3,7,8,0,8,6,23,2,0,Luis Díaz,FW
2023-2024,26,Liverpool,eng ENG,1. Premier League,3rd,29.2,35,25,5,17,13,7,30,23.3,23,15,0,15,3,38,8,0,Luis Díaz,FW
2024-2025,27,Liverpool,eng ENG,1. Premier League,1st,12.4,14,7,6,7,1,7,16,43.8,9,12,0,12,3,17,4,1,Luis Díaz,FW
2018-2019,17,RB Salzburg,at AUT,1. Bundesliga,1st,8.0,,4,,,,,,,,,,,10,,,,Dominik Szoboszlai,MF
2019-2020,18,RB Salzburg,at AUT,1. Bundesliga,1st,18.5,,21,,,,,,,,,,,14,,,,Dominik Szoboszlai,MF
2020-2021,19,RB Salzburg,at AUT,1. Bundesliga,1st,8.9,,4,,,,,,,,,,,4,,,,Dominik Szoboszlai,MF
2021-2022,20,RB Leipzig,de GER,1. Bundesliga,4th,17.1,17,12,5,9,3,8,27,29.6,19,30,3,27,10,27,15,0,Dominik Szoboszlai,MF
2022-2023,21,RB Leipzig,de GER,1. Bundesliga,3rd,27.2,45,28,12,20,13,17,42,40.5,25,43,2,41,17,62,27,0,Dominik Szoboszlai,MF
2023-2024,22,Liverpool,eng ENG,1. Premier League,3rd,23.4,32,19,12,12,8,16,50,32.0,34,37,2,35,15,47,16,1,Dominik Szoboszlai,MF
2024-2025,23,Liverpool,eng ENG,1. Premier League,1st,12.6,14,9,5,5,4,7,17,41.2,10,22,2,20,7,21,6,0,Dominik Szoboszlai,MF
2016-2017,17,Sochaux,fr FRA,2. Ligue 2,12th,11.1,,0,,,,,,,,,,,0,,,,Ibrahima Konaté,DF
2017-2018,18,Leipzig U19,de GER,Jr. U19 Bundesliga,9th,1.0,,,,,,,,,,,,,,,,,Ibrahima Konaté,DF
2017-2018,18,RB Leipzig,de GER,1. Bundesliga,6th,13.6,32,25,20,12,0,18,23,78.3,5,14,3,11,20,52,66,0,Ibrahima Konaté,DF
2018-2019,19,RB Leipzig,de GER,1. Bundesliga,3rd,27.0,44,32,30,14,0,17,27,63.0,10,29,18,11,58,102,126,0,Ibrahima Konaté,DF
2019-2020,20,RB Leipzig,de GER,1. Bundesliga,3rd,6.3,11,6,10,1,0,2,7,28.6,5,9,4,5,5,16,35,1,Ibrahima Konaté,DF
2020-2021,21,RB Leipzig,de GER,1. Bundesliga,2nd,7.7,6,4,2,3,1,2,8,25.0,6,6,3,3,8,14,24,0,Ibrahima Konaté,DF
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,11.0,16,10,9,6,1,7,10,70.0,3,13,9,4,16,32,37,1,Ibrahima Konaté,DF
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,17.2,38,26,25,13,0,16,27,59.3,11,12,5,7,26,64,61,4,Ibrahima Konaté,DF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,17.5,36,22,22,13,1,18,24,75.0,6,18,12,6,20,56,51,1,Ibrahima Konaté,DF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,11.8,14,10,10,3,1,9,12,75.0,3,16,8,8,7,21,53,1,Ibrahima Konaté,DF
2016-2017,17,Jong PSV,nl NED,2. Eerste Divisie,4th,0.6,,0,,,,,,,,,,,0,,,,Cody Gakpo,FW
2017-2018,18,Jong PSV,nl NED,2. Eerste Divisie,5th,10.6,,0,,,,,,,,,,,0,,,,Cody Gakpo,FW
2017-2018,18,PSV Eindhoven,nl NED,1. Eredivisie,1st,0.0,,0,,,,,,,,,,,0,,,,Cody Gakpo,FW
2018-2019,19,Jong PSV,nl NED,2. Eerste Divisie,3rd,9.5,,,,,,,,,,,,,,,,,Cody Gakpo,FW
2018-2019,19,PSV Eindhoven,nl NED,1. Eredivisie,2nd,4.4,1,1,0,1,0,1,4,25.0,3,4,2,2,1,2,4,0,Cody Gakpo,FW
2019-2020,20,PSV Eindhoven,nl NED,1. Eredivisie,4th,16.2,21,10,3,10,8,7,22,31.8,15,22,0,22,14,35,15,1,Cody Gakpo,FW
2020-2021,21,PSV Eindhoven,nl NED,1. Eredivisie,2nd,18.5,20,9,5,10,5,13,21,61.9,8,14,0,14,9,29,13,0,Cody Gakpo,FW
2021-2022,22,PSV Eindhoven,nl NED,1. Eredivisie,2nd,21.2,15,9,5,4,6,7,25,28.0,18,22,2,20,16,31,10,0,Cody Gakpo,FW
2022-2023,23,PSV Eindhoven,nl NED,1. Eredivisie,2nd,12.5,13,10,3,7,3,5,12,41.7,7,7,1,6,8,21,3,0,Cody Gakpo,FW
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,16.2,26,15,4,13,9,13,38,34.2,25,13,1,12,4,30,2,0,Cody Gakpo,FW
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,18.3,27,17,8,14,5,8,25,32.0,17,21,4,17,14,41,7,0,Cody Gakpo,FW
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,11.0,17,10,4,7,6,8,15,53.3,7,13,1,12,6,23,10,1,Cody Gakpo,FW
2017-2018,24,Roma,it ITA,1. Serie A,3rd,37.0,1,0,1,0,0,0,1,0.0,1,0,0,0,2,3,22,4,Alisson,GK
2018-2019,25,Liverpool,eng ENG,1. Premier League,2nd,38.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,14,6,Alisson,GK
2019-2020,26,Liverpool,eng ENG,1. Premier League,1st,28.3,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,13,3,Alisson,GK
2020-2021,27,Liverpool,eng ENG,1. Premier League,3rd,33.0,3,2,3,0,0,3,4,75.0,1,0,0,0,2,5,26,7,Alisson,GK
2021-2022,28,Liverpool,eng ENG,1. Premier League,2nd,36.0,3,1,3,0,0,3,5,60.0,2,1,0,1,0,3,28,1,Alisson,GK
2022-2023,29,Liverpool,eng ENG,1. Premier League,5th,37.0,0,0,0,0,0,0,3,0.0,3,3,0,3,0,0,20,0,Alisson,GK
2023-2024,30,Liverpool,eng ENG,1. Premier League,3rd,28.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,11,4,Alisson,GK
2024-2025,31,Liverpool,eng ENG,1. Premier League,1st,10.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,Alisson,GK
2017-2018,16,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,4.5,,,,,,,,,,,,,,,,,Curtis Jones,MF
2018-2019,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,12.0,,,,,,,,,,,,,,,,,Curtis Jones,MF
2019-2020,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,13.1,,,,,,,,,,,,,,,,,Curtis Jones,MF
2019-2020,18,Liverpool,eng ENG,1. Premier League,1st,1.4,4,4,0,1,3,3,4,75.0,1,2,0,2,2,6,1,0,Curtis Jones,MF
2020-2021,19,Liverpool,eng ENG,1. Premier League,3rd,13.1,16,6,6,7,3,12,25,48.0,13,13,0,13,19,35,11,1,Curtis Jones,MF
2021-2022,20,Liverpool,eng ENG,1. Premier League,2nd,9.5,11,9,3,6,2,1,10,10.0,9,4,0,4,6,17,4,0,Curtis Jones,MF
2022-2023,21,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,0.5,,,,,,,,,,,,,,,,,Curtis Jones,MF
2022-2023,21,Liverpool,eng ENG,1. Premier League,5th,11.5,34,17,8,12,14,18,31,58.1,13,12,2,10,3,37,9,0,Curtis Jones,MF
2023-2024,22,Liverpool,eng ENG,1. Premier League,3rd,13.0,27,14,12,12,3,10,23,43.5,13,22,0,22,7,34,8,0,Curtis Jones,MF
2024-2025,23,Liverpool,eng ENG,1. Premier League,1st,9.7,21,11,2,16,3,7,12,58.3,5,8,4,4,3,24,5,0,Curtis Jones,MF
2016-2017,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,3rd,6.0,,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2017-2018,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,5.0,,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2018-2019,19,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,11.0,,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2019-2020,20,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,6.0,,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2020-2021,21,Liverpool,eng ENG,Jr. PL2 — Div. 1,7th,5.0,,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2020-2021,21,Liverpool,eng ENG,1. Premier League,3rd,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Caoimhín Kelleher,GK
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,2.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Caoimhín Kelleher,GK
2022-2023,23,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,1.0,,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Caoimhín Kelleher,GK
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1,Caoimhín Kelleher,GK
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,Caoimhín Kelleher,GK
2019-2020,20,Almería,es ESP,2. La Liga 2,4th,26.9,19,13,4,10,5,3,9,33.3,6,17,4,13,5,24,29,0,Darwin Núñez,FW
2020-2021,21,Benfica,pt POR,1. Primeira Liga,3rd,19.9,9,6,2,3,4,4,12,33.3,8,16,0,16,3,12,11,0,Darwin Núñez,FW
2021-2022,22,Benfica,pt POR,1. Primeira Liga,3rd,22.0,14,7,5,5,4,3,10,30.0,7,13,5,8,5,19,15,0,Darwin Núñez,FW
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,18.8,11,5,2,4,5,4,17,23.5,13,10,0,10,3,14,13,0,Darwin Núñez,FW
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,22.7,22,12,2,10,10,11,23,47.8,12,18,6,12,3,25,9,0,Darwin Núñez,FW
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,8.4,16,14,9,3,4,5,12,41.7,7,4,0,4,1,17,8,0,Darwin Núñez,FW
2014-2015,17,Paços,pt POR,1. Primeira Liga,8th,7.1,,,,,,,,,,,,,,,,,Diogo Jota,FW
2015-2016,18,Paços,pt POR,1. Primeira Liga,7th,30.6,,,,,,,,,,,,,,,,,Diogo Jota,FW
2016-2017,19,Porto,pt POR,1. Primeira Liga,2nd,16.1,,0,,,,,,,,,,,0,,,,Diogo Jota,FW
2017-2018,20,Wolves,eng ENG,2. Championship,1st,40.1,,25,,,,,,,,,,,20,,,,Diogo Jota,FW
2018-2019,21,Wolves,eng ENG,1. Premier League,7th,26.2,28,16,11,11,6,10,38,26.3,28,20,1,19,13,41,11,0,Diogo Jota,FW
2019-2020,22,Wolves,eng ENG,1. Premier League,7th,25.4,28,15,16,10,2,12,48,25.0,36,17,0,17,9,37,10,2,Diogo Jota,FW
2020-2021,23,Liverpool,eng ENG,1. Premier League,3rd,12.4,12,6,4,7,1,2,29,6.9,27,9,0,9,5,17,3,0,Diogo Jota,FW
2021-2022,24,Liverpool,eng ENG,1. Premier League,2nd,26.3,39,18,12,18,9,13,55,23.6,42,19,2,17,6,45,6,0,Diogo Jota,FW
2022-2023,25,Liverpool,eng ENG,1. Premier League,5th,12.6,23,15,8,8,7,12,37,32.4,25,5,0,5,3,26,11,0,Diogo Jota,FW
2023-2024,26,Liverpool,eng ENG,1. Premier League,3rd,12.7,23,13,6,13,4,10,23,43.5,13,9,1,8,7,30,4,0,Diogo Jota,FW
2024-2025,27,Liverpool,eng ENG,1. Premier League,1st,6.7,6,4,0,4,2,4,11,36.4,7,4,0,4,3,9,4,0,Diogo Jota,FW
2014-2015,17,Charlton Ath,eng ENG,2. Championship,12th,16.5,,,,,,,,,,,,,,,,,Joe Gomez,DF
2015-2016,18,Liverpool,eng ENG,1. Premier League,8th,4.9,,,,,,,,,,,,,,,,,Joe Gomez,DF
2016-2017,19,Liverpool,eng ENG,Jr. PL2 — Div. 1,3rd,7.5,,,,,,,,,,,,,,,,,Joe Gomez,DF
2017-2018,20,Liverpool,eng ENG,1. Premier League,4th,21.1,58,45,32,23,3,21,40,52.5,19,19,8,11,34,92,57,1,Joe Gomez,DF
2018-2019,21,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,0.7,,,,,,,,,,,,,,,,,Joe Gomez,DF
2018-2019,21,Liverpool,eng ENG,1. Premier League,2nd,11.8,18,11,10,7,1,9,15,60.0,6,10,5,5,14,32,42,0,Joe Gomez,DF
2019-2020,22,Liverpool,eng ENG,1. Premier League,1st,22.3,23,16,17,6,0,9,20,45.0,11,15,8,7,38,61,64,2,Joe Gomez,DF
2020-2021,23,Liverpool,eng ENG,1. Premier League,3rd,6.6,3,2,1,1,1,0,4,0.0,4,3,2,1,4,7,29,0,Joe Gomez,DF
2021-2022,24,Liverpool,eng ENG,1. Premier League,2nd,3.7,10,6,5,2,3,5,9,55.6,4,4,1,3,5,15,6,0,Joe Gomez,DF
2022-2023,25,Liverpool,eng ENG,1. Premier League,5th,16.3,28,21,15,11,2,11,19,57.9,8,17,11,6,24,52,51,2,Joe Gomez,DF
2023-2024,26,Liverpool,eng ENG,1. Premier League,3rd,19.8,47,31,24,16,7,30,63,47.6,33,26,4,22,19,66,50,2,Joe Gomez,DF
2024-2025,27,Liverpool,eng ENG,1. Premier League,1st,5.8,13,10,5,7,1,11,16,68.8,5,9,6,3,7,20,20,2,Joe Gomez,DF
2015-2016,19,Olympiacos,gr GRE,1. Super League,1st,2.2,,,,,,,,,,,,,,,,,Kostas Tsimikas,DF
2016-2017,20,Olympiacos,gr GRE,1. Super League,1st,0.7,,0,,,,,,,,,,,0,,,,Kostas Tsimikas,DF
2016-2017,20,Esbjerg,dk DEN,1. Danish Superliga,14th,7.7,,0,,,,,,,,,,,0,,,,Kostas Tsimikas,DF
2017-2018,21,Willem II,nl NED,1. Eredivisie,13th,31.3,,0,,,,,,,,,,,0,,,,Kostas Tsimikas,DF
2018-2019,22,Olympiacos,gr GRE,1. Super League,2nd,14.0,,,,,,,,,,,,,,,,,Kostas Tsimikas,DF
2019-2020,23,Olympiacos,gr GRE,1. Super League,1st,25.7,,,,,,,,,,,,,,,,,Kostas Tsimikas,DF
2020-2021,24,Liverpool,eng ENG,1. Premier League,3rd,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Kostas Tsimikas,DF
2021-2022,25,Liverpool,eng ENG,1. Premier League,2nd,9.7,27,12,12,8,7,12,16,75.0,4,6,2,4,10,37,22,2,Kostas Tsimikas,DF
2022-2023,26,Liverpool,eng ENG,1. Premier League,5th,8.6,14,9,10,2,2,10,16,62.5,6,8,1,7,12,26,15,0,Kostas Tsimikas,DF
