Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2018-2019,19,Arg Juniors,ar ARG,1. Liga Argentina,26th,19,16,1541,17.1,5,1,6,4,1,1,4,0,6.0,5.2,3.8,9.0,32,118,105,0.29,0.06,0.35,0.23,0.29,0.35,0.22,0.57,0.30,0.53,Alexis Mac Allister,MF
2019-2020,20,Boca Juniors,ar ARG,1. Liga Argentina,1st,13,9,708,7.9,1,1,2,1,0,0,1,0,2.2,2.2,1.2,3.3,15,33,38,0.13,0.13,0.25,0.13,0.25,0.28,0.15,0.42,0.28,0.42,Alexis Mac Allister,MF
2019-2020,20,Brighton,eng ENG,1. Premier League,15th,9,4,352,3.9,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.7,2,6,13,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.19,0.12,0.19,Alexis Mac Allister,MF
2020-2021,21,Brighton,eng ENG,1. Premier League,16th,21,13,1115,12.4,1,1,2,1,0,0,1,0,1.3,1.3,1.5,2.7,15,48,55,0.08,0.08,0.16,0.08,0.16,0.10,0.12,0.22,0.10,0.22,Alexis Mac Allister,MF
2021-2022,22,Brighton,eng ENG,1. Premier League,9th,33,22,2123,23.6,5,2,7,3,2,3,4,0,6.3,4.0,1.9,5.9,30,137,66,0.21,0.08,0.30,0.13,0.21,0.27,0.08,0.35,0.17,0.25,Alexis Mac Allister,MF
2022-2023,23,Brighton,eng ENG,1. Premier League,6th,35,31,2886,32.1,10,2,12,4,6,6,8,0,12.1,7.3,4.3,11.6,69,174,77,0.31,0.06,0.37,0.12,0.19,0.38,0.13,0.51,0.23,0.36,Alexis Mac Allister,MF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,33,31,2599,28.9,5,5,10,4,1,1,7,1,3.7,2.9,3.6,6.4,44,209,48,0.17,0.17,0.35,0.14,0.31,0.13,0.12,0.25,0.10,0.22,Alexis Mac Allister,MF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,18,16,1322,14.7,1,3,4,1,0,0,5,0,1.4,1.4,3.0,4.5,18,92,39,0.07,0.20,0.27,0.07,0.27,0.10,0.21,0.30,0.10,0.30,Alexis Mac Allister,MF
2019-2020,22,Porto,pt POR,1. Primeira Liga,1st,29,20,1770,19.7,6,2,8,6,0,0,2,0,6.2,6.2,1.6,7.8,66,74,192,0.31,0.10,0.41,0.31,0.41,0.31,0.08,0.40,0.31,0.40,Luis Díaz,FW
2020-2021,23,Porto,pt POR,1. Primeira Liga,2nd,30,16,1636,18.2,6,5,11,6,0,0,0,0,5.1,5.1,2.7,7.8,66,55,153,0.33,0.28,0.61,0.33,0.61,0.28,0.15,0.43,0.28,0.43,Luis Díaz,FW
2021-2022,24,Porto,pt POR,1. Primeira Liga,1st,18,18,1491,16.6,14,4,18,14,0,1,2,0,12.0,11.3,5.4,16.7,90,61,186,0.85,0.24,1.09,0.85,1.09,0.73,0.33,1.05,0.68,1.00,Luis Díaz,FW
2021-2022,24,Liverpool,eng ENG,1. Premier League,2nd,13,11,958,10.6,4,3,7,4,0,0,0,0,3.6,3.6,2.6,6.2,53,38,127,0.38,0.28,0.66,0.38,0.66,0.33,0.25,0.58,0.33,0.58,Luis Díaz,FW
