Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2022-2023,23,Brighton,eng ENG,1. Premier League,6th,35,2886,82,84.4,32.1,31,89,27,4,32,0,1.60,54,45,+9,+0.28,-1.40,62.0,39.5,+22.5,+0.70,+0.60,Alexis Mac Allister,MF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,33,2599,79,76.0,28.9,31,83,17,2,17,0,2.15,62,34,+28,+0.97,-0.89,66.1,34.9,+31.2,+1.08,-0.11,Alexis Mac Allister,MF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,18,1322,73,77.3,14.7,16,80,9,2,20,0,2.50,38,11,+27,+1.84,+1.61,36.6,12.2,+24.4,+1.66,+1.22,Alexis Mac Allister,MF
2019-2020,22,Porto,pt POR,1. Primeira Liga,1st,29,1770,61,57.8,19.7,20,78,9,9,22,2,2.45,46,10,+36,+1.83,+0.71,39.5,14.1,+25.4,+1.29,+0.24,Luis Díaz,FW
2020-2021,23,Porto,pt POR,1. Primeira Liga,2nd,30,1636,55,53.5,18.2,16,76,3,14,30,0,2.33,47,13,+34,+1.87,+1.18,35.0,14.9,+20.1,+1.10,+0.14,Luis Díaz,FW
2021-2022,24,Porto,pt POR,1. Primeira Liga,1st,18,1491,83,48.7,16.6,18,83,5,0,,0,2.78,44,11,+33,+1.99,+0.21,42.6,10.7,+31.9,+1.92,+0.29,Luis Díaz,FW
2021-2022,24,Liverpool,eng ENG,1. Premier League,2nd,13,958,74,28.0,10.6,11,82,4,2,26,3,2.69,25,4,+21,+1.97,+0.25,25.5,7.6,+17.8,+1.68,+0.32,Luis Díaz,FW
2022-2023,25,Liverpool,eng ENG,1. Premier League,5th,17,996,59,29.1,11.1,11,76,5,6,26,0,1.94,28,11,+17,+1.54,+1.13,22.0,11.8,+10.2,+0.92,+0.53,Luis Díaz,FW
2023-2024,26,Liverpool,eng ENG,1. Premier League,3rd,37,2629,71,76.9,29.2,32,78,11,5,24,0,2.14,67,33,+34,+1.16,-0.09,66.1,35.4,+30.7,+1.05,-0.24,Luis Díaz,FW
2024-2025,27,Liverpool,eng ENG,1. Premier League,1st,18,1115,62,65.2,12.4,13,76,4,5,24,1,2.39,37,10,+27,+2.18,+2.03,32.9,10.5,+22.4,+1.81,+1.21,Luis Díaz,FW
2018-2019,17,RB Salzburg,at AUT,1. Bundesliga,1st,16,724,45,25.1,8.0,7,84,4,9,15,1,2.44,21,8,+13,+1.62,-0.01,,,,,,Dominik Szoboszlai,MF
2019-2020,18,RB Salzburg,at AUT,1. Bundesliga,1st,27,1664,62,57.8,18.5,18,78,8,9,29,3,2.26,64,17,+47,+2.54,+0.40,,,,,,Dominik Szoboszlai,MF
2020-2021,19,RB Salzburg,at AUT,1. Bundesliga,1st,12,800,67,27.8,8.9,11,70,3,1,28,0,2.08,27,12,+15,+1.69,-0.30,,,,,,Dominik Szoboszlai,MF
2021-2022,20,RB Leipzig,de GER,1. Bundesliga,4th,31,1543,50,50.4,17.1,15,79,5,16,23,3,1.58,33,24,+9,+0.52,-1.02,31.6,22.8,+8.8,+0.51,-0.41,Dominik Szoboszlai,MF
2022-2023,21,RB Leipzig,de GER,1. Bundesliga,3rd,31,2444,79,79.9,27.2,28,84,17,3,33,0,1.94,51,32,+19,+0.70,+0.12,52.5,31.5,+21.0,+0.77,+0.12,Dominik Szoboszlai,MF
2023-2024,22,Liverpool,eng ENG,1. Premier League,3rd,33,2104,64,61.5,23.4,25,79,12,8,15,0,2.12,42,23,+19,+0.81,-0.97,50.5,25.5,+25.1,+1.07,-0.09,Dominik Szoboszlai,MF
2024-2025,23,Liverpool,eng ENG,1. Premier League,1st,17,1132,67,66.2,12.6,12,83,8,5,27,0,2.47,31,12,+19,+1.51,+0.11,31.3,12.0,+19.3,+1.53,+0.44,Dominik Szoboszlai,MF
2016-2017,17,Sochaux,fr FRA,2. Ligue 2,12th,12,997,83,29.2,11.1,11,,10,1,,5,0.82,12,18,-6,-0.54,-0.58,,,,,,Ibrahima Konaté,DF
2017-2018,18,Leipzig U19,de GER,Jr. U19 Bundesliga,9th,1,90,90,3.8,1.0,1,90,1,0,,0,1.00,0,0,0,0.00,-1.32,,,,,,Ibrahima Konaté,DF
2017-2018,18,RB Leipzig,de GER,1. Bundesliga,6th,16,1228,77,40.1,13.6,14,,12,2,,11,1.56,25,23,+2,+0.15,+0.05,20.2,19.8,+0.3,+0.03,-0.21,Ibrahima Konaté,DF
2018-2019,19,RB Leipzig,de GER,1. Bundesliga,3rd,28,2431,87,79.4,27.0,27,90,27,1,0,2,2.04,52,25,+27,+1.00,0.00,51.3,33.8,+17.6,+0.65,-0.44,Ibrahima Konaté,DF
2019-2020,20,RB Leipzig,de GER,1. Bundesliga,3rd,8,569,71,18.6,6.3,6,90,6,2,15,4,2.38,15,5,+10,+1.58,+0.35,13.9,6.9,+7.0,+1.10,+0.18,Ibrahima Konaté,DF
2020-2021,21,RB Leipzig,de GER,1. Bundesliga,2nd,14,695,50,22.7,7.7,8,76,4,6,15,10,2.21,15,9,+6,+0.78,-0.06,11.9,8.0,+3.9,+0.51,-0.67,Ibrahima Konaté,DF
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,11,990,90,28.9,11.0,11,90,11,0,,26,2.27,28,10,+18,+1.64,-0.22,23.6,12.2,+11.4,+1.04,-0.57,Ibrahima Konaté,DF
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,18,1552,86,45.4,17.2,17,90,17,1,22,3,1.72,34,22,+12,+0.70,-0.08,30.9,23.2,+7.6,+0.44,-0.19,Ibrahima Konaté,DF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,22,1574,72,46.0,17.5,17,87,14,5,20,11,2.00,38,18,+20,+1.14,-0.08,41.3,21.9,+19.4,+1.11,+0.01,Ibrahima Konaté,DF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,13,1064,82,62.2,11.8,12,85,10,1,45,0,2.46,24,10,+14,+1.18,-0.77,24.8,10.9,+13.9,+1.18,-0.56,Ibrahima Konaté,DF
2016-2017,17,Jong PSV,nl NED,2. Eerste Divisie,4th,2,53,27,1.5,0.6,0,,0,2,,0,0.00,0,1,-1,-1.70,-2.55,,,,,,Cody Gakpo,FW
2017-2018,18,Jong PSV,nl NED,2. Eerste Divisie,5th,13,956,74,28.0,10.6,11,,7,2,,1,2.00,23,9,+14,+1.32,+1.03,,,,,,Cody Gakpo,FW
2017-2018,18,PSV Eindhoven,nl NED,1. Eredivisie,1st,1,1,1,0.0,0.0,0,,0,1,,9,3.00,0,0,0,0.00,-1.41,,,,,,Cody Gakpo,FW
2018-2019,19,Jong PSV,nl NED,2. Eerste Divisie,3rd,11,856,78,25.0,9.5,11,78,6,0,,0,1.36,25,16,+9,+0.95,+0.63,,,,,,Cody Gakpo,FW
2018-2019,19,PSV Eindhoven,nl NED,1. Eredivisie,2nd,16,399,25,13.0,4.4,2,79,0,14,17,12,2.13,15,5,+10,+2.26,+0.16,15.8,5.5,+10.3,+2.31,+0.47,Cody Gakpo,FW
2019-2020,20,PSV Eindhoven,nl NED,1. Eredivisie,4th,25,1462,58,62.5,16.2,14,83,7,11,27,0,1.84,36,18,+18,+1.11,+0.29,31.7,21.3,+10.5,+0.64,-0.03,Cody Gakpo,FW
2020-2021,21,PSV Eindhoven,nl NED,1. Eredivisie,2nd,23,1663,72,54.3,18.5,22,74,8,1,27,0,2.26,41,14,+27,+1.46,+0.69,37.9,17.6,+20.3,+1.10,-0.05,Cody Gakpo,FW
2021-2022,22,PSV Eindhoven,nl NED,1. Eredivisie,2nd,27,1905,71,62.3,21.2,22,80,11,5,28,0,2.41,49,23,+26,+1.23,-0.17,45.8,23.7,+22.1,+1.04,-0.09,Cody Gakpo,FW
2022-2023,23,PSV Eindhoven,nl NED,1. Eredivisie,2nd,14,1122,80,36.7,12.5,14,80,9,0,,0,2.14,37,17,+20,+1.60,+0.26,28.2,11.3,+16.9,+1.36,-0.15,Cody Gakpo,FW
