Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2019-2020,20,Boca Juniors,ar ARG,1. Liga Argentina,1st,7.9,328,271,53,19,0,3,47,1,33,6,25,0,230,4,6,Alexis Mac Allister,MF
2019-2020,20,Brighton,eng ENG,1. Premier League,15th,3.9,121,97,24,9,0,0,23,0,15,8,5,0,77,0,4,Alexis Mac Allister,MF
2020-2021,21,Brighton,eng ENG,1. Premier League,16th,12.4,410,396,11,6,3,6,11,0,1,0,0,0,320,3,11,Alexis Mac Allister,MF
2021-2022,22,Brighton,eng ENG,1. Premier League,9th,23.6,1066,986,78,22,4,9,66,3,46,26,15,0,858,2,23,Alexis Mac Allister,MF
2022-2023,23,Brighton,eng ENG,1. Premier League,6th,32.1,1844,1785,52,35,15,11,29,5,12,7,4,0,1586,7,43,Alexis Mac Allister,MF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,28.9,1967,1900,61,38,14,11,32,2,11,2,9,0,1704,6,32,Alexis Mac Allister,MF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,14.7,781,745,33,12,4,3,17,5,16,7,4,0,670,3,17,Alexis Mac Allister,MF
2019-2020,22,Porto,pt POR,1. Primeira Liga,1st,19.7,672,663,8,2,1,5,16,6,0,0,0,0,569,1,18,Luis Díaz,FW
2020-2021,23,Porto,pt POR,1. Primeira Liga,2nd,18.2,608,585,20,5,0,5,15,13,1,0,0,0,495,3,19,Luis Díaz,FW
2021-2022,24,Porto,pt POR,1. Primeira Liga,1st,16.6,672,644,24,2,3,4,22,16,6,0,0,0,536,4,16,Luis Díaz,FW
2021-2022,24,Liverpool,eng ENG,1. Premier League,2nd,10.6,455,453,2,0,0,2,14,2,0,0,0,0,392,0,11,Luis Díaz,FW
2022-2023,25,Liverpool,eng ENG,1. Premier League,5th,11.1,462,453,7,0,0,7,8,6,1,0,0,0,376,2,15,Luis Díaz,FW
2023-2024,26,Liverpool,eng ENG,1. Premier League,3rd,29.2,1075,1040,29,4,4,11,26,24,0,0,0,0,898,6,29,Luis Díaz,FW
2024-2025,27,Liverpool,eng ENG,1. Premier League,1st,12.4,389,379,9,1,1,1,10,8,0,0,0,0,333,1,9,Luis Díaz,FW
2018-2019,17,RB Salzburg,at AUT,1. Bundesliga,1st,8.0,,,,,,,25,,,,,,,,,Dominik Szoboszlai,MF
2019-2020,18,RB Salzburg,at AUT,1. Bundesliga,1st,18.5,,,,,,,113,,,,,,,,,Dominik Szoboszlai,MF
2020-2021,19,RB Salzburg,at AUT,1. Bundesliga,1st,8.9,,,,,,,82,,,,,,,,,Dominik Szoboszlai,MF
2021-2022,20,RB Leipzig,de GER,1. Bundesliga,4th,17.1,965,849,112,38,4,5,91,16,56,23,24,0,742,4,12,Dominik Szoboszlai,MF
2022-2023,21,RB Leipzig,de GER,1. Bundesliga,3rd,27.2,1580,1373,200,66,16,24,117,56,68,19,30,2,1262,7,46,Dominik Szoboszlai,MF
2023-2024,22,Liverpool,eng ENG,1. Premier League,3rd,23.4,1550,1376,167,34,3,16,113,31,66,24,28,2,1280,7,24,Dominik Szoboszlai,MF
2024-2025,23,Liverpool,eng ENG,1. Premier League,1st,12.6,663,600,63,14,2,8,23,18,8,6,1,0,564,0,12,Dominik Szoboszlai,MF
2016-2017,17,Sochaux,fr FRA,2. Ligue 2,12th,11.1,,,,,,,0,,,,,,,,,Ibrahima Konaté,DF
2017-2018,18,Leipzig U19,de GER,Jr. U19 Bundesliga,9th,1.0,,,,,,,,,,,,,,,,Ibrahima Konaté,DF
2017-2018,18,RB Leipzig,de GER,1. Bundesliga,6th,13.6,651,631,20,20,1,2,0,0,0,0,0,0,527,0,2,Ibrahima Konaté,DF
2018-2019,19,RB Leipzig,de GER,1. Bundesliga,3rd,27.0,1042,993,46,46,1,5,2,0,0,0,0,0,789,3,15,Ibrahima Konaté,DF
2019-2020,20,RB Leipzig,de GER,1. Bundesliga,3rd,6.3,345,339,6,6,0,1,3,0,0,0,0,0,305,0,0,Ibrahima Konaté,DF
2020-2021,21,RB Leipzig,de GER,1. Bundesliga,2nd,7.7,561,542,15,15,0,3,0,0,0,0,0,0,480,4,0,Ibrahima Konaté,DF
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,11.0,754,745,7,5,2,1,0,2,0,0,0,0,663,2,1,Ibrahima Konaté,DF
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,17.2,1135,1115,19,16,2,6,1,3,0,0,0,0,988,1,5,Ibrahima Konaté,DF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,17.5,1463,1426,35,24,5,6,1,11,0,0,0,0,1286,2,8,Ibrahima Konaté,DF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,11.8,806,786,19,18,0,1,0,1,0,0,0,0,729,1,5,Ibrahima Konaté,DF
2016-2017,17,Jong PSV,nl NED,2. Eerste Divisie,4th,0.6,,,,,,,0,,,,,,,,,Cody Gakpo,FW
2017-2018,18,Jong PSV,nl NED,2. Eerste Divisie,5th,10.6,,,,,,,0,,,,,,,,,Cody Gakpo,FW
2017-2018,18,PSV Eindhoven,nl NED,1. Eredivisie,1st,0.0,,,,,,,0,,,,,,,,,Cody Gakpo,FW
2018-2019,19,Jong PSV,nl NED,2. Eerste Divisie,3rd,9.5,,,,,,,,,,,,,,,,Cody Gakpo,FW
2018-2019,19,PSV Eindhoven,nl NED,1. Eredivisie,2nd,4.4,156,149,6,1,0,0,25,5,0,0,0,0,103,1,6,Cody Gakpo,FW
2019-2020,20,PSV Eindhoven,nl NED,1. Eredivisie,4th,16.2,640,564,73,19,3,1,75,8,43,15,21,1,444,3,21,Cody Gakpo,FW
2020-2021,21,PSV Eindhoven,nl NED,1. Eredivisie,2nd,18.5,677,629,46,13,4,0,47,11,18,4,10,0,476,2,28,Cody Gakpo,FW
2021-2022,22,PSV Eindhoven,nl NED,1. Eredivisie,2nd,21.2,813,654,153,18,5,1,140,14,117,41,63,1,559,6,20,Cody Gakpo,FW
2022-2023,23,PSV Eindhoven,nl NED,1. Eredivisie,2nd,12.5,510,391,118,19,5,0,134,13,84,35,44,1,341,1,6,Cody Gakpo,FW
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,16.2,392,381,9,0,3,0,17,2,4,3,0,0,293,2,11,Cody Gakpo,FW
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,18.3,564,547,15,5,1,2,21,6,0,0,0,0,436,2,15,Cody Gakpo,FW
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,11.0,341,328,11,2,2,4,42,8,1,0,0,0,258,2,7,Cody Gakpo,FW
2017-2018,24,Roma,it ITA,1. Serie A,3rd,37.0,1323,988,333,81,0,7,0,0,0,0,0,0,1090,2,0,Alisson,GK
2018-2019,25,Liverpool,eng ENG,1. Premier League,2nd,38.0,1290,984,304,88,0,3,0,0,0,0,0,0,1075,2,2,Alisson,GK
2019-2020,26,Liverpool,eng ENG,1. Premier League,1st,28.3,947,723,222,55,0,3,0,0,0,0,0,0,820,2,0,Alisson,GK
2020-2021,27,Liverpool,eng ENG,1. Premier League,3rd,33.0,1157,919,234,61,0,2,0,0,0,0,0,0,1000,4,0,Alisson,GK
