Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2022-2023,22,Marseille,fr FRA,1. Ligue 1,3rd,26.1,6,65,17,26.2,2.49,0.65,0.09,0.35,19.4,0,0,0,4.5,4.5,0.07,+1.5,+1.5,Nuno Tavares,DF
2023-2024,23,Nott'ham Forest,eng ENG,1. Premier League,17th,5.1,0,7,1,14.3,1.38,0.20,0.00,0.00,26.1,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Nuno Tavares,DF
2024-2025,24,Lazio,it ITA,1. Serie A,4th,11.8,0,18,3,16.7,1.53,0.25,0.00,0.00,24.9,2,0,0,0.7,0.7,0.04,-0.7,-0.7,Nuno Tavares,DF
2019-2020,18,Midtjylland,dk DEN,1. Danish Superliga,1st,5.5,0,4,0,0.0,0.73,0.00,0.00,,,,0,0,,,,,,Gustav Isaksen,FW
2020-2021,19,Midtjylland,dk DEN,1. Danish Superliga,2nd,7.6,1,19,11,57.9,2.50,1.45,0.05,0.09,,,0,0,,,,,,Gustav Isaksen,FW
2021-2022,20,Midtjylland,dk DEN,1. Danish Superliga,2nd,21.5,5,60,31,51.7,2.80,1.44,0.08,0.16,,,0,0,,,,,,Gustav Isaksen,FW
2022-2023,21,Midtjylland,dk DEN,1. Danish Superliga,7th,27.0,18,91,41,45.1,3.37,1.52,0.19,0.41,,,1,1,,,,,,Gustav Isaksen,FW
2023-2024,22,Midtjylland,dk DEN,1. Danish Superliga,1st,1.7,0,7,3,42.9,4.01,1.72,0.00,0.00,,,0,2,,,,,,Gustav Isaksen,FW
2023-2024,22,Lazio,it ITA,1. Serie A,7th,11.9,3,23,9,39.1,1.93,0.75,0.13,0.33,20.0,3,0,0,1.6,1.6,0.07,+1.4,+1.4,Gustav Isaksen,FW
2024-2025,23,Lazio,it ITA,1. Serie A,4th,11.0,2,26,9,34.6,2.36,0.82,0.08,0.22,19.2,0,0,0,2.0,2.0,0.08,0.0,0.0,Gustav Isaksen,FW
2018-2019,21,Reims,fr FRA,1. Ligue 1,8th,8.3,3,20,9,45.0,2.41,1.08,0.15,0.33,14.3,0,0,0,3.7,3.7,0.18,-0.7,-0.7,Boulaye Dia,"MF,FW"
2019-2020,22,Reims,fr FRA,1. Ligue 1,6th,20.1,7,38,17,44.7,1.89,0.84,0.16,0.35,14.7,0,1,1,5.7,5.0,0.13,+1.3,+1.0,Boulaye Dia,"MF,FW"
2020-2021,23,Reims,fr FRA,1. Ligue 1,14th,32.6,14,58,22,37.9,1.78,0.68,0.16,0.41,16.2,0,5,5,12.5,8.6,0.15,+1.5,+0.4,Boulaye Dia,"MF,FW"
2021-2022,24,Villarreal,es ESP,1. La Liga,7th,14.1,5,37,11,29.7,2.62,0.78,0.14,0.45,14.3,0,0,0,5.4,5.4,0.15,-0.4,-0.4,Boulaye Dia,"MF,FW"
2022-2023,25,Salernitana,it ITA,1. Serie A,15th,28.0,16,47,21,44.7,1.68,0.75,0.32,0.71,15.0,0,1,1,8.8,8.0,0.17,+7.2,+7.0,Boulaye Dia,"MF,FW"
2023-2024,26,Salernitana,it ITA,1. Serie A,20th,12.7,4,28,9,32.1,2.20,0.71,0.11,0.33,16.0,0,1,1,3.9,3.1,0.11,+0.1,-0.1,Boulaye Dia,"MF,FW"
2024-2025,27,Lazio,it ITA,1. Serie A,4th,10.0,4,15,9,60.0,1.50,0.90,0.27,0.44,12.8,0,0,0,3.0,3.0,0.20,+1.0,+1.0,Boulaye Dia,"MF,FW"
2016-2017,22,SPAL,it ITA,2. Serie B,1st,37.0,0,,11,,,0.30,,0.00,,,0,0,,,,,,Manuel Lazzari,DF
2017-2018,23,SPAL,it ITA,1. Serie A,17th,34.6,2,23,5,21.7,0.66,0.14,0.09,0.40,22.5,0,0,0,1.2,1.2,0.05,+0.8,+0.8,Manuel Lazzari,DF
2018-2019,24,SPAL,it ITA,1. Serie A,13th,31.5,0,34,5,14.7,1.08,0.16,0.00,0.00,20.2,0,0,0,1.4,1.4,0.04,-1.4,-1.4,Manuel Lazzari,DF
2019-2020,25,Lazio,it ITA,1. Serie A,4th,28.3,0,15,9,60.0,0.53,0.32,0.00,0.00,17.1,0,0,0,1.3,1.3,0.09,-1.3,-1.3,Manuel Lazzari,DF
2020-2021,26,Lazio,it ITA,1. Serie A,6th,29.0,2,24,6,25.0,0.83,0.21,0.08,0.33,19.3,0,0,0,2.1,2.1,0.09,-0.1,-0.1,Manuel Lazzari,DF
2021-2022,27,Lazio,it ITA,1. Serie A,5th,18.5,3,12,6,50.0,0.65,0.32,0.25,0.50,21.2,0,0,0,0.8,0.8,0.06,+2.2,+2.2,Manuel Lazzari,DF
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,20.9,0,6,2,33.3,0.29,0.10,0.00,0.00,17.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Manuel Lazzari,DF
2023-2024,29,Lazio,it ITA,1. Serie A,7th,18.6,0,8,2,25.0,0.43,0.11,0.00,0.00,22.1,0,0,0,1.0,1.0,0.13,-1.0,-1.0,Manuel Lazzari,DF
2024-2025,30,Lazio,it ITA,1. Serie A,4th,9.9,0,3,1,33.3,0.30,0.10,0.00,0.00,28.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Manuel Lazzari,DF
2013-2014,20,Voždovac,rs SRB,1. SuperLiga,7th,23.5,6,,19,,,0.81,,0.32,,,0,0,,,,,,Adam Marušić,DF
2014-2015,21,Kortrijk,be BEL,1. Pro League,6th,26.5,6,,15,,,0.57,,0.40,,,0,0,,,,,,Adam Marušić,DF
2015-2016,22,Kortrijk,be BEL,1. Pro League,7th,31.5,4,,15,,,0.48,,0.20,,,1,2,,,,,,Adam Marušić,DF
2016-2017,23,Oostende,be BEL,1. First Division A,4th,33.3,5,0,14,,0.00,0.42,,0.36,,,0,0,,,,,,Adam Marušić,DF
2017-2018,24,Lazio,it ITA,1. Serie A,5th,28.0,3,39,15,38.5,1.39,0.54,0.08,0.20,17.8,0,0,0,3.1,3.1,0.08,-0.1,-0.1,Adam Marušić,DF
2018-2019,25,Lazio,it ITA,1. Serie A,8th,23.5,1,16,6,37.5,0.68,0.26,0.06,0.17,17.5,0,0,0,1.0,1.0,0.06,0.0,0.0,Adam Marušić,DF
2019-2020,26,Lazio,it ITA,1. Serie A,4th,10.5,2,11,6,54.5,1.05,0.57,0.18,0.33,12.6,0,0,0,1.9,1.9,0.17,+0.1,+0.1,Adam Marušić,DF
2020-2021,27,Lazio,it ITA,1. Serie A,6th,33.0,2,27,12,44.4,0.82,0.36,0.07,0.17,15.4,0,0,0,2.2,2.2,0.08,-0.2,-0.2,Adam Marušić,DF
2021-2022,28,Lazio,it ITA,1. Serie A,5th,30.2,1,8,3,37.5,0.26,0.10,0.13,0.33,25.5,0,0,0,0.2,0.2,0.02,+0.8,+0.8,Adam Marušić,DF
2022-2023,29,Lazio,it ITA,1. Serie A,2nd,30.7,0,16,7,43.8,0.52,0.23,0.00,0.00,24.0,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Adam Marušić,DF
2023-2024,30,Lazio,it ITA,1. Serie A,7th,34.4,1,8,3,37.5,0.23,0.09,0.13,0.33,19.9,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Adam Marušić,DF
2024-2025,31,Lazio,it ITA,1. Serie A,4th,10.4,1,4,2,50.0,0.38,0.19,0.25,0.50,22.4,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Adam Marušić,DF
2021-2022,22,Fortuna Sittard,nl NED,1. Eredivisie,15th,9.1,1,16,6,37.5,1.77,0.66,0.06,0.17,15.0,0,0,0,1.9,1.9,0.12,-0.9,-0.9,Tijjani Noslin,"FW,MF"
2022-2023,23,Fortuna Sittard,nl NED,1. Eredivisie,13th,17.9,5,39,14,35.9,2.18,0.78,0.13,0.36,17.0,0,0,0,2.9,2.9,0.07,+2.1,+2.1,Tijjani Noslin,"FW,MF"
2023-2024,24,Fortuna Sittard,nl NED,1. Eredivisie,10th,11.3,3,28,13,46.4,2.47,1.15,0.11,0.23,16.5,0,0,1,4.1,3.3,0.12,-1.1,-0.3,Tijjani Noslin,"FW,MF"
2023-2024,24,Hellas Verona,it ITA,1. Serie A,13th,14.9,5,36,15,41.7,2.42,1.01,0.14,0.33,17.4,0,0,0,3.6,3.6,0.10,+1.4,+1.4,Tijjani Noslin,"FW,MF"
2024-2025,25,Lazio,it ITA,1. Serie A,4th,6.0,2,11,2,18.2,1.83,0.33,0.18,1.00,13.3,0,0,0,1.2,1.2,0.11,+0.8,+0.8,Tijjani Noslin,"FW,MF"
2015-2016,22,Lazio,it ITA,1. Serie A,8th,6.5,0,,0,,,0.00,,,,,0,0,,,,,,Patric,DF
2016-2017,23,Lazio,it ITA,1. Serie A,5th,11.3,0,15,1,6.7,1.33,0.09,0.00,0.00,,,0,0,,,,,,Patric,DF
2017-2018,24,Lazio,it ITA,1. Serie A,5th,6.6,0,2,1,50.0,0.30,0.15,0.00,0.00,18.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Patric,DF
2018-2019,25,Lazio,it ITA,1. Serie A,8th,12.1,0,15,2,13.3,1.24,0.17,0.00,0.00,18.6,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Patric,DF
2019-2020,26,Lazio,it ITA,1. Serie A,4th,18.6,0,6,0,0.0,0.32,0.00,0.00,,25.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Patric,DF
2020-2021,27,Lazio,it ITA,1. Serie A,6th,17.7,0,7,0,0.0,0.39,0.00,0.00,,21.2,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Patric,DF
2021-2022,28,Lazio,it ITA,1. Serie A,5th,18.3,1,6,2,33.3,0.33,0.11,0.17,0.50,9.2,0,0,0,0.9,0.9,0.14,+0.1,+0.1,Patric,DF
2022-2023,29,Lazio,it ITA,1. Serie A,2nd,15.7,0,2,1,50.0,0.13,0.06,0.00,0.00,21.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Patric,DF
2023-2024,30,Lazio,it ITA,1. Serie A,7th,17.9,2,6,2,33.3,0.34,0.11,0.33,1.00,19.5,0,0,0,1.4,1.4,0.23,+0.6,+0.6,Patric,DF
2024-2025,31,Lazio,it ITA,1. Serie A,4th,6.5,1,2,1,50.0,0.31,0.15,0.50,1.00,5.1,0,0,0,1.1,1.1,0.53,-0.1,-0.1,Patric,DF
2019-2020,18,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,9.6,1,,,,,,,,,,0,0,,,,,,Fisayo Dele-Bashiru,MF
2020-2021,19,Sheffield Weds,eng ENG,2. Championship,24th,3.2,0,2,0,0.0,0.62,0.00,0.00,,14.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Fisayo Dele-Bashiru,MF
2021-2022,20,Sheffield Weds,eng ENG,3. League One,4th,15.7,1,20,5,25.0,1.28,0.32,0.05,0.20,,,0,0,,,,,,Fisayo Dele-Bashiru,MF
2022-2023,21,Sheffield Weds,eng ENG,3. League One,3rd,15.5,4,27,11,40.7,1.75,0.71,0.15,0.36,,,0,0,,,,,,Fisayo Dele-Bashiru,MF
2023-2024,22,Hatayspor,tr TUR,1. Süper Lig,15th,33.7,8,45,18,40.0,1.33,0.53,0.18,0.44,,,0,0,,,,,,Fisayo Dele-Bashiru,MF
2024-2025,23,Lazio,it ITA,1. Serie A,4th,4.3,2,6,2,33.3,1.38,0.46,0.33,1.00,19.9,0,0,0,0.6,0.6,0.09,+1.4,+1.4,Fisayo Dele-Bashiru,MF
2013-2014,21,Fiorentina,it ITA,1. Serie A,4th,1.7,0,,0,,,0.00,,,,,0,0,,,,,,Matías Vecino,MF
2013-2014,21,Cagliari,it ITA,1. Serie A,15th,7.6,2,,4,,,0.53,,0.50,,,0,0,,,,,,Matías Vecino,MF
2014-2015,22,Empoli,it ITA,1. Serie A,15th,33.2,2,,14,,,0.42,,0.14,,,0,0,,,,,,Matías Vecino,MF
2015-2016,23,Fiorentina,it ITA,1. Serie A,5th,26.6,2,,13,,,0.49,,0.15,,,0,0,,,,,,Matías Vecino,MF
2016-2017,24,Fiorentina,it ITA,1. Serie A,8th,26.2,3,57,16,28.1,2.18,0.61,0.05,0.19,,,0,0,,,,,,Matías Vecino,MF
2017-2018,25,Inter,it ITA,1. Serie A,4th,23.7,3,40,14,35.0,1.68,0.59,0.08,0.21,18.7,0,0,0,3.2,3.2,0.08,-0.2,-0.2,Matías Vecino,MF
2018-2019,26,Inter,it ITA,1. Serie A,4th,22.4,3,44,15,34.1,1.97,0.67,0.07,0.20,15.2,0,0,0,6.1,6.1,0.14,-3.1,-3.1,Matías Vecino,MF
2019-2020,27,Inter,it ITA,1. Serie A,2nd,14.2,2,28,9,32.1,1.97,0.63,0.07,0.22,16.4,0,0,0,3.5,3.5,0.12,-1.5,-1.5,Matías Vecino,MF
2020-2021,28,Inter,it ITA,1. Serie A,1st,3.1,1,6,3,50.0,1.91,0.95,0.17,0.33,15.8,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matías Vecino,MF
2021-2022,29,Inter,it ITA,1. Serie A,2nd,4.2,1,7,2,28.6,1.67,0.48,0.14,0.50,10.4,0,0,0,1.4,1.4,0.19,-0.4,-0.4,Matías Vecino,MF
2022-2023,30,Lazio,it ITA,1. Serie A,2nd,18.8,2,26,5,19.2,1.38,0.27,0.08,0.40,18.5,0,0,0,2.5,2.5,0.10,-0.5,-0.5,Matías Vecino,MF
2023-2024,31,Lazio,it ITA,1. Serie A,7th,12.8,6,33,11,33.3,2.58,0.86,0.18,0.55,15.7,0,0,0,3.7,3.7,0.11,+2.3,+2.3,Matías Vecino,MF
2024-2025,32,Lazio,it ITA,1. Serie A,4th,5.4,1,11,3,27.3,2.04,0.56,0.09,0.33,11.8,0,0,0,1.2,1.2,0.11,-0.2,-0.2,Matías Vecino,MF
2007-2008,20,Barcelona,es ESP,1. La Liga,3rd,0.2,0,,0,,,0.00,,,,,0,0,,,,,,Pedro,"FW,MF"
2008-2009,21,Barcelona,es ESP,1. La Liga,1st,3.9,0,,2,,,0.51,,0.00,,,0,0,,,,,,Pedro,"FW,MF"
2009-2010,22,Barcelona,es ESP,1. La Liga,1st,23.2,12,,31,,,1.34,,0.39,,,0,0,,,,,,Pedro,"FW,MF"
2010-2011,23,Barcelona,es ESP,1. La Liga,1st,23.6,13,,34,,,1.44,,0.38,,,0,0,,,,,,Pedro,"FW,MF"
