Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2019-2020,18,Midtjylland,dk DEN,1. Danish Superliga,1st,5.5,,,,,,,,,,,,,,,,,Gustav Isaksen,FW
2020-2021,19,Midtjylland,dk DEN,1. Danish Superliga,2nd,7.6,,,,,,,,,,,,,,,,,Gustav Isaksen,FW
2021-2022,20,Midtjylland,dk DEN,1. Danish Superliga,2nd,21.5,,,,,,,,,,,,,,,,,Gustav Isaksen,FW
2022-2023,21,Midtjylland,dk DEN,1. Danish Superliga,7th,27.0,,,,,,,,,,,,,,,,,Gustav Isaksen,FW
2023-2024,22,Midtjylland,dk DEN,1. Danish Superliga,1st,1.7,,,,,,,,,,,,,,,,,Gustav Isaksen,FW
2023-2024,22,Lazio,it ITA,1. Serie A,7th,11.9,41,3.44,31,1,3,3,3,0,4,0.34,2,0,0,1,1,0,Gustav Isaksen,FW
2024-2025,23,Lazio,it ITA,1. Serie A,4th,11.0,34,2.99,16,4,6,5,3,0,5,0.44,3,0,2,0,0,0,Gustav Isaksen,FW
2018-2019,21,Reims,fr FRA,1. Ligue 1,8th,8.3,24,2.89,11,0,8,2,3,0,3,0.36,0,0,1,1,1,0,Boulaye Dia,"MF,FW"
2019-2020,22,Reims,fr FRA,1. Ligue 1,6th,20.1,46,2.28,35,0,4,4,3,0,4,0.20,2,0,1,0,1,0,Boulaye Dia,"MF,FW"
2020-2021,23,Reims,fr FRA,1. Ligue 1,14th,32.6,75,2.30,48,0,11,8,7,1,9,0.28,1,0,5,2,1,0,Boulaye Dia,"MF,FW"
2021-2022,24,Villarreal,es ESP,1. La Liga,7th,14.1,36,2.56,30,0,3,2,1,0,7,0.50,6,0,0,1,0,0,Boulaye Dia,"MF,FW"
2022-2023,25,Salernitana,it ITA,1. Serie A,15th,28.0,64,2.29,53,0,3,5,3,0,9,0.32,8,0,1,0,0,0,Boulaye Dia,"MF,FW"
2023-2024,26,Salernitana,it ITA,1. Serie A,20th,12.7,26,2.05,21,0,1,3,1,0,0,0.00,0,0,0,0,0,0,Boulaye Dia,"MF,FW"
2024-2025,27,Lazio,it ITA,1. Serie A,4th,10.0,27,2.64,19,0,3,3,1,1,5,0.49,4,0,0,1,0,0,Boulaye Dia,"MF,FW"
2016-2017,22,SPAL,it ITA,2. Serie B,1st,37.0,,,,,,,,,,,,,,,,,Manuel Lazzari,DF
2017-2018,23,SPAL,it ITA,1. Serie A,17th,34.6,77,2.22,48,4,10,2,10,3,5,0.14,2,1,1,0,0,1,Manuel Lazzari,DF
2018-2019,24,SPAL,it ITA,1. Serie A,13th,31.5,110,3.49,89,3,8,2,7,1,15,0.48,11,1,1,1,1,0,Manuel Lazzari,DF
2019-2020,25,Lazio,it ITA,1. Serie A,4th,28.3,69,2.44,55,3,4,3,4,0,9,0.32,6,0,1,2,0,0,Manuel Lazzari,DF
2020-2021,26,Lazio,it ITA,1. Serie A,6th,29.0,69,2.38,54,3,3,4,5,0,10,0.34,7,0,1,1,1,0,Manuel Lazzari,DF
2021-2022,27,Lazio,it ITA,1. Serie A,5th,18.5,34,1.84,26,2,2,0,3,1,11,0.60,6,1,1,0,2,1,Manuel Lazzari,DF
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,20.9,29,1.39,24,1,1,0,2,1,4,0.19,4,0,0,0,0,0,Manuel Lazzari,DF
2023-2024,29,Lazio,it ITA,1. Serie A,7th,18.6,32,1.72,27,0,0,2,3,0,5,0.27,5,0,0,0,0,0,Manuel Lazzari,DF
2024-2025,30,Lazio,it ITA,1. Serie A,4th,9.9,26,2.63,23,0,1,0,1,1,2,0.20,2,0,0,0,0,0,Manuel Lazzari,DF
2013-2014,20,Voždovac,rs SRB,1. SuperLiga,7th,23.5,,,,,,,,,,,,,,,,,Adam Marušić,DF
2014-2015,21,Kortrijk,be BEL,1. Pro League,6th,26.5,,,,,,,,,,,,,,,,,Adam Marušić,DF
2015-2016,22,Kortrijk,be BEL,1. Pro League,7th,31.5,,,,,,,,,,,,,,,,,Adam Marušić,DF
2016-2017,23,Oostende,be BEL,1. First Division A,4th,33.3,,,,,,,,,,,,,,,,,Adam Marušić,DF
2017-2018,24,Lazio,it ITA,1. Serie A,5th,28.0,76,2.71,60,3,6,4,2,1,10,0.36,6,0,1,2,1,0,Adam Marušić,DF
2018-2019,25,Lazio,it ITA,1. Serie A,8th,23.5,47,2.00,41,1,2,1,2,0,3,0.13,3,0,0,0,0,0,Adam Marušić,DF
2019-2020,26,Lazio,it ITA,1. Serie A,4th,10.5,19,1.82,10,2,3,3,1,0,6,0.57,3,0,2,1,0,0,Adam Marušić,DF
2020-2021,27,Lazio,it ITA,1. Serie A,6th,33.0,63,1.91,53,4,1,5,0,0,5,0.15,4,0,0,1,0,0,Adam Marušić,DF
2021-2022,28,Lazio,it ITA,1. Serie A,5th,30.2,27,0.89,23,2,1,0,1,0,4,0.13,3,0,1,0,0,0,Adam Marušić,DF
2022-2023,29,Lazio,it ITA,1. Serie A,2nd,30.7,35,1.14,28,3,0,1,0,3,3,0.10,2,0,0,1,0,0,Adam Marušić,DF
2023-2024,30,Lazio,it ITA,1. Serie A,7th,34.4,34,0.99,29,1,2,1,1,0,2,0.06,2,0,0,0,0,0,Adam Marušić,DF
2024-2025,31,Lazio,it ITA,1. Serie A,4th,10.4,6,0.53,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Adam Marušić,DF
2021-2022,22,Fortuna Sittard,nl NED,1. Eredivisie,15th,9.1,21,2.32,15,0,2,2,2,0,1,0.11,1,0,0,0,0,0,Tijjani Noslin,"FW,MF"
