Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2019-2020,26,Lazio,it ITA,1. Serie A,4th,18.6,2,1,0,12,11,0,11,15,20,0,1,0,111,12,24,33.3,Patric,DF
2020-2021,27,Lazio,it ITA,1. Serie A,6th,17.7,8,0,0,21,5,1,30,18,16,0,1,0,90,14,15,48.3,Patric,DF
2021-2022,28,Lazio,it ITA,1. Serie A,5th,18.3,7,1,1,24,7,0,1,12,15,0,0,1,97,17,32,34.7,Patric,DF
2022-2023,29,Lazio,it ITA,1. Serie A,2nd,15.7,1,0,0,3,4,0,0,11,11,0,0,0,96,8,22,26.7,Patric,DF
2023-2024,30,Lazio,it ITA,1. Serie A,7th,17.9,4,0,0,8,6,0,11,6,8,0,0,0,71,9,17,34.6,Patric,DF
2024-2025,31,Lazio,it ITA,1. Serie A,4th,6.5,2,0,0,4,4,0,2,3,4,0,0,0,26,7,6,53.8,Patric,DF
2019-2020,18,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,9.6,0,0,0,,,,,,,,,0,,,,,Fisayo Dele-Bashiru,MF
2020-2021,19,Sheffield Weds,eng ENG,2. Championship,24th,3.2,0,0,0,8,5,1,4,3,0,0,0,0,11,3,6,33.3,Fisayo Dele-Bashiru,MF
2021-2022,20,Sheffield Weds,eng ENG,3. League One,4th,15.7,0,0,0,15,17,2,10,7,14,,,0,,,,,Fisayo Dele-Bashiru,MF
2022-2023,21,Sheffield Weds,eng ENG,3. League One,3rd,15.5,1,0,0,24,22,3,15,8,19,,,0,,,,,Fisayo Dele-Bashiru,MF
2023-2024,22,Hatayspor,tr TUR,1. Süper Lig,15th,33.7,6,0,0,44,21,8,27,9,23,,,0,,,,,Fisayo Dele-Bashiru,MF
2024-2025,23,Lazio,it ITA,1. Serie A,4th,4.3,0,0,0,3,1,0,5,2,4,0,0,0,30,1,6,14.3,Fisayo Dele-Bashiru,MF
2013-2014,21,Fiorentina,it ITA,1. Serie A,4th,1.7,0,0,,3,,,,,,,,,,,,,Matías Vecino,MF
2013-2014,21,Cagliari,it ITA,1. Serie A,15th,7.6,2,0,,14,,,,,,,,,,,,,Matías Vecino,MF
2014-2015,22,Empoli,it ITA,1. Serie A,15th,33.2,6,0,,61,,,,,,,,,,,,,Matías Vecino,MF
2015-2016,23,Fiorentina,it ITA,1. Serie A,5th,26.6,8,0,,50,,,,,,,,,,,,,Matías Vecino,MF
2016-2017,24,Fiorentina,it ITA,1. Serie A,8th,26.2,7,0,0,57,22,1,19,30,45,0,0,0,,,,,Matías Vecino,MF
2017-2018,25,Inter,it ITA,1. Serie A,4th,23.7,7,1,0,44,18,1,16,20,34,0,0,0,150,32,41,43.8,Matías Vecino,MF
2018-2019,26,Inter,it ITA,1. Serie A,4th,22.4,8,0,0,42,29,4,37,17,39,0,0,0,112,49,48,50.5,Matías Vecino,MF
2019-2020,27,Inter,it ITA,1. Serie A,2nd,14.2,4,0,0,20,12,3,16,15,20,0,0,0,74,16,23,41.0,Matías Vecino,MF
2020-2021,28,Inter,it ITA,1. Serie A,1st,3.1,0,0,0,3,2,0,2,4,1,0,0,0,7,3,4,42.9,Matías Vecino,MF
2021-2022,29,Inter,it ITA,1. Serie A,2nd,4.2,2,0,0,9,3,0,5,4,5,0,0,0,20,17,12,58.6,Matías Vecino,MF
2022-2023,30,Lazio,it ITA,1. Serie A,2nd,18.8,6,0,0,27,10,2,1,16,27,0,0,0,107,31,22,58.5,Matías Vecino,MF
2023-2024,31,Lazio,it ITA,1. Serie A,7th,12.8,8,0,0,32,7,2,5,12,17,0,0,0,66,34,36,48.6,Matías Vecino,MF
2024-2025,32,Lazio,it ITA,1. Serie A,4th,5.4,2,0,0,11,1,0,1,5,6,0,0,0,18,13,13,50.0,Matías Vecino,MF
2007-2008,20,Barcelona,es ESP,1. La Liga,3rd,0.2,0,0,,0,,,,,,,,,,,,,Pedro,"FW,MF"
2008-2009,21,Barcelona,es ESP,1. La Liga,1st,3.9,0,0,,5,,,,,,,,,,,,,Pedro,"FW,MF"
2009-2010,22,Barcelona,es ESP,1. La Liga,1st,23.2,2,0,,34,,,,,,,,,,,,,Pedro,"FW,MF"
2010-2011,23,Barcelona,es ESP,1. La Liga,1st,23.6,2,0,,30,,,,,,,,,,,,,Pedro,"FW,MF"
2011-2012,24,Barcelona,es ESP,1. La Liga,2nd,18.0,4,0,,23,,,,,,,,,,,,,Pedro,"FW,MF"
2012-2013,25,Barcelona,es ESP,1. La Liga,1st,23.0,3,0,,23,,,,,,,,,,,,,Pedro,"FW,MF"
2013-2014,26,Barcelona,es ESP,1. La Liga,2nd,26.1,3,0,,27,,,,,,,,,,,,,Pedro,"FW,MF"
2014-2015,27,Barcelona,es ESP,1. La Liga,1st,17.3,3,0,,23,,,,,,,,,,,,,Pedro,"FW,MF"
