Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2016-2017,21,Milan,it ITA,1. Serie A,6th,27,27,2369,26.3,1,1,2,1,0,0,5,2,,,,,,,,0.04,0.04,0.08,0.04,0.08,,,,,,Alessio Romagnoli,DF
2017-2018,22,Milan,it ITA,1. Serie A,6th,28,27,2353,26.1,2,0,2,2,0,0,8,2,1.1,1.1,0.3,1.4,21,81,6,0.08,0.00,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05,Alessio Romagnoli,DF
2018-2019,23,Milan,it ITA,1. Serie A,5th,32,32,2847,31.6,2,0,2,2,0,0,6,1,0.9,0.9,0.2,1.1,11,86,3,0.06,0.00,0.06,0.06,0.06,0.03,0.01,0.03,0.03,0.03,Alessio Romagnoli,DF
2019-2020,24,Milan,it ITA,1. Serie A,6th,35,35,3091,34.3,1,0,1,1,0,0,4,0,1.6,1.6,1.2,2.7,17,130,4,0.03,0.00,0.03,0.03,0.03,0.05,0.03,0.08,0.05,0.08,Alessio Romagnoli,DF
2020-2021,25,Milan,it ITA,1. Serie A,2nd,22,21,1907,21.2,1,1,2,1,0,0,7,0,2.8,2.8,0.8,3.6,7,62,0,0.05,0.05,0.09,0.05,0.09,0.13,0.04,0.17,0.13,0.17,Alessio Romagnoli,DF
2021-2022,26,Milan,it ITA,1. Serie A,1st,19,16,1409,15.7,1,0,1,1,0,0,4,1,0.6,0.6,0.1,0.7,6,71,3,0.06,0.00,0.06,0.06,0.06,0.04,0.01,0.04,0.04,0.04,Alessio Romagnoli,DF
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,34,33,2922,32.5,2,0,2,2,0,0,6,0,1.4,1.4,0.1,1.6,3,62,3,0.06,0.00,0.06,0.06,0.06,0.04,0.00,0.05,0.04,0.05,Alessio Romagnoli,DF
2023-2024,28,Lazio,it ITA,1. Serie A,7th,29,26,2411,26.8,0,0,0,0,0,0,9,0,0.6,0.6,0.6,1.1,7,87,2,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Alessio Romagnoli,DF
2024-2025,29,Lazio,it ITA,1. Serie A,4th,14,14,1118,12.4,0,0,0,0,0,0,1,1,0.8,0.8,0.1,0.9,3,28,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.06,0.06,0.06,Alessio Romagnoli,DF
2019-2020,19,Benfica,pt POR,1. Primeira Liga,2nd,11,10,927,10.3,1,4,5,1,0,0,2,0,0.5,0.5,2.6,3.1,29,43,107,0.10,0.39,0.49,0.10,0.49,0.05,0.26,0.30,0.05,0.30,Nuno Tavares,DF
2020-2021,20,Benfica,pt POR,1. Primeira Liga,3rd,14,7,633,7.0,0,0,0,0,0,0,3,0,0.4,0.4,1.0,1.4,24,40,68,0.00,0.00,0.00,0.00,0.00,0.05,0.14,0.20,0.05,0.20,Nuno Tavares,DF
2021-2022,21,Arsenal,eng ENG,1. Premier League,5th,22,13,1176,13.1,1,1,2,1,0,0,2,0,1.9,1.9,1.1,2.9,47,42,91,0.08,0.08,0.15,0.08,0.15,0.14,0.08,0.22,0.14,0.22,Nuno Tavares,DF
2022-2023,22,Marseille,fr FRA,1. Ligue 1,3rd,31,23,2349,26.1,6,0,6,6,0,0,6,1,4.5,4.5,2.6,7.1,96,115,245,0.23,0.00,0.23,0.23,0.23,0.17,0.10,0.27,0.17,0.27,Nuno Tavares,DF
2023-2024,23,Nott'ham Forest,eng ENG,1. Premier League,17th,8,5,457,5.1,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,14,24,12,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13,Nuno Tavares,DF
2024-2025,24,Lazio,it ITA,1. Serie A,4th,13,13,1062,11.8,0,8,8,0,0,0,3,1,0.7,0.7,2.9,3.6,62,65,64,0.00,0.68,0.68,0.00,0.68,0.06,0.23,0.29,0.06,0.29,Nuno Tavares,DF
2019-2020,18,Midtjylland,dk DEN,1. Danish Superliga,1st,14,5,493,5.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Gustav Isaksen,FW
2020-2021,19,Midtjylland,dk DEN,1. Danish Superliga,2nd,22,6,683,7.6,1,1,2,1,0,0,3,1,,,,,,,,0.13,0.13,0.26,0.13,0.26,,,,,,Gustav Isaksen,FW
2021-2022,20,Midtjylland,dk DEN,1. Danish Superliga,2nd,30,26,1932,21.5,5,5,10,5,0,0,0,0,,,,,,,,0.23,0.23,0.47,0.23,0.47,,,,,,Gustav Isaksen,FW
2022-2023,21,Midtjylland,dk DEN,1. Danish Superliga,7th,31,29,2431,27.0,18,5,23,17,1,1,3,0,,,,,,,,0.67,0.19,0.85,0.63,0.81,,,,,,Gustav Isaksen,FW
2023-2024,22,Midtjylland,dk DEN,1. Danish Superliga,1st,2,2,157,1.7,0,0,0,0,0,2,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Gustav Isaksen,FW
2023-2024,22,Lazio,it ITA,1. Serie A,7th,28,12,1074,11.9,3,1,4,3,0,0,3,0,1.6,1.6,2.6,4.2,36,21,95,0.25,0.08,0.34,0.25,0.34,0.13,0.22,0.35,0.13,0.35,Gustav Isaksen,FW
2024-2025,23,Lazio,it ITA,1. Serie A,4th,18,13,993,11.0,2,2,4,2,0,0,4,0,2.0,2.0,0.8,2.8,34,14,134,0.18,0.18,0.36,0.18,0.36,0.18,0.07,0.25,0.18,0.25,Gustav Isaksen,FW
2018-2019,21,Reims,fr FRA,1. Ligue 1,8th,18,8,747,8.3,3,0,3,3,0,0,2,0,3.7,3.7,0.8,4.5,20,12,63,0.36,0.00,0.36,0.36,0.36,0.44,0.09,0.54,0.44,0.54,Boulaye Dia,"MF,FW"
2019-2020,22,Reims,fr FRA,1. Ligue 1,6th,24,21,1812,20.1,7,1,8,6,1,1,0,0,5.7,5.0,2.8,7.8,32,21,115,0.35,0.05,0.40,0.30,0.35,0.29,0.14,0.42,0.25,0.39,Boulaye Dia,"MF,FW"
2020-2021,23,Reims,fr FRA,1. Ligue 1,14th,36,35,2930,32.6,14,1,15,9,5,5,2,0,12.5,8.6,1.8,10.4,68,56,163,0.43,0.03,0.46,0.28,0.31,0.39,0.06,0.44,0.26,0.32,Boulaye Dia,"MF,FW"
2021-2022,24,Villarreal,es ESP,1. La Liga,7th,25,13,1269,14.1,5,5,10,5,0,0,3,0,5.4,5.4,2.4,7.8,22,16,93,0.35,0.35,0.71,0.35,0.71,0.39,0.17,0.56,0.39,0.56,Boulaye Dia,"MF,FW"
2022-2023,25,Salernitana,it ITA,1. Serie A,15th,33,27,2518,28.0,16,6,22,15,1,1,4,0,8.8,8.0,3.1,11.1,48,50,140,0.57,0.21,0.79,0.54,0.75,0.31,0.11,0.43,0.29,0.40,Boulaye Dia,"MF,FW"
2023-2024,26,Salernitana,it ITA,1. Serie A,20th,17,12,1143,12.7,4,0,4,3,1,1,1,0,3.9,3.1,0.5,3.6,18,22,57,0.31,0.00,0.31,0.24,0.24,0.31,0.04,0.35,0.24,0.28,Boulaye Dia,"MF,FW"
2024-2025,27,Lazio,it ITA,1. Serie A,4th,15,11,900,10.0,4,2,6,4,0,0,2,0,3.0,3.0,2.3,5.3,9,25,43,0.40,0.20,0.60,0.40,0.60,0.30,0.22,0.52,0.30,0.52,Boulaye Dia,"MF,FW"
2016-2017,22,SPAL,it ITA,2. Serie B,1st,39,38,3328,37.0,0,6,6,0,0,0,10,0,,,,,,,,0.00,0.16,0.16,0.00,0.16,,,,,,Manuel Lazzari,DF
2017-2018,23,SPAL,it ITA,1. Serie A,17th,36,36,3116,34.6,2,1,3,2,0,0,4,0,1.2,1.2,2.0,3.2,212,81,239,0.06,0.03,0.09,0.06,0.09,0.03,0.06,0.09,0.03,0.09,Manuel Lazzari,DF
2018-2019,24,SPAL,it ITA,1. Serie A,13th,33,33,2835,31.5,0,8,8,0,0,0,7,0,1.4,1.4,5.9,7.4,239,68,234,0.00,0.25,0.25,0.00,0.25,0.05,0.19,0.23,0.05,0.23,Manuel Lazzari,DF
