Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2023-2024,22,Lazio,it ITA,1. Serie A,7th,11.9,4,3,2,1,1,1,9,11.1,8,11,1,10,4,8,4,0,Gustav Isaksen,FW
2024-2025,23,Lazio,it ITA,1. Serie A,4th,11.0,8,3,4,4,0,3,14,21.4,11,4,0,4,5,13,7,0,Gustav Isaksen,FW
2018-2019,21,Reims,fr FRA,1. Ligue 1,8th,8.3,12,6,3,8,1,5,11,45.5,6,4,2,2,4,16,9,0,Boulaye Dia,"MF,FW"
2019-2020,22,Reims,fr FRA,1. Ligue 1,6th,20.1,15,9,7,6,2,3,10,30.0,7,9,2,7,7,22,16,0,Boulaye Dia,"MF,FW"
2020-2021,23,Reims,fr FRA,1. Ligue 1,14th,32.6,23,12,3,11,9,4,22,18.2,18,19,5,14,12,35,37,1,Boulaye Dia,"MF,FW"
2021-2022,24,Villarreal,es ESP,1. La Liga,7th,14.1,8,6,3,4,1,2,5,40.0,3,6,1,5,5,13,4,0,Boulaye Dia,"MF,FW"
2022-2023,25,Salernitana,it ITA,1. Serie A,15th,28.0,12,5,3,6,3,2,7,28.6,5,10,0,10,7,19,27,1,Boulaye Dia,"MF,FW"
2023-2024,26,Salernitana,it ITA,1. Serie A,20th,12.7,4,2,2,2,0,1,3,33.3,2,5,0,5,3,7,7,0,Boulaye Dia,"MF,FW"
2024-2025,27,Lazio,it ITA,1. Serie A,4th,10.0,9,3,4,1,4,5,10,50.0,5,2,0,2,3,12,3,1,Boulaye Dia,"MF,FW"
2016-2017,22,SPAL,it ITA,2. Serie B,1st,37.0,,,,,,,,,,,,,,,,,Manuel Lazzari,DF
2017-2018,23,SPAL,it ITA,1. Serie A,17th,34.6,61,47,33,21,7,27,62,43.5,35,32,7,25,31,92,73,2,Manuel Lazzari,DF
2018-2019,24,SPAL,it ITA,1. Serie A,13th,31.5,29,17,16,10,3,13,24,54.2,11,26,5,21,20,49,51,1,Manuel Lazzari,DF
2019-2020,25,Lazio,it ITA,1. Serie A,4th,28.3,20,11,10,7,3,10,31,32.3,21,11,1,10,8,28,34,0,Manuel Lazzari,DF
2020-2021,26,Lazio,it ITA,1. Serie A,6th,29.0,24,14,15,4,5,14,39,35.9,25,22,3,19,18,42,28,0,Manuel Lazzari,DF
2021-2022,27,Lazio,it ITA,1. Serie A,5th,18.5,28,14,13,15,0,16,26,61.5,10,10,2,8,12,40,16,1,Manuel Lazzari,DF
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,20.9,33,21,13,14,6,21,36,58.3,15,20,6,14,18,51,36,1,Manuel Lazzari,DF
2023-2024,29,Lazio,it ITA,1. Serie A,7th,18.6,26,18,13,10,3,18,28,64.3,10,20,4,16,12,38,37,1,Manuel Lazzari,DF
2024-2025,30,Lazio,it ITA,1. Serie A,4th,9.9,16,12,7,7,2,9,14,64.3,5,7,4,3,6,22,10,0,Manuel Lazzari,DF
2013-2014,20,Voždovac,rs SRB,1. SuperLiga,7th,23.5,,,,,,,,,,,,,,,,,Adam Marušić,DF
2014-2015,21,Kortrijk,be BEL,1. Pro League,6th,26.5,,,,,,,,,,,,,,,,,Adam Marušić,DF
2015-2016,22,Kortrijk,be BEL,1. Pro League,7th,31.5,,,,,,,,,,,,,,,,,Adam Marušić,DF
