Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2016-2017,22,Kortrijk,be BEL,1. First Division A,12th,20,1800,90,66.7,20.0,20,,20,0,,0,1.15,27,37,-10,-0.50,+0.90,,,,,,Samuel Gigot,DF
2016-2017,22,Gent,be BEL,1. First Division A,3rd,16,1395,87,38.8,15.5,16,,15,0,,0,1.88,25,13,+12,+0.77,+0.41,,,,,,Samuel Gigot,DF
2017-2018,23,Gent,be BEL,1. First Division A,4th,40,3508,88,97.4,39.0,39,,38,1,,0,1.60,53,31,+22,+0.56,+4.48,52.6,36.1,+16.6,+0.43,+2.29,Samuel Gigot,DF
2018-2019,24,Spartak Moscow,ru RUS,1. Premier League,5th,9,746,83,27.6,8.3,9,83,8,0,,2,1.89,8,5,+3,+0.36,+0.27,,,,,,Samuel Gigot,DF
2019-2020,25,Spartak Moscow,ru RUS,1. Premier League,7th,26,2331,90,86.3,25.9,26,90,25,0,,0,1.46,31,24,+7,+0.27,+1.49,,,,,,Samuel Gigot,DF
2020-2021,26,Spartak Moscow,ru RUS,1. Premier League,2nd,26,2304,89,85.3,25.6,26,89,23,0,,0,1.73,47,33,+14,+0.55,-0.59,,,,,,Samuel Gigot,DF
2021-2022,27,Spartak Moscow,ru RUS,1. Premier League,10th,27,2239,83,82.9,24.9,25,87,21,2,34,0,1.26,30,32,-2,-0.08,+0.31,,,,,,Samuel Gigot,DF
2022-2023,28,Marseille,fr FRA,1. Ligue 1,3rd,26,1879,72,54.9,20.9,24,76,14,2,30,1,2.04,38,20,+18,+0.86,+0.34,38.3,21.9,+16.4,+0.79,+0.41,Samuel Gigot,DF
2023-2024,29,Marseille,fr FRA,1. Ligue 1,8th,21,1726,82,56.4,19.2,20,84,15,1,40,2,1.57,32,26,+6,+0.31,-0.02,32.4,21.2,+11.3,+0.59,+0.03,Samuel Gigot,DF
2024-2025,30,Lazio,it ITA,1. Serie A,4th,6,83,14,4.9,0.9,0,,0,6,14,7,2.50,7,2,+5,+5.42,+5.37,3.2,1.6,+1.5,+1.68,+1.22,Samuel Gigot,DF
2012-2013,18,Empoli,it ITA,2. Serie B,4th,29,2462,85,65.1,27.4,27,,,2,,,,,,,,,,,,,,Elseid Hysaj,DF
2013-2014,19,Empoli,it ITA,2. Serie B,2nd,32,2563,80,67.8,28.5,31,,,1,,,,,,,,,,,,,,Elseid Hysaj,DF
2014-2015,20,Empoli,it ITA,1. Serie A,15th,36,3024,84,88.4,33.6,33,,32,3,,1,1.11,39,46,-7,-0.21,-0.44,,,,,,Elseid Hysaj,DF
2015-2016,21,Napoli,it ITA,1. Serie A,2nd,37,3281,89,95.9,36.5,37,,35,0,,0,2.14,76,32,+44,+1.21,-1.38,,,,,,Elseid Hysaj,DF
2016-2017,22,Napoli,it ITA,1. Serie A,3rd,35,3031,87,88.6,33.7,34,,32,1,,2,2.20,86,39,+47,+1.40,-0.46,,,,,,Elseid Hysaj,DF
2017-2018,23,Napoli,it ITA,1. Serie A,2nd,35,3125,89,91.4,34.7,35,,33,0,,2,2.34,66,25,+41,+1.18,-0.95,60.2,24.0,+36.2,+1.04,-0.11,Elseid Hysaj,DF
2018-2019,24,Napoli,it ITA,1. Serie A,2nd,27,2107,78,61.6,23.4,24,87,19,3,7,11,2.19,45,21,+24,+1.03,+0.07,41.2,21.3,+19.8,+0.85,+0.59,Elseid Hysaj,DF
