Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2017-2018,22,Milan,it ITA,1. Serie A,6th,26.1,1739,157,857,825,64,15,1739,2,2,100.0,0,0.0,805,4068,2537,21,3,0,3,3,1199,6,Alessio Romagnoli,DF
2018-2019,23,Milan,it ITA,1. Serie A,5th,31.6,2109,257,1083,993,36,17,2109,1,1,100.0,0,0.0,1282,5982,3075,11,2,0,12,3,1455,3,Alessio Romagnoli,DF
2019-2020,24,Milan,it ITA,1. Serie A,6th,34.3,2331,272,1090,1170,83,21,2331,4,2,50.0,2,50.0,1468,7099,4046,17,23,1,8,0,1613,4,Alessio Romagnoli,DF
2020-2021,25,Milan,it ITA,1. Serie A,2nd,21.2,1221,153,602,595,33,20,1221,0,0,,0,,688,3246,1770,7,7,0,6,1,824,0,Alessio Romagnoli,DF
2021-2022,26,Milan,it ITA,1. Serie A,1st,15.7,1142,116,498,604,44,21,1142,2,2,100.0,0,0.0,614,2780,1442,6,0,0,3,0,786,3,Alessio Romagnoli,DF
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,32.5,2107,306,1089,988,34,17,2107,1,1,100.0,0,0.0,1087,4470,2054,3,7,2,10,3,1386,3,Alessio Romagnoli,DF
2023-2024,28,Lazio,it ITA,1. Serie A,7th,26.8,1995,276,973,992,36,18,1995,1,0,0.0,1,100.0,981,4361,2024,7,2,0,9,0,1347,2,Alessio Romagnoli,DF
2024-2025,29,Lazio,it ITA,1. Serie A,4th,12.4,884,117,386,474,27,16,884,0,0,,0,,481,2026,891,3,0,0,2,0,589,1,Alessio Romagnoli,DF
2019-2020,19,Benfica,pt POR,1. Primeira Liga,2nd,10.3,755,19,171,317,272,12,755,20,10,50.0,10,50.0,417,2064,953,29,20,4,26,13,467,107,Nuno Tavares,DF
2020-2021,20,Benfica,pt POR,1. Primeira Liga,3rd,7.0,601,10,130,245,234,15,601,35,16,45.7,19,54.3,352,1882,1072,24,24,4,16,12,385,68,Nuno Tavares,DF
2021-2022,21,Arsenal,eng ENG,1. Premier League,5th,13.1,902,51,278,346,291,39,902,36,18,50.0,18,50.0,510,3094,1682,47,29,12,29,13,560,91,Nuno Tavares,DF
2022-2023,22,Marseille,fr FRA,1. Ligue 1,3rd,26.1,1779,45,361,685,765,88,1779,139,55,39.6,74,53.2,1213,8076,3913,96,68,19,75,67,1114,245,Nuno Tavares,DF
2023-2024,23,Nott'ham Forest,eng ENG,1. Premier League,17th,5.1,343,20,118,123,109,6,343,9,6,66.7,3,33.3,166,940,564,14,12,2,10,4,186,12,Nuno Tavares,DF
2024-2025,24,Lazio,it ITA,1. Serie A,4th,11.8,802,42,193,346,284,24,802,65,30,46.2,22,33.8,439,3244,1914,62,42,15,26,18,496,64,Nuno Tavares,DF
2019-2020,18,Midtjylland,dk DEN,1. Danish Superliga,1st,5.5,,,,,,,,,,,,,,,,,,,,,,,Gustav Isaksen,FW
2020-2021,19,Midtjylland,dk DEN,1. Danish Superliga,2nd,7.6,,,,,,,,,,,,,,,,,,,,,,,Gustav Isaksen,FW
2021-2022,20,Midtjylland,dk DEN,1. Danish Superliga,2nd,21.5,,,,,,,,,,,,,,,,,,,,,,,Gustav Isaksen,FW
2022-2023,21,Midtjylland,dk DEN,1. Danish Superliga,7th,27.0,,,,,,,,,,,,,,,,,,,,,,,Gustav Isaksen,FW
2023-2024,22,Midtjylland,dk DEN,1. Danish Superliga,1st,1.7,,,,,,,,,,,,,,,,,,,,,,,Gustav Isaksen,FW
2023-2024,22,Lazio,it ITA,1. Serie A,7th,11.9,464,6,53,169,253,51,464,43,15,34.9,23,53.5,293,2056,969,36,21,14,38,19,348,95,Gustav Isaksen,FW
2024-2025,23,Lazio,it ITA,1. Serie A,4th,11.0,456,3,38,156,268,44,456,41,19,46.3,17,41.5,302,2164,1005,34,20,16,18,19,353,134,Gustav Isaksen,FW
2018-2019,21,Reims,fr FRA,1. Ligue 1,8th,8.3,274,10,37,123,124,43,274,32,17,53.1,15,46.9,160,1138,564,20,12,17,28,14,177,63,Boulaye Dia,"MF,FW"
2019-2020,22,Reims,fr FRA,1. Ligue 1,6th,20.1,550,20,66,239,259,85,549,48,22,45.8,26,54.2,317,2130,916,32,29,21,58,31,364,115,Boulaye Dia,"MF,FW"
2020-2021,23,Reims,fr FRA,1. Ligue 1,14th,32.6,971,45,134,413,447,129,966,83,46,55.4,37,44.6,555,3576,1733,68,39,36,87,53,668,163,Boulaye Dia,"MF,FW"
2021-2022,24,Villarreal,es ESP,1. La Liga,7th,14.1,376,3,36,153,194,75,376,21,11,52.4,10,47.6,220,1184,501,22,11,9,33,21,290,93,Boulaye Dia,"MF,FW"
2022-2023,25,Salernitana,it ITA,1. Serie A,15th,28.0,885,31,113,427,364,75,884,88,35,39.8,39,44.3,610,4033,1545,48,47,13,71,61,673,140,Boulaye Dia,"MF,FW"
2023-2024,26,Salernitana,it ITA,1. Serie A,20th,12.7,382,14,44,185,162,35,381,43,14,32.6,27,62.8,276,1722,648,18,17,6,37,28,296,57,Boulaye Dia,"MF,FW"
